,SMILES,False positives,True positives,FP - mvsa,TP - mvsa,Score - mvsa,FP - Catboost_self,TP - Catboost_self,Score - Catboost_self,FP - Catboost_test,TP - Catboost_test,Score - Catboost_test,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc2c(c1)C(C1=NCCN1)c1ccccc1CS2,-0.0,1.0,0.0,1.0,67.67941556697262,0.0,0.0,-0.40492327046094134,0.0,0.0,-0.24065306353566407,0.0,0.0,10.0,0.0,1.0,0.0
1,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,1.0,0.0,0.0,0.0,97.07656951983469,0.0,0.0,-0.4085458515227581,0.0,0.0,-0.24669377614307172,1.0,0.0,8.0,0.0,1.0,0.0
2,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,-0.0,1.0,0.0,1.0,84.31764618864578,0.0,1.0,-0.20915904458096324,0.0,1.0,-0.11535179643191948,1.0,0.0,8.0,0.0,1.0,0.0
3,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,-0.0,1.0,0.0,0.0,87.4290459041711,0.0,1.0,-0.22007494703186378,0.0,1.0,-0.1385087188104413,1.0,0.0,8.0,0.0,1.0,0.0
4,C#Cc1cc(N2CCN(C(=O)c3ccoc3)CC2)n2nc(-c3cccc(Cl)c3)cc2n1,1.0,0.0,0.0,0.0,91.06952905760743,0.0,0.0,-0.37185006289074074,0.0,0.0,-0.22866553635490006,1.0,0.0,8.0,0.0,1.0,0.0
5,C#Cc1ccc(C(=O)Nc2ccc(N3CCC(C)CC3)c(C(N)=O)c2)cc1,1.0,0.0,0.0,1.0,83.52359889727958,0.0,0.0,-0.4007057472878098,0.0,0.0,-0.24138882163190842,0.0,1.0,16.0,1.0,-0.0,1.0
6,C#Cc1ccc(NC(=O)C2(C)CCN2C(=O)c2cc(C)n(C)n2)cc1,1.0,0.0,0.0,0.0,98.45326773923249,0.0,0.0,-0.41279615998571006,0.0,0.0,-0.24956612918678242,1.0,0.0,8.0,0.0,1.0,0.0
7,C/C(=N\NC(=O)c1c(Cl)c(C)nn1C)c1ccc(NC(=O)C2CCC2)cc1,-0.0,1.0,0.0,0.0,97.73763063470342,0.0,0.0,-0.37048016982152254,0.0,0.0,-0.22027973205538545,0.0,0.0,10.0,0.0,1.0,0.0
8,C/C(=N\NC(=O)c1cc(-c2cccs2)nc2ccccc12)c1ccccn1,-0.0,1.0,0.0,0.0,95.86719145324994,0.0,0.0,-0.3683120666252544,0.0,0.0,-0.23760129546001046,0.0,0.0,11.0,0.0,1.0,0.0
9,C/C=C/c1ccc([C@@H]2[C@H](CO)N(CC3CC3)[C@H]2CNC(=O)c2ccccc2)cc1,1.0,0.0,0.0,0.0,99.18836769608382,0.0,0.0,-0.40955310247817495,0.0,0.0,-0.2133056306522553,0.0,0.0,10.0,0.0,1.0,0.0
10,C/C=C/c1ccc([C@H]2[C@@H](CNC(=O)CC)N(C(=O)COC)[C@H]2CO)cc1,1.0,0.0,0.0,0.0,96.57569436884789,0.0,0.0,-0.40715245138300676,0.0,0.0,-0.22159843613260152,0.0,0.0,14.0,0.0,1.0,0.0
11,C/C=C/c1ccc([C@H]2[C@@H](CO)N(C(=O)COC)[C@@H]2CNC(=O)CC)cc1,1.0,0.0,0.0,0.0,96.57569436884789,0.0,0.0,-0.40715245138300676,0.0,0.0,-0.22159843613260152,1.0,0.0,8.0,0.0,1.0,0.0
12,C/C=C/c1ccc2c(c1)O[C@@H](CN(C)C(=O)Nc1cccc(F)c1)[C@H](C)CN([C@H](C)CO)S2(=O)=O,1.0,0.0,0.0,0.0,99.52415117735283,0.0,0.0,-0.4056423851291841,0.0,0.0,-0.2093662867752468,1.0,0.0,8.0,0.0,1.0,0.0
13,C=C1C(=O)O[C@@H]2C[C@@H](C)[C@@H]3C=CC(=O)[C@@]3(C)[C@@H](O)[C@H]12,-0.0,1.0,0.0,0.0,94.44915586571366,0.0,0.0,-0.4018526926735769,0.0,0.0,-0.24431359699812796,0.0,0.0,12.0,0.0,1.0,0.0
14,C=C1C(=O)O[C@@H]2[C@H]1[C@@H](OC(=O)/C(C)=C/C)C/C(C)=C\C(=O)/C=C(\C)[C@@H]2O,1.0,0.0,0.0,0.0,94.93546930422168,0.0,0.0,-0.3732461282090862,0.0,0.0,-0.20936427582071374,0.0,0.0,9.0,0.0,1.0,0.0
15,C=C1C(=O)[C@]23C[C@H]1CC[C@H]2[C@]1(C)[C@@H](OC(C)=O)CC[C@@](C)(C(=O)O)[C@H]1C[C@@H]3O,1.0,0.0,0.0,0.0,94.83256255443196,0.0,0.0,-0.3840440124064387,0.0,0.0,-0.19338445705611504,1.0,0.0,8.0,0.0,1.0,0.0
16,C=C1SC(Nc2c(C)cc(C)cc2C)=NC12CCCCC2,-0.0,1.0,0.0,1.0,78.5991441895971,0.0,0.0,-0.4046975387162899,0.0,0.0,-0.24911865894305257,0.0,0.0,10.0,0.0,1.0,0.0
17,C=CC(C)(C)c1[nH]cnc1/C=C1\NC(=O)C(C(C)C)NC1=O,-0.0,1.0,0.0,0.0,97.6173029057543,0.0,1.0,-0.16575829568324243,0.0,1.0,-0.10836322495465817,1.0,0.0,8.0,0.0,1.0,0.0
18,C=CCCC(=O)Nc1nc(C)c(-c2csc(Nc3cc(OC)ccc3OC)n2)s1,-0.0,1.0,0.0,0.0,93.7522466902869,0.0,1.0,-0.21431187203897298,0.0,1.0,-0.11836158875198585,1.0,0.0,8.0,0.0,1.0,0.0
19,C=CCN(CC=C)C(=S)Nc1ccc(OC)c(OC)c1,1.0,0.0,0.0,0.0,98.60397126394444,0.0,0.0,-0.35596023129465465,0.0,0.0,-0.20046157441705573,0.0,0.0,13.0,0.0,1.0,0.0
20,C=CCN1C(=O)/C(=C/C=C2/N(CC)c3ccc(S(=O)(=O)N(C)C)cc3N2CC)SC1=S,-0.0,1.0,0.0,0.0,88.43460364370009,0.0,1.0,-0.2373153448032741,0.0,0.0,-0.16878615898103397,0.0,0.0,11.0,1.0,-0.0,1.0
21,C=CCN1c2ccccc2[C@]23C[C@@H](C(=O)OC)N(C(=O)c4cccs4)C2=NC(C(=O)OC)=C(C(=O)OC)[C@H]13,1.0,0.0,0.0,0.0,97.5682845611766,0.0,1.0,-0.1810728964294875,0.0,1.0,-0.10588630500949142,1.0,0.0,8.0,0.0,1.0,0.0
22,C=CCN=c1scc(C)n1/N=C/c1ccc(O)c(O)c1,-0.0,1.0,0.0,0.0,95.16738720740905,0.0,0.0,-0.3999559560787922,0.0,0.0,-0.2502439983159162,0.0,0.0,10.0,1.0,-0.0,1.0
23,C=CC[C@@H](CC(=O)N(CCO)Cc1ccccc1)C(=O)N[C@H](COC(=O)[C@H](CC=C)CC(=O)OC(C)(C)C)Cc1c[nH]c2ccccc12,1.0,0.0,0.0,0.0,99.27154769811644,0.0,0.0,-0.37703441932262405,0.0,0.0,-0.220918692183782,1.0,0.0,8.0,0.0,1.0,0.0
24,C=CCn1c(SCC(=O)N(C)C2CCS(=O)(=O)C2)nc2ccccc2c1=O,-0.0,1.0,0.0,0.0,96.7269743759916,0.0,0.0,-0.4040046401879375,0.0,0.0,-0.22513505864807565,0.0,1.0,18.0,0.0,1.0,0.0
25,CC#CCOCC1CNC(=O)O1,1.0,0.0,0.0,0.0,96.3826748133861,0.0,0.0,-0.40146794842404027,0.0,0.0,-0.2253862667314216,0.0,1.0,17.0,0.0,1.0,0.0
26,CC(=NNC(=S)N(Cc1ccccn1)Cc1ccccn1)c1cnccn1,1.0,0.0,0.0,0.0,93.56957957754211,0.0,0.0,-0.3787527879744008,0.0,0.0,-0.2402792066827269,1.0,0.0,8.0,0.0,1.0,0.0
27,CC(=NNC(=S)N1CC2CCC(CC2)C1)c1cnccn1,1.0,0.0,0.0,0.0,95.77136170426205,0.0,0.0,-0.39106048103763325,0.0,0.0,-0.22829107054366116,0.0,0.0,10.0,0.0,1.0,0.0
28,CC(=NNC(=S)N1CCCCC1)c1cccc(C)n1,1.0,0.0,0.0,0.0,96.39986078296694,0.0,0.0,-0.39529211804131553,0.0,0.0,-0.23619101766835732,0.0,0.0,11.0,0.0,1.0,0.0
29,CC(=NNC(=S)Nc1ccc(C)cc1)c1ccccn1,-0.0,1.0,0.0,0.0,93.06255270731138,0.0,0.0,-0.37758066557571823,0.0,0.0,-0.23328442387179385,0.0,1.0,15.0,0.0,1.0,0.0
30,CC(=Nc1ccccc1O)c1sc2ccccc2c1O,-0.0,1.0,0.0,0.0,98.47228869435831,0.0,0.0,-0.404894369230361,1.0,0.0,-0.2999338703653673,0.0,0.0,10.0,1.0,-0.0,1.0
31,CC(=O)N(C)C[C@@H]1Oc2cc(C#Cc3ccc(F)cc3)ccc2S(=O)(=O)N([C@H](C)CO)C[C@@H]1C,1.0,0.0,0.0,0.0,99.27932744360474,0.0,0.0,-0.3966778372924279,0.0,0.0,-0.2010147593643232,1.0,0.0,8.0,0.0,1.0,0.0
32,CC(=O)N1CCc2c(sc(NC(=O)c3ccc4c(c3)OCCO4)c2C#N)C1,-0.0,1.0,0.0,1.0,82.32358151417677,0.0,0.0,-0.4100998794688078,0.0,0.0,-0.23871037115511556,0.0,0.0,10.0,0.0,1.0,0.0
33,CC(=O)N1CCc2cc(S(=O)(=O)N3c4ccccc4CC3C)ccc21,-0.0,1.0,0.0,0.0,95.08960480846277,0.0,0.0,-0.40460893248374463,1.0,0.0,-0.27379796480257435,0.0,0.0,10.0,0.0,1.0,0.0
34,CC(=O)NC(=S)Nc1ccc(NC(=S)NC(=O)/C=C/c2ccco2)cc1,1.0,0.0,0.0,0.0,98.2960717754908,0.0,0.0,-0.4029682497693243,0.0,0.0,-0.24928567222112358,0.0,0.0,13.0,0.0,1.0,0.0
35,CC(=O)NC(c1ccc(C(C)C)cc1)c1ccc2cccnc2c1O,1.0,0.0,0.0,1.0,81.4074835701082,0.0,1.0,-0.0710442823536319,0.0,1.0,-0.04519638598266171,1.0,0.0,8.0,1.0,-0.0,1.0
36,CC(=O)NC(c1ccc(Cl)cc1)c1ccc2cccnc2c1O,1.0,0.0,0.0,0.0,85.42528288997954,0.0,1.0,-0.06313476695923904,0.0,1.0,-0.04036250573965243,0.0,0.0,11.0,1.0,-0.0,1.0
37,CC(=O)NC(c1ccc(Cl)cc1Cl)c1ccc2cccnc2c1O,-0.0,1.0,0.0,0.0,91.49172483929172,0.0,1.0,-0.09702942015578007,0.0,1.0,-0.06307876105684701,0.0,0.0,10.0,1.0,-0.0,1.0
38,CC(=O)NC(c1ccc2ccccc2c1)c1ccc2cccnc2c1O,1.0,0.0,0.0,0.0,84.9876545951566,0.0,1.0,-0.07056327080899456,0.0,1.0,-0.04472939181083851,0.0,0.0,13.0,1.0,-0.0,1.0
39,CC(=O)NS(=O)(=O)c1ccc(NC(=O)CSc2ccc(Cl)cc2)cc1,1.0,0.0,0.0,0.0,99.2009268923456,1.0,0.0,-0.41378730025105226,0.0,0.0,-0.235816820677032,0.0,0.0,9.0,0.0,1.0,0.0
40,CC(=O)Nc1ccc(-c2csc(NC(=O)CN3C(=O)NC4(CCCC4)C3=O)n2)cc1,-0.0,1.0,0.0,0.0,97.37824317694168,0.0,0.0,-0.3828160253337548,0.0,0.0,-0.23455687411623752,1.0,0.0,8.0,0.0,1.0,0.0
41,CC(=O)Nc1ccc(NC(=O)COc2cccc3c2OC(C)(C)C3)cc1,-0.0,1.0,0.0,0.0,98.70219940769559,0.0,0.0,-0.39953384542472353,0.0,0.0,-0.21597907619147144,0.0,0.0,11.0,0.0,1.0,0.0
42,CC(=O)Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,-0.0,1.0,0.0,0.0,91.57390212296563,0.0,0.0,-0.32480072275625305,0.0,0.0,-0.20509863428267758,0.0,0.0,10.0,1.0,-0.0,1.0
43,CC(=O)Nc1ccc(S(=O)(=O)N2c3ccccc3C(C)=CC2(C)C)cc1,1.0,0.0,0.0,0.0,91.64102013473946,1.0,0.0,-0.41504905916998486,0.0,0.0,-0.2525381956620184,0.0,0.0,9.0,0.0,1.0,0.0
44,CC(=O)Nc1ccc(S(=O)(=O)Nc2cccc(-c3nc4cc(C)ccc4o3)c2)cc1,-0.0,1.0,0.0,0.0,94.76271336772449,0.0,0.0,-0.41026490508337504,0.0,0.0,-0.24774449178010235,0.0,0.0,10.0,0.0,1.0,0.0
45,CC(=O)Nc1ccc2cc3ccc(NC(C)=O)cc3nc2c1,-0.0,1.0,0.0,1.0,84.02497878706166,0.0,0.0,-0.40856719725436774,1.0,0.0,-0.25779877805368784,0.0,0.0,9.0,0.0,1.0,0.0
46,CC(=O)Nc1cccc(-c2ccnc3c2CC(C)(C(=O)NCc2cccs2)O3)c1,-0.0,1.0,0.0,0.0,98.04697266798134,0.0,0.0,-0.38591020777637824,0.0,0.0,-0.20700803030867895,0.0,0.0,9.0,0.0,1.0,0.0
47,CC(=O)Nc1cccc(-c2ccnc3c2CC(C)(C(=O)Nc2ccc4c(c2)OCO4)O3)c1,-0.0,1.0,0.0,0.0,94.67354470176679,0.0,0.0,-0.30398087759925424,0.0,0.0,-0.16724039142047642,0.0,0.0,10.0,0.0,1.0,0.0
48,CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C3CC3ON=C(C)C32)C1,1.0,0.0,0.0,0.0,93.58923952686291,0.0,0.0,-0.3123952851115049,0.0,0.0,-0.16861348325685419,0.0,0.0,10.0,0.0,1.0,0.0
49,CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1,1.0,0.0,1.0,0.0,99.58536145581184,1.0,0.0,-0.416775573999605,0.0,0.0,-0.24149719008312917,1.0,0.0,8.0,0.0,1.0,0.0
50,CC(=O)OCCn1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21,-0.0,1.0,0.0,0.0,98.26866887641043,0.0,0.0,-0.4084391180003566,0.0,0.0,-0.24024871694100908,0.0,1.0,17.0,0.0,1.0,0.0
51,CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@H]2O,-0.0,1.0,0.0,1.0,74.23126912518784,0.0,1.0,-0.03727543159759787,0.0,1.0,-0.018817568758507482,0.0,1.0,17.0,0.0,1.0,0.0
52,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,-0.0,1.0,0.0,1.0,74.23126912518784,0.0,1.0,-0.03727543159759787,0.0,1.0,-0.018817568758507482,0.0,0.0,10.0,0.0,1.0,0.0
