,SMILES,False positives,True positives,FP - mvsa,TP - mvsa,Score - mvsa,FP - Catboost_self,TP - Catboost_self,Score - Catboost_self,FP - Catboost_test,TP - Catboost_test,Score - Catboost_test,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C#CC(C)(C)NC(=O)c1ccc(-c2ccccc2F)cc1,1.0,0.0,1.0,0.0,99.55677206245905,0.0,0.0,-0.24612477206647193,0.0,0.0,-0.21109570949247028,0.0,0.0,43.0,0.0,1.0,0.0
1,C#CCNC(=O)C[C@@H]1C[C@@]2(C(=O)OCC)CCC=C2N(Cc2ccc(Cl)cc2Cl)C1=O,1.0,0.0,0.0,0.0,98.4489921701571,0.0,0.0,-0.2423041491682185,0.0,0.0,-0.22380652256888584,0.0,0.0,76.0,0.0,1.0,0.0
2,C#CCOc1ccc(CNC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)cc1,1.0,0.0,1.0,0.0,99.64396744101151,0.0,0.0,-0.24454396643638487,0.0,0.0,-0.21483240444601395,0.0,0.0,38.0,0.0,1.0,0.0
3,C(=C/c1ccc(C2[C@H]3CNC[C@@H]2N3Cc2ccccn2)cc1)\c1ccccc1,-0.0,1.0,0.0,0.0,99.45725629510068,0.0,0.0,-0.24544043636033092,0.0,0.0,-0.21477113360532504,0.0,0.0,49.0,0.0,1.0,0.0
4,C/C(=N/NC(=O)c1cc(O)c(O)c(O)c1)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,0.0,0.0,83.13621761865369,0.0,1.0,-0.04987172966304814,0.0,0.0,-0.05132802865972061,0.0,0.0,74.0,1.0,-0.0,1.0
5,C/C(=N\NC(=O)c1cc(O)ccc1O)c1cccc(NC(=O)c2ccc(Cl)cc2)c1,-0.0,1.0,0.0,0.0,78.54915876295635,0.0,0.0,-0.07413269156074069,0.0,0.0,-0.0632405366314801,0.0,0.0,53.0,0.0,1.0,0.0
6,C/C(=N\NC(=O)c1cc(O)ccc1O)c1cccc(NC(=O)c2cccc(Cl)c2)c1,-0.0,1.0,0.0,0.0,78.28736122717991,0.0,0.0,-0.07128774581456987,0.0,0.0,-0.06246054256291021,0.0,0.0,39.0,0.0,1.0,0.0
7,C/C(=N\NC(=O)c1ccccc1O)C1CC1,1.0,0.0,0.0,0.0,98.42467844306871,0.0,0.0,-0.2366997547318735,0.0,0.0,-0.20625160360605035,0.0,0.0,41.0,0.0,1.0,0.0
8,C/C(=N\NC(=O)c1ccccc1O)c1ccc(NC(=O)Cc2ccccc2)cc1,1.0,0.0,0.0,0.0,98.14832533007782,0.0,0.0,-0.22376125998014942,0.0,0.0,-0.18107241783981606,1.0,0.0,36.0,0.0,1.0,0.0
9,C/C(=N\Nc1ccc(C(=O)O)cc1)c1ccc(Br)cc1,-0.0,1.0,0.0,0.0,99.03448794764125,0.0,0.0,-0.24061685170570327,0.0,0.0,-0.20087480360575963,0.0,0.0,43.0,0.0,1.0,0.0
