,SMILES,False positives,True positives,FP - mvsa,TP - mvsa,Score - mvsa,FP - Catboost_self,TP - Catboost_self,Score - Catboost_self,FP - Catboost_test,TP - Catboost_test,Score - Catboost_test,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C#CCN(C[C@H]1[C@H](OC(=O)NC2CCCC2)[C@H](OC(=O)NC2CCCC2)C[C@H]2C(=O)N(c3ccccc3)C(=O)[C@@H]12)S(=O)(=O)c1ccc(C)cc1,1.0,0.0,0.0,0.0,86.08234021991487,0.0,0.0,-0.09470752490470999,0.0,0.0,-0.08589333857560374,0.0,0.0,38.04780876494023,0.0,1.0,0.0
1,C/C(=N/Nc1ccc(C(=O)O)cc1)c1ccc2c(c1)Nc1ccccc1S2,-0.0,1.0,0.0,0.0,80.76656887720243,0.0,0.0,-0.11766008199315832,0.0,0.0,-0.10007586190163724,1.0,0.0,2.98804780876494,0.0,1.0,0.0
2,C/C(=N\NC(=O)c1nnn(-c2nonc2N)c1-c1ccc(Cl)c(Cl)c1)c1ccncc1,1.0,0.0,1.0,0.0,99.04937953358534,0.0,0.0,-0.17094214020691628,0.0,0.0,-0.1387098115530711,0.0,0.0,9.7609561752988,0.0,1.0,0.0
3,C/C(=N\NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1)c1cc2ccccc2o1,-0.0,1.0,0.0,0.0,85.86655053641155,0.0,0.0,-0.13344063521956998,0.0,0.0,-0.11433186256704723,0.0,0.0,7.768924302788842,0.0,1.0,0.0
4,C/C(=N\Nc1ccc(C(=O)O)cc1)c1ccc2c(c1)Nc1ccccc1S2,-0.0,1.0,0.0,0.0,80.76656887720243,0.0,0.0,-0.11766008199315832,0.0,0.0,-0.10007586190163724,0.0,0.0,42.43027888446214,0.0,1.0,0.0
5,C/C(=N\Nc1ccccn1)c1ccc(S(=O)(=O)NCc2ccco2)cc1,-0.0,1.0,1.0,0.0,99.51038247948267,1.0,0.0,-0.18094478253157556,0.0,0.0,-0.1550881596674412,0.0,0.0,7.370517928286857,0.0,1.0,0.0
6,C/C(=N\Nc1nc(N2CCOCC2)nc(N2CCOCC2)n1)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,0.0,0.0,81.33769107891978,0.0,0.0,-0.07661644861907713,0.0,0.0,-0.0688457551225718,0.0,0.0,15.537848605577684,0.0,1.0,0.0
7,C/C(=N\Nc1ncc(Cl)cc1Cl)c1ccc(OC(F)F)cc1,-0.0,1.0,0.0,0.0,92.28973630278747,0.0,0.0,-0.17720633335686645,0.0,0.0,-0.14815345628041587,1.0,0.0,3.784860557768921,0.0,1.0,0.0
8,C/C(=N\OCC(=O)Nc1c(F)c(F)c(F)c(F)c1F)c1ccc(Br)cc1,1.0,0.0,0.0,0.0,89.47134888627875,1.0,0.0,-0.18085177739522212,0.0,0.0,-0.15655421600923378,0.0,0.0,28.087649402390426,0.0,1.0,0.0
9,C/C=C/C=C/C(=O)OC(C)C(=O)Nc1cc([N+](=O)[O-])ccc1OC,-0.0,1.0,0.0,0.0,91.7098290768752,0.0,0.0,-0.12828687367591812,0.0,0.0,-0.12773727057422524,0.0,0.0,45.81673306772908,0.0,1.0,0.0
10,C/C=C/C=N/NC(=O)CN(c1ccc(Br)cc1)S(=O)(=O)c1ccccc1,-0.0,1.0,0.0,0.0,97.04885616205874,1.0,0.0,-0.18160044258039348,1.0,0.0,-0.1635547152429571,0.0,0.0,16.93227091633466,0.0,1.0,0.0
11,C=C(C)CSc1ncc(-c2cccc(C(F)(F)F)c2)cn1,-0.0,1.0,0.0,0.0,86.43849106864657,1.0,0.0,-0.17956901975090128,0.0,0.0,-0.15818000692080247,0.0,0.0,15.93625498007968,0.0,1.0,0.0
