,SMILES,False positives,True positives,FP - mvsa,TP - mvsa,Score - mvsa,FP - Catboost_self,TP - Catboost_self,Score - Catboost_self,FP - Catboost_test,TP - Catboost_test,Score - Catboost_test,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(OCc2cn3ccccc3n2)cc1,1.0,0.0,0.0,0.0,88.89516586740301,0.0,0.0,-0.08332864500181617,0.0,0.0,-0.046610074502442346,0.0,0.0,83.0,0.0,1.0,0.0
1,Brc1ccc2c(c1)C(c1cccnc1)=NNC(c1cccs1)=N2,-0.0,1.0,0.0,0.0,95.9699971645745,0.0,0.0,-0.07788260419699797,0.0,0.0,-0.042570978557676956,0.0,0.0,64.0,0.0,1.0,0.0
2,Brc1cnc2nc(SC/C=C/c3ccccc3)[nH]c2c1,-0.0,1.0,0.0,1.0,82.20777332554819,0.0,1.0,-0.06082144149767666,0.0,0.0,-0.03948909051559949,0.0,0.0,62.0,0.0,1.0,0.0
3,C#CC[N+]1(CC#Cc2ccccc2)CCCCC1,1.0,0.0,0.0,0.0,98.42519388094306,0.0,0.0,-0.09181526794251976,0.0,0.0,-0.05078886769389412,0.0,0.0,82.0,0.0,1.0,0.0
4,C(=N/N1CCN(Cc2cccc3ccccc23)CC1)\c1cccnc1,1.0,0.0,0.0,0.0,98.50779179157522,0.0,0.0,-0.08713194295621163,0.0,0.0,-0.04902754605501182,0.0,0.0,62.0,1.0,-0.0,1.0
5,C/C(=C\C(=O)Nc1cscc1C)C(=O)O,1.0,0.0,1.0,0.0,98.97198580491283,0.0,0.0,-0.09064356545231009,1.0,0.0,-0.05410896862765313,0.0,0.0,74.0,0.0,1.0,0.0
6,C/C(=N\NC(=O)c1cccc(N/N=C(\C)c2cc(O)ccc2O)c1)c1cc(O)ccc1O,1.0,0.0,0.0,0.0,97.87947669056535,0.0,0.0,-0.09198367200798484,0.0,0.0,-0.052570599141039294,0.0,0.0,64.0,1.0,-0.0,1.0
7,C/C(=N\NC(=O)c1ccoc1C)c1cccc2ccccc12,1.0,0.0,0.0,0.0,95.35804783622059,0.0,0.0,-0.09102870881351172,0.0,0.0,-0.04883587013773666,0.0,0.0,57.0,0.0,1.0,0.0
8,C/C(=N\OC(=O)c1ccc(F)cc1)c1ccc(F)c(F)c1,1.0,0.0,0.0,0.0,92.92758545306893,0.0,0.0,-0.09141922911697223,0.0,0.0,-0.04836809986902019,1.0,0.0,54.0,0.0,1.0,0.0
9,C/C(CC(=O)Nc1cccc2c1CCCC2)=N\NC(=O)COc1ccccc1,1.0,0.0,0.0,0.0,97.16673008693954,0.0,0.0,-0.09111030494331472,0.0,0.0,-0.0518646138975002,0.0,0.0,61.0,0.0,1.0,0.0
10,C/C(CCc1oc2c(Br)cc(Br)cc2c1-c1ccc(C)o1)=N\O,1.0,0.0,0.0,0.0,95.48136912545849,0.0,0.0,-0.08739532481359531,0.0,0.0,-0.05133226695627518,0.0,0.0,80.0,0.0,1.0,0.0
