,SMILES,False positives,True positives,FP - mvsa,TP - mvsa,Score - mvsa,FP - Catboost_self,TP - Catboost_self,Score - Catboost_self,FP - Catboost_test,TP - Catboost_test,Score - Catboost_test,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C(=N/Nc1nc2ccccc2s1)\c1ccccn1,-0.0,1.0,0.0,0.0,96.69119239253723,0.0,0.0,-0.2496094589938012,0.0,0.0,-0.20327170799089875,0.0,0.0,30.0,0.0,1.0,0.0
1,C/C(=C\C(=O)c1ccccc1)NNC(=O)c1ccc(Cl)cc1,1.0,0.0,0.0,0.0,98.43319652683462,0.0,0.0,-0.272217170026672,0.0,0.0,-0.21242769137090867,0.0,1.0,47.0,0.0,1.0,0.0
2,C/C(=N/NC(=O)c1cc2ccccc2cc1O)c1ccco1,-0.0,1.0,0.0,0.0,79.235308081998,0.0,0.0,-0.1592732684954494,0.0,0.0,-0.11969225026568414,0.0,0.0,19.0,1.0,-0.0,1.0
3,C/C(=N\NC(=O)C1COc2ccccc2O1)c1ccc(N2CCOCC2)cc1,1.0,0.0,1.0,0.0,99.58646690701288,0.0,0.0,-0.27047026922746653,0.0,0.0,-0.22111315432497836,0.0,0.0,22.0,0.0,1.0,0.0
4,C/C(=N\NC(=O)c1cc2ccccc2cc1O)c1ccc(C)o1,-0.0,1.0,0.0,0.0,85.52207284696435,0.0,0.0,-0.17406281999969891,0.0,0.0,-0.12950166689355955,0.0,0.0,9.0,1.0,-0.0,1.0
5,C/C(=N\NC(=O)c1cc2ccccc2cc1O)c1ccccn1,1.0,0.0,0.0,0.0,96.52353127439167,0.0,0.0,-0.180778850889889,0.0,0.0,-0.14332827442225687,0.0,0.0,4.0,1.0,-0.0,1.0
6,C/C(=N\NC(=O)c1cc2ccccc2cc1O)c1cccs1,1.0,0.0,0.0,0.0,86.75923726530206,0.0,0.0,-0.16532830554961336,0.0,0.0,-0.12864186894796914,0.0,0.0,14.0,1.0,-0.0,1.0
7,C/C(=N\NC(=O)c1cccc(Br)c1)c1ccccn1,1.0,0.0,0.0,0.0,98.81688737655318,0.0,0.0,-0.24659165079534612,0.0,0.0,-0.20163956454107826,0.0,0.0,14.0,0.0,1.0,0.0
8,C/C(=N\NC(=O)c1ccoc1C)c1ccccc1O,-0.0,1.0,0.0,0.0,97.15678158095389,0.0,0.0,-0.23859348296782837,0.0,0.0,-0.18035243935819784,0.0,0.0,28.0,1.0,-0.0,1.0
9,C/C(=N\NC(=S)NCCc1ccccc1)c1ccc(Cl)cc1Cl,1.0,0.0,0.0,0.0,99.14145818186542,0.0,0.0,-0.2415151696517494,0.0,0.0,-0.2015042051632238,0.0,0.0,6.0,0.0,1.0,0.0
10,C/C(=N\Nc1nncc2ccccc12)c1ccc(C(C)(C)C)cc1,1.0,0.0,0.0,0.0,95.62259489054198,0.0,0.0,-0.26441893896555285,0.0,0.0,-0.20175503953326968,0.0,0.0,4.0,0.0,1.0,0.0
11,C/C(=N\O)C(=O)C(CN1CCCCC1)CN1CCCCC1,1.0,0.0,1.0,0.0,99.44855857729503,1.0,0.0,-0.2793551735819618,1.0,0.0,-0.25594145363586285,0.0,0.0,5.0,1.0,-0.0,1.0
12,C/C(N)=C(/C#N)C(=O)CSc1nc2ccccc2c(=O)n1Cc1ccc(F)cc1,-0.0,1.0,0.0,0.0,96.41291521087085,0.0,0.0,-0.27617162438058057,0.0,0.0,-0.21601497183140592,1.0,0.0,1.0,0.0,1.0,0.0
13,C=CCN(CC=C)C(=S)NC(=O)c1ccc(-c2ccccc2)cc1,-0.0,1.0,0.0,0.0,73.50758249991473,0.0,1.0,-0.05060630281857776,0.0,1.0,-0.03629236763001388,0.0,0.0,12.0,0.0,1.0,0.0
14,C=CCN(CC=C)C(=S)NC(=O)c1ccc(OC)c(Br)c1,-0.0,1.0,0.0,0.0,95.59404759111632,0.0,1.0,-0.080383766581676,0.0,1.0,-0.058393772189254865,0.0,0.0,12.0,0.0,1.0,0.0
15,C=CCNC(=S)NC(=O)c1ccc(C)c(Br)c1,1.0,0.0,0.0,0.0,81.77288489211385,0.0,0.0,-0.24683734494170087,0.0,0.0,-0.17673197494884627,1.0,0.0,2.0,0.0,1.0,0.0
