,SMILES,False positives,True positives,FP - mvsa,TP - mvsa,Score - mvsa,FP - Catboost_self,TP - Catboost_self,Score - Catboost_self,FP - Catboost_test,TP - Catboost_test,Score - Catboost_test,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1.[O-][Cl+3]([O-])([O-])[O-],-0.0,1.0,0.0,1.0,59.403916030518694,0.0,1.0,-0.04608024030509766,0.0,1.0,-0.04620675519161353,0.0,1.0,40.0,0.0,1.0,0.0
1,Brc1nnc2n1-c1ccccc1Sc1ccccc1-2,-0.0,1.0,0.0,0.0,93.13804764694152,0.0,0.0,-0.10562675377736805,0.0,0.0,-0.08846719329609264,0.0,0.0,30.0,0.0,1.0,0.0
2,C#CCNC(=O)C1=C[C@@H](C2CC2)C[C@@H](OCc2ccc(CO)cc2)O1,-0.0,1.0,1.0,0.0,99.16837293588631,0.0,0.0,-0.18362900956071804,0.0,0.0,-0.12739903475687028,0.0,0.0,30.0,0.0,1.0,0.0
3,C#CCNC(=O)C1=C[C@@H](c2ccc(C#C)cc2)C[C@@H](OCc2ccc(CO)cc2)O1,-0.0,1.0,0.0,0.0,92.44090126250059,0.0,0.0,-0.1801085245267095,0.0,0.0,-0.1321996524451194,0.0,0.0,30.0,0.0,1.0,0.0
4,C#Cc1cccc(C(=O)N2CCCC(Nc3cccc(F)c3)C2)c1,-0.0,1.0,0.0,0.0,98.28522693414676,1.0,0.0,-0.18581802325119842,0.0,0.0,-0.13377048456999388,0.0,0.0,35.0,0.0,1.0,0.0
5,C(=C/c1ccccc1)\CSc1nnc(-c2ccccn2)n1Cc1ccco1,-0.0,1.0,0.0,0.0,67.18263328386864,0.0,0.0,-0.07119313815262394,0.0,0.0,-0.06607529201720451,0.0,0.0,35.0,0.0,1.0,0.0
6,C(=C/c1ccccc1)\CSc1nnc(-c2cccnc2)n1Cc1ccco1,-0.0,1.0,0.0,1.0,61.872736792609494,0.0,1.0,-0.05552344724362333,0.0,1.0,-0.05122343397575135,0.0,0.0,30.0,0.0,1.0,0.0
7,C/C=C(/C)C(=O)OC1Cc2c(ccc3ccc(=O)oc23)OC1(C)C,-0.0,1.0,0.0,0.0,98.43498977141478,1.0,0.0,-0.18616416666753777,0.0,0.0,-0.1255089101941698,0.0,0.0,30.0,0.0,1.0,0.0
8,C/C=C/c1ccc(OCC(O)CNCCc2ccc(OC)cc2)c(OC)c1,1.0,0.0,0.0,0.0,82.96401592397078,0.0,1.0,-0.058546461054079686,0.0,0.0,-0.05780919246254949,0.0,0.0,25.0,0.0,1.0,0.0
9,C/C=C/c1ccc(OCCCCN(C)Cc2ccccc2)c(OC)c1,-0.0,1.0,0.0,1.0,50.99865692431364,0.0,0.0,-0.06262364125471286,0.0,1.0,-0.04404442273961036,0.0,1.0,45.0,0.0,1.0,0.0
10,C/C=C/c1ccc(OCCOCCNCc2ccccc2)c(OC)c1,-0.0,1.0,0.0,0.0,87.6982327896104,0.0,1.0,-0.04456607064678158,0.0,1.0,-0.05111373889805074,0.0,0.0,30.0,0.0,1.0,0.0
11,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,-0.0,1.0,0.0,0.0,67.47536571269958,0.0,0.0,-0.17745856821712208,1.0,0.0,-0.14380510126466256,0.0,0.0,35.0,0.0,1.0,0.0
12,C=CCN(c1nc(C)cc(OC)n1)S(=O)(=O)c1ccccc1,-0.0,1.0,0.0,0.0,90.62135465545524,0.0,0.0,-0.18319350677635177,0.0,0.0,-0.13510306648078754,0.0,0.0,35.0,0.0,1.0,0.0
13,C=CCNC(=S)/N=c1/ccccn1Cc1ccccc1,-0.0,1.0,1.0,0.0,99.2923606674509,0.0,0.0,-0.16820322486836584,0.0,0.0,-0.13754497678000766,0.0,0.0,30.0,0.0,1.0,0.0
14,C=CCNCCCCOc1c(Cl)cc(C)cc1Br,-0.0,1.0,0.0,0.0,97.25185481757754,0.0,0.0,-0.10505846943037152,0.0,0.0,-0.09406259490881103,0.0,1.0,45.0,0.0,1.0,0.0
15,C=CCNc1nc(NCc2ccccc2)c(C#N)c2c1CN(C)CC2,-0.0,1.0,0.0,0.0,92.7000735693833,0.0,0.0,-0.17735771560836597,1.0,0.0,-0.16532708547451375,0.0,0.0,30.0,0.0,1.0,0.0
16,C=CCc1cc(Cl)ccc1OCCOCCNC(C)CC,1.0,0.0,0.0,0.0,83.35685379672319,0.0,0.0,-0.060847138935503,0.0,0.0,-0.052071984213260626,0.0,0.0,35.0,0.0,1.0,0.0
17,C=CCc1cc(S(=O)(=O)c2ccc(O)c(CC=C)c2)ccc1O,-0.0,1.0,0.0,0.0,86.32897633836747,0.0,0.0,-0.11291002186169502,0.0,0.0,-0.08031543365728509,0.0,0.0,30.0,0.0,1.0,0.0
18,C=CCc1ccc(OCC(O)CN2CCc3ccccc3C2)c(OC)c1,-0.0,1.0,0.0,0.0,94.2159591785418,0.0,0.0,-0.12252679697696817,0.0,0.0,-0.11315957372225252,0.0,0.0,25.0,0.0,1.0,0.0
19,C=CCc1ccc(OCCCNCc2ccccc2)c(OC)c1,-0.0,1.0,0.0,1.0,35.67069183380163,0.0,0.0,-0.09706910340831018,0.0,0.0,-0.10212165024431302,0.0,1.0,40.0,0.0,1.0,0.0
20,C=CCc1ccccc1OCCNCc1ccccc1,-0.0,1.0,0.0,0.0,83.4438061906053,0.0,0.0,-0.07538772643160917,0.0,0.0,-0.08078306229894024,0.0,1.0,40.0,0.0,1.0,0.0
21,C=CCn1c(SC/C=C/c2ccccc2)nnc1-c1sc(N)nc1C,-0.0,1.0,0.0,0.0,98.66727675846121,0.0,1.0,-0.028649755845939578,0.0,1.0,-0.03159579886500563,0.0,0.0,25.0,0.0,1.0,0.0
22,C=CCn1c(SCc2cccc(C#N)c2)nnc1-c1ccccc1O,-0.0,1.0,0.0,0.0,90.80436970785713,0.0,0.0,-0.12894333219519472,0.0,0.0,-0.1139716160639907,0.0,0.0,25.0,0.0,1.0,0.0
23,C=CCn1c(SCc2cccc3ccccc23)nnc1-c1cccnc1,-0.0,1.0,0.0,0.0,85.6934239745386,0.0,0.0,-0.14679743941596177,0.0,0.0,-0.12513579071967873,0.0,0.0,30.0,0.0,1.0,0.0
24,C=CCn1c(SCc2ccccc2C#N)nnc1-c1cc(Br)ccc1O,1.0,0.0,0.0,0.0,85.92429075112149,0.0,0.0,-0.11571602491187284,0.0,0.0,-0.10154757368826815,0.0,1.0,40.0,0.0,1.0,0.0
25,C=CS(=O)(=O)c1sc(Cl)c(N2CCOCC2)c1[N+](=O)[O-],-0.0,1.0,0.0,0.0,90.81649138915907,0.0,0.0,-0.18348387491841806,0.0,0.0,-0.13043821730870003,0.0,1.0,45.0,0.0,1.0,0.0
26,CC(=O)N(CC(C)(C)CC=C(C)C)c1ccccc1,-0.0,1.0,0.0,0.0,94.90155362724381,0.0,0.0,-0.1758070851522459,0.0,0.0,-0.12574466245381596,0.0,0.0,25.0,0.0,1.0,0.0
27,CC(=O)N(CCC(c1ccccc1)c1ccco1)Cc1cccs1,-0.0,1.0,0.0,0.0,77.27715040507407,0.0,0.0,-0.15625179723432403,0.0,0.0,-0.10811430628773662,0.0,1.0,40.0,0.0,1.0,0.0
28,CC(=O)N1CC(C)Sc2ccc(S(=O)(=O)NCc3ccccc3Cl)cc21,-0.0,1.0,0.0,0.0,97.33105594706618,0.0,0.0,-0.17324243504118014,0.0,0.0,-0.11857573920687467,0.0,0.0,30.0,0.0,1.0,0.0
29,CC(=O)Nc1cccc(OCC(=O)NC(C)c2ccc3ccccc3c2)c1,-0.0,1.0,0.0,0.0,98.51225670918406,0.0,0.0,-0.18316892296587076,0.0,0.0,-0.12606070681603762,0.0,0.0,30.0,0.0,1.0,0.0
30,CC(=O)OC1=C(C#N)Cn2ccc3cccc1c32,-0.0,1.0,1.0,0.0,99.40550059285393,0.0,0.0,-0.18382094361121776,0.0,0.0,-0.12433733119345793,0.0,0.0,30.0,0.0,1.0,0.0
31,CC(=O)c1c(CSc2ccccc2)oc2ccc(O)c(CN(C)C)c12,-0.0,1.0,0.0,0.0,77.53886089521791,0.0,1.0,-0.05286177691280877,0.0,1.0,-0.037234089415718104,0.0,0.0,30.0,1.0,-0.0,1.0
32,CC(=O)c1cc(F)ccc1OCC(=O)N1CCCc2ccccc21,-0.0,1.0,0.0,0.0,97.83482324202025,0.0,0.0,-0.16024993743567212,0.0,0.0,-0.10872262445219495,0.0,0.0,30.0,0.0,1.0,0.0
