,SMILES,False positives,True positives,FP - mvsa,TP - mvsa,Score - mvsa,FP - Catboost_self,TP - Catboost_self,Score - Catboost_self,FP - Catboost_test,TP - Catboost_test,Score - Catboost_test,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C(=C/c1ccccc1)\CSc1nnc(-c2cccnc2)n1Cc1ccco1,1.0,0.0,0.0,0.0,97.8766077715874,0.0,0.0,-0.3990063867616632,0.0,0.0,-0.031357279598179015,0.0,0.0,24.0,0.0,1.0,0.0
1,C/C(=C\c1ccccc1)C(=O)n1nnc2ccccc21,-0.0,1.0,0.0,1.0,87.40915558934013,0.0,1.0,-0.17520909206043753,0.0,1.0,-0.017590465220040714,0.0,0.0,24.0,0.0,1.0,0.0
2,C/C(=N/NC(=O)CNC(=O)Cc1ccccc1)c1ccc(Cl)cc1,1.0,0.0,0.0,0.0,97.56553179267732,0.0,0.0,-0.4138433589093181,0.0,0.0,-0.025526139089242124,0.0,1.0,32.0,0.0,1.0,0.0
3,C/C(=N/Oc1nc(C)cc(C)n1)c1ccc(Br)cc1,1.0,0.0,0.0,0.0,93.15978745530263,0.0,0.0,-0.41035596194555335,0.0,0.0,-0.028205394577061678,1.0,0.0,16.0,0.0,1.0,0.0
4,C/C(=N\NC(=S)NCc1ccccc1)c1ccc(C#N)cc1,1.0,0.0,0.0,0.0,98.73676255559782,1.0,0.0,-0.4164250747628841,0.0,0.0,-0.02781993540958829,0.0,0.0,22.0,0.0,1.0,0.0
5,C/C(=N\NC(=S)NCc1ccccc1)c1ccc(Cl)cc1,1.0,0.0,0.0,0.0,91.97930393669984,1.0,0.0,-0.4161134143980174,0.0,0.0,-0.025969240289188286,0.0,0.0,23.0,0.0,1.0,0.0
6,C/C(=N\OC(=O)C1CC1)C1CC1c1ccc(F)cc1,1.0,0.0,0.0,0.0,99.15630861544447,0.0,0.0,-0.41065706541833835,0.0,0.0,-0.027593718210288914,0.0,0.0,21.0,0.0,1.0,0.0
7,C/C(=N\OC(=O)NC(C)C)c1sc(-c2ccc(Cl)cc2)nc1C,1.0,0.0,0.0,0.0,98.32775394250689,0.0,0.0,-0.4112126236901888,0.0,0.0,-0.026051022228810915,0.0,0.0,23.0,0.0,1.0,0.0
8,C/C(CC(=O)NCCCN1CCOCC1)=N\NC(=O)COc1ccc(C)cc1,1.0,0.0,0.0,0.0,96.87418371423145,0.0,0.0,-0.411629497197734,0.0,0.0,-0.029444402617345322,0.0,0.0,19.0,0.0,1.0,0.0
9,C/C(Cc1ccccc1)=N\NC(=O)CNC(=O)c1ccc(Cl)cc1Cl,1.0,0.0,0.0,0.0,98.80238007099607,0.0,0.0,-0.40316312186378217,0.0,0.0,-0.024462094146771356,0.0,1.0,31.0,0.0,1.0,0.0
10,C/C(Cc1ccccc1)=N\NC(=O)CNC(=O)c1ccccc1Cl,1.0,0.0,0.0,0.0,97.52437773441373,0.0,0.0,-0.4049750487872103,0.0,0.0,-0.026685371528055144,0.0,0.0,19.0,0.0,1.0,0.0
11,C1=C(c2ccccc2)CCN(c2nc3ccccc3n3cnnc23)C1,1.0,0.0,0.0,0.0,98.7303634504757,1.0,0.0,-0.41469494293891124,0.0,0.0,-0.030255665952080325,1.0,0.0,16.0,0.0,1.0,0.0
