,SMILES,False positives,True positives,FP - mvsa,TP - mvsa,Score - mvsa,FP - Catboost_self,TP - Catboost_self,Score - Catboost_self,FP - Catboost_test,TP - Catboost_test,Score - Catboost_test,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc2c(c1)C(OC1CN3CCC1CC3)c1ccccc1CS2,-0.0,1.0,0.0,0.0,98.2706853957233,0.0,0.0,-0.18784663091956366,0.0,0.0,-0.14350685114262005,0.0,0.0,23.0,0.0,1.0,0.0
1,C#CCNc1c(C)c(C)nc2ncnn12,-0.0,1.0,0.0,0.0,94.88637360224787,0.0,0.0,-0.19031443084157998,0.0,0.0,-0.14279398470410373,1.0,0.0,5.0,0.0,1.0,0.0
2,C#CCNc1c2c(nc3ncnn13)CC(C)CC2,-0.0,1.0,0.0,0.0,96.99220979741902,0.0,0.0,-0.1796899100287059,0.0,0.0,-0.14103654632306203,0.0,0.0,9.0,0.0,1.0,0.0
3,C#CCOC(=O)Nc1cccn(Cc2c(Cl)cccc2Cl)c1=O,1.0,0.0,0.0,0.0,99.1859728775279,0.0,0.0,-0.1902391512206004,1.0,0.0,-0.15717443768448316,1.0,0.0,6.0,0.0,1.0,0.0
4,C#CC[N+](CC)(CC)CC#Cc1ccccc1,-0.0,1.0,0.0,1.0,64.4180445266248,0.0,0.0,-0.1925161371689454,0.0,0.0,-0.14753219050630223,0.0,0.0,35.0,0.0,1.0,0.0
5,C#CC[N+]1(CC#Cc2ccc(C)cc2)CCCCC1,-0.0,1.0,0.0,1.0,69.64987051643612,1.0,0.0,-0.193848042209845,0.0,0.0,-0.15159043354077018,0.0,0.0,28.0,0.0,1.0,0.0
6,C#CC[N+]1(CC#Cc2cccc(C)c2)CCCCC1,-0.0,1.0,0.0,1.0,71.31368362120814,1.0,0.0,-0.1940930891539654,0.0,0.0,-0.15460403211446358,0.0,0.0,26.0,0.0,1.0,0.0
7,C#CC[N+]1(CC#Cc2ccccc2)CCCCC1,1.0,0.0,0.0,1.0,77.7551373158311,1.0,0.0,-0.19414865756522734,0.0,0.0,-0.1508466352587321,0.0,1.0,49.0,0.0,1.0,0.0
8,C/C(=N/NC(=O)c1cc(Cl)ccc1O)C12CC3CC(CC(C3)C1)C2,-0.0,1.0,0.0,0.0,96.3457167460537,0.0,0.0,-0.1891262702333537,0.0,0.0,-0.14465358279827856,0.0,0.0,33.0,0.0,1.0,0.0
9,C/C(=N\N=C(N)N)c1ccc(Cl)cc1,-0.0,1.0,0.0,1.0,79.65963302879899,0.0,0.0,-0.1892193586983308,0.0,0.0,-0.14999705865189875,0.0,1.0,51.0,0.0,1.0,0.0
10,C/C(=N\N=C(N)N)c1ccc(Cl)cc1Cl,-0.0,1.0,0.0,0.0,90.30701202261832,0.0,0.0,-0.1748502502802622,0.0,0.0,-0.138464661647647,0.0,0.0,32.0,0.0,1.0,0.0
11,C/C(=N\N=C(N)N)c1ccccc1,-0.0,1.0,0.0,0.0,85.81946984458338,0.0,0.0,-0.18790728933552656,0.0,0.0,-0.1444501901274541,0.0,1.0,51.0,0.0,1.0,0.0
12,C/C(=N\NC(=O)c1ccccc1O)C1C(=O)c2ccccc2C1=O,-0.0,1.0,0.0,0.0,97.60044835728696,0.0,0.0,-0.19253391483682888,0.0,0.0,-0.1467076210969248,1.0,0.0,6.0,1.0,-0.0,1.0
13,C/C(=N\NC(=O)c1ccoc1C)c1cccc2ccccc12,1.0,0.0,0.0,0.0,99.10510908681113,1.0,0.0,-0.19319581238122255,0.0,0.0,-0.15114462902329082,0.0,0.0,33.0,0.0,1.0,0.0
