,SMILES,False positives,True positives,FP - DVRL,TP - DVRL,Score - DVRL,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1cc2ccccc2[n+](Cc2ccccc2)c1,1.0,0.0,0.0,0.0,0.3562421202659607,0.0,1.0,37.0,0.0,1.0,0.0
1,Brc1cccc(-c2nnc(SCc3nc4ccccc4[nH]3)o2)c1,1.0,0.0,0.0,0.0,0.3410900831222534,0.0,0.0,29.0,0.0,1.0,0.0
2,C#Cc1ccc2c(c1)COc1c3ccccc3nn1-2,-0.0,1.0,0.0,0.0,0.38540104031562805,0.0,0.0,31.0,0.0,1.0,0.0
3,C/C(=C\C(=O)c1ccncc1)Nc1ccccc1O,1.0,0.0,0.0,0.0,0.3532843291759491,0.0,0.0,33.0,0.0,1.0,0.0
4,C/C(=N/NC(=O)CN1CCN(Cc2ccccc2)CC1)c1ccc([N+](=O)[O-])cc1,1.0,0.0,1.0,0.0,0.30879148840904236,0.0,0.0,28.0,0.0,1.0,0.0
5,C/C(=N/NC(=O)CNC(=O)c1cccnc1)c1ccc([N+](=O)[O-])cc1,1.0,0.0,1.0,0.0,0.3077767491340637,0.0,0.0,33.0,0.0,1.0,0.0
6,C/C(=N\NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)c1ccco1,-0.0,1.0,0.0,0.0,0.3381686210632324,0.0,0.0,29.0,0.0,1.0,0.0
7,C/C(=N\NC(=O)c1nnn(-c2nonc2N)c1CN(C)c1ccccc1)c1cccs1,-0.0,1.0,1.0,0.0,0.30358272790908813,0.0,0.0,19.0,0.0,1.0,0.0
8,C/C(=N\Nc1cccc([N+](=O)[O-])c1)c1ccccc1O,1.0,0.0,1.0,0.0,0.30571988224983215,0.0,0.0,28.0,1.0,-0.0,1.0
9,C/C(=N\Nc1nnc2c3ccccc3n(C)c2n1)c1ccc(C)o1,-0.0,1.0,1.0,0.0,0.3063073456287384,0.0,1.0,34.0,0.0,1.0,0.0
10,C/C(N)=C(/C#N)C(=O)COC(=O)c1cc(-c2ccc(C)cc2)nc2ccccc12,1.0,0.0,0.0,0.0,0.40552738308906555,0.0,0.0,32.0,0.0,1.0,0.0
11,C/C=N/NC(=O)c1cc(Br)ccc1O,1.0,0.0,1.0,0.0,0.3069554269313812,0.0,0.0,28.0,0.0,1.0,0.0
12,C/[N+]([O-])=C1\Cc2ccccc2C1=O,1.0,0.0,1.0,0.0,0.308046817779541,0.0,1.0,38.0,1.0,-0.0,1.0
13,C=C(C)C(COc1c2occc2cc2ccc(=O)oc12)OC(C)(C)C(O)COc1c2occc2cc2ccc(=O)oc12,-0.0,1.0,0.0,0.0,0.3331839442253113,0.0,0.0,31.0,0.0,1.0,0.0
14,C=CCN1C(=O)/C(=C/c2ccc(O)c(OC)c2)S/C1=N/c1nccs1,-0.0,1.0,0.0,0.0,0.35958823561668396,0.0,0.0,32.0,0.0,1.0,0.0
15,C=CCNC(=O)CCC(=O)NNc1nc2ccccc2c2nc(-c3ccccc3)nn12,-0.0,1.0,0.0,0.0,0.3854263126850128,0.0,0.0,31.0,0.0,1.0,0.0
16,C=CCNC(=S)N/N=C(\C)c1cccnc1,1.0,0.0,0.0,0.0,0.3305460214614868,0.0,1.0,38.0,0.0,1.0,0.0
17,C=CCNc1nnc(Sc2ncccc2[N+](=O)[O-])s1,1.0,0.0,0.0,0.0,0.3497668504714966,0.0,0.0,33.0,0.0,1.0,0.0
18,C=CCNc1oc(-c2cccc3ccccc23)nc1C#N,-0.0,1.0,0.0,0.0,0.39733514189720154,0.0,0.0,25.0,0.0,1.0,0.0
19,C=CCNc1sc(C(=O)c2ccccc2)c(N)c1-c1nc2ccccc2s1,1.0,0.0,0.0,0.0,0.4049355685710907,0.0,1.0,34.0,0.0,1.0,0.0
20,C=CCOc1ccc(CNc2ccc3[nH]c(=O)[nH]c3c2)cc1OCC,1.0,0.0,0.0,0.0,0.36821383237838745,0.0,1.0,41.0,1.0,-0.0,1.0
21,C=CCOn1c(=O)c(-c2ccc(OC)cc2)[n+]([O-])c2ccccc21,1.0,0.0,0.0,0.0,0.31736308336257935,0.0,1.0,36.0,1.0,-0.0,1.0
22,C=CCOn1c(=O)c(-c2ccccc2)[n+]([O-])c2ccccc21,1.0,0.0,0.0,0.0,0.32205939292907715,0.0,1.0,45.0,1.0,-0.0,1.0
23,C=CCSC1=C(C#N)C(c2ccccc2Cl)C(C(=O)c2cccs2)C(O)(C(F)(F)F)N1,-0.0,1.0,0.0,1.0,0.4221174418926239,0.0,1.0,38.0,0.0,1.0,0.0
24,C=CCSc1nnc2c(n1)OC(c1cccnc1)Nc1ccccc1-2,1.0,0.0,0.0,0.0,0.39758720993995667,0.0,0.0,28.0,0.0,1.0,0.0
25,C=CCn1c(=N)c(C#N)cc2c(=O)n3ccccc3nc21,-0.0,1.0,1.0,0.0,0.3029780983924866,0.0,1.0,37.0,0.0,1.0,0.0
26,C=CCn1c(SCC(=O)Nc2cc3oc4ccccc4c3cc2OC)nnc1-c1cnccn1,-0.0,1.0,0.0,0.0,0.3561258018016815,0.0,0.0,33.0,0.0,1.0,0.0
27,C=CCn1c(SCC(=O)Nc2nc3ccccc3s2)nnc1-c1ccccc1O,-0.0,1.0,0.0,0.0,0.37576109170913696,0.0,0.0,19.0,0.0,1.0,0.0
28,C=CCn1c(SCc2ccc(C(=O)Nc3nccs3)cc2)nnc1-c1ccc(C)c(Cl)c1,-0.0,1.0,0.0,0.0,0.3406428098678589,0.0,0.0,29.0,0.0,1.0,0.0
29,C=CCn1c(SCc2ccccc2C#N)nnc1-c1cc(Br)ccc1O,1.0,0.0,0.0,0.0,0.32995668053627014,0.0,0.0,19.0,0.0,1.0,0.0
30,C=CCn1c(SCc2csc(-c3ccc(Cl)cc3)n2)nnc1-c1ccccc1OC,-0.0,1.0,0.0,0.0,0.37020641565322876,0.0,0.0,29.0,0.0,1.0,0.0
31,C=CCn1c2ccccc2c(=O)c2cc(C#Cc3cc(OC)cc(OC)c3)ccc21,-0.0,1.0,0.0,0.0,0.3490205407142639,0.0,0.0,17.0,0.0,1.0,0.0
32,C=CCn1c2ccccc2c(=O)c2cc(C#Cc3ccccn3)ccc21,-0.0,1.0,0.0,0.0,0.3160095810890198,0.0,1.0,38.0,0.0,1.0,0.0
33,C=CCn1cc(/C=C/c2cc[n+](C)cc2)c2ccccc21,1.0,0.0,0.0,0.0,0.36489203572273254,0.0,0.0,32.0,0.0,1.0,0.0
34,C=Cn1ccnc1P(=S)(c1c(C)nn(-c2ccccc2)c1C)c1nccn1C=C,-0.0,1.0,0.0,0.0,0.3675973415374756,0.0,1.0,34.0,0.0,1.0,0.0
35,CC(/C=N/NC(=O)c1cc(-c2cccs2)[nH]n1)=C\c1ccccc1,-0.0,1.0,0.0,0.0,0.32006514072418213,0.0,0.0,32.0,0.0,1.0,0.0
36,CC(=C/c1ccccc1)/C=C1/SC(N2CCOCC2)=NC1=O,-0.0,1.0,0.0,0.0,0.39969033002853394,0.0,1.0,40.0,1.0,-0.0,1.0
37,CC(=O)Cc1nsc(NC(=O)c2ccc(-c3ccccc3Cl)o2)n1,1.0,0.0,0.0,0.0,0.3559456169605255,0.0,0.0,29.0,0.0,1.0,0.0
38,CC(=O)N(/N=C1\Sc2ccccc2C1=O)c1cccc(C)c1,1.0,0.0,0.0,0.0,0.32397255301475525,0.0,1.0,39.0,1.0,-0.0,1.0
39,CC(=O)N(/N=C1\Sc2ccccc2C1=O)c1ccccc1C,1.0,0.0,0.0,0.0,0.32365286350250244,0.0,1.0,38.0,1.0,-0.0,1.0
40,CC(=O)N(C(C)=O)N1C(=O)c2cccc3c(N4CCOCC4)ccc(c23)C1=O,1.0,0.0,0.0,0.0,0.4071527123451233,0.0,1.0,43.0,0.0,1.0,0.0
41,CC(=O)N(C)C1=C(O)c2ccccc2C(=O)C1=O,1.0,0.0,0.0,1.0,0.4226827621459961,0.0,0.0,30.0,1.0,-0.0,1.0
42,CC(=O)N/N=C/c1cc2c(cc1[N+](=O)[O-])OCO2,1.0,0.0,0.0,0.0,0.3724243938922882,0.0,1.0,36.0,0.0,1.0,0.0
43,CC(=O)N1C(=O)c2cccc3cccc(c23)C(=O)N1C(C)=O,1.0,0.0,0.0,0.0,0.33376818895339966,0.0,1.0,42.0,0.0,1.0,0.0
44,CC(=O)N1CCN(c2ccc(C(N)=O)cc2[N+](=O)[O-])CC1,1.0,0.0,0.0,0.0,0.3803649842739105,0.0,0.0,30.0,0.0,1.0,0.0
45,CC(=O)N1CCN(c2ccc([N+](=O)[O-])cc2C#N)CC1,1.0,0.0,0.0,0.0,0.3187461793422699,0.0,1.0,37.0,1.0,-0.0,1.0
46,CC(=O)N1CCn2c3c(c(=O)c4cc(C)ccc42)CCC31,1.0,0.0,0.0,0.0,0.3504459261894226,0.0,0.0,30.0,0.0,1.0,0.0
