,SMILES,False positives,True positives,FP - DVRL,TP - DVRL,Score - DVRL,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H](N)CO)nn3)CC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H](N)CC(C)C)nn3)CC2)n1,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,7.634434149045692,0.0,1.0,0.0
1,C/C(=N\NC(=S)NCCc1ccccc1)c1ccc(O)cc1O,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,6.660331036667458,1.0,-0.0,1.0
2,C/C(=N\NC(=S)NCCc1ccccc1)c1cccc(Br)c1,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,6.200997861724876,0.0,1.0,0.0
3,C/C(=N\NC(=S)Nc1cccc(C)c1)c1cc2ccccc2o1,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,8.941157836382356,0.0,1.0,0.0
4,C/C(=N\NC(=S)Nc1cccc(C)c1)c1ccccc1,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,6.288112774213986,0.0,1.0,0.0
5,C/C(O)=c1/c(=O)nc2cccc3c2=c1c1ccccc1c3=O,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,12.013938385998255,0.0,1.0,0.0
6,C1CC2CN(c3nc4nonc4nc3N3CCSCC3)CCN2C1,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,1.0,15.799477310525065,0.0,1.0,0.0
7,C=CCN(CC=C)C(=S)Nc1ccc2nsnc2c1,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,1.0,15.767799160529025,0.0,1.0,0.0
8,C=CCN1C(=O)/C(=C2/Sc3ccccc3N2CCCS(=O)(=O)O)SC1=S.c1ccncc1,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,7.737388136532826,1.0,-0.0,1.0
9,C=CCN1C(=O)/C(=C\c2ccc(Cl)cc2)N=C1SCC(=O)NC1CCCCC1,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,6.85831947414271,0.0,1.0,0.0
10,C=CCNC(=S)N/N=C(\C)c1cccc(OC)c1,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,6.422744911697159,0.0,1.0,0.0
11,C=CCNC(=S)NS(=O)(=O)c1cccs1,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,9.97861724875267,0.0,1.0,0.0
12,C=CCSC1=C(C#N)C(c2ccccc2OCC)C(C#N)C(=O)N1,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,7.365169874079354,1.0,-0.0,1.0
13,C=CCSc1nc2c(c(=O)[nH]c(=O)n2C)n1C(C)C,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,7.515641086560542,0.0,1.0,0.0
14,C=CCn1c(N)c(C(=O)OCC)sc1=S,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,13.352340223330955,0.0,1.0,0.0
15,C=CCn1c(O)c(N=NC(=S)Nc2ccccc2F)c2cc(S(=O)(=O)N3CCOCC3)ccc21,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,7.8086639740239185,1.0,-0.0,1.0
16,C=CCn1c(O)c(N=NC(=S)Nc2ccccc2F)c2ccccc21,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,5.741664686782288,1.0,-0.0,1.0
17,C=CCn1c(SCC(=O)c2cc(C)n(C(C)COC)c2C)nc2sc(C)c(C)c2c1=O,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,6.430664449196168,0.0,1.0,0.0
18,CC(=O)/C=C1/SC=C(c2ccccc2)N1c1ccccc1,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,8.71149124891106,0.0,1.0,0.0
19,CC(=O)C(Sc1nccc(-c2cccs2)n1)C(C)=O,1.0,0.0,1.0,1.0,0.5345055460929871,1.0,0.0,3.650906787043639,0.0,1.0,0.0
20,CC(=O)C1=C(O)C(=O)N(C)C1c1ccccc1[N+](=O)[O-],1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,5.828779599271405,0.0,1.0,0.0
21,CC(=O)N1C(=O)/C(=C2\SC(=S)N(c3c(C)n(C)n(-c4ccccc4)c3=O)C2=O)c2ccccc21,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,12.46535202344183,1.0,-0.0,1.0
22,CC(=O)N1CCN(c2ccc(NC(=S)NC(=O)COc3ccc(C(C)(C)C)cc3)cc2)CC1,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,9.62223806129722,1.0,-0.0,1.0
23,CC(=O)NC(SC(=S)N(C)C)C(Cl)(Cl)Cl,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,10.137007998732871,0.0,1.0,0.0
24,CC(=O)NCCN=C(C)c1sc2ccccc2c1O,1.0,0.0,1.0,1.0,0.5345055460929871,1.0,0.0,2.8035162746495623,1.0,-0.0,1.0
25,CC(=O)NNC(=O)CN1C(=O)/C(=C/c2ccccc2)SC1=S,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,1.0,14.643224835669594,1.0,-0.0,1.0
26,CC(=O)Nc1c(Nc2ccccc2)c2ccccc2oc1=O,1.0,0.0,1.0,1.0,0.5345055460929871,0.0,0.0,12.330719885958656,0.0,1.0,0.0
