,SMILES,False positives,True positives,FP - DVRL,TP - DVRL,Score - DVRL,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(CNc2ccc3ncccc3c2)cc1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,39.0,0.0,1.0,0.0
1,Brc1ccc(Cn2c(-c3ccc(Br)o3)nc3ccccc32)o1,-0.0,1.0,1.0,1.0,1.0,1.0,0.0,30.0,0.0,1.0,0.0
2,C#CC(=O)N(c1cc(OC)ccc1OC)C(C(=O)NC1CCCC1)c1cccs1,-0.0,1.0,1.0,1.0,1.0,1.0,0.0,31.0,0.0,1.0,0.0
3,C#CCOC(=O)c1ccccc1C(=O)n1nnc2ccccc21,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,51.0,0.0,1.0,0.0
4,C#CCOc1ccc(/C=C2/C(=O)N(c3cccc(C(=O)O)c3)N=C2C)cc1OC,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,71.0,1.0,-0.0,1.0
5,C(=N/Nc1nncc2ccccc12)\c1ccccn1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,38.0,0.0,1.0,0.0
6,C/C(=C/CCC(C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3)C(=O)O,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,42.0,0.0,1.0,0.0
7,C/C(=C\c1ccco1)C1C(C#N)=C(N)Oc2n[nH]c(-c3ccccc3)c21,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,77.0,0.0,1.0,0.0
8,C/C(=N/NC(=O)Cc1cc(=O)[nH][nH]1)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,1.0,1.0,1.0,0.0,1.0,84.0,0.0,1.0,0.0
9,C/C(=N\NC(=O)CC#N)c1cc2ccccc2oc1=O,-0.0,1.0,1.0,1.0,1.0,0.0,1.0,86.0,0.0,1.0,0.0
10,C/C(=N\NC(=O)Cc1cc(=O)[nH][nH]1)c1cccc([N+](=O)[O-])c1,-0.0,1.0,1.0,1.0,1.0,0.0,1.0,88.0,0.0,1.0,0.0
11,C/C(CC(=O)N1CCN(C=O)CC1)=N\NC(=O)c1cccc([N+](=O)[O-])c1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,71.0,0.0,1.0,0.0
12,C/C(CC(=O)NCc1ccco1)=N\NC(=O)c1ccc([N+](=O)[O-])cc1Cl,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,69.0,0.0,1.0,0.0
13,C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)C(=O)NC(C)C,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,64.0,0.0,1.0,0.0
14,C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1ccc(C)cc1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,62.0,0.0,1.0,0.0
15,C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1cccc(C)c1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,70.0,0.0,1.0,0.0
16,C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1cccc(F)c1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,43.0,0.0,1.0,0.0
17,C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1ccccc1C,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,50.0,0.0,1.0,0.0
18,C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1ccncc1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,75.0,0.0,1.0,0.0
19,C/C(CC(=O)Nc1ccc(Cl)cn1)=N\NC(=O)Cc1cccs1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,62.0,0.0,1.0,0.0
20,C/C(CC(=O)Nc1ccc(F)cc1)=N\NC(=O)COc1ccccc1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,66.0,0.0,1.0,0.0
21,C/C(CC(=O)Nc1ccc(F)cc1F)=N\NC(=O)C(=O)N1CCCCC1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,78.0,0.0,1.0,0.0
22,C/C(CC(=O)Nc1ccccc1[N+](=O)[O-])=N\NC(=O)COc1ccccc1C,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,69.0,0.0,1.0,0.0
23,C/C(CC(=O)Nc1ccccn1)=N\NC(=O)Cc1cccc2ccccc12,-0.0,1.0,1.0,1.0,1.0,0.0,1.0,87.0,0.0,1.0,0.0
24,C/C(CC(=O)Nc1ccccn1)=N\NC(=O)c1ccc(C)cc1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,47.0,0.0,1.0,0.0
25,C/C(CC(=O)Nc1ccccn1)=N\NC(=O)c1cccc(C)c1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,41.0,0.0,1.0,0.0
26,C/C(CC(=O)Nc1ccccn1)=N\NC(=O)c1ccncc1,-0.0,1.0,1.0,1.0,1.0,0.0,1.0,85.0,0.0,1.0,0.0
27,C/C(CC(=O)Nc1cccnc1)=N\NC(=O)c1ccc([N+](=O)[O-])c(Cl)c1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,61.0,0.0,1.0,0.0
28,C=C(C)C(=O)NC1=NN(c2ccccc2)C(=O)C1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,73.0,1.0,-0.0,1.0
29,C=C(C)CNC(=S)N=Nc1c(O)[nH]c2ccc([N+](=O)[O-])cc12,1.0,0.0,1.0,1.0,1.0,0.0,0.0,33.0,1.0,-0.0,1.0
30,C=C1C(=O)O[C@@H]2C[C@@H](C)[C@@H]3C=CC(=O)[C@@]3(C)[C@@H](OC(=O)CC(=O)O[C@H]3[C@@H]4C(=C)C(=O)O[C@@H]4C[C@@H](C)[C@@H]4C=CC(=O)[C@]43C)[C@H]12,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,33.0,0.0,1.0,0.0
31,C=CCN1C(=O)NC(c2ccc(OC)cc2)(C(F)(F)F)S/C1=C(\C#N)c1nnc(N2CCOCC2)n1-c1ccccc1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,43.0,0.0,1.0,0.0
32,C=CCNC1=C(Cl)C(=O)c2ccccc2C1=O,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,34.0,1.0,-0.0,1.0
33,C=CCOC(=O)C1=C(C)NC(=O)NC1c1ccc(OC(=O)c2ccco2)c(OC)c1,-0.0,1.0,1.0,1.0,1.0,1.0,0.0,31.0,0.0,1.0,0.0
34,C=CCOc1ccccc1CN(C(=O)CCl)c1ccc2c(c1)OCO2,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,81.0,0.0,1.0,0.0
35,C=CCSC(=C(C#N)C#N)c1cc2c([nH]1)CCCC2,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,70.0,0.0,1.0,0.0
36,C=CCn1c(-c2cccnc2Cl)nc2ccccc21,1.0,0.0,1.0,1.0,1.0,0.0,1.0,85.0,0.0,1.0,0.0
37,C=CCn1c(N)c(C(=O)Nc2cccc(C)c2)c2nc3ccccc3nc21,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,34.0,0.0,1.0,0.0
38,C=CCn1c(NC(=O)c2ccc(Br)o2)c(S(=O)(=O)c2ccccc2)c2nc3ccccc3nc21,1.0,0.0,1.0,1.0,1.0,0.0,0.0,46.0,0.0,1.0,0.0
39,C=COC(=O)CSc1snc(SCC(=O)OC)c1C#N,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,33.0,0.0,1.0,0.0
40,C=CS(=O)c1sc(Cl)c(N2CCOCC2)c1[N+](=O)[O-],-0.0,1.0,1.0,1.0,1.0,0.0,0.0,34.0,0.0,1.0,0.0
41,C=CSc1sc(Cl)c(N2CCOCC2)c1[N+](=O)[O-],-0.0,1.0,1.0,1.0,1.0,1.0,0.0,30.0,0.0,1.0,0.0
42,CC(/C=C1\SC(=S)N(NC(=O)c2cccc(O)c2)C1=O)=C\c1ccccc1,-0.0,1.0,1.0,1.0,1.0,1.0,0.0,31.0,1.0,-0.0,1.0
43,CC(/C=N/NC(=O)Cc1cc(=O)[nH][nH]1)=C\c1ccccc1,-0.0,1.0,1.0,1.0,1.0,0.0,1.0,89.0,0.0,1.0,0.0
44,CC(=O)C(=Nc1ccc(Cl)cc1Cl)NNc1cccc(Cl)c1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,34.0,0.0,1.0,0.0
45,CC(=O)C(Sc1ncnc2c1nnn2-c1ccc(F)cc1)C(=O)N(C)C,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,40.0,0.0,1.0,0.0
46,CC(=O)C12CC(C)=C(C)CC1CC1C3CCC4=CC(=O)CCC4(C)C3CCC12C,1.0,0.0,1.0,1.0,1.0,0.0,0.0,36.0,0.0,1.0,0.0
47,CC(=O)C1=C(c2ccc(Br)cc2)C(=O)c2ccccc2C1=O,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,58.0,1.0,-0.0,1.0
48,CC(=O)N(C)C1=C(N2CCOCC2)C(=O)c2ccccc2C1=O,-0.0,1.0,1.0,1.0,1.0,1.0,0.0,32.0,1.0,-0.0,1.0
49,CC(=O)N(C)Cc1ccc(C(=O)CCl)cc1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,37.0,0.0,1.0,0.0
50,CC(=O)N(C1=C(N)C(=O)c2ccccc2C1=O)c1ccccc1,-0.0,1.0,1.0,1.0,1.0,0.0,1.0,87.0,1.0,-0.0,1.0
51,CC(=O)N(C1=C(N2CCOCC2)C(=O)c2ccccc2C1=O)c1ccc(C(=O)O)cc1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,61.0,1.0,-0.0,1.0
52,CC(=O)N(C1CC(C)C(C#N)(C#N)C1(C#N)C#N)N(C)C,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,81.0,1.0,-0.0,1.0
53,CC(=O)N(CCC(Cc1ccccc1)c1ccc2c(c1)OCO2)Cc1ccccc1F,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,36.0,0.0,1.0,0.0
54,CC(=O)N(Cc1ccc(F)cc1)C1=C(NCCc2ccccc2)C(=O)c2ccccc2C1=O,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,78.0,1.0,-0.0,1.0
55,CC(=O)N(Cc1ccc(F)cc1)C1=C(NCc2ccccc2)C(=O)c2ccccc2C1=O,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,77.0,1.0,-0.0,1.0
56,CC(=O)N(c1ccccc1)C(C)c1nc(C#N)c(C#N)nc1C,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,62.0,0.0,1.0,0.0
57,CC(=O)N1C(=O)C2(C(C#N)=C(N)Oc3c2c(C)nn3-c2ccccc2)c2ccccc21,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,55.0,0.0,1.0,0.0
58,CC(=O)N1CC2(c3ccccc3)CN(C(C)=O)CC(c3ccccc3)(C1)C2=O,1.0,0.0,1.0,1.0,1.0,0.0,0.0,62.0,0.0,1.0,0.0
59,CC(=O)N1CCC2(CC1)C(C#N)=C(N)Oc1n[nH]c(C)c12,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,79.0,0.0,1.0,0.0
60,CC(=O)N1CCC2(CC1)C(C#N)=C(N)Oc1n[nH]c(CSc3ccc(C)cc3)c12,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,74.0,0.0,1.0,0.0
61,CC(=O)NC(=S)c1c(N)n(Cc2ccccc2)c(=O)n(C)c1=O,1.0,0.0,1.0,1.0,1.0,0.0,0.0,33.0,0.0,1.0,0.0
62,CC(=O)NC(c1ccc(Cl)cc1)c1c(O)ccc2ccc(O)cc12,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,59.0,1.0,-0.0,1.0
63,CC(=O)NC1=C(Nc2ccc(N(C)C)cc2)C(=O)c2ccccc2C1=O,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,76.0,1.0,-0.0,1.0
64,CC(=O)NC1=NN(c2ccccc2)C(=O)C1,-0.0,1.0,1.0,1.0,1.0,0.0,1.0,82.0,1.0,-0.0,1.0
65,CC(=O)NC1C(=O)N(CCN2CCOCC2)c2ccc(Br)cc21,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,51.0,0.0,1.0,0.0
66,CC(=O)NC1C(=O)N(CCN2CCOCC2)c2ccc(C)cc21,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,65.0,0.0,1.0,0.0
67,CC(=O)NC1C(=O)N(CCN2CCOCC2)c2ccc(Cl)cc21,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,46.0,0.0,1.0,0.0
68,CC(=O)NC1C(=O)N(CCN2CCOCC2)c2ccc(F)cc21,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,41.0,0.0,1.0,0.0
69,CC(=O)NC1N=C(C)N(c2ccccc2)C1=O,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,52.0,0.0,1.0,0.0
70,CC(=O)NCCn1c(SCC(=O)NCc2ccco2)nc2ccccc2c1=O,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,67.0,0.0,1.0,0.0
71,CC(=O)NCCn1c(SCc2ccccc2C)nc2ccccc2c1=O,-0.0,1.0,1.0,1.0,1.0,1.0,0.0,32.0,0.0,1.0,0.0
72,CC(=O)Nc1cc(OC(=O)c2ccco2)cc(OC(=O)c2ccco2)c1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,54.0,0.0,1.0,0.0
73,CC(=O)Nc1ccc(C(=O)NCc2cccnc2)cc1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,40.0,0.0,1.0,0.0
74,CC(=O)Nc1ccc(NC(=O)CSc2ncc(C(=O)Nc3ccc(F)cc3)c(=O)n2C)cc1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,32.0,0.0,1.0,0.0
75,CC(=O)Nc1ccc(NC(=O)CSc2ncc(C(=O)Nc3ccccc3)c(=O)n2C)cc1,-0.0,1.0,1.0,1.0,1.0,1.0,0.0,31.0,0.0,1.0,0.0
76,CC(=O)Nc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)cc1,-0.0,1.0,1.0,1.0,1.0,1.0,0.0,31.0,0.0,1.0,0.0
77,CC(=O)Nc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)cc1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,40.0,0.0,1.0,0.0
78,CC(=O)Nc1ccc(OC(=O)c2ccco2)cc1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,33.0,0.0,1.0,0.0
79,CC(=O)Nc1ccc(S(=O)(=O)/N=C2\C(=O)c3ccccc3C([O-])=C2n2cc[n+](-c3ccccn3)c2)cc1,-0.0,1.0,1.0,1.0,1.0,0.0,1.0,85.0,1.0,-0.0,1.0
80,CC(=O)Nc1ccc(S(=O)(=O)NC2=C(N3CCN(c4ccc(F)cc4)CC3)C(=O)c3ccccc3C2=O)cc1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,45.0,1.0,-0.0,1.0
81,CC(=O)Nc1cccc(NC(=O)CSc2ncc(C(=O)Nc3ccccc3)c(=O)n2C)c1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,47.0,0.0,1.0,0.0
82,CC(=O)Nc1cccc(OC(=O)COc2ccc(Br)cc2)c1,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,35.0,0.0,1.0,0.0
83,CC(=O)Nc1ccccc1NC(=O)C/C(C)=N/NC(=O)C(=O)N1CCCCC1,-0.0,1.0,1.0,1.0,1.0,0.0,1.0,85.0,0.0,1.0,0.0
84,CC(=O)OCCCNc1cc(SCc2ccco2)c2nonc2c1[N+](=O)[O-],-0.0,1.0,1.0,1.0,1.0,0.0,0.0,78.0,0.0,1.0,0.0
85,CC(=O)OCCN(C)c1cc(SC(C)C)c2nonc2c1[N+](=O)[O-],1.0,0.0,1.0,1.0,1.0,0.0,0.0,34.0,0.0,1.0,0.0
