,SMILES,False positives,True positives,FP - DVRL,TP - DVRL,Score - DVRL,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C/C(=N\N1C(C)CCCC1C)c1ccc(Cl)c([N+](=O)[O-])c1,1.0,0.0,0.0,0.0,0.3516744077205658,0.0,0.0,11.0,0.0,1.0,0.0
1,C/C(=N\NC(=O)CSc1nc2ccccc2c(=O)n1-c1ccccc1C)c1cccs1,1.0,0.0,0.0,0.0,0.3307349383831024,0.0,0.0,11.0,0.0,1.0,0.0
2,C/C(=N\NC(N)=S)c1ccc2c(c1)OCCO2,1.0,0.0,0.0,0.0,0.32872164249420166,0.0,0.0,12.0,0.0,1.0,0.0
3,C/C(=N\Nc1ccc([N+](=O)[O-])cc1)c1cccc(N)c1,1.0,0.0,0.0,0.0,0.3283393085002899,0.0,0.0,15.0,0.0,1.0,0.0
4,C/C(=N\OCC(=O)Nc1nc2ccccc2s1)c1ccccc1,1.0,0.0,0.0,0.0,0.998230516910553,1.0,0.0,10.0,0.0,1.0,0.0
5,C/C(CCc1ccccc1)=N\NC(=O)C1C2CCCCC21,1.0,0.0,0.0,0.0,0.33182820677757263,1.0,0.0,10.0,0.0,1.0,0.0
6,C=C(C)C[C@@]1(C(=O)OCC)C(=O)Oc2ccc3ccccc3c2N1C,1.0,0.0,0.0,0.0,0.39176997542381287,1.0,0.0,10.0,0.0,1.0,0.0
7,C=C1CCN(Cc2ccccc2)S(=O)(=O)c2ccccc21,1.0,0.0,0.0,0.0,0.3374810218811035,0.0,0.0,11.0,0.0,1.0,0.0
8,C=CCN=c1scc(C)n1/N=C/c1ccc(O)c(O)c1,1.0,0.0,0.0,0.0,0.34172728657722473,0.0,0.0,15.0,1.0,-0.0,1.0
9,C=CCNc1n[nH]c(=S)s1,1.0,0.0,0.0,0.0,0.33615636825561523,0.0,0.0,15.0,0.0,1.0,0.0
10,C=CC[C@@H](CC(=O)N(CCO)Cc1ccccc1)C(=O)NC[C@@H](OC(=O)[C@@H](CC=C)CC(=O)OC(C)(C)C)c1ccccc1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,10.0,0.0,1.0,0.0
11,C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1,1.0,0.0,0.0,0.0,0.39135557413101196,0.0,0.0,11.0,0.0,1.0,0.0
12,C=CCn1c(C)cc(C(=O)COC(=O)CCc2cc(OC)c(OC)c(OC)c2)c1C,1.0,0.0,0.0,0.0,0.3289695978164673,0.0,0.0,12.0,0.0,1.0,0.0
13,C=CCn1c(SCC(=O)N2CC(=O)Nc3ccccc32)nc2scc(-c3ccccc3)c2c1=O,1.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,1.0,0.0
14,CC(/C=N/n1c(-c2ccncc2)n[nH]c1=S)=C\c1ccco1,1.0,0.0,0.0,0.0,0.3294452726840973,0.0,1.0,19.0,0.0,1.0,0.0
15,CC(=O)C(Sc1nccc(-c2cccs2)n1)C(C)=O,1.0,0.0,0.0,0.0,0.33036255836486816,0.0,0.0,14.0,0.0,1.0,0.0
16,CC(=O)C1=CCC(c2ccc(C)cc2)N(S(=O)(=O)c2ccc(C)cc2)C1,1.0,0.0,0.0,0.0,0.32917940616607666,0.0,0.0,12.0,0.0,1.0,0.0
17,CC(=O)C1=CCC(c2ccccc2)N(S(=O)(=O)c2ccc(C)cc2)C1,1.0,0.0,0.0,0.0,0.32971566915512085,0.0,0.0,13.0,0.0,1.0,0.0
18,CC(=O)C[C@H]1c2ccccc2S(=O)(=O)N1C1CCCCC1,1.0,0.0,0.0,0.0,0.3288511335849762,0.0,0.0,14.0,0.0,1.0,0.0
19,CC(=O)N(C)C[C@@H]1Oc2cc(/C=C/c3ccccc3)ccc2S(=O)(=O)N([C@H](C)CO)C[C@@H]1C,1.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,1.0,0.0
20,CC(=O)N(c1ccccc1C)S(=O)(=O)c1ccc(Cl)cc1,1.0,0.0,0.0,0.0,0.3284894824028015,1.0,0.0,10.0,0.0,1.0,0.0
21,CC(=O)N/C(=C\c1ccccc1)C(=O)Nc1ccc(O)cc1,1.0,0.0,0.0,0.0,0.33249929547309875,0.0,0.0,13.0,0.0,1.0,0.0
22,CC(=O)N1CCN(c2ccc(S(C)(=O)=O)cc2[N+](=O)[O-])CC1,1.0,0.0,0.0,0.0,0.33371055126190186,1.0,0.0,10.0,0.0,1.0,0.0
23,CC(=O)N1CC[C@@H]2[C@@H](CO)N(C)c3ccc(-c4ccccc4)cc3[C@@H]21,1.0,0.0,0.0,0.0,0.33309122920036316,0.0,0.0,17.0,0.0,1.0,0.0
24,CC(=O)N1CC[C@@H]2[C@@H](CO)Nc3ccc(-c4ccccc4)cc3[C@@H]21,1.0,0.0,0.0,0.0,0.33257392048835754,1.0,0.0,10.0,0.0,1.0,0.0
25,CC(=O)NC(Cc1ccccc1)C(=O)Oc1ccc2ccccc2c1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,10.0,0.0,1.0,0.0
26,CC(=O)Nc1cc(-c2ccc(F)cc2)[nH]n1,1.0,0.0,0.0,0.0,0.39234843850135803,1.0,0.0,10.0,0.0,1.0,0.0
27,CC(=O)Nc1ccc(N(C(=O)c2ccco2)C(C(=O)NC2CCCC2)c2cccs2)cc1,1.0,0.0,0.0,0.0,0.9989238381385803,0.0,0.0,13.0,0.0,1.0,0.0
28,CC(=O)Nc1ccc(NC(=O)Cc2ccc(S(=O)(=O)N3CCCCC3)cc2)cc1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,1.0,0.0
29,CC(=O)Nc1ccc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc3c(c2)OCCO3)cc1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,1.0,0.0
30,CC(=O)Nc1ccc(OC(=O)Oc2ccc(NC(C)=O)cc2)cc1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,1.0,0.0
31,CC(=O)Nc1ccc(S(=O)(=O)N2CCCC(C(=O)O)C2)cc1,1.0,0.0,0.0,0.0,0.32870399951934814,0.0,1.0,18.0,0.0,1.0,0.0
32,CC(=O)Nc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2-n2ccc(=NC(=O)c3ccc(F)cc3)cc2)cc1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,0.0,1.0,0.0
33,CC(=O)Nc1cccc(NC(=O)c2ccc(Br)cc2)c1,1.0,0.0,0.0,0.0,0.3297477960586548,1.0,0.0,10.0,0.0,1.0,0.0
34,CC(=O)Nc1cccc2cc(O)ccc12,1.0,0.0,0.0,0.0,0.40994593501091003,0.0,1.0,21.0,0.0,1.0,0.0
35,CC(=O)Nc1ccccc1O,1.0,0.0,0.0,0.0,0.3976469039916992,0.0,1.0,19.0,0.0,1.0,0.0
36,CC(=O)Nc1cnc(-c2ccccc2O)cn1,-0.0,1.0,0.0,0.0,0.3446628153324127,0.0,0.0,11.0,0.0,1.0,0.0
37,CC(=O)Nc1n[nH]c(=S)s1,1.0,0.0,0.0,0.0,0.32905030250549316,0.0,0.0,17.0,0.0,1.0,0.0
38,CC(=O)Oc1ccc(/C=N/NC(=O)CCSc2ccccc2)cc1,1.0,0.0,0.0,0.0,0.33084240555763245,1.0,0.0,10.0,0.0,1.0,0.0
39,CC(=O)Oc1ccc2nc(/C=C/c3ccccc3)oc(=O)c2c1,1.0,0.0,0.0,0.0,0.3348381519317627,0.0,0.0,12.0,0.0,1.0,0.0
40,CC(=O)c1ccc(NC(=O)CNCC(c2ccccc2)N(C)C)cc1,1.0,0.0,0.0,0.0,0.33040502667427063,0.0,0.0,15.0,0.0,1.0,0.0
41,CC(=O)c1ccc(Nc2ccc(-c3ccccc3F)nn2)cc1,1.0,0.0,0.0,0.0,0.33812037110328674,1.0,0.0,10.0,0.0,1.0,0.0
42,CC(=O)c1cccc(-c2ccnc3c2CC(C(=O)NCc2ccccc2)O3)c1,1.0,0.0,0.0,0.0,0.3353775441646576,1.0,0.0,10.0,0.0,1.0,0.0
43,CC(=O)c1cccc(OCC(=O)c2cc(C)n(-c3cc(C)on3)c2C)c1,1.0,0.0,0.0,0.0,0.3403427302837372,0.0,0.0,16.0,0.0,1.0,0.0
44,CC(C(=O)OCC(=O)c1c(N)n(C)c(=O)n(C)c1=O)N1C(=O)c2ccccc2C1=O,1.0,0.0,1.0,0.0,0.3282542824745178,0.0,0.0,14.0,0.0,1.0,0.0
45,CC(C)(C)C(=O)C1=C(O)C(=O)N(c2ccccc2)C1c1ccccc1,1.0,0.0,0.0,0.0,0.3307326138019562,0.0,1.0,21.0,0.0,1.0,0.0
