,SMILES,False positives,True positives,FP - DVRL,TP - DVRL,Score - DVRL,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(-c2csc(N3CCCCCC3)n2)cc1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,46.0,0.0,1.0,0.0
1,Brc1ccc2ncnc(NCc3ccccc3)c2c1,-0.0,1.0,0.0,0.0,0.5336060523986816,0.0,0.0,60.0,0.0,1.0,0.0
2,Brc1cccc(-c2cnco2)c1,1.0,0.0,0.0,0.0,0.5422448515892029,0.0,0.0,56.0,0.0,1.0,0.0
3,Brc1cccc(CSc2nnc(-c3ccncc3)o2)c1,-0.0,1.0,0.0,0.0,0.5432548522949219,0.0,0.0,71.0,0.0,1.0,0.0
4,C#CCN(C[C@@H]1[C@@H](OC(=O)NCc2ccccc2F)[C@@H](OC(=O)NCc2ccccc2F)Cn2c(=O)ccc(=O)n21)S(=O)(=O)c1ccc(C)cc1,-0.0,1.0,0.0,0.0,0.5540810227394104,0.0,0.0,61.0,0.0,1.0,0.0
5,C#CCn1c(S(=O)(=O)Cc2ccc(F)cc2)nc(-c2ccccc2)c1-c1ccccc1,-0.0,1.0,0.0,0.0,0.5546229481697083,1.0,0.0,43.0,0.0,1.0,0.0
6,C#Cc1cc(N2CCN(C(=O)c3ccoc3)CC2)n2nc(-c3cccc(Cl)c3)cc2n1,-0.0,1.0,0.0,0.0,0.5339682698249817,0.0,0.0,54.0,0.0,1.0,0.0
7,C(=Cc1nc2ccccc2o1)c1ccc2c(c1)OCO2,-0.0,1.0,0.0,0.0,0.527679443359375,1.0,0.0,45.0,0.0,1.0,0.0
8,C(=N/Nc1ccc2ccccc2n1)\c1ccc2c(c1)OCO2,-0.0,1.0,0.0,0.0,0.5282185077667236,1.0,0.0,44.0,0.0,1.0,0.0
9,C(=N/Nc1nc2ccccc2[nH]1)\c1cccc2cccnc12,-0.0,1.0,0.0,0.0,0.5514165759086609,0.0,0.0,71.0,0.0,1.0,0.0
10,C(=N/Nc1nc2ccccc2[nH]1)\c1cccc2nccnc12,-0.0,1.0,0.0,0.0,0.5443718433380127,0.0,0.0,47.0,0.0,1.0,0.0
11,C/C(=N/NC(=O)c1cc(C2CC2)[nH]n1)c1cccs1,-0.0,1.0,0.0,0.0,0.5545845627784729,0.0,0.0,60.0,0.0,1.0,0.0
12,C/C(=N/NC(=O)c1ccc(C(C)(C)C)cc1)c1ccccn1,-0.0,1.0,0.0,0.0,0.5549388527870178,0.0,0.0,47.0,0.0,1.0,0.0
13,C/C(=N\NC(=O)c1cccc(Br)c1)c1ccccn1,1.0,0.0,0.0,0.0,0.5484550595283508,0.0,0.0,71.0,0.0,1.0,0.0
14,C/C(=N\NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)c1cccs1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,58.0,0.0,1.0,0.0
15,C/C(=N\Nc1ccc(C(F)(F)F)cc1[N+](=O)[O-])C(C)C,1.0,0.0,0.0,1.0,0.5560573935508728,0.0,0.0,66.0,0.0,1.0,0.0
16,C=C(C(=O)c1ccccc1)C(CC(=O)c1ccccc1)c1ccccc1,1.0,0.0,0.0,0.0,0.5486612319946289,0.0,0.0,69.0,0.0,1.0,0.0
17,C=CCN1CCN(C(CC(C)C)c2nnnn2CCOC)CC1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,0.0,1.0,0.0
18,C=CCN1CCc2cc(O)c(O)cc2C(c2ccccc2)C1,1.0,0.0,0.0,0.0,0.5309620499610901,0.0,0.0,77.0,1.0,-0.0,1.0
19,C=CCN=C1NN=C(c2cc(C)n(CCOC)c2C)CS1,-0.0,1.0,0.0,1.0,0.5560412406921387,1.0,0.0,45.0,0.0,1.0,0.0
20,C=CCNC(=S)N/N=C(\C)c1ccccn1,-0.0,1.0,0.0,0.0,0.5501307249069214,0.0,0.0,80.0,0.0,1.0,0.0
21,C=CC[N+](C)(C)C/C(Cl)=C(\Cl)c1ccccc1,1.0,0.0,0.0,0.0,0.5364226698875427,0.0,0.0,49.0,0.0,1.0,0.0
22,C=CCn1c(=O)/c(=C/c2ccc(Cl)cc2)s/c1=C(\C#N)c1nnc2n1CCCCC2,-0.0,1.0,0.0,0.0,0.5544729828834534,0.0,0.0,71.0,0.0,1.0,0.0
