,Time - mean,Time - STD,Time - Replicate 1,Time - Replicate 2,Time - Replicate 3,Time - Replicate 4,Time - Replicate 5,Time - Replicate 6,Time - Replicate 7,Time - Replicate 8,Time - Replicate 9,Time - Replicate 10,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,FP Precision@90 - Replicate 1,FP Precision@90 - Replicate 2,FP Precision@90 - Replicate 3,FP Precision@90 - Replicate 4,FP Precision@90 - Replicate 5,FP Precision@90 - Replicate 6,FP Precision@90 - Replicate 7,FP Precision@90 - Replicate 8,FP Precision@90 - Replicate 9,FP Precision@90 - Replicate 10,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,TP Precision@90 - Replicate 1,TP Precision@90 - Replicate 2,TP Precision@90 - Replicate 3,TP Precision@90 - Replicate 4,TP Precision@90 - Replicate 5,TP Precision@90 - Replicate 6,TP Precision@90 - Replicate 7,TP Precision@90 - Replicate 8,TP Precision@90 - Replicate 9,TP Precision@90 - Replicate 10,FP EF10 - mean,FP EF10 - STD,FP EF10 - Replicate 1,FP EF10 - Replicate 2,FP EF10 - Replicate 3,FP EF10 - Replicate 4,FP EF10 - Replicate 5,FP EF10 - Replicate 6,FP EF10 - Replicate 7,FP EF10 - Replicate 8,FP EF10 - Replicate 9,FP EF10 - Replicate 10,TP EF10 - mean,TP EF10 - STD,TP EF10 - Replicate 1,TP EF10 - Replicate 2,TP EF10 - Replicate 3,TP EF10 - Replicate 4,TP EF10 - Replicate 5,TP EF10 - Replicate 6,TP EF10 - Replicate 7,TP EF10 - Replicate 8,TP EF10 - Replicate 9,TP EF10 - Replicate 10,FP BEDROC20 - mean,FP BEDROC20 - STD,FP BEDROC20 - Replicate 1,FP BEDROC20 - Replicate 2,FP BEDROC20 - Replicate 3,FP BEDROC20 - Replicate 4,FP BEDROC20 - Replicate 5,FP BEDROC20 - Replicate 6,FP BEDROC20 - Replicate 7,FP BEDROC20 - Replicate 8,FP BEDROC20 - Replicate 9,FP BEDROC20 - Replicate 10,TP BEDROC20 - mean,TP BEDROC20 - STD,TP BEDROC20 - Replicate 1,TP BEDROC20 - Replicate 2,TP BEDROC20 - Replicate 3,TP BEDROC20 - Replicate 4,TP BEDROC20 - Replicate 5,TP BEDROC20 - Replicate 6,TP BEDROC20 - Replicate 7,TP BEDROC20 - Replicate 8,TP BEDROC20 - Replicate 9,TP BEDROC20 - Replicate 10,FP Scaffold- mean,FP Scaffold - STD,FP Scaffold - Replicate 1,FP Scaffold - Replicate 2,FP Scaffold - Replicate 3,FP Scaffold - Replicate 4,FP Scaffold - Replicate 5,FP Scaffold - Replicate 6,FP Scaffold - Replicate 7,FP Scaffold - Replicate 8,FP Scaffold - Replicate 9,FP Scaffold - Replicate 10,TP Scaffold- mean,TP Scaffold - STD,TP Scaffold - Replicate 1,TP Scaffold - Replicate 2,TP Scaffold - Replicate 3,TP Scaffold - Replicate 4,TP Scaffold - Replicate 5,TP Scaffold - Replicate 6,TP Scaffold - Replicate 7,TP Scaffold - Replicate 8,TP Scaffold - Replicate 9,TP Scaffold - Replicate 10
transcription_5,4.7606587409973145,0.10368707929978106,4.498997211456299,4.838923931121826,4.8810553550720215,4.839219331741333,4.780320882797241,4.829482078552246,4.791665077209473,4.723043918609619,4.713390588760376,4.71048903465271,0.8592233009708737,0.9049359812634149,0.0042678833514270455,0.9017857142857143,0.9017857142857143,0.911504424778761,0.9090909090909091,0.9009009009009009,0.9017857142857143,0.9009009009009009,0.9099099099099099,0.9099099099099099,0.9017857142857143,0.14077669902912626,0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.7775420809884681,0.0036670648213717855,0.7748352981969486,0.7748352981969486,0.7831858407079645,0.7811120917917034,0.7740750459197061,0.7748352981969486,0.7740750459197061,0.7818157963789032,0.7818157963789032,0.7748352981969486,0.016561964591661905,0.0,0.016561964591661905,0.016561964591661905,0.016561964591661905,0.016561964591661905,0.016561964591661905,0.016561964591661905,0.016561964591661905,0.016561964591661905,0.016561964591661905,0.016561964591661905,0.9355246016094819,0.013644665709715996,0.9602096243963932,0.9268485022676439,0.9226035879636737,0.930802729477034,0.9398263988398048,0.9544993701262222,0.9441888525583849,0.930696585484181,0.9324387678505056,0.9131315971309755,0.12216761298421686,0.0012769100146282225,0.12361412542907207,0.12114521990619873,0.12292477169573689,0.12026222696246833,0.12257669295565847,0.12447708218026164,0.1217961907267372,0.12161660386581713,0.12052563376126398,0.12273758235895414,66.59130434782608,0.624393845948391,66.78260869565217,65.91304347826087,68.17391304347827,66.43478260869566,66.95652173913044,66.78260869565217,65.91304347826087,66.43478260869566,66.26086956521739,66.26086956521739,59.808695652173924,0.2744301537053835,59.30434782608695,59.82608695652174,59.65217391304348,60.34782608695652,59.82608695652174,60.0,59.82608695652174,59.82608695652174,60.0,59.47826086956522
channel_atp,1.2271563291549683,0.0386306378978376,1.1130330562591553,1.2418737411499023,1.2463569641113281,1.2462131977081299,1.2237775325775146,1.2329604625701904,1.2372207641601562,1.240220069885254,1.244675636291504,1.2452318668365479,0.4878048780487805,0.6450183150183151,0.015099796828686165,0.6476190476190476,0.6538461538461539,0.6476190476190476,0.6476190476190476,0.6476190476190476,0.638095238095238,0.6476190476190476,0.6285714285714286,0.6761904761904762,0.6153846153846154,0.5121951219512195,0.6817105263157895,0.0215101174595593,0.6947368421052632,0.6875,0.6458333333333334,0.6770833333333334,0.7157894736842105,0.6526315789473685,0.7052631578947368,0.6979166666666666,0.6666666666666666,0.6736842105263158,0.314643080496739,0.0073657545505786135,0.3159117305458769,0.31894934333958724,0.3159117305458769,0.3159117305458769,0.3159117305458769,0.31126596980255516,0.3159117305458769,0.30662020905923343,0.32984901277584205,0.300187617260788,0.34916880616174584,0.01101737723538404,0.3558408215661104,0.35213414634146345,0.3307926829268293,0.3467987804878049,0.36662387676508346,0.3342747111681643,0.36123234916559693,0.35746951219512196,0.3414634146341463,0.34505776636713736,0.6847992673701877,0.011611040472479331,0.7073798436251645,0.6778113352357389,0.6803687779760419,0.6992288306322183,0.6761541598758788,0.6745792830276612,0.6947710703808048,0.6759859659335108,0.6901900506063722,0.6715233564084867,0.6996855653343009,0.01917686522409434,0.7028176553853488,0.6699253671286641,0.698954308122628,0.7018879731430334,0.7395896706895689,0.68592782937434,0.7236237044617466,0.7030311574040167,0.6831898464103232,0.6879081412233401,94.55357142857142,0.6250000000000017,94.64285714285714,95.53571428571429,95.53571428571429,94.64285714285714,93.75,93.75,94.64285714285714,94.64285714285714,94.64285714285714,93.75,84.28571428571429,1.0714285714285696,84.82142857142857,83.03571428571429,84.82142857142857,83.92857142857143,83.92857142857143,83.03571428571429,84.82142857142857,83.03571428571429,86.60714285714286,84.82142857142857
transcription,2.133331775665283,0.06715591233165075,1.9446227550506592,2.175572633743286,2.1562578678131104,2.1614203453063965,2.1492996215820312,2.182647228240967,2.093909740447998,2.145972728729248,2.148268461227417,2.1753463745117188,0.44337606837606836,0.5125670770919978,0.014492886961468172,0.5,0.4954128440366973,0.5185185185185185,0.5327102803738317,0.5238095238095238,0.49056603773584906,0.5137614678899083,0.5,0.5327102803738317,0.5181818181818182,0.5566239316239316,0.6920414822033856,0.013209208580025842,0.6938775510204082,0.7087378640776699,0.6868686868686869,0.66,0.69,0.696078431372549,0.7010309278350515,0.7029702970297029,0.6808510638297872,0.7,0.22725997542006313,0.006425799240394539,0.22168803418803418,0.21965419901199718,0.2298987021209243,0.23619098969566255,0.23224460724460724,0.21750524109014674,0.2277895397161452,0.22168803418803418,0.23619098969566255,0.22974941724941725,0.38520685067090155,0.007352561613454564,0.3862288505145648,0.3945004563936603,0.38232754899421567,0.3673717948717949,0.3840705128205128,0.3874539131892073,0.3902105912415191,0.3912900905475163,0.3789779959992726,0.38963675213675214,0.5065832686353757,0.014909060990820242,0.5079121167998737,0.4909863106109037,0.48287645793369605,0.5211269238604956,0.5209181729863537,0.4964392044421063,0.5328138105950114,0.5132620479338753,0.49384200365554504,0.5056556375358959,0.6436724805836432,0.0087713195046434,0.6470660951972427,0.6272624122876703,0.6479835721028148,0.6320822247027038,0.6371069431045973,0.6508814664220077,0.6550628304494058,0.6501832978442011,0.6387646273096259,0.6503313364161633,89.86486486486487,0.8605843772316625,90.54054054054055,88.73873873873873,89.1891891891892,90.09009009009009,88.73873873873873,88.73873873873873,90.54054054054055,90.54054054054055,90.990990990991,90.54054054054055,77.88288288288287,0.9755138661129594,77.47747747747748,76.12612612612612,77.47747747747748,79.27927927927928,77.92792792792793,79.72972972972973,77.47747747747748,77.47747747747748,77.47747747747748,78.37837837837837
transporter,2.6308157444000244,0.07301055830030966,2.417543888092041,2.668513298034668,2.665337324142456,2.673614978790283,2.647343158721924,2.6428587436676025,2.621351957321167,2.657607316970825,2.637247085571289,2.6767396926879883,0.30279069767441863,0.29680840797981844,0.00982361651288949,0.29411764705882354,0.30097087378640774,0.28431372549019607,0.29064039408866993,0.3173076923076923,0.2961165048543689,0.2975609756097561,0.2975609756097561,0.3073170731707317,0.28217821782178215,0.6972093023255814,0.8978072575626828,0.00864878396019693,0.8968609865470852,0.8878923766816144,0.9035087719298246,0.9022222222222223,0.8789237668161435,0.9017857142857143,0.9099099099099099,0.8933333333333333,0.8982300884955752,0.9054054054054054,0.08987082492784271,0.0029744996976237494,0.0890560875512996,0.09113118085346579,0.0860875512995896,0.08800320769847635,0.09607781753130591,0.08966132309776473,0.0900986954055587,0.0900986954055587,0.09305275099262621,0.08544093944278149,0.6259595716681217,0.006030012630853585,0.625299822713526,0.6190468244863907,0.6299347205222359,0.6290377260981913,0.6127938262592554,0.6287333887043189,0.6343976534674209,0.6228403100775194,0.6262543733278453,0.6312570710245129,0.31888016480354525,0.006963183949117637,0.31413288991322647,0.3234255700931674,0.305750003737057,0.3254639661786056,0.3275084230581091,0.3223257100133989,0.3110603388009387,0.32158209823386413,0.32473971639739624,0.31281293160968865,0.89981127203165,0.007257450192330861,0.8838174375346991,0.9013408515973986,0.9114673504742165,0.901089313009598,0.890753123244388,0.9017391899187344,0.9017902550374183,0.9003809418192928,0.9062123925124043,0.899521865168352,84.35146443514643,0.5976090735182316,84.10041841004184,84.51882845188284,83.68200836820084,84.10041841004184,85.35564853556485,84.93723849372385,84.10041841004184,84.51882845188284,84.93723849372385,83.26359832635983,84.47698744769875,0.5439330543933055,84.10041841004184,84.93723849372385,84.93723849372385,83.68200836820084,83.68200836820084,85.35564853556485,84.51882845188284,84.51882845188284,84.10041841004184,84.93723849372385
cysteine_protease,1.7718449831008911,0.06030869656265457,1.5925216674804688,1.7902064323425293,1.7949364185333252,1.7949519157409668,1.8013153076171875,1.7966313362121582,1.770780324935913,1.7984793186187744,1.7875020503997803,1.7911250591278076,0.5117241379310344,0.5285729212578528,0.009662619531697364,0.5135135135135135,0.5342465753424658,0.5142857142857142,0.5342465753424658,0.5277777777777778,0.5277777777777778,0.5466666666666666,0.5333333333333333,0.5205479452054794,0.5333333333333333,0.48827586206896556,0.5709469715668226,0.010053059833406656,0.5609756097560976,0.5565217391304348,0.5573770491803278,0.5833333333333334,0.5737704918032787,0.5702479338842975,0.5702479338842975,0.5882352941176471,0.5785123966942148,0.5702479338842975,0.27048352246436325,0.004944595650013413,0.26277726001863927,0.27338686820973074,0.2631724137931034,0.27338686820973074,0.2700766283524904,0.2700766283524904,0.27974252873563216,0.272919540229885,0.2663769485120453,0.272919540229885,0.2787796247374555,0.004908666456587535,0.2739108494533221,0.27173613193403295,0.2721537591859807,0.2848275862068966,0.2801582815149802,0.27843830151040183,0.27843830151040183,0.2872210953346856,0.2824736392134511,0.27843830151040183,0.5496472247377184,0.00664778014959649,0.5461753489947303,0.5552233933975159,0.5404208240723845,0.5407022351320675,0.5591101985260278,0.5477481165803706,0.5598847812381763,0.5461700557908894,0.5471966430448321,0.5538406506001906,0.6159457343376028,0.006755087305778249,0.6159466778827009,0.6029952702421579,0.6191574491407678,0.6262846917156973,0.6213279619395328,0.6188817517686716,0.6175528201586176,0.6153019992025798,0.6046024729488374,0.6174062483764651,81.13636363636364,0.8350533214033551,81.81818181818181,81.81818181818181,81.25,81.81818181818181,79.54545454545455,80.68181818181819,80.68181818181819,80.11363636363636,82.38636363636364,81.25,79.82954545454545,0.7298427601514289,79.54545454545455,80.68181818181819,78.97727272727273,79.54545454545455,80.68181818181819,80.68181818181819,80.11363636363636,78.4090909090909,80.11363636363636,79.54545454545455
dna_repair,1.5083606004714967,0.04725042218381214,1.3685057163238525,1.5159649848937988,1.5282127857208252,1.5271475315093994,1.5317232608795166,1.5040974617004395,1.5265493392944336,1.5296070575714111,1.5263075828552246,1.5254902839660645,0.36773428232502964,0.48551475147514755,0.012507900643642262,0.4752475247524752,0.49,0.494949494949495,0.49,0.48,0.48,0.46,0.48,0.5,0.504950495049505,0.6322657176749704,0.8035418845032307,0.009788243193238687,0.8091603053435115,0.8181818181818182,0.803030303030303,0.813953488372093,0.7894736842105263,0.8091603053435115,0.8091603053435115,0.7938931297709924,0.8015267175572519,0.7878787878787878,0.17854041869192847,0.004599583866582565,0.17476480744159822,0.18018979833926452,0.18200989731238842,0.18018979833926452,0.17651245551601422,0.17651245551601422,0.16915776986951364,0.17651245551601422,0.18386714116251482,0.18568760790669814,0.5080519862873333,0.006188770607350207,0.5116043211721134,0.5173083144613394,0.5077285308602034,0.514634886479627,0.4991571455328713,0.5116043211721134,0.5116043211721134,0.5019514094518848,0.5067778653119991,0.4981487472590675,0.5457901546556927,0.012779922464192957,0.5440891863704066,0.556710949772405,0.5377148649978664,0.5545716211591759,0.5187585601713598,0.5509559778359928,0.5385375185949631,0.5351513817886706,0.5612784867892269,0.5601329990768595,0.8041025834915073,0.018212258387413163,0.8112085679710919,0.7987401322474025,0.8359695610695904,0.8281756760372483,0.7729779581069124,0.7892367383625805,0.7972718051903834,0.8141041217608058,0.8065625782686264,0.7867786959004311,72.19858156028369,0.7638531641325536,72.34042553191489,73.04964539007092,73.04964539007092,72.34042553191489,72.34042553191489,71.63120567375887,70.2127659574468,72.34042553191489,72.34042553191489,72.34042553191489,71.91489361702128,1.5277063282651058,72.34042553191489,73.75886524822695,73.04964539007092,70.2127659574468,71.63120567375887,72.34042553191489,74.46808510638297,71.63120567375887,69.50354609929079,70.2127659574468
GPCR_3,1.925464391708374,0.06548124629941593,1.7310125827789307,1.943091869354248,1.942803144454956,1.9568920135498047,1.9222745895385742,1.9517974853515625,1.9534335136413574,1.9499635696411133,1.9499590396881104,1.953416109085083,0.5945223780895124,0.7603968791663904,0.007044122245887053,0.75,0.7709923664122137,0.7575757575757576,0.7611940298507462,0.7611940298507462,0.762962962962963,0.7692307692307693,0.7651515151515151,0.7480916030534351,0.7575757575757576,0.40547762191048764,0.7150869675617342,0.008431888921666415,0.7062146892655368,0.7191011235955056,0.7166666666666667,0.7134831460674157,0.7231638418079096,0.7134831460674157,0.7288135593220338,0.7062146892655368,0.7005649717514124,0.7231638418079096,0.45207296089384597,0.004187888309178004,0.44589178356713427,0.45837221516824994,0.4503957409769033,0.4525468848144049,0.4525468848144049,0.4535985551349613,0.45732490622270183,0.4548996983866723,0.44475719887612375,0.4503957409769033,0.28995176306611403,0.003418942268170685,0.28635425276164383,0.2915794135086653,0.29059229570251616,0.2893014493406288,0.29322675482792326,0.2893014493406288,0.2955175888500164,0.28635425276164383,0.28406341873955065,0.29322675482792326,0.7879924655044472,0.005049004890703337,0.7888147986575139,0.7909375408023466,0.7864197132754881,0.7838501698392221,0.7799471013629765,0.7981867622339196,0.7891519224441741,0.7862154868422383,0.7830672351753195,0.7933339244112735,0.7173813972585698,0.006885585419450156,0.7296965339029251,0.711404696439296,0.7232530479925883,0.7195304040336664,0.707818181333879,0.7158028537402384,0.7258775283128986,0.7149448403922694,0.708709560798473,0.7167763256394636,92.83582089552237,0.24373032266499717,92.53731343283582,92.53731343283582,92.53731343283582,93.03482587064677,92.53731343283582,93.03482587064677,93.03482587064677,93.03482587064677,93.03482587064677,93.03482587064677,85.77114427860697,0.8083620303120352,86.56716417910448,86.06965174129353,85.57213930348259,86.56716417910448,85.57213930348259,87.06467661691542,85.07462686567165,85.57213930348259,85.57213930348259,84.07960199004975
GPCR,5.395032858848571,0.17175180989535876,4.89503812789917,5.499315500259399,5.464352369308472,5.512927055358887,5.45658540725708,5.44521164894104,5.410148859024048,5.485551834106445,5.408555507659912,5.372642278671265,0.5064615384615384,0.7561418067805075,0.012858535370226912,0.7396449704142012,0.7650602409638554,0.7470588235294118,0.7602339181286549,0.7797619047619048,0.7678571428571429,0.7454545454545455,0.7616279069767442,0.7371428571428571,0.7575757575757576,0.4935384615384616,0.4492066279194836,0.004335336039528463,0.4438202247191011,0.45555555555555555,0.449438202247191,0.4576271186440678,0.44508670520231214,0.4463276836158192,0.44505494505494503,0.4514285714285714,0.44886363636363635,0.44886363636363635,0.3829567427571432,0.00651235360596723,0.3746017296313154,0.3874735866543095,0.3783565610859728,0.38502923976608183,0.3949194139194139,0.38889010989010986,0.37754405594405593,0.38573524150268335,0.3733345054945054,0.38368298368298365,0.22170074805626205,0.0021396550792011264,0.21904235090751945,0.22483418803418803,0.22181503889369059,0.22585658409387224,0.2196674077367719,0.22027987831377663,0.2196517328825021,0.22279736263736263,0.22153146853146852,0.22153146853146852,0.7267452244413399,0.009081633520284944,0.718007881401036,0.7336883014931417,0.7084657168241617,0.7355199629689456,0.7337483959775359,0.7255251758209862,0.7238735688271815,0.7299478767334993,0.7191740518158022,0.7395013125511092,0.44741145337594695,0.006111976536616198,0.4460279667500493,0.4546106505679172,0.4572333745705236,0.44709583803592107,0.4523188630309534,0.43932063516381054,0.44507283971194705,0.43622449678170827,0.44913629156202184,0.4470735775846167,69.87432675044883,0.37487635579571094,69.83842010771993,68.9407540394973,70.19748653500898,69.83842010771993,70.01795332136446,69.65888689407541,70.19748653500898,69.65888689407541,70.19748653500898,70.19748653500898,70.32315978456015,0.6324565513037161,70.73608617594255,69.65888689407541,71.0951526032316,69.83842010771993,71.0951526032316,71.27468581687612,69.83842010771993,69.47935368043088,70.01795332136446,70.19748653500898
GPCR_2,1.7306971073150634,0.05672105360793922,1.5707998275756836,1.756399393081665,1.747361660003662,1.7528002262115479,1.764909267425537,1.7445969581604004,1.7725965976715088,1.767078161239624,1.7265398502349854,1.7038891315460205,0.838468720821662,0.9263906546046021,0.00541723917640098,0.9310344827586207,0.9243697478991597,0.9243697478991597,0.9310344827586207,0.923728813559322,0.923728813559322,0.9152542372881356,0.9327731092436975,0.9338842975206612,0.923728813559322,0.16153127917833798,0.2952613343218502,0.006589987333517958,0.30158730158730157,0.2926829268292683,0.3064516129032258,0.28225806451612906,0.29838709677419356,0.29133858267716534,0.296,0.2975206611570248,0.288,0.29838709677419356,0.7767495871474629,0.004542185602621928,0.7806432917994784,0.7750551200872506,0.7750551200872506,0.7806432917994784,0.7745177166911963,0.7745177166911963,0.767412049565589,0.7821010757244075,0.7830327723375852,0.7745177166911963,0.04769394102491138,0.0010644890837521997,0.04871578260934003,0.04727744756439161,0.04950152103852294,0.04559350621969219,0.04819884943224602,0.0470602939338465,0.04781325863678805,0.04805889297867908,0.04652100840336135,0.04819884943224602,0.9209879937733669,0.0049807459527108945,0.9220029548211253,0.9244323331058368,0.9236556377459552,0.9222619167211388,0.9112867878460933,0.9242584641543066,0.9113686333195343,0.9235378144992095,0.9257286386512085,0.9213467568692604,0.4019329007036426,0.005330711829223226,0.4012141243785188,0.3914770616800124,0.4051325872401966,0.39392460475621555,0.39816161013654994,0.4063257933361616,0.40517928262053804,0.4061926409037136,0.4077172492324026,0.40400405275211704,87.37967914438504,0.35471922891501695,87.70053475935829,86.63101604278074,87.16577540106952,87.16577540106952,87.16577540106952,87.16577540106952,87.70053475935829,87.70053475935829,87.70053475935829,87.70053475935829,84.33155080213905,0.41766041047629154,84.49197860962566,83.42245989304813,84.49197860962566,84.49197860962566,84.49197860962566,84.49197860962566,83.9572192513369,85.02673796791444,84.49197860962566,83.9572192513369
ion_channel2,3.484374260902405,0.12865277065523625,3.125661849975586,3.5491249561309814,3.5672268867492676,3.5227303504943848,3.5853166580200195,3.542337417602539,3.572345495223999,3.431534767150879,3.475435733795166,3.4720284938812256,0.20496894409937888,0.2186000414782165,0.009169103861854936,0.20270270270270271,0.21428571428571427,0.22388059701492538,0.2112676056338028,0.22972972972972974,0.22058823529411764,0.2222222222222222,0.22727272727272727,0.2054794520547945,0.22857142857142856,0.7950310559006211,0.827180580485002,0.007093225248422901,0.8197674418604651,0.8258426966292135,0.8402366863905325,0.8160919540229885,0.8361581920903954,0.8295454545454546,0.8248587570621468,0.8202247191011236,0.8285714285714286,0.8305084745762712,0.044806219681870464,0.0018793815369019433,0.04154775893906329,0.04392191659272404,0.04588856957448781,0.04330329804916455,0.0470874601309384,0.04521373766898063,0.045548654244306416,0.046583850931677016,0.04211690632179018,0.046850044365572316,0.6576342503234798,0.005639334358994611,0.6517405748952766,0.6565705911089399,0.6680142599875041,0.6488184479188976,0.6647717303575814,0.6595143986448334,0.6557883285959925,0.6521041245027566,0.6587400177462289,0.660280029476787,0.24182653359480258,0.006719815233022621,0.23213956365739083,0.23646645962880575,0.252330471649154,0.23682047427482195,0.2467718862337958,0.24967964913819463,0.24119618523362185,0.24930433005624364,0.23647555545752624,0.23708076061847097,0.8424197292513818,0.010344969342427,0.8515186334168402,0.8555498050468423,0.8531217438751868,0.8504957245085482,0.8217064333052678,0.8375251548368575,0.8329930731331192,0.8421581946143639,0.8333592243525338,0.8457693054242579,84.66183574879229,0.3458410884849325,85.02415458937197,84.05797101449275,85.02415458937197,84.78260869565217,85.02415458937197,84.54106280193237,85.02415458937197,84.29951690821257,84.29951690821257,84.54106280193237,80.1207729468599,0.3902293338503247,79.95169082125604,79.95169082125604,80.19323671497584,80.19323671497584,79.95169082125604,80.43478260869566,79.71014492753623,80.91787439613526,80.43478260869566,79.46859903381643
