,SMILES,False positives,True positives,FP - knn,TP - knn,Score - knn,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(-c2cnc3n2CCCC3)cc1,-0.0,1.0,0.0,1.0,0.006557036304309212,0.0,0.0,13.370179078035314,0.0,1.0,0.0
1,C(=N/n1cnnc1)\c1ccc(-c2ccccc2)cc1,1.0,0.0,0.0,0.0,0.0005216646926542071,0.0,1.0,33.920826798367735,0.0,1.0,0.0
2,C/C=C/Cn1c(SCc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,1.0,0.0,0.0,0.0,6.000639378802896e-06,0.0,0.0,11.927776170007116,0.0,1.0,0.0
3,C1CCC(CNc2c3c(nc4nnnn24)CCCC3)CC1,1.0,0.0,0.0,0.0,0.000603735596306218,0.0,0.0,13.00672656105708,0.0,1.0,0.0
4,C1CCN=C(Nc2nc3c(s2)CCCC3)CC1,-0.0,1.0,0.0,0.0,0.0001265843450502038,0.0,0.0,29.244957768700168,0.0,1.0,0.0
5,C=C(C)C(C)(C#CCN1CCCC1)OC(C)=O,-0.0,1.0,0.0,0.0,0.00039475230969620467,1.0,0.0,6.356584201092834,0.0,1.0,0.0
6,C=C(C)C1CC=C(CN2CCC(C(=O)OCC)CC2)CC1,-0.0,1.0,0.0,1.0,0.0014453975494119272,0.0,0.0,16.69453151420356,0.0,1.0,0.0
7,C=C(C)COc1ccc2c(C)c(CC(=O)OC)c(=O)oc2c1C,1.0,0.0,0.0,1.0,0.0028200031683151892,0.0,0.0,8.502567747053,0.0,1.0,0.0
8,C=C(C)Cn1c(N2CCCC2)nc2c1c(=O)[nH]c(=O)n2C,1.0,0.0,0.0,0.0,8.251091841599871e-05,0.0,0.0,10.613495143123457,0.0,1.0,0.0
9,C=C(C)Cn1c(SCC)nc2ccccc2c1=O,1.0,0.0,0.0,0.0,0.00015981147935893107,0.0,0.0,18.17444821225924,0.0,1.0,0.0
10,C=CC(C)Sc1nc2c(c(=O)n(C)c(=O)n2C)n1Cc1ccccc1Cl,1.0,0.0,0.0,0.0,6.418544361655354e-05,0.0,0.0,20.28936347723249,0.0,1.0,0.0
11,C=CCC(O)(CCN1CCCCC1)c1ccccc1,-0.0,1.0,0.0,1.0,0.006394072694750222,0.0,1.0,36.678206291809154,0.0,1.0,0.0
12,C=CCN(C1CCCCC1)S(=O)(=O)c1ccc2c(c1)oc(=O)n2C,1.0,0.0,1.0,0.0,-7.309340150411106e-05,0.0,0.0,21.966169609721646,0.0,1.0,0.0
13,C=CCN1C(=Nc2cccnc2)SCC1(O)c1ccc(C)cc1,-0.0,1.0,0.0,0.0,0.001030516697061234,0.0,0.0,9.52540975005197,0.0,1.0,0.0
