,SMILES,False positives,True positives,FP - knn,TP - knn,Score - knn,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc2c(c1)C(C1=NCCN1)c1ccccc1CS2,-0.0,1.0,0.0,0.0,0.00010360718706265446,0.0,0.0,10.0,0.0,1.0,0.0
1,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,1.0,0.0,0.0,0.0,2.6891381476789008e-05,1.0,0.0,8.0,0.0,1.0,0.0
2,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,-0.0,1.0,0.0,0.0,2.6829223723576306e-05,1.0,0.0,8.0,0.0,1.0,0.0
3,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,-0.0,1.0,0.0,0.0,2.6907192509027262e-05,1.0,0.0,8.0,0.0,1.0,0.0
4,C#Cc1cc(N2CCN(C(=O)c3ccoc3)CC2)n2nc(-c3cccc(Cl)c3)cc2n1,1.0,0.0,0.0,0.0,2.6674819498017815e-05,1.0,0.0,8.0,0.0,1.0,0.0
5,C#Cc1ccc(C(=O)Nc2ccc(N3CCC(C)CC3)c(C(N)=O)c2)cc1,1.0,0.0,0.0,0.0,2.6728752157490316e-05,0.0,1.0,16.0,1.0,-0.0,1.0
6,C#Cc1ccc(NC(=O)C2(C)CCN2C(=O)c2cc(C)n(C)n2)cc1,1.0,0.0,0.0,0.0,2.7021288305745814e-05,1.0,0.0,8.0,0.0,1.0,0.0
7,C/C(=N\NC(=O)c1c(Cl)c(C)nn1C)c1ccc(NC(=O)C2CCC2)cc1,-0.0,1.0,0.0,0.0,0.00022456112479819144,0.0,0.0,10.0,0.0,1.0,0.0
8,C/C(=N\NC(=O)c1cc(-c2cccs2)nc2ccccc12)c1ccccn1,-0.0,1.0,0.0,0.0,0.0003527213356674424,0.0,0.0,11.0,0.0,1.0,0.0
9,C/C=C/c1ccc([C@@H]2[C@H](CO)N(CC3CC3)[C@H]2CNC(=O)c2ccccc2)cc1,1.0,0.0,0.0,0.0,-0.00010563567461915603,0.0,0.0,10.0,0.0,1.0,0.0
10,C/C=C/c1ccc([C@H]2[C@@H](CNC(=O)CC)N(C(=O)COC)[C@H]2CO)cc1,1.0,0.0,0.0,0.0,0.00012812952376532787,0.0,0.0,14.0,0.0,1.0,0.0
11,C/C=C/c1ccc([C@H]2[C@@H](CO)N(C(=O)COC)[C@@H]2CNC(=O)CC)cc1,1.0,0.0,0.0,0.0,0.00012812952376532787,1.0,0.0,8.0,0.0,1.0,0.0
12,C/C=C/c1ccc2c(c1)O[C@@H](CN(C)C(=O)Nc1cccc(F)c1)[C@H](C)CN([C@H](C)CO)S2(=O)=O,1.0,0.0,0.0,0.0,-0.00014550590213761535,1.0,0.0,8.0,0.0,1.0,0.0
13,C=C1C(=O)O[C@@H]2C[C@@H](C)[C@@H]3C=CC(=O)[C@@]3(C)[C@@H](O)[C@H]12,-0.0,1.0,0.0,0.0,9.908268902077468e-05,0.0,0.0,12.0,0.0,1.0,0.0
14,C=C1C(=O)O[C@@H]2[C@H]1[C@@H](OC(=O)/C(C)=C/C)C/C(C)=C\C(=O)/C=C(\C)[C@@H]2O,1.0,0.0,0.0,0.0,0.0006162431050926961,0.0,0.0,9.0,0.0,1.0,0.0
15,C=C1C(=O)[C@]23C[C@H]1CC[C@H]2[C@]1(C)[C@@H](OC(C)=O)CC[C@@](C)(C(=O)O)[C@H]1C[C@@H]3O,1.0,0.0,0.0,0.0,0.00017124706899831552,1.0,0.0,8.0,0.0,1.0,0.0
16,C=C1SC(Nc2c(C)cc(C)cc2C)=NC12CCCCC2,-0.0,1.0,0.0,0.0,0.00013766681638963777,0.0,0.0,10.0,0.0,1.0,0.0
17,C=CC(C)(C)c1[nH]cnc1/C=C1\NC(=O)C(C(C)C)NC1=O,-0.0,1.0,0.0,0.0,9.149260234874513e-05,1.0,0.0,8.0,0.0,1.0,0.0
18,C=CCCC(=O)Nc1nc(C)c(-c2csc(Nc3cc(OC)ccc3OC)n2)s1,-0.0,1.0,0.0,0.0,4.61313257832883e-05,1.0,0.0,8.0,0.0,1.0,0.0
19,C=CCN(CC=C)C(=S)Nc1ccc(OC)c(OC)c1,1.0,0.0,0.0,0.0,0.00012952773488058452,0.0,0.0,13.0,0.0,1.0,0.0
20,C=CCN1C(=O)/C(=C/C=C2/N(CC)c3ccc(S(=O)(=O)N(C)C)cc3N2CC)SC1=S,-0.0,1.0,0.0,0.0,0.0009077716113724505,0.0,0.0,11.0,1.0,-0.0,1.0
21,C=CCN1c2ccccc2[C@]23C[C@@H](C(=O)OC)N(C(=O)c4cccs4)C2=NC(C(=O)OC)=C(C(=O)OC)[C@H]13,1.0,0.0,0.0,0.0,3.244182065325982e-05,1.0,0.0,8.0,0.0,1.0,0.0
22,C=CCN=c1scc(C)n1/N=C/c1ccc(O)c(O)c1,-0.0,1.0,0.0,0.0,0.00038540073364856653,0.0,0.0,10.0,1.0,-0.0,1.0
23,C=CC[C@@H](CC(=O)N(CCO)Cc1ccccc1)C(=O)N[C@H](COC(=O)[C@H](CC=C)CC(=O)OC(C)(C)C)Cc1c[nH]c2ccccc12,1.0,0.0,0.0,0.0,3.586202954716884e-05,1.0,0.0,8.0,0.0,1.0,0.0
24,C=CCn1c(SCC(=O)N(C)C2CCS(=O)(=O)C2)nc2ccccc2c1=O,-0.0,1.0,1.0,0.0,-0.00205804795555666,0.0,1.0,18.0,0.0,1.0,0.0
25,CC#CCOCC1CNC(=O)O1,1.0,0.0,0.0,0.0,2.646924684964249e-05,0.0,1.0,17.0,0.0,1.0,0.0
26,CC(=NNC(=S)N(Cc1ccccn1)Cc1ccccn1)c1cnccn1,1.0,0.0,0.0,0.0,0.00013762242853207965,1.0,0.0,8.0,0.0,1.0,0.0
27,CC(=NNC(=S)N1CC2CCC(CC2)C1)c1cnccn1,1.0,0.0,0.0,0.0,0.0001241775338210824,0.0,0.0,10.0,0.0,1.0,0.0
28,CC(=NNC(=S)N1CCCCC1)c1cccc(C)n1,1.0,0.0,0.0,0.0,0.00026136619748411187,0.0,0.0,11.0,0.0,1.0,0.0
29,CC(=NNC(=S)Nc1ccc(C)cc1)c1ccccn1,-0.0,1.0,0.0,0.0,0.0006671197234968061,0.0,1.0,15.0,0.0,1.0,0.0
30,CC(=Nc1ccccc1O)c1sc2ccccc2c1O,-0.0,1.0,0.0,0.0,0.0009857805470628906,0.0,0.0,10.0,1.0,-0.0,1.0
31,CC(=O)N(C)C[C@@H]1Oc2cc(C#Cc3ccc(F)cc3)ccc2S(=O)(=O)N([C@H](C)CO)C[C@@H]1C,1.0,0.0,0.0,0.0,-0.00026510352723436943,1.0,0.0,8.0,0.0,1.0,0.0
32,CC(=O)N1CCc2c(sc(NC(=O)c3ccc4c(c3)OCCO4)c2C#N)C1,-0.0,1.0,0.0,0.0,0.0002092448871578732,0.0,0.0,10.0,0.0,1.0,0.0
33,CC(=O)N1CCc2cc(S(=O)(=O)N3c4ccccc4CC3C)ccc21,-0.0,1.0,1.0,0.0,-0.0005344423964210175,0.0,0.0,10.0,0.0,1.0,0.0
34,CC(=O)NC(=S)Nc1ccc(NC(=S)NC(=O)/C=C/c2ccco2)cc1,1.0,0.0,0.0,0.0,4.378901036849631e-05,0.0,0.0,13.0,0.0,1.0,0.0
35,CC(=O)NC(c1ccc(C(C)C)cc1)c1ccc2cccnc2c1O,1.0,0.0,0.0,0.0,0.0010378832064753655,1.0,0.0,8.0,1.0,-0.0,1.0
36,CC(=O)NC(c1ccc(Cl)cc1)c1ccc2cccnc2c1O,1.0,0.0,0.0,1.0,0.0034725624640925853,0.0,0.0,11.0,1.0,-0.0,1.0
37,CC(=O)NC(c1ccc(Cl)cc1Cl)c1ccc2cccnc2c1O,-0.0,1.0,0.0,0.0,0.0011521818242758385,0.0,0.0,10.0,1.0,-0.0,1.0
38,CC(=O)NC(c1ccc2ccccc2c1)c1ccc2cccnc2c1O,1.0,0.0,0.0,1.0,0.002181404871752702,0.0,0.0,13.0,1.0,-0.0,1.0
39,CC(=O)NS(=O)(=O)c1ccc(NC(=O)CSc2ccc(Cl)cc2)cc1,1.0,0.0,0.0,0.0,-0.0002038191003144863,0.0,0.0,9.0,0.0,1.0,0.0
