,SMILES,False positives,True positives,FP - knn,TP - knn,Score - knn,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C(=N\Nc1cc(N2CCOCC2)nc(N2CCOCC2)n1)\c1ccccc1,1.0,0.0,0.0,0.0,0.00017874128323455807,1.0,0.0,50.0,0.0,1.0,0.0
1,C/C(=C\C(=O)c1ccccc1)Nc1ccc(O)cc1,1.0,0.0,1.0,0.0,-0.002334314394741644,0.0,0.0,78.0,0.0,1.0,0.0
2,C/C(=C\C(=O)c1cccnc1)Nc1ccc(O)cc1,1.0,0.0,1.0,0.0,-0.001376672101287113,0.0,0.0,77.0,0.0,1.0,0.0
3,C/C(=N/NC(=O)CCc1ccccc1)c1ccco1,1.0,0.0,1.0,0.0,-0.0006969967961837634,1.0,0.0,51.0,0.0,1.0,0.0
4,C/C(=N\NC(=O)CSc1nc2ccccc2o1)c1ccc(O)cc1,1.0,0.0,0.0,0.0,0.00012648925378622758,1.0,0.0,51.0,1.0,-0.0,1.0
5,C/C(=N\NC(=O)c1nnn(-c2nonc2N)c1C)c1ccc(-c2ccccc2)cc1,1.0,0.0,0.0,0.0,4.9050223108982515e-05,0.0,0.0,98.0,0.0,1.0,0.0
6,C/C(=N\O)C(C)Oc1ccc(Cl)cc1,1.0,0.0,0.0,0.0,7.191007189248921e-06,0.0,0.0,65.0,0.0,1.0,0.0
7,C/C(C=Nn1c(-c2ccc(F)cc2)n[nH]c1=S)=C/c1ccco1,1.0,0.0,0.0,0.0,-0.00018804880853470724,0.0,0.0,61.0,0.0,1.0,0.0
8,C/C(CC(=O)NCCCN1CCOCC1)=N\NC(=O)COc1ccc(Cl)cc1,1.0,0.0,1.0,0.0,-0.00044588413894719757,0.0,0.0,65.0,0.0,1.0,0.0
9,C/C(CC(=O)Nc1ccc2ccccc2c1)=N\NC(=O)c1ccc(O)c(O)c1,-0.0,1.0,0.0,1.0,0.0010567398288533999,0.0,1.0,111.0,1.0,-0.0,1.0
10,C/C(CC(=O)Nc1ccccn1)=N\NC(=O)C(=O)Nc1cccc(Cl)c1C,1.0,0.0,0.0,0.0,-9.146328641994235e-06,0.0,0.0,59.0,0.0,1.0,0.0
11,C/C(NCCc1ccccc1)=C1/CCOC1=O,1.0,0.0,0.0,0.0,1.570211103777789e-07,0.0,0.0,64.0,0.0,1.0,0.0
12,C/[N+]([O-])=C1\Cc2ccccc2C1=O,1.0,0.0,0.0,0.0,5.219672200382774e-05,0.0,0.0,60.0,1.0,-0.0,1.0
13,C1=Nc2cccc3cccc(c23)N1Cc1ccccc1,-0.0,1.0,0.0,1.0,0.0035174645054454837,0.0,0.0,99.0,1.0,-0.0,1.0
14,C=C(C)c1cccc(C(C)(C)NC(=O)NC2CN3CCC2CC3)c1,-0.0,1.0,0.0,0.0,0.00027124234916603505,1.0,0.0,51.0,0.0,1.0,0.0
15,C=CCC1C=C(Cc2ccccc2)CC(CC=C)N1,1.0,0.0,0.0,0.0,0.0002132049615768968,0.0,0.0,54.0,0.0,1.0,0.0
16,C=CCC1CCCCC1=C(C#N)c1ccccc1,1.0,0.0,0.0,0.0,-0.00023512001085691737,0.0,0.0,53.0,0.0,1.0,0.0
17,C=CCN(CC=C)C(=S)Nc1ccc2nsnc2c1,-0.0,1.0,0.0,0.0,-5.581533888592579e-05,0.0,0.0,103.0,0.0,1.0,0.0
18,C=CCN(CC=C)Cc1c(O)ccc2c1oc(=O)c1ccccc12,-0.0,1.0,0.0,0.0,0.0003415991983395846,1.0,0.0,51.0,1.0,-0.0,1.0
19,C=CCN1CCN(C(c2cccc(OC)c2OC)c2nnnn2CCC(C)C)CC1,1.0,0.0,0.0,0.0,-1.3009878760688782e-05,0.0,0.0,97.0,0.0,1.0,0.0
20,C=CCNC1=C(Cl)C(=O)c2ccccc2C1=O,-0.0,1.0,0.0,1.0,0.0011852694750541558,0.0,0.0,91.0,1.0,-0.0,1.0
21,C=CCNCCCCOc1ccccc1,1.0,0.0,0.0,0.0,-0.00012679634194758668,0.0,0.0,73.0,0.0,1.0,0.0
22,C=CCOCC(O)Cn1c(N2CCCC2)nc2c1c(=O)n(C)c(=O)n2C,1.0,0.0,0.0,0.0,7.858674759215016e-05,1.0,0.0,52.0,0.0,1.0,0.0
23,C=CCOc1ccc(/C=C2\SC(=S)N(NS(=O)(=O)c3ccc(C)cc3)C2=O)cc1,-0.0,1.0,0.0,0.0,5.374185693653999e-05,0.0,0.0,54.0,1.0,-0.0,1.0
24,C=CCOc1ccc(NC(=O)C2CC(=O)N(C(C)C)C2)cc1,1.0,0.0,0.0,0.0,-0.0002970381212071516,0.0,0.0,56.0,0.0,1.0,0.0
25,C=CCSc1nnc(-c2ccc(Cl)cc2Cl)o1,1.0,0.0,0.0,0.0,-3.500745532316311e-05,0.0,0.0,68.0,0.0,1.0,0.0
26,C=CC[n+]1c(-c2ccc(Cl)cc2Cl)csc1Nc1c(C)n(C)n(-c2ccccc2)c1=O,1.0,0.0,0.0,0.0,-5.423858153032294e-06,1.0,0.0,50.0,0.0,1.0,0.0
27,C=CCc1cc(/C=C/c2nc(O)c([N+](=O)[O-])c(=O)[nH]2)cc(OC)c1O,1.0,0.0,0.0,0.0,0.0002827595478417303,0.0,0.0,78.0,0.0,1.0,0.0
28,C=CCc1cccc(/C=N/NC(=O)c2cc([N+](=O)[O-])nn2Cc2ccccc2)c1O,1.0,0.0,0.0,0.0,0.000236949639396092,0.0,0.0,65.0,1.0,-0.0,1.0
29,C=CCc1cccc2cc(C(=O)Nc3ccc(NC(C)=O)cc3)c(=O)oc12,1.0,0.0,0.0,0.0,0.00010674998072014811,1.0,0.0,52.0,1.0,-0.0,1.0
30,C=CCn1c(-c2ccc(OC)cc2)nc2nc3ccccc3nc21,1.0,0.0,0.0,0.0,-0.00010581297615014288,0.0,0.0,66.0,0.0,1.0,0.0
31,C=CCn1c(=NC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)sc2cc(NC(C)=O)ccc21,1.0,0.0,0.0,0.0,0.00017736553158708072,0.0,0.0,96.0,0.0,1.0,0.0
32,C=CCn1c(N)c(C(=O)NCC2CCCO2)c2nc3ccccc3nc21,1.0,0.0,0.0,0.0,6.05522529076552e-05,0.0,0.0,98.0,0.0,1.0,0.0
33,C=CCn1c(NC(=O)c2ccc(Br)o2)c(S(=O)(=O)c2ccccc2)c2nc3ccccc3nc21,-0.0,1.0,0.0,0.0,0.0008990400550464983,0.0,0.0,83.0,0.0,1.0,0.0
34,C=CCn1c(NS(=O)(=O)c2ccccc2)c(S(=O)(=O)c2ccc(C)cc2)c2nc3ccccc3nc21,1.0,0.0,0.0,1.0,0.0016928604774011547,0.0,1.0,114.0,0.0,1.0,0.0
35,C=CCn1c(SCC(=O)N2CCN(c3ccccc3)CC2)nnc1-c1ccco1,1.0,0.0,0.0,0.0,-8.657672065358686e-05,0.0,0.0,84.0,0.0,1.0,0.0
