,SMILES,False positives,True positives,FP - knn,TP - knn,Score - knn,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C(=C/c1ccccc1)\CSc1nnc(-c2cccnc2)n1Cc1ccco1,1.0,0.0,0.0,0.0,-0.0002979148230440929,0.0,0.0,24.0,0.0,1.0,0.0
1,C/C(=C\c1ccccc1)C(=O)n1nnc2ccccc21,-0.0,1.0,0.0,1.0,0.0006993382708132562,0.0,0.0,24.0,0.0,1.0,0.0
2,C/C(=N/NC(=O)CNC(=O)Cc1ccccc1)c1ccc(Cl)cc1,1.0,0.0,1.0,0.0,-0.002602176219841654,0.0,1.0,32.0,0.0,1.0,0.0
3,C/C(=N/Oc1nc(C)cc(C)n1)c1ccc(Br)cc1,1.0,0.0,0.0,0.0,-0.00017472621038183524,1.0,0.0,16.0,0.0,1.0,0.0
4,C/C(=N\NC(=S)NCc1ccccc1)c1ccc(C#N)cc1,1.0,0.0,0.0,0.0,-0.00019689877794123263,0.0,0.0,22.0,0.0,1.0,0.0
5,C/C(=N\NC(=S)NCc1ccccc1)c1ccc(Cl)cc1,1.0,0.0,0.0,0.0,-0.00022461617194609958,0.0,0.0,23.0,0.0,1.0,0.0
6,C/C(=N\OC(=O)C1CC1)C1CC1c1ccc(F)cc1,1.0,0.0,0.0,0.0,-0.00015125662933329178,0.0,0.0,21.0,0.0,1.0,0.0
7,C/C(=N\OC(=O)NC(C)C)c1sc(-c2ccc(Cl)cc2)nc1C,1.0,0.0,0.0,0.0,-0.00015396492008654778,0.0,0.0,23.0,0.0,1.0,0.0
8,C/C(CC(=O)NCCCN1CCOCC1)=N\NC(=O)COc1ccc(C)cc1,1.0,0.0,0.0,0.0,-0.0003942178947967015,0.0,0.0,19.0,0.0,1.0,0.0
9,C/C(Cc1ccccc1)=N\NC(=O)CNC(=O)c1ccc(Cl)cc1Cl,1.0,0.0,0.0,0.0,-0.0005963870996007851,0.0,1.0,31.0,0.0,1.0,0.0
10,C/C(Cc1ccccc1)=N\NC(=O)CNC(=O)c1ccccc1Cl,1.0,0.0,1.0,0.0,-0.002597539556778169,0.0,0.0,19.0,0.0,1.0,0.0
11,C1=C(c2ccccc2)CCN(c2nc3ccccc3n3cnnc23)C1,1.0,0.0,0.0,0.0,-0.0005157290468790932,1.0,0.0,16.0,0.0,1.0,0.0
12,C=C(C)CC1N(c2cccc(OC)c2)C(=O)C2C(C(=O)O)C3C=CC21O3,1.0,0.0,1.0,0.0,-0.00740031968371835,0.0,0.0,18.0,0.0,1.0,0.0
13,C=C(C)CN=c1scc(C)n1/N=C/c1ccco1,1.0,0.0,0.0,0.0,-0.00035653884648156,1.0,0.0,17.0,0.0,1.0,0.0
14,C=C(C)CNC(=S)N/N=C(\C)c1cccc(NC(C)=O)c1,1.0,0.0,0.0,0.0,-0.0005858393060551617,0.0,1.0,30.0,0.0,1.0,0.0
15,C=C(C)CNC(=S)Nc1cccc(N)n1,1.0,0.0,0.0,0.0,-0.0003802895340298179,1.0,0.0,16.0,0.0,1.0,0.0
16,C=C(C)COc1ccc(-c2[nH]ncc2Oc2cccc(OC)c2)c(O)c1,1.0,0.0,0.0,0.0,-0.00013632786171983175,0.0,0.0,25.0,0.0,1.0,0.0
17,C=C(C)COc1ccc(-c2ncncc2Oc2ccc(OC)cc2)c(O)c1,1.0,0.0,0.0,0.0,-0.0001257034731506359,1.0,0.0,17.0,0.0,1.0,0.0
18,C=C(C)CSc1nnc(-c2ccc(OC)cc2)n1N,1.0,0.0,0.0,0.0,-0.0003033668387096051,0.0,0.0,18.0,0.0,1.0,0.0
19,C=C(C)Cn1c(=O)c(NC(=O)c2ccccc2)c2n(c1=S)CCC2,1.0,0.0,1.0,0.0,-0.003326702553807529,1.0,0.0,16.0,0.0,1.0,0.0
20,C=C(C)c1cccc(C(C)(C)NC(=O)Nc2ccc(C(C)=O)cc2)c1,1.0,0.0,0.0,0.0,-0.00033702215954517235,0.0,1.0,29.0,0.0,1.0,0.0
21,C=CC#CC1(O)CC(C)N(C)CC1C,1.0,0.0,0.0,0.0,-0.00018980241496152186,0.0,0.0,18.0,0.0,1.0,0.0
22,C=CCN(C(=O)Nc1ccc2c(c1)nc(C)n2C)c1ccccc1,1.0,0.0,0.0,0.0,-0.00039889098040894456,1.0,0.0,16.0,0.0,1.0,0.0
23,C=CCNC(=O)/C(C#N)=C\c1cc(Cl)c(O)c(OCC)c1,-0.0,1.0,0.0,0.0,-0.0001640750258899523,0.0,0.0,21.0,0.0,1.0,0.0
24,C=CCNC(=S)N/N=C/c1ccc(C)c([N+](=O)[O-])c1,1.0,0.0,0.0,0.0,-0.0002650100834274319,0.0,0.0,25.0,0.0,1.0,0.0
25,C=CCNc1cnn(-c2ccc(C)cc2)c(=O)c1Cl,1.0,0.0,0.0,0.0,-0.0019012721006710928,0.0,0.0,23.0,0.0,1.0,0.0
26,C=CCOC(=O)C(C#N)c1nc2ccccc2nc1N1CCN(Cc2ccccc2)CC1,1.0,0.0,0.0,0.0,-0.00030515715647313286,0.0,0.0,18.0,0.0,1.0,0.0
27,C=CCOC(=O)c1c(C)nc2cc3c(cc2c1C)OCO3,1.0,0.0,0.0,0.0,-0.0014347867929447805,0.0,0.0,18.0,0.0,1.0,0.0
28,C=CCSc1nnc(-c2cc3c(-c4ccccc4)nn(C)c3s2)n1C,1.0,0.0,0.0,0.0,-0.00011679716850368195,0.0,0.0,21.0,0.0,1.0,0.0
29,C=CCc1c(C)[nH]c2c(OC)cccc2c1=S,1.0,0.0,0.0,0.0,-0.00044117425501272444,0.0,0.0,18.0,0.0,1.0,0.0
30,C=CCc1cccc(/C=N/NC(=O)CCCNc2ccc(C)cc2)c1O,1.0,0.0,0.0,0.0,-0.0004298061554032352,0.0,0.0,19.0,1.0,-0.0,1.0
31,C=CCn1c(SCC(=O)Nc2cccc(C(=O)OC)c2)nnc1C(C)NC(=O)c1cccs1,1.0,0.0,0.0,0.0,-0.0012965217599360454,0.0,0.0,20.0,0.0,1.0,0.0
32,C=CCn1c(SCC(=O)Nc2nc(C)cs2)nnc1C(NC(=O)c1ccccc1)C(C)C,1.0,0.0,1.0,0.0,-0.0025921913730555736,0.0,0.0,20.0,0.0,1.0,0.0
33,C=CCn1c(SCC(=O)c2ccc(Br)cc2)nnc1C(C)NC(=O)Cc1ccc(OC)cc1,1.0,0.0,0.0,0.0,-0.000397287034422969,0.0,0.0,21.0,0.0,1.0,0.0
34,C=CCn1c(SCc2ccc(OC)cc2)nnc1-c1cccnc1,1.0,0.0,0.0,0.0,-0.00045898616696961526,0.0,0.0,20.0,0.0,1.0,0.0
35,CC(/C=N/NC(=O)c1cc(-c2cccn2C)n[nH]1)=C\c1ccccc1,1.0,0.0,1.0,0.0,-0.003232631629038628,0.0,0.0,23.0,0.0,1.0,0.0
36,CC(=O)C1=C(C)NC(C)=C(C(C)=O)C1c1cccs1,1.0,0.0,1.0,0.0,-0.002483553250317166,0.0,1.0,32.0,0.0,1.0,0.0
37,CC(=O)Cc1nsc(NC(=O)c2cccc(F)c2)n1,1.0,0.0,0.0,0.0,-0.0008128070183172693,0.0,0.0,21.0,0.0,1.0,0.0
38,CC(=O)N/C(=C\c1ccccc1)C(=O)OCC(=O)N(C)C1CCCCC1,1.0,0.0,0.0,0.0,-0.0006411095928920004,0.0,0.0,18.0,0.0,1.0,0.0
39,CC(=O)N1CCC(C2=NNC(=O)C2N=Nc2ccc(F)cc2F)CC1,1.0,0.0,0.0,1.0,-5.212668052731065e-05,0.0,0.0,18.0,1.0,-0.0,1.0
40,CC(=O)N1CCC(N(CCN2CCOCC2)C(=S)Nc2cc(C)ccc2C)CC1,1.0,0.0,0.0,0.0,-0.0007763728528574113,0.0,0.0,20.0,0.0,1.0,0.0
41,CC(=O)N1CCN(c2ccc(N=Cc3c(O)n(-c4ccc(Cl)cc4)c(=O)[nH]c3=O)cc2)CC1,1.0,0.0,0.0,0.0,-0.0005195650205172973,0.0,0.0,24.0,1.0,-0.0,1.0
