,SMILES,False positives,True positives,FP - knn,TP - knn,Score - knn,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,BrC(=C\c1ccccc1)/C=N/n1cnnc1,-0.0,1.0,1.0,0.0,-3.0716304940546656e-06,0.0,0.0,95.0,0.0,1.0,0.0
1,Brc1ccc(-n2cc(-c3ccccc3)c3c(NN4CCOCC4)ncnc32)cc1,-0.0,1.0,1.0,0.0,1.4435756141513896e-05,0.0,0.0,95.0,0.0,1.0,0.0
2,Brc1ccc2nc(-c3ccc(CN4CCC(c5nc6ccccc6[nH]5)CC4)cc3)c(-c3ccccc3)nc2c1,-0.0,1.0,0.0,0.0,2.1853232606695707e-05,0.0,0.0,100.0,0.0,1.0,0.0
3,C#CC(=O)N(c1ccc(OC)cc1OC)C(C(=O)NC1CCCC1)c1cccs1,-0.0,1.0,0.0,1.0,0.0027062297122837564,0.0,0.0,92.0,0.0,1.0,0.0
4,C#CCN(C[C@@H]1[C@@H](OC(=O)NC2CCCC2)[C@@H](OC(=O)NC2CCCC2)Cn2c(=O)ccc(=O)n21)S(=O)(=O)c1ccc(C)cc1,-0.0,1.0,0.0,1.0,0.004658916542070478,0.0,0.0,95.0,0.0,1.0,0.0
5,C#CCN(C[C@@H]1[C@@H](OC(=O)NCc2ccccc2F)[C@@H](OC(=O)NCc2ccccc2F)Cn2c(=O)ccc(=O)n21)S(=O)(=O)c1ccc(C)cc1,-0.0,1.0,0.0,1.0,0.0018811104348262437,0.0,1.0,104.0,0.0,1.0,0.0
6,C#CCN(C[C@H]1[C@H](OC(=O)Nc2c(C)noc2C)[C@H](OC(=O)Nc2c(C)noc2C)C[C@@H](C(=O)OC)[C@H]1C(=O)OC)S(=O)(=O)c1ccc(C)cc1,-0.0,1.0,0.0,1.0,0.0027879104935184134,0.0,0.0,96.0,0.0,1.0,0.0
7,C#Cc1cc(N2CCN(C(=O)c3ccoc3)CC2)n2nc(-c3cccc(Cl)c3)cc2n1,-0.0,1.0,0.0,1.0,0.0008086422965991207,0.0,1.0,106.0,0.0,1.0,0.0
8,C(=Cc1cnc2ccccc2n1)c1ccc2c(c1)OCO2,-0.0,1.0,0.0,0.0,6.231427562144946e-05,0.0,0.0,96.0,0.0,1.0,0.0
9,C(=N/Nc1nc2ccccc2s1)\c1ccccn1,-0.0,1.0,0.0,1.0,0.0006616797489995305,0.0,0.0,87.0,0.0,1.0,0.0
10,C(=NNc1ccc2ccccc2n1)c1ccccn1,-0.0,1.0,0.0,1.0,0.0018665349083069789,0.0,0.0,101.0,0.0,1.0,0.0
11,C/C(=N\NC(=O)c1n[nH]c2c1CCC2)c1cccs1,-0.0,1.0,0.0,0.0,7.43639046454013e-05,0.0,0.0,102.0,0.0,1.0,0.0
