,FP Precision@90 - mean_tracin_,FP Precision@90 - mean_tracin_pos_,FP Precision@90 - mean_tracin_self_,TP Precision@90 - mean_tracin_,TP Precision@90 - mean_tracin_pos_,TP Precision@90 - mean_tracin_self_,FP EF10 - mean_tracin_,FP EF10 - mean_tracin_pos_,FP EF10 - mean_tracin_self_,TP EF10 - mean_tracin_,TP EF10 - mean_tracin_pos_,TP EF10 - mean_tracin_self_,FP BEDROC20 - mean_tracin_,FP BEDROC20 - mean_tracin_pos_,FP BEDROC20 - mean_tracin_self_,TP BEDROC20 - mean_tracin_,TP BEDROC20 - mean_tracin_pos_,TP BEDROC20 - mean_tracin_self_
transcription_5,0.8006744222802397,0.8028966445024619,0.8105632069825841,0.0,0.0,0.0,0.687683871204196,0.6895924951566157,0.6961771583086426,0.0,0.0,0.0,0.7807800881426958,0.7805032454111023,0.7936885135937228,0.09860495690894507,0.09864476129638058,0.0777237142666523
channel_atp,0.7352352168397879,0.7352352168397879,0.7256127377443626,0.7589264222253179,0.7589264222253179,0.7666688668866887,0.35968860117946483,0.35968860117946483,0.35498113346513427,0.3876477117445006,0.3876477117445006,0.3916024310274165,0.7253020087652533,0.7253020048648656,0.7223907020866861,0.7484800494552453,0.7484800486739226,0.7383289000995706
transcription,0.7561770223153825,0.7565715284521446,0.7504868738093036,0.7958119427959099,0.7960751006906468,0.7683749825408428,0.33482062806263996,0.3349953077852277,0.33230113984711407,0.4434417349696996,0.4435883716147882,0.42815333251741083,0.7564478220829074,0.7557460959359286,0.7525370204923463,0.7735021080306487,0.7733183756252165,0.7479949704088724
transporter,0.395849505591649,0.395849505591649,0.3809840230612752,0.7762188805740105,0.7762188805740105,0.7522848767359807,0.1199153225407927,0.1199153225407927,0.11541209819120064,0.5410776561655969,0.5410776561655969,0.5243940183110744,0.4110196439111446,0.41101769669550264,0.3933494514732688,0.7742844169271355,0.7742848093730471,0.7494402126948685
cysteine_protease,0.7675681348356214,0.7675681348356214,0.7757913861420856,0.756074709700961,0.756074709700961,0.7321544102500721,0.3927831421020904,0.3927831421020904,0.3969911782878811,0.36917303066777957,0.36917303066777957,0.35749332583244897,0.740720018280352,0.7407200256589186,0.7513262784069772,0.780519540567119,0.780519540567119,0.7641446951094817
dna_repair,0.44423091082783384,0.43499678370638273,0.47507237513919076,0.7684233781996556,0.7684233781996556,0.7208702703980686,0.1591514843375955,0.15584323855343268,0.1702008388616884,0.4931257384827705,0.4931257384827705,0.46260914819272925,0.4572672571446449,0.45606631444986945,0.47745700768127514,0.7977887930320378,0.7977825026005849,0.7578704841090618
GPCR_3,0.8604474337951569,0.8604474337951569,0.8484332473532001,0.6782536036337226,0.6782536036337226,0.6692328206646089,0.5115552545609149,0.5115552545609149,0.504412551866632,0.2750166582536203,0.2750166582536203,0.27135893262753347,0.8414567923259686,0.841442805018908,0.8253090470459277,0.6598619022972769,0.6598622894190556,0.6467466385573875
GPCR,0.5569200048315706,0.5413768413122437,0.5544569006358654,0.38526028713069327,0.3855115805527184,0.4003325124776437,0.28205856244700467,0.2741865479384472,0.28081109490665673,0.19014076940234828,0.1902647923712493,0.1975794923120432,0.5798935069162244,0.5580946779858408,0.5699868804781731,0.3906042084721288,0.390587335280407,0.42378842765870867
GPCR_2,0.8886877077270366,0.8885250214512508,0.8930782208525162,0.23595035889832872,0.23595035889832872,0.25525561026241345,0.7458332350830642,0.7456967002460029,0.7495179834818313,0.03792846890702107,0.03792846890702107,0.041031742958070196,0.896502727586102,0.8966446237901469,0.8964134231856766,0.29500281286512,0.2950027949887179,0.2996745680164502
ion_channel2,0.4042821439444172,0.4025214396627045,0.39068972316249995,0.742913535203934,0.742913535203934,0.7450518708487409,0.08286528416252029,0.0825043944650264,0.08007926002709624,0.5906393323360469,0.5906393323360469,0.5923393755816075,0.3968133111391282,0.39604611431153386,0.3907946148233151,0.7272174404093664,0.7272174609342172,0.7467953119526644
hsf1,0.8815805875302682,0.8815805875302682,0.8724945636755894,0.49595384250736235,0.49595384250736235,0.39444017233689477,0.6649636431656882,0.6649636431656882,0.6581101851724447,0.12186294415895187,0.12186294415895187,0.09691958520277986,0.9113849687466917,0.9113876332189538,0.9028245057879637,0.4565022788900994,0.4565025503928428,0.37781168039682317
methylation,0.8986180773249739,0.8986180773249739,0.8996776761747954,0.502708085556061,0.502708085556061,0.452113066635078,0.6885860415004977,0.6885860415004977,0.6893979826309823,0.11749686023351721,0.11749686023351721,0.10567139723127564,0.8966998336902898,0.8966998341906589,0.8926901984697663,0.5430201765757717,0.5430201763604463,0.4842419381756867
serine,0.9186461729545101,0.979770222015215,0.982386275423071,0.04595559695699426,0.1070796460176991,0.12743362831858407,0.840739783728686,0.8966801678513804,0.8990743651398422,0.003897294441582552,0.009080959379592857,0.01080709215422621,0.9053484312576343,0.9794397141369655,0.9816217745781367,0.059417127168629555,0.13349728626998286,0.1443813078754251
splicing,0.3047044327098894,0.3047044327098894,0.29699140147465874,0.9543597692315503,0.9543597692315503,0.9520860901077551,0.03798745172717057,0.03798745172717057,0.037025869386169814,0.8353798930885784,0.8353798930885784,0.8333896731688061,0.35307564924615564,0.3532741875360593,0.3395583956413817,0.9478153924951398,0.9478153924693441,0.9438577679762453
