,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(-c2cnc3n2CCCC3)cc1,-0.0,1.0,0.0,0.0,-1.6279397010803223,0.0,0.0,-2.430920124053955,0.0,0.0,-2.738196611404419,0.0,0.0,13.370179078035314,0.0,1.0,0.0
1,C(=N/n1cnnc1)\c1ccc(-c2ccccc2)cc1,1.0,0.0,0.0,0.0,-1.6582245826721191,0.0,0.0,-2.4895355701446533,0.0,0.0,-4.792064666748047,0.0,1.0,33.920826798367735,0.0,1.0,0.0
2,C/C=C/Cn1c(SCc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,1.0,0.0,0.0,0.0,-1.6607537269592285,0.0,0.0,-2.495330572128296,1.0,0.0,-5.4596147537231445,0.0,0.0,11.927776170007116,0.0,1.0,0.0
3,C1CCC(CNc2c3c(nc4nnnn24)CCCC3)CC1,1.0,0.0,0.0,0.0,-1.5718953609466553,0.0,0.0,-2.33591365814209,0.0,1.0,-2.308709144592285,0.0,0.0,13.00672656105708,0.0,1.0,0.0
4,C1CCN=C(Nc2nc3c(s2)CCCC3)CC1,-0.0,1.0,0.0,0.0,-1.5781371593475342,0.0,0.0,-2.3460943698883057,0.0,1.0,-2.3202123641967773,0.0,0.0,29.244957768700168,0.0,1.0,0.0
5,C=C(C)C(C)(C#CCN1CCCC1)OC(C)=O,-0.0,1.0,0.0,0.0,-1.6571261882781982,0.0,0.0,-2.4871206283569336,0.0,0.0,-4.58217716217041,1.0,0.0,6.356584201092834,0.0,1.0,0.0
6,C=C(C)C1CC=C(CN2CCC(C(=O)OCC)CC2)CC1,-0.0,1.0,0.0,0.0,-1.6342623233795166,0.0,0.0,-2.442366123199463,0.0,0.0,-2.8850903511047363,0.0,0.0,16.69453151420356,0.0,1.0,0.0
7,C=C(C)COc1ccc2c(C)c(CC(=O)OC)c(=O)oc2c1C,1.0,0.0,1.0,0.0,-1.6616194248199463,1.0,0.0,-2.4973978996276855,1.0,0.0,-5.626613616943359,0.0,0.0,8.502567747053,0.0,1.0,0.0
8,C=C(C)Cn1c(N2CCCC2)nc2c1c(=O)[nH]c(=O)n2C,1.0,0.0,1.0,0.0,-1.6629095077514648,1.0,0.0,-2.500591278076172,1.0,0.0,-5.882378101348877,0.0,0.0,10.613495143123457,0.0,1.0,0.0
9,C=C(C)Cn1c(SCC)nc2ccccc2c1=O,1.0,0.0,0.0,0.0,-1.6579174995422363,0.0,0.0,-2.488852024078369,0.0,0.0,-4.878182888031006,0.0,0.0,18.17444821225924,0.0,1.0,0.0
