,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1cc2ccccc2[n+](Cc2ccccc2)c1,1.0,0.0,0.0,0.0,-0.4172344207763672,0.0,0.0,-1.8730254173278809,0.0,0.0,-2.3235013484954834,0.0,1.0,37.0,0.0,1.0,0.0
1,Brc1cccc(-c2nnc(SCc3nc4ccccc4[nH]3)o2)c1,1.0,0.0,0.0,0.0,-0.45263659954071045,0.0,0.0,-1.94022798538208,0.0,1.0,-2.1900055408477783,0.0,0.0,29.0,0.0,1.0,0.0
2,C#Cc1ccc2c(c1)COc1c3ccccc3nn1-2,-0.0,1.0,0.0,0.0,-0.38442084193229675,0.0,0.0,-1.7950762510299683,0.0,0.0,-2.2503671646118164,0.0,0.0,31.0,0.0,1.0,0.0
3,C/C(=C\C(=O)c1ccncc1)Nc1ccccc1O,1.0,0.0,0.0,0.0,-0.5440346598625183,0.0,0.0,-1.9708377122879028,0.0,0.0,-4.638659477233887,0.0,0.0,33.0,0.0,1.0,0.0
4,C/C(=N/NC(=O)CN1CCN(Cc2ccccc2)CC1)c1ccc([N+](=O)[O-])cc1,1.0,0.0,0.0,0.0,-0.43249598145484924,0.0,0.0,-1.904280662536621,0.0,0.0,-2.237013101577759,0.0,0.0,28.0,0.0,1.0,0.0
5,C/C(=N/NC(=O)CNC(=O)c1cccnc1)c1ccc([N+](=O)[O-])cc1,1.0,0.0,0.0,0.0,-0.35240790247917175,0.0,0.0,-1.7067720890045166,0.0,0.0,-2.56941556930542,0.0,0.0,33.0,0.0,1.0,0.0
6,C/C(=N\NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)c1ccco1,-0.0,1.0,0.0,1.0,-0.20984607934951782,0.0,1.0,-1.1935741901397705,0.0,0.0,-2.7975637912750244,0.0,0.0,29.0,0.0,1.0,0.0
7,C/C(=N\NC(=O)c1nnn(-c2nonc2N)c1CN(C)c1ccccc1)c1cccs1,-0.0,1.0,0.0,0.0,-0.5072976350784302,1.0,0.0,-1.9905985593795776,0.0,0.0,-2.797450065612793,0.0,0.0,19.0,0.0,1.0,0.0
8,C/C(=N\Nc1cccc([N+](=O)[O-])c1)c1ccccc1O,1.0,0.0,0.0,0.0,-0.31434202194213867,0.0,0.0,-1.588036298751831,0.0,0.0,-2.7061867713928223,0.0,0.0,28.0,1.0,-0.0,1.0
9,C/C(=N\Nc1nnc2c3ccccc3n(C)c2n1)c1ccc(C)o1,-0.0,1.0,0.0,0.0,-0.40641629695892334,0.0,0.0,-1.8487489223480225,0.0,0.0,-2.2624917030334473,0.0,1.0,34.0,0.0,1.0,0.0
