,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C(=N/Nc1nc2ccccc2s1)\c1ccccn1,-0.0,1.0,0.0,0.0,-1.8222846984863281,0.0,0.0,-2.1577675342559814,0.0,1.0,-2.085761547088623,0.0,0.0,30.0,0.0,1.0,0.0
1,C/C(=C\C(=O)c1ccccc1)NNC(=O)c1ccc(Cl)cc1,1.0,0.0,0.0,0.0,-2.034569263458252,0.0,0.0,-2.407461404800415,0.0,0.0,-2.2140731811523438,0.0,1.0,47.0,0.0,1.0,0.0
2,C/C(=N/NC(=O)c1cc2ccccc2cc1O)c1ccco1,-0.0,1.0,0.0,0.0,-1.9362668991088867,0.0,0.0,-2.291902542114258,0.0,0.0,-2.2197909355163574,0.0,0.0,19.0,1.0,-0.0,1.0
3,C/C(=N\NC(=O)C1COc2ccccc2O1)c1ccc(N2CCOCC2)cc1,1.0,0.0,1.0,0.0,-2.5474092960357666,1.0,0.0,-3.0084705352783203,1.0,0.0,-9.092792510986328,0.0,0.0,22.0,0.0,1.0,0.0
4,C/C(=N\NC(=O)c1cc2ccccc2cc1O)c1ccc(C)o1,-0.0,1.0,0.0,0.0,-2.1254210472106934,0.0,0.0,-2.5141563415527344,0.0,0.0,-2.7167229652404785,0.0,0.0,9.0,1.0,-0.0,1.0
5,C/C(=N\NC(=O)c1cc2ccccc2cc1O)c1ccccn1,1.0,0.0,0.0,0.0,-2.183811902999878,0.0,0.0,-2.5826799869537354,0.0,0.0,-3.522196054458618,0.0,0.0,4.0,1.0,-0.0,1.0
6,C/C(=N\NC(=O)c1cc2ccccc2cc1O)c1cccs1,1.0,0.0,0.0,0.0,-1.7939410209655762,0.0,0.0,-2.1243960857391357,0.0,0.0,-2.1086585521698,0.0,0.0,14.0,1.0,-0.0,1.0
7,C/C(=N\NC(=O)c1cccc(Br)c1)c1ccccn1,1.0,0.0,0.0,0.0,-1.6821560859680176,0.0,0.0,-1.9927282333374023,0.0,0.0,-2.1041383743286133,0.0,0.0,14.0,0.0,1.0,0.0
8,C/C(=N\NC(=O)c1ccoc1C)c1ccccc1O,-0.0,1.0,0.0,0.0,-2.321322441101074,0.0,0.0,-2.7438979148864746,0.0,0.0,-3.7687997817993164,0.0,0.0,28.0,1.0,-0.0,1.0
9,C/C(=N\NC(=S)NCCc1ccccc1)c1ccc(Cl)cc1Cl,1.0,0.0,0.0,1.0,-1.5200121402740479,0.0,1.0,-1.8015923500061035,0.0,0.0,-2.234837055206299,0.0,0.0,6.0,0.0,1.0,0.0
10,C/C(=N\Nc1nncc2ccccc12)c1ccc(C(C)(C)C)cc1,1.0,0.0,0.0,0.0,-2.182624101638794,0.0,0.0,-2.581286668777466,0.0,0.0,-2.698920249938965,0.0,0.0,4.0,0.0,1.0,0.0
11,C/C(=N\O)C(=O)C(CN1CCCCC1)CN1CCCCC1,1.0,0.0,0.0,0.0,-2.217613697052002,0.0,0.0,-2.6223294734954834,0.0,0.0,-3.8395442962646484,0.0,0.0,5.0,1.0,-0.0,1.0
12,C/C(N)=C(/C#N)C(=O)CSc1nc2ccccc2c(=O)n1Cc1ccc(F)cc1,-0.0,1.0,0.0,0.0,-2.2848193645477295,0.0,0.0,-2.7011232376098633,0.0,0.0,-3.6541106700897217,1.0,0.0,1.0,0.0,1.0,0.0
13,C=CCN(CC=C)C(=S)NC(=O)c1ccc(-c2ccccc2)cc1,-0.0,1.0,0.0,0.0,-1.8261598348617554,0.0,0.0,-2.1623294353485107,0.0,0.0,-2.1363906860351562,0.0,0.0,12.0,0.0,1.0,0.0
14,C=CCN(CC=C)C(=S)NC(=O)c1ccc(OC)c(Br)c1,-0.0,1.0,0.0,1.0,-1.6265931129455566,0.0,1.0,-1.9272499084472656,0.0,0.0,-2.140373706817627,0.0,0.0,12.0,0.0,1.0,0.0
15,C=CCNC(=S)NC(=O)c1ccc(C)c(Br)c1,1.0,0.0,0.0,1.0,-1.5683380365371704,0.0,1.0,-1.8585765361785889,0.0,0.0,-2.181173086166382,1.0,0.0,2.0,0.0,1.0,0.0
16,C=CCNC(=S)Nc1sc2c(c1C(=O)OCC)CC(C(C)C)OC2,-0.0,1.0,0.0,0.0,-2.0518922805786133,0.0,0.0,-2.4278125762939453,0.0,0.0,-2.4177303314208984,0.0,0.0,19.0,0.0,1.0,0.0
17,C=CCOc1c(Br)cc(CNc2ccc(NC(=O)CCC)cc2)cc1OCC,-0.0,1.0,0.0,0.0,-2.2126851081848145,0.0,0.0,-2.616549015045166,0.0,0.0,-2.7096850872039795,0.0,1.0,48.0,0.0,1.0,0.0
18,C=CCOc1ccc(/C=C2\SC(=S)N(NS(=O)(=O)c3ccc(C)cc3)C2=O)cc1,-0.0,1.0,0.0,0.0,-2.1591992378234863,0.0,0.0,-2.5538010597229004,0.0,0.0,-2.8025617599487305,0.0,0.0,14.0,1.0,-0.0,1.0
19,C=CCSc1nc2sc3c(c2c(=O)n1CC)CCc1ccccc1-3,-0.0,1.0,0.0,0.0,-2.1492552757263184,0.0,0.0,-2.5421316623687744,0.0,0.0,-2.566770553588867,0.0,0.0,3.0,0.0,1.0,0.0
20,C=CCn1c(=S)[nH]c2ccc(Br)cc2c1=O,1.0,0.0,0.0,1.0,-1.4343698024749756,0.0,1.0,-1.7005668878555298,0.0,0.0,-2.2490851879119873,0.0,0.0,4.0,0.0,1.0,0.0
21,C=CCn1c(=S)[nH]c2sc3c(c2c1=O)CCCC3,-0.0,1.0,0.0,0.0,-1.8607838153839111,0.0,0.0,-2.2030858993530273,0.0,1.0,-2.0908102989196777,0.0,0.0,29.0,0.0,1.0,0.0
