,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C(=N\Nc1cc(N2CCOCC2)nc(N2CCOCC2)n1)\c1ccccc1,1.0,0.0,1.0,0.0,-1.2411468029022217,1.0,0.0,-2.8962645530700684,1.0,0.0,-4.223964691162109,1.0,0.0,50.0,0.0,1.0,0.0
1,C/C(=C\C(=O)c1ccccc1)Nc1ccc(O)cc1,1.0,0.0,0.0,0.0,-1.203298568725586,0.0,0.0,-2.8081729412078857,0.0,0.0,-3.2547037601470947,0.0,0.0,78.0,0.0,1.0,0.0
2,C/C(=C\C(=O)c1cccnc1)Nc1ccc(O)cc1,1.0,0.0,0.0,0.0,-1.2094608545303345,0.0,0.0,-2.8225185871124268,0.0,0.0,-3.3597633838653564,0.0,0.0,77.0,0.0,1.0,0.0
3,C/C(=N/NC(=O)CCc1ccccc1)c1ccco1,1.0,0.0,0.0,0.0,-1.183469295501709,0.0,0.0,-2.7620041370391846,0.0,0.0,-2.921563148498535,1.0,0.0,51.0,0.0,1.0,0.0
4,C/C(=N\NC(=O)CSc1nc2ccccc2o1)c1ccc(O)cc1,1.0,0.0,0.0,0.0,-1.2051725387573242,0.0,0.0,-2.8125357627868652,0.0,0.0,-3.258660078048706,1.0,0.0,51.0,1.0,-0.0,1.0
5,C/C(=N\NC(=O)c1nnn(-c2nonc2N)c1C)c1ccc(-c2ccccc2)cc1,1.0,0.0,0.0,0.0,-1.212223768234253,0.0,0.0,-2.8289499282836914,0.0,0.0,-3.4615468978881836,0.0,0.0,98.0,0.0,1.0,0.0
6,C/C(=N\O)C(C)Oc1ccc(Cl)cc1,1.0,0.0,0.0,0.0,-1.2055156230926514,0.0,0.0,-2.8133344650268555,0.0,0.0,-3.3304972648620605,0.0,0.0,65.0,0.0,1.0,0.0
7,C/C(C=Nn1c(-c2ccc(F)cc2)n[nH]c1=S)=C/c1ccco1,1.0,0.0,0.0,0.0,-1.1546834707260132,0.0,0.0,-2.694965124130249,0.0,0.0,-2.603062629699707,0.0,0.0,61.0,0.0,1.0,0.0
8,C/C(CC(=O)NCCCN1CCOCC1)=N\NC(=O)COc1ccc(Cl)cc1,1.0,0.0,0.0,0.0,-1.2337701320648193,0.0,0.0,-2.879099130630493,0.0,0.0,-4.000775337219238,0.0,0.0,65.0,0.0,1.0,0.0
9,C/C(CC(=O)Nc1ccc2ccccc2c1)=N\NC(=O)c1ccc(O)c(O)c1,-0.0,1.0,0.0,0.0,-1.208804726600647,0.0,0.0,-2.8209915161132812,0.0,0.0,-3.2913146018981934,0.0,1.0,111.0,1.0,-0.0,1.0
