,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C(=C/c1ccccc1)\CSc1nnc(-c2cccnc2)n1Cc1ccco1,1.0,0.0,0.0,0.0,0.005375071428716183,0.0,0.0,-2.8887484073638916,0.0,0.0,-3.0752222537994385,0.0,0.0,24.0,0.0,1.0,0.0
1,C/C(=C\c1ccccc1)C(=O)n1nnc2ccccc21,-0.0,1.0,0.0,0.0,0.005332837346941233,0.0,0.0,-2.873811721801758,0.0,0.0,-3.0026702880859375,0.0,0.0,24.0,0.0,1.0,0.0
2,C/C(=N/NC(=O)CNC(=O)Cc1ccccc1)c1ccc(Cl)cc1,1.0,0.0,0.0,0.0,0.005300469230860472,0.0,0.0,-2.8623313903808594,0.0,0.0,-2.987926721572876,0.0,1.0,32.0,0.0,1.0,0.0
3,C/C(=N/Oc1nc(C)cc(C)n1)c1ccc(Br)cc1,1.0,0.0,0.0,0.0,0.005302391014993191,0.0,0.0,-2.8630194664001465,0.0,0.0,-2.9648609161376953,1.0,0.0,16.0,0.0,1.0,0.0
4,C/C(=N\NC(=S)NCc1ccccc1)c1ccc(C#N)cc1,1.0,0.0,1.0,0.0,0.005238784942775965,0.0,1.0,-2.840330123901367,0.0,1.0,-2.9031431674957275,0.0,0.0,22.0,0.0,1.0,0.0
5,C/C(=N\NC(=S)NCc1ccccc1)c1ccc(Cl)cc1,1.0,0.0,1.0,0.0,0.005260782316327095,0.0,1.0,-2.8481998443603516,0.0,1.0,-2.911766529083252,0.0,0.0,23.0,0.0,1.0,0.0
6,C/C(=N\OC(=O)C1CC1)C1CC1c1ccc(F)cc1,1.0,0.0,0.0,0.0,0.005327332764863968,0.0,0.0,-2.87186861038208,0.0,0.0,-3.0067825317382812,0.0,0.0,21.0,0.0,1.0,0.0
7,C/C(=N\OC(=O)NC(C)C)c1sc(-c2ccc(Cl)cc2)nc1C,1.0,0.0,0.0,0.0,0.0053415619768202305,0.0,0.0,-2.876899242401123,0.0,0.0,-3.063297986984253,0.0,0.0,23.0,0.0,1.0,0.0
8,C/C(CC(=O)NCCCN1CCOCC1)=N\NC(=O)COc1ccc(C)cc1,1.0,0.0,0.0,0.0,0.005403701215982437,0.0,0.0,-2.8988113403320312,0.0,0.0,-3.2057206630706787,0.0,0.0,19.0,0.0,1.0,0.0
9,C/C(Cc1ccccc1)=N\NC(=O)CNC(=O)c1ccc(Cl)cc1Cl,1.0,0.0,0.0,0.0,0.0052974894642829895,0.0,0.0,-2.8612680435180664,0.0,0.0,-2.982170343399048,0.0,1.0,31.0,0.0,1.0,0.0
