,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1cc(-c2ccccc2)nc(-c2ccccc2)n1,1.0,0.0,0.0,0.0,0.5742069482803345,0.0,0.0,-1.5945864915847778,0.0,0.0,-2.034334421157837,1.0,0.0,51.0,0.0,1.0,0.0
1,Brc1cc2c(cc1C1Nc3ccccc3C3C=CCC31)OCO2,-0.0,1.0,0.0,0.0,0.6990538835525513,0.0,0.0,-2.056130886077881,0.0,0.0,-2.343219757080078,0.0,0.0,64.0,1.0,-0.0,1.0
2,Brc1ccc(-c2cn3c(n2)CCc2ccc4cccnc4c2-3)cc1,-0.0,1.0,0.0,0.0,0.5332450866699219,0.0,0.0,-1.4632586240768433,0.0,0.0,-1.992042899131775,0.0,0.0,76.0,0.0,1.0,0.0
3,Brc1ccc(C2C3=C(Nc4ncnn42)c2ccccc2OC3c2ccncc2)cc1,1.0,0.0,1.0,0.0,0.489577978849411,0.0,1.0,-1.328005075454712,0.0,1.0,-1.9437873363494873,0.0,0.0,88.0,0.0,1.0,0.0
4,Brc1ccc(Nc2ncnc3[nH]ncc23)cc1,1.0,0.0,0.0,0.0,0.6723549365997314,0.0,0.0,-1.942039966583252,0.0,0.0,-2.065171241760254,1.0,0.0,52.0,0.0,1.0,0.0
5,Brc1ccc2[nH]c3c(N4CCc5ccccc5C4)ncnc3c2c1,-0.0,1.0,1.0,0.0,0.4522264897823334,0.0,1.0,-1.2152609825134277,0.0,1.0,-1.9030956029891968,0.0,0.0,86.0,0.0,1.0,0.0
6,Brc1ccccc1C1Nc2cccc3cccc(c23)N1,1.0,0.0,0.0,0.0,0.5923853516578674,0.0,0.0,-1.6547645330429077,0.0,0.0,-2.022381067276001,0.0,0.0,57.0,1.0,-0.0,1.0
7,C#CCN1C(=O)S/C(=C\c2ccc(-c3ccc(Cl)c(C(=O)O)c3)o2)C1=O,1.0,0.0,0.0,0.0,0.718970775604248,0.0,0.0,-2.263720989227295,0.0,0.0,-3.0428810119628906,0.0,0.0,68.0,1.0,-0.0,1.0
8,C#CCn1c(=NC(=O)c2cc(Cl)sc2Cl)sc2cc(S(N)(=O)=O)ccc21,1.0,0.0,0.0,0.0,0.5815277099609375,0.0,0.0,-1.6187927722930908,0.0,0.0,-2.01412296295166,1.0,0.0,50.0,0.0,1.0,0.0
9,C/C(=N/NC(=O)c1cc(-c2ccccc2)nc2c(Cl)cccc12)c1cccnc1,1.0,0.0,1.0,0.0,0.4273507595062256,0.0,1.0,-1.1416288614273071,0.0,1.0,-1.8566365242004395,0.0,0.0,90.0,0.0,1.0,0.0
10,C/C(=N/NC(=O)c1cc2ccccc2cc1O)C1C(=O)c2ccccc2C1=O,1.0,0.0,0.0,0.0,0.6680541038513184,0.0,0.0,-1.9249635934829712,0.0,0.0,-2.1254091262817383,0.0,0.0,83.0,1.0,-0.0,1.0
11,C/C(=N/NC(=O)c1cccs1)c1c(C)[nH]n(-c2nc3ccccc3s2)c1=O,1.0,0.0,0.0,0.0,0.6147194504737854,0.0,0.0,-1.7306501865386963,0.0,0.0,-2.0615615844726562,0.0,0.0,55.0,0.0,1.0,0.0
12,C/C(=N/NS(=O)(=O)c1ccc(Cl)cc1)c1cccc(NC(=O)c2ccc(Cl)cc2Cl)c1,-0.0,1.0,1.0,0.0,0.43455344438552856,0.0,1.0,-1.162829875946045,0.0,1.0,-1.848923921585083,0.0,0.0,64.0,0.0,1.0,0.0
13,C/C(=N/Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1)c1ccc(O)cc1,1.0,0.0,1.0,0.0,0.4119716286659241,0.0,1.0,-1.09653902053833,0.0,1.0,-1.8344955444335938,0.0,1.0,99.0,1.0,-0.0,1.0
14,C/C(=N\N=C(/N)SC1CC(=O)N(c2ccc(Br)cc2)C1=O)c1cccs1,-0.0,1.0,1.0,0.0,0.48530301451683044,0.0,1.0,-1.3149796724319458,0.0,1.0,-1.933005928993225,0.0,1.0,98.0,0.0,1.0,0.0
15,C/C(=N\N=C(/N)SC1CC(=O)N(c2ccc(Cl)c(Cl)c2)C1=O)c1cccs1,1.0,0.0,1.0,0.0,0.43321433663368225,0.0,1.0,-1.158883810043335,0.0,1.0,-1.882290005683899,0.0,1.0,98.0,0.0,1.0,0.0
16,C/C(=N\NC(=O)COc1ccc(C)cc1C(C)C)c1cc2ccccc2o1,-0.0,1.0,0.0,0.0,0.7204518914222717,0.0,0.0,-2.1767497062683105,0.0,0.0,-3.4665403366088867,0.0,0.0,57.0,0.0,1.0,0.0
17,C/C(=N\NC(=O)COc1ccccc1-c1ccccc1)c1ccc(O)cc1O,1.0,0.0,0.0,0.0,0.668156623840332,0.0,0.0,-1.9254344701766968,0.0,0.0,-2.3884787559509277,0.0,0.0,86.0,1.0,-0.0,1.0
18,C/C(=N\NC(=O)COc1ccccc1-c1ccccc1)c1ccccn1,1.0,0.0,0.0,0.0,0.7164297103881836,0.0,0.0,-2.148454189300537,0.0,0.0,-3.071768045425415,0.0,0.0,83.0,0.0,1.0,0.0
19,C/C(=N\NC(=O)CSc1nc(C)[nH]c1[N+](=O)[O-])c1ccc(F)cc1,1.0,0.0,0.0,1.0,0.7236995697021484,0.0,0.0,-2.209810256958008,0.0,0.0,-2.8304388523101807,0.0,0.0,56.0,0.0,1.0,0.0
20,C/C(=N\NC(=O)c1cc(Br)ccc1O)c1cccc(NC(=O)c2ccccc2F)c1,1.0,0.0,0.0,0.0,0.5406787395477295,0.0,0.0,-1.4867640733718872,0.0,0.0,-1.9861226081848145,0.0,0.0,63.0,0.0,1.0,0.0
21,C/C(=N\NC(=O)c1cc(Br)ccc1O)c1ccccn1,1.0,0.0,0.0,0.0,0.6587814688682556,0.0,0.0,-1.8893616199493408,0.0,0.0,-2.1497979164123535,0.0,1.0,97.0,0.0,1.0,0.0
22,C/C(=N\NC(=O)c1cc2ccccc2cc1O)c1cc2ccccc2o1,1.0,0.0,1.0,0.0,0.5091279149055481,0.0,1.0,-1.3880261182785034,0.0,1.0,-1.9207295179367065,0.0,0.0,78.0,1.0,-0.0,1.0
23,C/C(=N\NC(=O)c1cc2ccccc2cc1O)c1ccc2c(c1)OCO2,-0.0,1.0,0.0,0.0,0.5807279348373413,0.0,0.0,-1.616123080253601,0.0,0.0,-1.9836108684539795,0.0,0.0,81.0,1.0,-0.0,1.0
24,C/C(=N\NC(=O)c1cc2ccccc2cc1O)c1cccs1,1.0,0.0,0.0,0.0,0.6080662608146667,0.0,0.0,-1.7077608108520508,0.0,0.0,-2.034684181213379,0.0,0.0,71.0,1.0,-0.0,1.0
25,C/C(=N\NC(=O)c1ccc(C)cc1)c1c(C)[nH]n(-c2ccccc2)c1=O,1.0,0.0,0.0,0.0,0.6700371503829956,0.0,0.0,-1.9327841997146606,0.0,0.0,-2.2138657569885254,0.0,0.0,56.0,0.0,1.0,0.0
26,C/C(=N\NC(=O)c1ccc(Cl)c(Cl)c1)c1ccc(Br)s1,1.0,0.0,1.0,0.0,0.47749271988868713,0.0,1.0,-1.2912297248840332,0.0,1.0,-1.9325575828552246,0.0,0.0,88.0,0.0,1.0,0.0
27,C/C(=N\NC(=O)c1ccc(Cl)c(Cl)c1)c1ccccn1,1.0,0.0,0.0,0.0,0.6471537351608276,0.0,0.0,-1.8458161354064941,0.0,0.0,-2.0991344451904297,0.0,0.0,92.0,0.0,1.0,0.0
28,C/C(=N\NC(=O)c1ccc(Cl)cc1)c1ccccn1,1.0,0.0,0.0,0.0,0.7146264314651489,0.0,0.0,-2.1372156143188477,0.0,0.0,-2.60833477973938,0.0,0.0,87.0,0.0,1.0,0.0
