,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C/C(=N\N1C(C)CCCC1C)c1ccc(Cl)c([N+](=O)[O-])c1,1.0,0.0,0.0,0.0,-0.2538347542285919,0.0,0.0,-2.7188053131103516,0.0,0.0,-3.713845729827881,0.0,0.0,11.0,0.0,1.0,0.0
1,C/C(=N\NC(=O)CSc1nc2ccccc2c(=O)n1-c1ccccc1C)c1cccs1,1.0,0.0,0.0,0.0,-0.24885573983192444,0.0,0.0,-2.660750150680542,0.0,0.0,-3.601580858230591,0.0,0.0,11.0,0.0,1.0,0.0
2,C/C(=N\NC(N)=S)c1ccc2c(c1)OCCO2,1.0,0.0,0.0,0.0,-0.21525171399116516,0.0,0.0,-2.279571294784546,0.0,0.0,-2.12947940826416,0.0,0.0,12.0,0.0,1.0,0.0
3,C/C(=N\Nc1ccc([N+](=O)[O-])cc1)c1cccc(N)c1,1.0,0.0,0.0,0.0,-0.20784792304039001,0.0,0.0,-2.1975226402282715,0.0,1.0,-2.1065359115600586,0.0,0.0,15.0,0.0,1.0,0.0
4,C/C(=N\OCC(=O)Nc1nc2ccccc2s1)c1ccccc1,1.0,0.0,0.0,0.0,-0.2282775640487671,0.0,0.0,-2.425367832183838,0.0,0.0,-2.2526721954345703,1.0,0.0,10.0,0.0,1.0,0.0
5,C/C(CCc1ccccc1)=N\NC(=O)C1C2CCCCC21,1.0,0.0,0.0,0.0,-0.25991928577423096,0.0,0.0,-2.790478229522705,0.0,0.0,-4.82029390335083,1.0,0.0,10.0,0.0,1.0,0.0
6,C=C(C)C[C@@]1(C(=O)OCC)C(=O)Oc2ccc3ccccc3c2N1C,1.0,0.0,0.0,0.0,-0.25397419929504395,0.0,0.0,-2.7204341888427734,0.0,0.0,-3.8162572383880615,1.0,0.0,10.0,0.0,1.0,0.0
7,C=C1CCN(Cc2ccccc2)S(=O)(=O)c2ccccc21,1.0,0.0,0.0,0.0,-0.23215970396995544,0.0,0.0,-2.4692916870117188,0.0,0.0,-2.3061139583587646,0.0,0.0,11.0,0.0,1.0,0.0
8,C=CCN=c1scc(C)n1/N=C/c1ccc(O)c(O)c1,1.0,0.0,0.0,0.0,-0.2275702953338623,0.0,0.0,-2.4173874855041504,0.0,0.0,-2.2654337882995605,0.0,0.0,15.0,1.0,-0.0,1.0
9,C=CCNc1n[nH]c(=S)s1,1.0,0.0,0.0,0.0,-0.21694594621658325,0.0,0.0,-2.2984023094177246,0.0,1.0,-2.094188690185547,0.0,0.0,15.0,0.0,1.0,0.0
