,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1cc(Br)c2nc(-c3cccs3)ccc2c1,1.0,0.0,0.0,1.0,-0.4105985760688782,0.0,1.0,-0.9193659424781799,0.0,1.0,-2.0755159854888916,0.0,1.0,41.88878365579759,0.0,1.0,0.0
1,Brc1ccc(-c2cn3cccnc3n2)cc1,1.0,0.0,0.0,1.0,-0.6230114698410034,0.0,1.0,-1.349679946899414,0.0,0.0,-2.6883630752563477,0.0,0.0,28.940603436612093,0.0,1.0,0.0
2,Brc1ccc(-c2csc(-c3ccncc3)n2)cc1,1.0,0.0,0.0,1.0,-0.4599456787109375,0.0,1.0,-1.0221881866455078,0.0,0.0,-2.2360458374023438,0.0,0.0,17.575429576511972,0.0,1.0,0.0
3,Brc1ccc(-c2nc(-c3ccccn3)no2)o1,1.0,0.0,0.0,1.0,-0.43759188055992126,0.0,1.0,-0.9757949113845825,0.0,0.0,-2.22887921333313,0.0,0.0,23.55567582194561,0.0,1.0,0.0
4,Brc1ccc(-c2nc(-c3cccnc3)no2)o1,-0.0,1.0,0.0,1.0,-0.438266783952713,0.0,1.0,-0.9771657586097717,0.0,0.0,-2.2310845851898193,0.0,0.0,34.298471113516435,0.0,1.0,0.0
5,Brc1ccc(-c2nc(-c3ccncc3)no2)o1,1.0,0.0,0.0,1.0,-0.43960466980934143,0.0,1.0,-0.9799684286117554,0.0,0.0,-2.234792709350586,0.0,0.0,30.65890948450819,0.0,1.0,0.0
6,Brc1ccc(-c2nnc(-c3ccccc3)o2)o1,1.0,0.0,0.0,1.0,-0.4207879602909088,0.0,1.0,-0.940677285194397,0.0,1.0,-2.137648582458496,0.0,0.0,27.601136517386017,0.0,1.0,0.0
7,Brc1ccc(-c2nnc(-c3cccnc3)o2)cc1,-0.0,1.0,0.0,1.0,-0.5335675477981567,0.0,1.0,-1.1725811958312988,0.0,0.0,-2.5021886825561523,0.0,0.0,28.91354349884996,0.0,1.0,0.0
8,Brc1ccc(-c2noc(-c3ccccc3)n2)o1,1.0,0.0,0.0,1.0,-0.40686556696891785,0.0,1.0,-0.9114701747894287,0.0,1.0,-2.0804219245910645,0.0,1.0,36.7473954809904,0.0,1.0,0.0
9,Brc1ccc(-n2cnc(-c3ccccc3)c2)cc1,1.0,0.0,0.0,1.0,-0.5898821353912354,0.0,1.0,-1.2849195003509521,0.0,0.0,-2.5901613235473633,0.0,0.0,17.670139358679474,0.0,1.0,0.0
10,Brc1ccc(CSc2nnc(-c3cccnc3)o2)cc1,1.0,0.0,0.0,1.0,-0.734187126159668,0.0,1.0,-1.5581204891204834,0.0,0.0,-2.686457872390747,0.0,0.0,22.51386821810309,0.0,1.0,0.0
11,Brc1ccc(OCc2cn3ccccc3n2)cc1,-0.0,1.0,0.0,0.0,-0.8424382209777832,0.0,0.0,-1.7394137382507324,0.0,0.0,-2.3676352500915527,0.0,0.0,28.45352455689352,0.0,1.0,0.0
12,Brc1ccc(OCc2nc(-c3ccccn3)n[nH]2)cc1,1.0,0.0,0.0,0.0,-0.9420011639595032,0.0,0.0,-1.8187410831451416,0.0,0.0,-2.6172571182250977,1.0,0.0,2.002435394398593,0.0,1.0,0.0
13,Brc1ccc(Oc2nnnn2-c2ccccc2)cc1,-0.0,1.0,0.0,0.0,-0.8997489213943481,0.0,0.0,-1.8161625862121582,0.0,1.0,-2.0603864192962646,0.0,0.0,13.719388445406572,0.0,1.0,0.0
14,Brc1ccc2nc(-c3ccccc3)c(Cc3ccsc3)n2c1,1.0,0.0,0.0,1.0,-0.5106378793716431,0.0,1.0,-1.12615966796875,0.0,0.0,-2.360901355743408,0.0,0.0,14.815315924773373,0.0,1.0,0.0
15,Brc1ccc2nc(N3CCCC3)sc2c1,1.0,0.0,0.0,0.0,-0.7741652727127075,0.0,0.0,-1.628486156463623,0.0,0.0,-2.6054139137268066,0.0,0.0,34.19023136246786,0.0,1.0,0.0
16,Brc1ccc2oc(-c3ccn[nH]3)cc2c1,1.0,0.0,0.0,1.0,-0.7609180212020874,0.0,1.0,-1.605528712272644,0.0,0.0,-2.655534029006958,0.0,0.0,16.046543092950884,0.0,1.0,0.0
