,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,BrC(=C\c1ccccc1)/C=N/n1cnnc1,-0.0,1.0,0.0,0.0,-2.1950740814208984,0.0,0.0,-3.2373275756835938,0.0,0.0,-4.346584320068359,0.0,0.0,95.0,0.0,1.0,0.0
1,Brc1ccc(-n2cc(-c3ccccc3)c3c(NN4CCOCC4)ncnc32)cc1,-0.0,1.0,0.0,0.0,-2.0201902389526367,0.0,0.0,-2.981839656829834,0.0,0.0,-2.6868691444396973,0.0,0.0,95.0,0.0,1.0,0.0
2,Brc1ccc2nc(-c3ccc(CN4CCC(c5nc6ccccc6[nH]5)CC4)cc3)c(-c3ccccc3)nc2c1,-0.0,1.0,0.0,0.0,-1.2013435363769531,0.0,0.0,-1.7779499292373657,0.0,0.0,-1.901066780090332,0.0,0.0,100.0,0.0,1.0,0.0
3,C#CC(=O)N(c1ccc(OC)cc1OC)C(C(=O)NC1CCCC1)c1cccs1,-0.0,1.0,0.0,0.0,-2.2243947982788086,0.0,0.0,-3.2799558639526367,0.0,0.0,-3.3184432983398438,0.0,0.0,92.0,0.0,1.0,0.0
4,C#CCN(C[C@@H]1[C@@H](OC(=O)NC2CCCC2)[C@@H](OC(=O)NC2CCCC2)Cn2c(=O)ccc(=O)n21)S(=O)(=O)c1ccc(C)cc1,-0.0,1.0,0.0,0.0,-1.4818174839019775,0.0,0.0,-2.1908040046691895,0.0,0.0,-2.068495273590088,0.0,0.0,95.0,0.0,1.0,0.0
5,C#CCN(C[C@@H]1[C@@H](OC(=O)NCc2ccccc2F)[C@@H](OC(=O)NCc2ccccc2F)Cn2c(=O)ccc(=O)n21)S(=O)(=O)c1ccc(C)cc1,-0.0,1.0,0.0,0.0,-0.7369617223739624,0.0,0.0,-1.092194676399231,0.0,0.0,-1.32906973361969,0.0,1.0,104.0,0.0,1.0,0.0
6,C#CCN(C[C@H]1[C@H](OC(=O)Nc2c(C)noc2C)[C@H](OC(=O)Nc2c(C)noc2C)C[C@@H](C(=O)OC)[C@H]1C(=O)OC)S(=O)(=O)c1ccc(C)cc1,-0.0,1.0,0.0,0.0,-2.0125527381896973,0.0,0.0,-2.9696507453918457,0.0,0.0,-3.3469810485839844,0.0,0.0,96.0,0.0,1.0,0.0
7,C#Cc1cc(N2CCN(C(=O)c3ccoc3)CC2)n2nc(-c3cccc(Cl)c3)cc2n1,-0.0,1.0,0.0,0.0,-2.0011518001556396,0.0,0.0,-2.9539222717285156,0.0,0.0,-2.2504217624664307,0.0,1.0,106.0,0.0,1.0,0.0
8,C(=Cc1cnc2ccccc2n1)c1ccc2c(c1)OCO2,-0.0,1.0,0.0,0.0,-2.156766414642334,0.0,0.0,-3.1814465522766113,0.0,0.0,-3.772394895553589,0.0,0.0,96.0,0.0,1.0,0.0
9,C(=N/Nc1nc2ccccc2s1)\c1ccccn1,-0.0,1.0,0.0,0.0,-2.1176936626434326,0.0,0.0,-3.1244330406188965,0.0,0.0,-3.977041721343994,0.0,0.0,87.0,0.0,1.0,0.0
10,C(=NNc1ccc2ccccc2n1)c1ccccn1,-0.0,1.0,0.0,0.0,-2.216874122619629,0.0,0.0,-3.2690789699554443,0.0,0.0,-4.6595377922058105,0.0,0.0,101.0,0.0,1.0,0.0
