,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc2c(c1)C(OC1CN3CCC1CC3)c1ccccc1CS2,-0.0,1.0,0.0,1.0,-1.837144136428833,0.0,1.0,-2.364151954650879,0.0,1.0,-2.3294639587402344,0.0,0.0,23.0,0.0,1.0,0.0
1,C#CCNc1c(C)c(C)nc2ncnn12,-0.0,1.0,0.0,0.0,-2.338627576828003,0.0,0.0,-3.015336036682129,0.0,0.0,-5.323307991027832,1.0,0.0,5.0,0.0,1.0,0.0
2,C#CCNc1c2c(nc3ncnn13)CC(C)CC2,-0.0,1.0,0.0,0.0,-2.2215769290924072,0.0,0.0,-2.863039016723633,0.0,0.0,-3.5692100524902344,0.0,0.0,9.0,0.0,1.0,0.0
3,C#CCOC(=O)Nc1cccn(Cc2c(Cl)cccc2Cl)c1=O,1.0,0.0,0.0,0.0,-2.134519338607788,0.0,0.0,-2.749884605407715,0.0,0.0,-2.95094633102417,1.0,0.0,6.0,0.0,1.0,0.0
4,C#CC[N+](CC)(CC)CC#Cc1ccccc1,-0.0,1.0,0.0,0.0,-1.9879634380340576,0.0,0.0,-2.5596213340759277,0.0,0.0,-2.4162306785583496,0.0,0.0,35.0,0.0,1.0,0.0
5,C#CC[N+]1(CC#Cc2ccc(C)cc2)CCCCC1,-0.0,1.0,0.0,1.0,-1.92664635181427,0.0,1.0,-2.480119466781616,0.0,1.0,-2.3214404582977295,0.0,0.0,28.0,0.0,1.0,0.0
6,C#CC[N+]1(CC#Cc2cccc(C)c2)CCCCC1,-0.0,1.0,0.0,1.0,-1.927975058555603,0.0,1.0,-2.481841564178467,0.0,1.0,-2.3217692375183105,0.0,0.0,26.0,0.0,1.0,0.0
7,C#CC[N+]1(CC#Cc2ccccc2)CCCCC1,1.0,0.0,0.0,0.0,-1.9588713645935059,0.0,0.0,-2.5218942165374756,0.0,0.0,-2.356069564819336,0.0,1.0,49.0,0.0,1.0,0.0
8,C/C(=N/NC(=O)c1cc(Cl)ccc1O)C12CC3CC(CC(C3)C1)C2,-0.0,1.0,0.0,0.0,-1.9918105602264404,0.0,0.0,-2.5646114349365234,0.0,0.0,-2.391089677810669,0.0,0.0,33.0,0.0,1.0,0.0
9,C/C(=N\N=C(N)N)c1ccc(Cl)cc1,-0.0,1.0,0.0,0.0,-2.356501340866089,0.0,0.0,-3.0386078357696533,1.0,0.0,-6.463539123535156,0.0,1.0,51.0,0.0,1.0,0.0
10,C/C(=N\N=C(N)N)c1ccc(Cl)cc1Cl,-0.0,1.0,0.0,0.0,-2.2548012733459473,0.0,0.0,-2.906249523162842,0.0,0.0,-4.505018711090088,0.0,0.0,32.0,0.0,1.0,0.0
11,C/C(=N\N=C(N)N)c1ccccc1,-0.0,1.0,1.0,0.0,-2.4653279781341553,1.0,0.0,-3.180392026901245,1.0,0.0,-9.567176818847656,0.0,1.0,51.0,0.0,1.0,0.0
12,C/C(=N\NC(=O)c1ccccc1O)C1C(=O)c2ccccc2C1=O,-0.0,1.0,1.0,0.0,-2.394943952560425,1.0,0.0,-3.088674545288086,1.0,0.0,-7.09758186340332,1.0,0.0,6.0,1.0,-0.0,1.0
13,C/C(=N\NC(=O)c1ccoc1C)c1cccc2ccccc12,1.0,0.0,0.0,0.0,-2.2986135482788086,0.0,0.0,-2.963252067565918,0.0,0.0,-4.952108860015869,0.0,0.0,33.0,0.0,1.0,0.0
