,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C#CCNC(=O)C1=C[C@H](c2cn(C(C)=O)c3ccccc23)C[C@H](OCc2ccc(CO)cc2)O1,1.0,0.0,0.0,0.0,-0.39492183923721313,0.0,0.0,-2.534998655319214,0.0,0.0,-2.438023090362549,1.0,1.0,20.0,0.0,1.0,0.0
1,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CN)nn3)CC2)n1,-0.0,1.0,0.0,1.0,0.01425141654908657,0.0,1.0,-0.18733413517475128,0.0,1.0,-0.3282376825809479,1.0,1.0,20.0,0.0,1.0,0.0
2,C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)[C@@H]([C@H](C)CC)n3cc(CCCCCN)nn3)CC2)n1,1.0,0.0,0.0,1.0,0.014272043481469154,0.0,1.0,-0.15711337327957153,0.0,1.0,-0.36490657925605774,1.0,1.0,20.0,0.0,1.0,0.0
3,C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)[C@H](CO)n3cc(CCCCCN)nn3)CC2)n1,1.0,0.0,0.0,1.0,0.009505247697234154,0.0,1.0,-0.34985801577568054,0.0,1.0,-0.745490312576294,1.0,1.0,20.0,0.0,1.0,0.0
4,C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)[C@H]([C@@H](C)CC)n3cc(CCCCN=C(N)N)nn3)CC2)n1,1.0,0.0,0.0,1.0,0.013923527672886848,0.0,1.0,-0.13402776420116425,0.0,1.0,-0.2959287166595459,1.0,1.0,20.0,0.0,1.0,0.0
5,C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CN)nn3)CC2)n1,-0.0,1.0,0.0,0.0,-0.05865544080734253,0.0,0.0,-1.0287246704101562,0.0,0.0,-1.7313563823699951,1.0,1.0,20.0,0.0,1.0,0.0
6,C/C(=N\NC(=O)CSCc1ccc([N+](=O)[O-])cc1)c1cccc(Br)c1,1.0,0.0,0.0,0.0,-0.6681712865829468,0.0,0.0,-3.1485986709594727,0.0,0.0,-5.750121593475342,1.0,1.0,20.0,0.0,1.0,0.0
7,C/C(=N\NC(=O)CSCc1ccc([N+](=O)[O-])cc1)c1ccccc1,-0.0,1.0,1.0,0.0,-0.711604118347168,1.0,0.0,-3.2191948890686035,1.0,0.0,-6.739960193634033,1.0,1.0,20.0,0.0,1.0,0.0
8,C/C(=N\NC(=O)CSCc1ccc([N+](=O)[O-])cc1)c1ccccc1O,1.0,0.0,1.0,0.0,-0.712573766708374,1.0,0.0,-3.2206873893737793,1.0,0.0,-6.871296405792236,1.0,1.0,20.0,0.0,1.0,0.0
9,C/C(Cl)=C\Cn1c(O)c(N=NC(N)=S)c2ccccc21,1.0,0.0,0.0,0.0,-0.6278525590896606,0.0,0.0,-3.078068256378174,0.0,0.0,-5.162132263183594,1.0,1.0,20.0,0.0,1.0,0.0
10,C/C=C1\COC(C(=O)NCCN2CCCC2)(C(F)(F)F)C=C1C=C1CCCCC1,1.0,0.0,0.0,0.0,-0.5448318123817444,0.0,0.0,-2.914560556411743,0.0,0.0,-3.0111913681030273,1.0,1.0,20.0,0.0,1.0,0.0
11,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,1.0,0.0,0.0,0.0,-0.2673879563808441,0.0,0.0,-2.0949132442474365,0.0,0.0,-2.0707650184631348,1.0,1.0,20.0,0.0,1.0,0.0
12,C=C(C)CNC(=S)N=Nc1c(O)[nH]c2ccc([N+](=O)[O-])cc12,1.0,0.0,0.0,0.0,-0.6655418872833252,0.0,0.0,-3.144134998321533,1.0,0.0,-6.208101272583008,1.0,1.0,20.0,0.0,1.0,0.0
13,C=C(C)COc1ccc(-c2[nH]ncc2Oc2cccc(OC)c2)c(O)c1,1.0,0.0,0.0,0.0,-0.5383288264274597,0.0,0.0,-2.900587558746338,0.0,0.0,-4.029377460479736,1.0,1.0,20.0,0.0,1.0,0.0
14,C=C1c2c(Cl)ccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)C12.O=C(O)c1cc(S(=O)(=O)O)ccc1O,1.0,0.0,0.0,0.0,-0.48149850964546204,0.0,0.0,-2.75936222076416,0.0,0.0,-3.8987245559692383,1.0,1.0,20.0,0.0,1.0,0.0
15,C=CC(=O)Nc1ccc(N(C)c2ccnc(Nc3ccc(N4CCN(C)CC4)cc3)n2)cc1,1.0,0.0,0.0,0.0,-0.1528327465057373,0.0,0.0,-1.5869883298873901,0.0,0.0,-2.091932773590088,1.0,1.0,20.0,0.0,1.0,0.0
