,Time - mean,Time - STD,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,FP EF10 - mean,FP EF10 - STD,TP EF10 - mean,TP EF10 - STD,FP BEDROC20 - mean,FP BEDROC20 - STD,TP BEDROC20 - mean,TP BEDROC20 - STD,FP Scaffold - mean,FP Scaffold - STD,TP Scaffold - mean,TP Scaffold - STD
transcription_5,0.5154519081115723,0.0,0.8592233009708737,0.8592233009708737,0.0,0.14077669902912626,0.08433734939759036,0.0,0.7382646809312847,0.0,0.011872733653058836,0.0,0.8011697469359726,0.0,0.19883025306402985,0.0,49.98259052924791,0.0,49.63268231499731,0.0
channel_atp,1.390564203262329,0.0,0.4878048780487805,0.4388185654008439,0.0,0.5121951219512195,0.5,0.0,0.21405783678089946,0.0,0.25609756097560976,0.0,0.5034202247453645,0.0,0.49657977525463975,0.0,85.23206751054852,0.0,89.39873417721519,0.0
transcription,1.205108404159546,0.0,0.44337606837606836,0.3183673469387755,0.0,0.5566239316239316,0.502,0.0,0.141156462585034,0.0,0.27942521367521367,0.0,0.35685559615026424,0.0,0.6431444038497314,0.0,82.85714285714286,0.0,78.84074282498594,0.0
transporter,3.2056641578674316,0.0,0.30279069767441863,0.203125,0.0,0.6972093023255814,0.6502057613168725,0.0,0.06150436046511629,0.0,0.45332950521581017,0.0,0.18070959377691131,0.0,0.8192904062230927,0.0,74.73958333333333,0.0,84.65791292328956,0.0
cysteine_protease,1.0125057697296143,0.0,0.5117241379310344,0.39361702127659576,0.0,0.48827586206896556,0.41309255079006774,0.0,0.2014233308877476,0.0,0.20170312135128823,0.0,0.24589395524803886,0.0,0.754106044751962,0.0,82.62411347517731,0.0,77.47625508819539,0.0
dna_repair,1.3944945335388184,0.0,0.36773428232502964,0.41025641025641024,0.0,0.6322657176749704,0.656441717791411,0.0,0.15086534659488396,0.0,0.41504559381117684,0.0,0.4879459766155064,0.0,0.5120540233844931,0.0,67.76556776556777,0.0,56.25704622322435,0.0
GPCR_3,1.8834154605865479,0.0,0.5945223780895124,0.5977011494252874,0.0,0.40547762191048764,0.40644038294168844,0.0,0.3553467087431568,0.0,0.16480247992358377,0.0,0.5953271109754728,0.0,0.4046728890245192,0.0,89.36781609195403,0.0,86.70276774969916,0.0
GPCR,2.059251546859741,0.0,0.5064615384615384,0.47790055248618785,0.0,0.4935384615384616,0.47058823529411764,0.0,0.24203824904377388,0.0,0.23225339366515838,0.0,0.5349478490562377,0.0,0.4650521509437702,0.0,78.7292817679558,0.0,69.8015708970649,0.0
GPCR_2,1.3887147903442383,0.0,0.838468720821662,0.801909307875895,0.0,0.16153127917833798,0.13803680981595093,0.0,0.672375871589686,0.0,0.02229726246326752,0.0,0.7525347255836367,0.0,0.24746527441636737,0.0,85.68019093078759,0.0,82.38557558945908,0.0
ion_channel2,1.0725207328796387,0.0,0.20496894409937888,0.20496894409937888,0.0,0.7950310559006211,0.8053949903660886,0.0,0.0420122680452143,0.0,0.640314029607822,0.0,0.25565042542438454,0.0,0.7443495745756121,0.0,74.55292411793137,0.0,75.44132917964694,0.0
hsf1,1.7529103755950928,0.0,0.7542857142857143,0.6878980891719745,0.0,0.24571428571428566,0.19170984455958548,0.0,0.5188717015468608,0.0,0.04710584752035529,0.0,0.5687501891638739,0.0,0.43124981083611746,0.0,93.31210191082802,0.0,73.53414578063922,0.0
methylation,1.663874626159668,0.0,0.7657058388765706,0.4647058823529412,0.0,0.23429416112342938,0.10846953937592868,0.0,0.35582800747793575,0.0,0.025413779735528004,0.0,0.414785253051269,0.0,0.5852147469487292,0.0,80.58823529411765,0.0,88.10096153846153,0.0
serine,1.346252679824829,0.0,0.9151943462897526,0.8961038961038961,0.0,0.0848056537102474,0.07940780619111709,0.0,0.8201092194025056,0.0,0.006734230913734312,0.0,0.8773070707581918,0.0,0.12269292924181123,0.0,91.55844155844156,0.0,89.2904953145917,0.0
splicing,2.295069932937622,0.0,0.12466983623877444,0.07116104868913857,0.0,0.8753301637612255,0.8522875816993464,0.0,0.00887163628665436,0.0,0.7460330284605478,0.0,0.06289687408373294,0.0,0.9371031259162595,0.0,67.41573033707866,0.0,65.37102473498233,0.0
streptokinase,3.202003240585327,0.0,0.7447335811648079,0.7341597796143251,0.0,0.2552664188351921,0.2324607329842932,0.0,0.5467534418193425,0.0,0.05933941882870434,0.0,0.7169892144731704,0.0,0.2830107855268343,0.0,75.6198347107438,0.0,70.57460611677479,0.0
toxin_B,0.8927793502807617,0.0,0.9640883977900553,0.9084967320261438,0.0,0.035911602209944715,0.020460358056265986,0.0,0.8758711587765862,0.0,0.0007347642395896625,0.0,0.8855114434575317,0.0,0.11448855654246633,0.0,84.9673202614379,0.0,81.8407960199005,0.0
ubiquitin,1.6750593185424805,0.0,0.7090239410681399,0.6050420168067226,0.0,0.29097605893186007,0.25384615384615383,0.0,0.42898927526811825,0.0,0.07386315342116447,0.0,0.4060169664780454,0.0,0.5939830335219535,0.0,44.95798319327731,0.0,74.30167597765363,0.0
zinc_finger,0.9580872058868408,0.0,0.487248322147651,0.3739130434782609,0.0,0.512751677852349,0.4542124542124542,0.0,0.1821885030639043,0.0,0.23289819799886913,0.0,0.3757518312285802,0.0,0.6242481687714226,0.0,88.69565217391305,0.0,86.00405679513185,0.0
