,SMILES,False positives,True positives,FP - filter,TP - filter,Score - filter
0,Brc1ccc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1.[O-][Cl+3]([O-])([O-])[O-],-0.0,1.0,1.0,0.0,1.0
1,Brc1nnc2n1-c1ccccc1Sc1ccccc1-2,-0.0,1.0,0.0,1.0,0.0
2,C#CCNC(=O)C1=C[C@@H](C2CC2)C[C@@H](OCc2ccc(CO)cc2)O1,-0.0,1.0,1.0,0.0,1.0
3,C#CCNC(=O)C1=C[C@@H](c2ccc(C#C)cc2)C[C@@H](OCc2ccc(CO)cc2)O1,-0.0,1.0,1.0,0.0,1.0
4,C#Cc1cccc(C(=O)N2CCCC(Nc3cccc(F)c3)C2)c1,-0.0,1.0,0.0,1.0,0.0
5,C(=C/c1ccccc1)\CSc1nnc(-c2ccccn2)n1Cc1ccco1,-0.0,1.0,0.0,1.0,0.0
6,C(=C/c1ccccc1)\CSc1nnc(-c2cccnc2)n1Cc1ccco1,-0.0,1.0,0.0,1.0,0.0
7,C/C=C(/C)C(=O)OC1Cc2c(ccc3ccc(=O)oc23)OC1(C)C,-0.0,1.0,1.0,0.0,1.0
8,C/C=C/c1ccc(OCC(O)CNCCc2ccc(OC)cc2)c(OC)c1,1.0,0.0,1.0,0.0,1.0
9,C/C=C/c1ccc(OCCCCN(C)Cc2ccccc2)c(OC)c1,-0.0,1.0,1.0,0.0,1.0
10,C/C=C/c1ccc(OCCOCCNCc2ccccc2)c(OC)c1,-0.0,1.0,1.0,0.0,1.0
11,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,-0.0,1.0,1.0,0.0,1.0
12,C=CCN(c1nc(C)cc(OC)n1)S(=O)(=O)c1ccccc1,-0.0,1.0,0.0,1.0,0.0
13,C=CCNC(=S)/N=c1/ccccn1Cc1ccccc1,-0.0,1.0,0.0,1.0,0.0
14,C=CCNCCCCOc1c(Cl)cc(C)cc1Br,-0.0,1.0,0.0,1.0,0.0
15,C=CCNc1nc(NCc2ccccc2)c(C#N)c2c1CN(C)CC2,-0.0,1.0,0.0,1.0,0.0
16,C=CCc1cc(Cl)ccc1OCCOCCNC(C)CC,1.0,0.0,1.0,0.0,1.0
17,C=CCc1cc(S(=O)(=O)c2ccc(O)c(CC=C)c2)ccc1O,-0.0,1.0,0.0,1.0,0.0
18,C=CCc1ccc(OCC(O)CN2CCc3ccccc3C2)c(OC)c1,-0.0,1.0,0.0,1.0,0.0
19,C=CCc1ccc(OCCCNCc2ccccc2)c(OC)c1,-0.0,1.0,1.0,0.0,1.0
20,C=CCc1ccccc1OCCNCc1ccccc1,-0.0,1.0,0.0,1.0,0.0
21,C=CCn1c(SC/C=C/c2ccccc2)nnc1-c1sc(N)nc1C,-0.0,1.0,0.0,1.0,0.0
22,C=CCn1c(SCc2cccc(C#N)c2)nnc1-c1ccccc1O,-0.0,1.0,0.0,1.0,0.0
23,C=CCn1c(SCc2cccc3ccccc23)nnc1-c1cccnc1,-0.0,1.0,0.0,1.0,0.0
24,C=CCn1c(SCc2ccccc2C#N)nnc1-c1cc(Br)ccc1O,1.0,0.0,0.0,1.0,0.0
25,C=CS(=O)(=O)c1sc(Cl)c(N2CCOCC2)c1[N+](=O)[O-],-0.0,1.0,0.0,1.0,0.0
26,CC(=O)N(CC(C)(C)CC=C(C)C)c1ccccc1,-0.0,1.0,0.0,1.0,0.0
27,CC(=O)N(CCC(c1ccccc1)c1ccco1)Cc1cccs1,-0.0,1.0,0.0,1.0,0.0
28,CC(=O)N1CC(C)Sc2ccc(S(=O)(=O)NCc3ccccc3Cl)cc21,-0.0,1.0,0.0,1.0,0.0
29,CC(=O)Nc1cccc(OCC(=O)NC(C)c2ccc3ccccc3c2)c1,-0.0,1.0,0.0,1.0,0.0
30,CC(=O)OC1=C(C#N)Cn2ccc3cccc1c32,-0.0,1.0,0.0,1.0,0.0
31,CC(=O)c1c(CSc2ccccc2)oc2ccc(O)c(CN(C)C)c12,-0.0,1.0,1.0,0.0,1.0
32,CC(=O)c1cc(F)ccc1OCC(=O)N1CCCc2ccccc21,-0.0,1.0,0.0,1.0,0.0
33,CC(=O)c1cccc(CN(C)CC2CCCN(CCc3ccccc3C)C2)c1,-0.0,1.0,0.0,1.0,0.0
34,CC(C(=O)NCCCc1ccccc1)n1cccc1C(=O)c1ccccc1,-0.0,1.0,0.0,1.0,0.0
35,CC(C(Sc1ccccc1N)c1ccccc1)[N+](=O)[O-],-0.0,1.0,0.0,1.0,0.0
36,CC(C)(C)Cc1nc2ccccc2n1CCc1ccccc1,-0.0,1.0,0.0,1.0,0.0
37,CC(C)(C)OC(=O)N1CCC[C@H]1c1nnc(SCc2ccc(Cl)cc2)o1,-0.0,1.0,1.0,0.0,1.0
38,CC(C)(C)OC(=O)N1CCC[C@H]1c1nnc(SCc2cccc(Cl)c2)o1,-0.0,1.0,1.0,0.0,1.0
39,CC(C)(C)OC(=O)N1CCC[C@H]1c1nnc(SCc2ccccc2Cl)o1,1.0,0.0,1.0,0.0,1.0
40,CC(C)(C)OC(=O)NCCc1nnc(SCc2ccc(Cl)cc2Cl)o1,-0.0,1.0,1.0,0.0,1.0
41,CC(C)(C)OC(=O)NCCc1nnc(SCc2ccccc2)o1,-0.0,1.0,1.0,0.0,1.0
42,CC(C)(C)c1cc(Cl)ccc1OCCOCCN1CCCC1,-0.0,1.0,0.0,1.0,0.0
43,CC(C)(C)c1cc2cccnc2n1Cc1cccc(F)c1,-0.0,1.0,0.0,1.0,0.0
44,CC(C)(C)c1ccccc1OCC(=O)Nc1ccccc1C(=O)NCc1cccnc1,-0.0,1.0,0.0,1.0,0.0
45,CC(C)(C)c1ccccc1OCCCCCn1ccnc1,-0.0,1.0,0.0,1.0,0.0
46,CC(C)(Oc1ccc(Cl)cc1)C(=O)OCC(=O)NCCc1ccccc1,-0.0,1.0,0.0,1.0,0.0
47,CC(C)(c1ccccc1)c1ccc(OCCCN2CCNCC2)cc1,-0.0,1.0,0.0,1.0,0.0
48,CC(C)(c1ccccc1)c1ccc(OCCCNCCO)cc1,-0.0,1.0,1.0,0.0,1.0
49,CC(C)(c1ccccc1)c1ccc(OCCN)cc1,-0.0,1.0,0.0,1.0,0.0
50,CC(C)(c1ccccc1)c1ccc(OCCN2CCCC2)cc1,-0.0,1.0,0.0,1.0,0.0
51,CC(C)=CCC/C(C)=C/CC(C)(C)CNCCN1CCNCC1,1.0,0.0,1.0,0.0,1.0
52,CC(C)=CCc1c(O)cc(O)c2c1OC(c1ccc(O)cc1)CC2=O,-0.0,1.0,0.0,1.0,0.0
53,CC(C)=CCc1c(O)ccc2c1OC(c1ccc(O)c(O)c1)CC2=O,-0.0,1.0,1.0,0.0,1.0
54,CC(C)CC(=O)/C(=C\c1ccc(Cl)cc1Cl)n1cncn1,-0.0,1.0,1.0,0.0,1.0
55,CC(C)CCC(CCNCc1ccccn1)c1ccc(Cl)cc1,-0.0,1.0,1.0,0.0,1.0
56,CC(C)CCC(CCNCc1ccccn1)c1ccc2c(c1)OCO2,-0.0,1.0,1.0,0.0,1.0
57,CC(C)CCN(Cc1ccco1)S(=O)(=O)c1csc(C(N)=O)c1,-0.0,1.0,0.0,1.0,0.0
58,CC(C)CN(CC(C)C)C(=O)Cc1coc2ccc3ccccc3c12,1.0,0.0,1.0,0.0,1.0
59,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,-0.0,1.0,1.0,0.0,1.0
60,CC(C)C[C@H](N)c1nnc(S(=O)(=O)Cc2cccc(F)c2)o1,-0.0,1.0,0.0,1.0,0.0
61,CC(C)Cc1ccc(C(C)C(N)=NCCc2ccccc2)cc1,1.0,0.0,1.0,0.0,1.0
62,CC(C)Cn1c(SCC(=O)c2ccc(Cl)s2)nnc1-c1ccco1,-0.0,1.0,1.0,0.0,1.0
63,CC(C)Cn1cnc2c(c(-c3ccccc3)c(-c3ccccc3)n2Cc2ccco2)c1=N,1.0,0.0,1.0,0.0,1.0
64,CC(C)N(Cc1ccccc1)S(=O)(=O)c1ccc(Cl)nc1,-0.0,1.0,1.0,0.0,1.0
65,CC(C)NCC(O)Cn1c2c(c3ccccc31)CCc1c-2cnn1-c1ccccc1,-0.0,1.0,0.0,1.0,0.0
66,CC(C)O/C(=N\S(=O)(=O)c1ccc(Cl)cc1)c1ccccc1,-0.0,1.0,1.0,0.0,1.0
67,CC(C)Oc1ccc(C(CCN)C2CCCCC2)cc1,-0.0,1.0,0.0,1.0,0.0
68,CC(C)Oc1ccccc1NC(=O)CSc1nc2ccccc2c(=O)n1C,-0.0,1.0,0.0,1.0,0.0
69,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)C[n+]1cc(-c2ccc(Cl)cc2)n2c1CCCCC2,-0.0,1.0,1.0,0.0,1.0
70,CC(C)c1cc(Br)ccc1OCCCN1C(=O)NC(C)(C)C1=O,1.0,0.0,0.0,1.0,0.0
71,CC(C)c1ccc(C(C)NCCS(=O)(=O)c2ccc(Cl)cc2)cc1,-0.0,1.0,0.0,1.0,0.0
72,CC(C)c1ccc(OCC(O)CNC(C)c2ccccc2)cc1,-0.0,1.0,0.0,1.0,0.0
73,CC(C)c1nc2n[nH]c(N)c2c2c1CCCC2,-0.0,1.0,0.0,1.0,0.0
74,CC(C)n1cnc2c(N(C)c3ccccc3)nc(N(CCN(C)C)Cc3ccccc3)nc21,-0.0,1.0,1.0,0.0,1.0
75,CC(CCCN(C)C)C(Cc1ccccc1)c1ccccc1,-0.0,1.0,0.0,1.0,0.0
76,CC(CCN1C(Nc2ccccc2)=NC[C@@H]1Cc1ccccc1)c1ccccc1,-0.0,1.0,1.0,0.0,1.0
77,CC(CCc1ccccc1)NC(=O)CC(C)c1ccccc1,-0.0,1.0,0.0,1.0,0.0
78,CC(CCc1ccccc1)NCc1cccc2ccccc12,-0.0,1.0,0.0,1.0,0.0
79,CC(COc1ccccc1Cc1ccccc1)N1CCCCC1,1.0,0.0,0.0,1.0,0.0
80,CC(NC(=O)/C(C#N)=C/c1ccc([N+](=O)[O-])o1)c1ccccc1,1.0,0.0,1.0,0.0,1.0
81,CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1,-0.0,1.0,1.0,0.0,1.0
82,CC(NCc1ccc(Cl)cc1)C(O)c1ccccc1,-0.0,1.0,0.0,1.0,0.0
83,CC(NS(=O)(=O)OCC(Cl)(Cl)Cl)c1ccc(Br)cc1,-0.0,1.0,1.0,0.0,1.0
84,CC(NS(=O)(=O)c1ccc(Br)cc1)c1ccccc1,-0.0,1.0,0.0,1.0,0.0
85,CC(NS(=O)(=O)c1ccc(Br)s1)c1ccccc1,-0.0,1.0,0.0,1.0,0.0
86,CC(Nc1ccc(Cl)cc1)c1cc(Cl)ccc1O,-0.0,1.0,1.0,0.0,1.0
87,CC(O)CNCCCOc1ccc(Cl)cc1C(C)(C)C,-0.0,1.0,0.0,1.0,0.0
88,CC(O)CNCCCOc1cccc(Oc2ccccc2)c1,-0.0,1.0,1.0,0.0,1.0
89,CC(O)CNc1nc2ccccc2n1-c1ncnc2sc3c(c12)CCC3,-0.0,1.0,0.0,1.0,0.0
90,CC(OC(=O)Cc1c[nH]c2ccccc12)C(=O)Nc1ccccc1[N+](=O)[O-],1.0,0.0,0.0,1.0,0.0
91,CC(Oc1ccc(Cl)cc1Cl)C(=O)N(C)c1ccccc1,-0.0,1.0,0.0,1.0,0.0
92,CC(Oc1ccccc1)c1ccnn1S(=O)(=O)c1ccccc1,-0.0,1.0,0.0,1.0,0.0
93,CC(c1ccco1)N(C(=O)CSc1ccc(Br)cc1)c1ccccn1,-0.0,1.0,1.0,0.0,1.0
94,CC1(C)C[C@H]2C=C(C=O)[C@]3(C=O)C[C@]3(C)[C@H]2C1,-0.0,1.0,1.0,0.0,1.0
95,CC1(C)NC(=O)N(CCCCSc2ccc(Cl)cc2)C1=O,-0.0,1.0,0.0,1.0,0.0
96,CC1(CCC(=O)N2CCCC(Nc3ccc(F)cc3)C2)CC1,-0.0,1.0,0.0,1.0,0.0
97,CC12CN(Cc3ccccc3)CC(C)(CN(Cc3ccccc3)C1)C2=NO,-0.0,1.0,1.0,0.0,1.0
98,CC1=C/C(=N\OS(=O)(=O)c2ccccc2)C=CC1=O,1.0,0.0,1.0,0.0,1.0
99,CC1=CC(C)(C)N(C(=O)CNC2CCCCC2)c2cc(C)ccc21,-0.0,1.0,0.0,1.0,0.0
100,CC1=CC(C)(C)N(C(=O)CSc2nnc(C)s2)c2ccc(C)cc21,-0.0,1.0,0.0,1.0,0.0
101,CC1=CC2/C=C(\C)CCC(O)C(O)/C=C/C(=O)C23C(=O)NC(CC(C)C)C3C1C,-0.0,1.0,1.0,0.0,1.0
102,CC1=CCC2C(=O)N(c3ccc(OC(=O)c4ccco4)cc3)C(=O)C2C1,-0.0,1.0,1.0,0.0,1.0
103,CC1CC(C)C[N+](=C2C=C(N3CCCC3)CC(C)(C)C2)C1,1.0,0.0,0.0,1.0,0.0
104,CC1CCC(C(C)C)C(OC(=O)Cn2c(-c3ccccc3)[n+](C)c3ccccc32)C1,-0.0,1.0,1.0,0.0,1.0
105,CC1CCN(CCCNC(=O)c2ccc(CSCc3cccc(Cl)c3)o2)CC1,-0.0,1.0,1.0,0.0,1.0
106,CC1CCN(CCCOc2ccc(Br)cc2Cl)CC1,-0.0,1.0,0.0,1.0,0.0
107,CC1CCN(CCCOc2ccc(OCc3ccccc3)cc2)CC1,1.0,0.0,0.0,1.0,0.0
108,CC1CN(C(=O)CCC(=O)NCCCN2CCN(Cc3ccccc3)CC2)c2cc(Cl)ccc2O1,-0.0,1.0,1.0,0.0,1.0
109,CC1CN(c2ccc([N+](=O)[O-])c(NCCOc3ccc(Cl)cc3)c2)CC(C)N1,-0.0,1.0,0.0,1.0,0.0
110,CC1COc2ccccc2N1S(=O)(=O)c1ccccc1,-0.0,1.0,0.0,1.0,0.0
111,CC1c2ccsc2CCN1S(=O)(=O)c1ccccc1,-0.0,1.0,0.0,1.0,0.0
112,CC1c2ccsc2CCN1S(=O)(=O)c1cccs1,-0.0,1.0,0.0,1.0,0.0
113,CCC(=O)N(CCC(c1ccccc1)c1ccco1)Cc1cccs1,-0.0,1.0,1.0,0.0,1.0
114,CCC(=O)N(CCC(c1ccco1)C(C)C)Cc1ccccc1,-0.0,1.0,0.0,1.0,0.0
115,CCC(=O)OCc1c(C(F)(F)F)nn(C)c1Oc1cccc(C(F)(F)F)c1,1.0,0.0,1.0,0.0,1.0
116,CCC(=O)OCc1c(C(F)(F)F)nn(C)c1Sc1ccc(F)cc1,-0.0,1.0,1.0,0.0,1.0
117,CCC(C(=O)NCCCN(CC)Cc1ccccc1)n1nc(C)c2sc3ccccc3c2c1=O,-0.0,1.0,1.0,0.0,1.0
118,CCC(C(=O)NCCC[C@H]1CN2C(=NC[C@@H]2C2CCCCC2)N1CCc1cccc(C)c1)c1ccccc1,-0.0,1.0,1.0,0.0,1.0
119,CCC(C(=O)OC(C)C(=O)Nc1ccc(Cl)cn1)c1ccccc1,-0.0,1.0,0.0,1.0,0.0
120,CCC(C(=O)OCC(=O)NC(=O)c1ccccc1OC)c1ccccc1,-0.0,1.0,0.0,1.0,0.0
121,CCC(C)(C)c1ccc(OCCCC[n+]2cccc(C)c2)c(C(C)(C)CC)c1,-0.0,1.0,1.0,0.0,1.0
122,CCC(C)NCCOCCOc1ccccc1-c1ccccc1,-0.0,1.0,1.0,0.0,1.0
123,CCC(C)c1ccccc1OCCCNC1CCCC1,-0.0,1.0,0.0,1.0,0.0
124,CCC(CC)NC(=O)c1ccccc1Oc1ccccc1,-0.0,1.0,0.0,1.0,0.0
125,CCC(Cc1ccccc1)NS(=O)(=O)c1ccc2c(c1)NC(=O)CS2,-0.0,1.0,0.0,1.0,0.0
126,CCC(NC(=S)NCc1ccc(F)cc1)c1ccccc1,-0.0,1.0,1.0,0.0,1.0
127,CCC1=CC2Cc3nc4ccc(Cl)cc4c(N)c3C(C1)C2,-0.0,1.0,0.0,1.0,0.0
128,CCCC(=O)NC(Nc1ccccc1F)C(Cl)(Cl)Cl,-0.0,1.0,1.0,0.0,1.0
129,CCCC(=O)OCCNc1cc(Sc2nccn2C)c2nonc2c1[N+](=O)[O-],-0.0,1.0,1.0,0.0,1.0
130,CCCCC(CC)CNS(=O)(=O)c1ccc2c(c1)CCN2C(=O)CCC(=O)O,1.0,0.0,1.0,0.0,1.0
131,CCCCCCCCC1=NCCc2c1[nH]c1ccccc21,-0.0,1.0,1.0,0.0,1.0
132,CCCCCCCCCCCCCCCC[N+](C)(C)CC,-0.0,1.0,1.0,0.0,1.0
133,CCCCCCCCCCOC(=O)Cn1c(COc2cccc(OC)c2)[n+](C)c2ccccc21,1.0,0.0,1.0,0.0,1.0
134,CCCCCCCCCCOC(=O)Cn1c(COc2ccccc2C)[n+](C)c2ccccc21,1.0,0.0,1.0,0.0,1.0
135,CCCCCCCCCC[n+]1cccc2c3ccccc3ccc21,-0.0,1.0,1.0,0.0,1.0
136,CCCCCCCCNc1ncnc2ccccc12,1.0,0.0,1.0,0.0,1.0
137,CCCCCCCOC(=O)C[N+](C)(C)CCOC1CC2CCC1(C)C2(C)C,-0.0,1.0,1.0,0.0,1.0
138,CCCCCCCSc1cc(OC)c(CCN(C)C)cc1OC,-0.0,1.0,1.0,0.0,1.0
139,CCCCCCCSc1cc(OC)c(CCNC)cc1OC,-0.0,1.0,1.0,0.0,1.0
140,CCCCCCCn1c(=N)n(CC(O)c2ccco2)c2ccccc21,-0.0,1.0,1.0,0.0,1.0
141,CCCCCCCn1c2c(c(=N)c3c1CCC3)CCCC2,-0.0,1.0,1.0,0.0,1.0
142,CCCCCCOC(=O)C[N+](C)(C)CCOC1CC2CCC1(C)C2(C)C,-0.0,1.0,1.0,0.0,1.0
143,CCCCCCSC1=C(C#N)C(c2ccc(C)o2)CC(=O)N1,-0.0,1.0,0.0,1.0,0.0
144,CCCCCCn1c(C(C)NC(=O)c2ccco2)nc2ccccc21,-0.0,1.0,0.0,1.0,0.0
145,CCCCCOc1ccc(CSC(=N)N)cc1[N+](=O)[O-],-0.0,1.0,0.0,1.0,0.0
146,CCCCCSc1cc(OC)c(CCN(C)C)cc1OC,-0.0,1.0,1.0,0.0,1.0
147,CCCCCSc1cc(OC)c(CCN)cc1OC,-0.0,1.0,1.0,0.0,1.0
148,CCCCCSc1cc(OC)c(CCNC)cc1OC,-0.0,1.0,1.0,0.0,1.0
149,CCCCN(C(=O)CCn1c(=O)oc2ccccc21)c1ccccc1,-0.0,1.0,0.0,1.0,0.0
150,CCCCN(CCCNC(=O)CN1C(=O)COc2ccc(S(=O)(=O)N3CCC(C)CC3)cc21)Cc1ccccc1,-0.0,1.0,1.0,0.0,1.0
151,CCCCN(Cc1ccco1)S(=O)(=O)c1csc(C(N)=O)c1,-0.0,1.0,0.0,1.0,0.0
152,CCCCN(Cc1cccs1)S(=O)(=O)c1csc(C(N)=O)c1,-0.0,1.0,0.0,1.0,0.0
153,CCCCN1C(=O)C(=Nc2cccc3cnccc23)c2ccccc21,-0.0,1.0,1.0,0.0,1.0
154,CCCCNCc1cc(Br)c(OC2CCCC2)c(OC)c1,-0.0,1.0,0.0,1.0,0.0
155,CCCCOC(=O)Cn1c(=O)n(CC(=O)OCCCC)c2cc(C)ccc21,1.0,0.0,1.0,0.0,1.0
156,CCCCOC(=O)Cn1c(=O)n(CC(=O)OCCCC)c2ccccc21,1.0,0.0,1.0,0.0,1.0
157,CCCCOCCCNc1ncnc2c1[nH]c1ccccc12,-0.0,1.0,0.0,1.0,0.0
158,CCCCOc1c(Br)cc(/C=N/O)cc1OCC,-0.0,1.0,1.0,0.0,1.0
159,CCCCOc1ccc(Br)cc1/C(C)=N/NC1=NCCN1,1.0,0.0,1.0,0.0,1.0
160,CCCCOc1ccc(Br)cc1CSC(=N)N,-0.0,1.0,0.0,1.0,0.0
161,CCCCn1c(-c2ccccc2)cnc1SCC(=O)NCCc1ccc(OC)c(OC)c1,-0.0,1.0,1.0,0.0,1.0
162,CCCN(CCC)S(=O)(=O)c1ccc(Cl)c(OC)c1,-0.0,1.0,0.0,1.0,0.0
163,CCCN(c1nc(C)cc(OC)n1)S(=O)(=O)c1ccccc1,-0.0,1.0,0.0,1.0,0.0
164,CCCN1CCC(NC23CC4CC(CC(C4)C2)C3)CC1,-0.0,1.0,0.0,1.0,0.0
165,CCCNC(=O)c1nnsc1S(=O)c1ccc(Cl)cc1,-0.0,1.0,1.0,0.0,1.0
166,CCCOc1ccc(C(=O)C(CCC(CNCC)C(=O)c2ccc(OCCC)cc2)CNCC)cc1,-0.0,1.0,1.0,0.0,1.0
167,CCC[C@H]1COCCS(=O)(=O)N1Cc1ccc(Br)cc1,1.0,0.0,0.0,1.0,0.0
168,CCCc1cc(=O)[nH]c(SCC(=O)c2cc(C)n(CCC)c2C)n1,-0.0,1.0,1.0,0.0,1.0
169,CCCc1ccccc1OCCNS(=O)(=O)c1cc2c(cc1C)OCC(=O)N2,-0.0,1.0,0.0,1.0,0.0
170,CCCc1cnc(NCCNCC(O)COc2ccc(Cl)c(Cl)c2)nc1,-0.0,1.0,1.0,0.0,1.0
171,CCCn1c(=N)n(CC(O)c2ccc(C)cc2)c2ccccc21,-0.0,1.0,0.0,1.0,0.0
172,CCCn1c(NCc2c[nH]c3ccccc23)nc2ccccc21,-0.0,1.0,0.0,1.0,0.0
173,CCN(CC)CC#CCC(C)(c1ccccc1)c1ccccc1,1.0,0.0,0.0,1.0,0.0
174,CCN(CC)CCC(c1ccc2c(c1)OCO2)c1c(OC)cc(OC)c2c(-c3ccccc3)cc(=O)oc12,-0.0,1.0,1.0,0.0,1.0
175,CCN(CC)CCCCN1c2ccccc2Sc2ccccc21,-0.0,1.0,1.0,0.0,1.0
176,CCN(CC)CCCN(C(=O)c1ccc(OC)cc1)c1nc(-c2ccc(OC)cc2)cs1,-0.0,1.0,1.0,0.0,1.0
177,CCN(CC)CCCN(C(=O)c1ccco1)c1nc(-c2ccc(Cl)cc2)cs1,-0.0,1.0,1.0,0.0,1.0
178,CCN(CC)CCCNc1ccc(-c2nnc(-c3ccc(OCC(C)C)cc3)o2)cn1,-0.0,1.0,1.0,0.0,1.0
179,CCN(CC)CCOC(=O)C(Cc1ccco1)Cc1cccc2ccccc12,-0.0,1.0,1.0,0.0,1.0
180,CCN(CC)CCn1c(=N)n(CC(O)COc2cccc(C)c2)c2ccccc21,-0.0,1.0,1.0,0.0,1.0
181,CCN(CCCNC(=O)COc1cc(=O)n(C)c2ccccc12)c1cccc(C)c1,-0.0,1.0,1.0,0.0,1.0
182,CCN(CCNCC(O)COCc1ccc(Cl)cc1)c1cccc(C)c1,-0.0,1.0,1.0,0.0,1.0
183,CCN(CCNCC(O)COc1ccccc1C(C)C)c1cccc(C)c1,-0.0,1.0,1.0,0.0,1.0
184,CCN(Cc1ccc(C#CCCO)cc1)CC1CCCN(CCc2cccc(F)c2)C1,-0.0,1.0,1.0,0.0,1.0
185,CCN(Cc1ccccc1)CC(O)COC(c1ccc(OC)cc1)c1ccc(OC)cc1,-0.0,1.0,1.0,0.0,1.0
186,CCN(Cc1ccccc1)Cc1nnnn1Cc1ccccc1,-0.0,1.0,0.0,1.0,0.0
187,CCN(Cc1ccccc1)S(=O)(=O)c1ccc2c(c1)NC(=O)CS2,-0.0,1.0,0.0,1.0,0.0
