,SMILES,False positives,True positives,FP - filter,TP - filter,Score - filter
0,C(=N\Nc1cc(N2CCOCC2)nc(N2CCOCC2)n1)\c1ccccc1,1.0,0.0,0.0,0.0,0.0
1,C/C(=C\C(=O)c1ccccc1)Nc1ccc(O)cc1,1.0,0.0,0.0,1.0,0.0
2,C/C(=C\C(=O)c1cccnc1)Nc1ccc(O)cc1,1.0,0.0,0.0,1.0,0.0
3,C/C(=N/NC(=O)CCc1ccccc1)c1ccco1,1.0,0.0,0.0,0.0,0.0
4,C/C(=N\NC(=O)CSc1nc2ccccc2o1)c1ccc(O)cc1,1.0,0.0,1.0,0.0,1.0
5,C/C(=N\NC(=O)c1nnn(-c2nonc2N)c1C)c1ccc(-c2ccccc2)cc1,1.0,0.0,0.0,0.0,0.0
6,C/C(=N\O)C(C)Oc1ccc(Cl)cc1,1.0,0.0,0.0,0.0,0.0
7,C/C(C=Nn1c(-c2ccc(F)cc2)n[nH]c1=S)=C/c1ccco1,1.0,0.0,1.0,0.0,1.0
8,C/C(CC(=O)NCCCN1CCOCC1)=N\NC(=O)COc1ccc(Cl)cc1,1.0,0.0,1.0,0.0,1.0
9,C/C(CC(=O)Nc1ccc2ccccc2c1)=N\NC(=O)c1ccc(O)c(O)c1,-0.0,1.0,1.0,0.0,1.0
10,C/C(CC(=O)Nc1ccccn1)=N\NC(=O)C(=O)Nc1cccc(Cl)c1C,1.0,0.0,0.0,0.0,0.0
11,C/C(NCCc1ccccc1)=C1/CCOC1=O,1.0,0.0,0.0,0.0,0.0
12,C/[N+]([O-])=C1\Cc2ccccc2C1=O,1.0,0.0,1.0,0.0,1.0
13,C1=Nc2cccc3cccc(c23)N1Cc1ccccc1,-0.0,1.0,0.0,1.0,0.0
14,C=C(C)c1cccc(C(C)(C)NC(=O)NC2CN3CCC2CC3)c1,-0.0,1.0,0.0,1.0,0.0
15,C=CCC1C=C(Cc2ccccc2)CC(CC=C)N1,1.0,0.0,0.0,1.0,0.0
16,C=CCC1CCCCC1=C(C#N)c1ccccc1,1.0,0.0,0.0,1.0,0.0
17,C=CCN(CC=C)C(=S)Nc1ccc2nsnc2c1,-0.0,1.0,0.0,0.0,0.0
18,C=CCN(CC=C)Cc1c(O)ccc2c1oc(=O)c1ccccc12,-0.0,1.0,0.0,0.0,0.0
19,C=CCN1CCN(C(c2cccc(OC)c2OC)c2nnnn2CCC(C)C)CC1,1.0,0.0,0.0,0.0,0.0
20,C=CCNC1=C(Cl)C(=O)c2ccccc2C1=O,-0.0,1.0,1.0,0.0,1.0
21,C=CCNCCCCOc1ccccc1,1.0,0.0,0.0,1.0,0.0
22,C=CCOCC(O)Cn1c(N2CCCC2)nc2c1c(=O)n(C)c(=O)n2C,1.0,0.0,0.0,1.0,0.0
