,SMILES,False positives,True positives,FP - filter,TP - filter,Score - filter
0,Brc1ccc(CNc2ccc3ncccc3c2)cc1,1.0,0.0,0.0,1.0,0.0
1,Brc1ccc(Cn2c(-c3ccc(Br)o3)nc3ccccc32)o1,-0.0,1.0,0.0,0.0,0.0
2,C#CC(=O)N(c1cc(OC)ccc1OC)C(C(=O)NC1CCCC1)c1cccs1,-0.0,1.0,0.0,0.0,0.0
3,C#CCOC(=O)c1ccccc1C(=O)n1nnc2ccccc21,-0.0,1.0,0.0,0.0,0.0
4,C#CCOc1ccc(/C=C2/C(=O)N(c3cccc(C(=O)O)c3)N=C2C)cc1OC,-0.0,1.0,1.0,0.0,1.0
5,C(=N/Nc1nncc2ccccc12)\c1ccccn1,-0.0,1.0,0.0,0.0,0.0
6,C/C(=C/CCC(C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3)C(=O)O,-0.0,1.0,0.0,0.0,0.0
7,C/C(=C\c1ccco1)C1C(C#N)=C(N)Oc2n[nH]c(-c3ccccc3)c21,-0.0,1.0,0.0,1.0,0.0
8,C/C(=N/NC(=O)Cc1cc(=O)[nH][nH]1)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,0.0,0.0,0.0
9,C/C(=N\NC(=O)CC#N)c1cc2ccccc2oc1=O,-0.0,1.0,0.0,0.0,0.0
10,C/C(=N\NC(=O)Cc1cc(=O)[nH][nH]1)c1cccc([N+](=O)[O-])c1,-0.0,1.0,0.0,0.0,0.0
11,C/C(CC(=O)N1CCN(C=O)CC1)=N\NC(=O)c1cccc([N+](=O)[O-])c1,-0.0,1.0,0.0,0.0,0.0
12,C/C(CC(=O)NCc1ccco1)=N\NC(=O)c1ccc([N+](=O)[O-])cc1Cl,-0.0,1.0,0.0,0.0,0.0
13,C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)C(=O)NC(C)C,-0.0,1.0,0.0,0.0,0.0
14,C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1ccc(C)cc1,-0.0,1.0,0.0,0.0,0.0
