,SMILES,False positives,True positives,FP - filter,TP - filter,Score - filter
0,C#CCNC(=O)C1=C[C@H](c2cn(C(C)=O)c3ccccc23)C[C@H](OCc2ccc(CO)cc2)O1,1.0,0.0,0.0,0.0,0.0
1,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)C(Cc3ccc(O)cc3)n3cc(C(N)C(C)CC)nn3)CC2)nc(N2CCN(C(=O)C(Cc3ccc(O)cc3)n3cc(C(N)C(C)CC)nn3)CC2)n1,1.0,0.0,1.0,0.0,1.0
2,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)C(Cc3ccc(O)cc3)n3cc(C(N)CC(C)C)nn3)CC2)nc(N2CCN(C(=O)C(Cc3cc4ccccc4[nH]3)n3cc(C(N)Cc4ccc(O)cc4)nn3)CC2)n1,1.0,0.0,1.0,0.0,1.0
3,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)C([C@@H](C)CC)n3cc(C(N)COC(=O)C(F)(F)F)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(C(N)CC(C)C)nn3)CC2)n1,-0.0,1.0,1.0,0.0,1.0
4,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)C([C@@H](C)CC)n3cc(C(N)COC(=O)C(F)(F)F)nn3)CC2)nc(N2CCN(C(=O)[C@H](Cc3cc4ccccc4[nH]3)n3cc(C(N)CO)nn3)CC2)n1,1.0,0.0,1.0,0.0,1.0
5,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)C([C@@H](C)O)n3cc([C@@H](N)CCCCN)nn3)CC2)nc(N2CCN(C(=O)C([C@@H](C)O)n3cc([C@@H](N)CCCCN)nn3)CC2)n1,1.0,0.0,1.0,0.0,1.0
6,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)C([C@@H](C)O)n3cc([C@@H](N)CCCCN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CN)nn3)CC2)n1,-0.0,1.0,1.0,0.0,1.0
7,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)C([C@@H](C)O)n3cc([C@@H](N)CCCCN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc([C@@H](N)CC(N)=O)nn3)CC2)n1,1.0,0.0,1.0,0.0,1.0
8,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)C([C@@H](C)O)n3cc([C@@H](N)CCCCN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCN=C(N)N)n3cc(C(N)[C@@H](C)CC)nn3)CC2)n1,-0.0,1.0,1.0,0.0,1.0
9,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)C([C@@H](C)O)n3cc([C@@H](N)CCCCN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CO)n3cc([C@@H](N)C(C)C)nn3)CC2)n1,-0.0,1.0,1.0,0.0,1.0
10,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)Cn3cc(CCCCCN)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)Cn3cc(CCCCCN)nn3)CC2)n1,-0.0,1.0,1.0,0.0,1.0
11,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)Cn3cc(CCCCCN)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)Cn3cc(C[C@@H](C)O)nn3)CC2)n1,-0.0,1.0,1.0,0.0,1.0
12,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)Cn3cc(CCCCCN)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)[C@@H](CCC(=O)O)n3cc(CCCCCN)nn3)CC2)n1,1.0,0.0,1.0,0.0,1.0
