,Time - mean,Time - STD,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,FP EF10 - mean,FP EF10 - STD,TP EF10 - mean,TP EF10 - STD,FP BEDROC20 - mean,FP BEDROC20 - STD,TP BEDROC20 - mean,TP BEDROC20 - STD,FP Scaffold - mean,FP Scaffold - STD,TP Scaffold - mean,TP Scaffold - STD
transcription_5,0.0,0.0,0.8592233009708737,0.8596491228070176,0.0,0.14077669902912626,0.0,0.0,0.7386305569749616,0.0,0.0,0.0,0.8739669524381591,0.0,0.17526736900675194,0.0,72.38805970149254,0.0,70.83333333333333,0.0
channel_atp,0.0,0.0,0.4878048780487805,0.689419795221843,0.0,0.5121951219512195,0.5656565656565656,0.0,0.3363023391326064,0.0,0.28972653362897266,0.0,0.7427278796767011,0.0,0.6093142925871808,0.0,93.06930693069307,0.0,94.3089430894309,0.0
transcription,0.0,0.0,0.44337606837606836,0.3855421686746988,0.0,0.5566239316239316,0.0,0.0,0.17094017094017094,0.0,0.0,0.0,0.42098639106504976,0.0,0.44891965727759003,0.0,96.28252788104089,0.0,80.71748878923766,0.0
transporter,0.0,0.0,0.30279069767441863,0.42803030303030304,0.0,0.6972093023255814,0.8578431372549019,0.0,0.12960359408033828,0.0,0.5980962152302781,0.0,0.4173983651458853,0.0,0.8524826061913919,0.0,97.19298245614036,0.0,88.0952380952381,0.0
cysteine_protease,0.0,0.0,0.5117241379310344,0.5384615384615384,0.0,0.48827586206896556,0.5555555555555556,0.0,0.2755437665782493,0.0,0.271264367816092,0.0,0.5788192597499859,0.0,0.5654257650418069,0.0,95.41666666666667,0.0,78.77094972067039,0.0
dna_repair,0.0,0.0,0.36773428232502964,0.5760869565217391,0.0,0.6322657176749704,0.7741935483870968,0.0,0.21184692351333229,0.0,0.4894960394902996,0.0,0.5384026165884298,0.0,0.738024282999074,0.0,77.05882352941177,0.0,68.62745098039215,0.0
GPCR_3,0.0,0.0,0.5945223780895124,0.7280701754385965,0.0,0.40547762191048764,0.7479674796747967,0.0,0.4328540121178029,0.0,0.30328407492491755,0.0,0.737233273882439,0.0,0.7161355296835338,0.0,97.51243781094527,0.0,91.04477611940298,0.0
GPCR,0.0,0.0,0.5064615384615384,0.7741935483870968,0.0,0.4935384615384616,0.4214417744916821,0.0,0.39209925558312647,0.0,0.20799772501066402,0.0,0.503830586820581,0.0,0.37690890731975496,0.0,90.23136246786632,0.0,85.828025477707,0.0
GPCR_2,0.0,0.0,0.838468720821662,0.9747899159663865,0.0,0.16153127917833798,0.625,0.0,0.8173308539101916,0.0,0.10095704948646125,0.0,0.9617662021792117,0.0,0.507623976170488,0.0,98.04878048780488,0.0,85.07462686567165,0.0
ion_channel2,0.0,0.0,0.20496894409937888,0.1368421052631579,0.0,0.7950310559006211,0.7,0.0,0.028048381824125532,0.0,0.5565217391304347,0.0,0.19560411789690102,0.0,0.7624665257421338,0.0,85.5072463768116,0.0,93.23671497584542,0.0
hsf1,0.0,0.0,0.7542857142857143,0.8632478632478633,0.0,0.24571428571428566,0.42857142857142855,0.0,0.6511355311355312,0.0,0.10530612244897959,0.0,0.8525437232108551,0.0,0.4638410792862898,0.0,93.45794392523365,0.0,80.0,0.0
methylation,0.0,0.0,0.7657058388765706,0.8924050632911392,0.0,0.23429416112342938,0.38016528925619836,0.0,0.6833197676050409,0.0,0.08907050753452689,0.0,0.8814146229950583,0.0,0.3569125228966047,0.0,98.21428571428571,0.0,89.30817610062893,0.0
serine,0.0,0.0,0.9151943462897526,0.9446494464944649,0.0,0.0848056537102474,0.14814814814814814,0.0,0.8645378326574784,0.0,0.012563800549666274,0.0,0.9609550265547224,0.0,0.16562667370502376,0.0,92.27941176470588,0.0,92.7007299270073,0.0
splicing,0.0,0.0,0.12466983623877444,0.20430107526881722,0.0,0.8753301637612255,0.9027027027027027,0.0,0.025470181597168972,0.0,0.7901629045844576,0.0,0.20935511561612086,0.0,0.9149299644769067,0.0,94.44444444444444,0.0,76.5,0.0
streptokinase,0.0,0.0,0.7447335811648079,0.7127659574468085,0.0,0.2552664188351921,0.14450867052023122,0.0,0.5308207440217247,0.0,0.03688821081433412,0.0,0.7125784054152813,0.0,0.1399172669147774,0.0,95.6989247311828,0.0,81.44578313253012,0.0
toxin_B,0.0,0.0,0.9640883977900553,0.9890710382513661,0.0,0.035911602209944715,0.11688311688311688,0.0,0.9535519125683061,0.0,0.004197459998564971,0.0,0.9876883106436755,0.0,0.21576846515403336,0.0,95.16129032258064,0.0,96.3855421686747,0.0
ubiquitin,0.0,0.0,0.7090239410681399,0.7090239410681399,0.0,0.29097605893186007,0.29097605893186,0.0,0.5027149490077971,0.0,0.08466706687151727,0.0,0.44239613498823327,0.0,0.5576038650117658,0.0,62.60623229461756,0.0,62.60623229461756,0.0
zinc_finger,0.0,0.0,0.487248322147651,0.44086021505376344,0.0,0.512751677852349,0.5405405405405406,0.0,0.21480840008659882,0.0,0.2771630691093778,0.0,0.4794414041054177,0.0,0.5013416543849168,0.0,98.1981981981982,0.0,93.13725490196079,0.0
fatty_acid_synthase,0.0,0.0,0.047304730473047306,0.07894736842105263,0.0,0.9526952695269527,1.0,0.0,0.0037345839847142607,0.0,0.9526952695269527,0.0,0.1679497582388192,0.0,0.9947998731547137,0.0,97.0464135021097,0.0,60.42553191489362,0.0
