,Time - mean,Time - STD,Time - Replicate 1,Time - Replicate 2,Time - Replicate 3,Time - Replicate 4,Time - Replicate 5,Time - Replicate 6,Time - Replicate 7,Time - Replicate 8,Time - Replicate 9,Time - Replicate 10,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,FP Precision@90 - Replicate 1,FP Precision@90 - Replicate 2,FP Precision@90 - Replicate 3,FP Precision@90 - Replicate 4,FP Precision@90 - Replicate 5,FP Precision@90 - Replicate 6,FP Precision@90 - Replicate 7,FP Precision@90 - Replicate 8,FP Precision@90 - Replicate 9,FP Precision@90 - Replicate 10,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,TP Precision@90 - Replicate 1,TP Precision@90 - Replicate 2,TP Precision@90 - Replicate 3,TP Precision@90 - Replicate 4,TP Precision@90 - Replicate 5,TP Precision@90 - Replicate 6,TP Precision@90 - Replicate 7,TP Precision@90 - Replicate 8,TP Precision@90 - Replicate 9,TP Precision@90 - Replicate 10,FP EF10 - mean,FP EF10 - STD,FP EF10 - Replicate 1,FP EF10 - Replicate 2,FP EF10 - Replicate 3,FP EF10 - Replicate 4,FP EF10 - Replicate 5,FP EF10 - Replicate 6,FP EF10 - Replicate 7,FP EF10 - Replicate 8,FP EF10 - Replicate 9,FP EF10 - Replicate 10,TP EF10 - mean,TP EF10 - STD,TP EF10 - Replicate 1,TP EF10 - Replicate 2,TP EF10 - Replicate 3,TP EF10 - Replicate 4,TP EF10 - Replicate 5,TP EF10 - Replicate 6,TP EF10 - Replicate 7,TP EF10 - Replicate 8,TP EF10 - Replicate 9,TP EF10 - Replicate 10,FP BEDROC20 - mean,FP BEDROC20 - STD,FP BEDROC20 - Replicate 1,FP BEDROC20 - Replicate 2,FP BEDROC20 - Replicate 3,FP BEDROC20 - Replicate 4,FP BEDROC20 - Replicate 5,FP BEDROC20 - Replicate 6,FP BEDROC20 - Replicate 7,FP BEDROC20 - Replicate 8,FP BEDROC20 - Replicate 9,FP BEDROC20 - Replicate 10,TP BEDROC20 - mean,TP BEDROC20 - STD,TP BEDROC20 - Replicate 1,TP BEDROC20 - Replicate 2,TP BEDROC20 - Replicate 3,TP BEDROC20 - Replicate 4,TP BEDROC20 - Replicate 5,TP BEDROC20 - Replicate 6,TP BEDROC20 - Replicate 7,TP BEDROC20 - Replicate 8,TP BEDROC20 - Replicate 9,TP BEDROC20 - Replicate 10,FP Scaffold- mean,FP Scaffold - STD,FP Scaffold - Replicate 1,FP Scaffold - Replicate 2,FP Scaffold - Replicate 3,FP Scaffold - Replicate 4,FP Scaffold - Replicate 5,FP Scaffold - Replicate 6,FP Scaffold - Replicate 7,FP Scaffold - Replicate 8,FP Scaffold - Replicate 9,FP Scaffold - Replicate 10,TP Scaffold- mean,TP Scaffold - STD,TP Scaffold - Replicate 1,TP Scaffold - Replicate 2,TP Scaffold - Replicate 3,TP Scaffold - Replicate 4,TP Scaffold - Replicate 5,TP Scaffold - Replicate 6,TP Scaffold - Replicate 7,TP Scaffold - Replicate 8,TP Scaffold - Replicate 9,TP Scaffold - Replicate 10
transcription_5,506.56891956329343,4.799793739443196,509.4556710720062,501.22705340385437,505.88897156715393,509.68928956985474,496.70831990242004,509.9345338344574,510.54165625572205,511.778201341629,501.47352385520935,508.99197483062744,0.8592233009708737,0.8049911448699067,0.019864430786581264,0.7962962962962963,0.7857142857142857,0.7796610169491526,0.8,0.7903225806451613,0.8363636363636363,0.819672131147541,0.8181818181818182,0.835820895522388,0.7878787878787878,0.14077669902912626,0.02361111111111111,0.04732423621500228,0.0,0.1111111111111111,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.6916671487474442,0.017067981792353797,0.6841963322545846,0.6751040221914008,0.6699029126213593,0.6873786407766991,0.679063576573755,0.7186231244483671,0.7042813942384211,0.7030008826125331,0.7181567888711781,0.6769638128861429,0.0033238942826321464,0.006662149758422651,0.0,0.015641855447680687,0.0,0.017597087378640776,0.0,0.0,0.0,0.0,0.0,0.0,0.7286260756714167,0.03944479069052708,0.7674587167082009,0.691129305752745,0.6642212480268829,0.7626976846156129,0.7088985423610532,0.7514841386085556,0.7811878505092378,0.7200062117387899,0.760964933519308,0.6782121248737812,0.13588681340239855,0.01883027739092377,0.15243121094369655,0.141758491242257,0.13955239800110117,0.16474771714018457,0.13313815644379665,0.12099103746947042,0.14140102037535593,0.09796394616557882,0.15189835680371597,0.11498579943882851,87.5304347826087,2.5842916489885863,89.3913043478261,89.04347826086956,89.21739130434783,86.08695652173913,89.04347826086956,87.65217391304348,80.34782608695652,87.47826086956522,88.17391304347827,88.8695652173913,17.582608695652176,8.831444079926113,33.04347826086956,29.043478260869566,9.91304347826087,28.0,10.608695652173912,10.782608695652174,21.391304347826086,10.956521739130435,9.73913043478261,12.347826086956522
channel_atp,279.34450175762174,2.2008919045634094,279.81877732276917,278.4033052921295,275.3449590206146,279.0181188583374,280.2671363353729,283.1913890838623,279.97115874290466,280.7569077014923,275.97478914260864,280.6984760761261,0.4878048780487805,0.6619712807505628,0.044512984087290174,0.6952380952380952,0.6862745098039216,0.6990291262135923,0.7019230769230769,0.6111111111111112,0.6476190476190476,0.6699029126213593,0.6470588235294118,0.7019230769230769,0.5596330275229358,0.5121951219512195,0.7304842313466762,0.049567940340599026,0.6521739130434783,0.7263157894736842,0.6979166666666666,0.8316831683168316,0.7083333333333334,0.7578947368421053,0.7340425531914894,0.6703296703296703,0.7553191489361702,0.7708333333333334,0.3229128198783233,0.02171365077428789,0.33914053426248547,0.3347680535628886,0.34098981766516695,0.34240150093808625,0.2981029810298103,0.3159117305458769,0.326781908595785,0.3156384505021521,0.34240150093808625,0.27299172074289546,0.37415045995805374,0.025388457247623886,0.3340402969247084,0.37201540436457,0.35746951219512196,0.4259840618208162,0.36280487804878053,0.38818998716302955,0.3759730150492994,0.34333958724202623,0.38687078360145305,0.3948170731707317,0.6774727268941321,0.0614368085306879,0.7097219572995687,0.720666071784327,0.6983795879736828,0.7059397708436629,0.5944042339150051,0.7453059303511556,0.6868247852152368,0.6481884796738933,0.7251859187223807,0.5401105331624078,0.7065636716777579,0.05986795421380509,0.5999183125799767,0.6912568641253772,0.6794157545957888,0.8263589572955311,0.6890379697194355,0.7143764668731573,0.7193822207111704,0.6406885966423792,0.7483933008933601,0.7568082733414019,90.63606194690266,4.4967263998997495,91.96428571428571,91.96428571428571,87.61061946902655,83.03571428571429,95.53571428571429,90.17857142857143,95.53571428571429,95.53571428571429,83.03571428571429,91.96428571428571,86.60714285714286,2.4936142935301677,88.39285714285714,87.5,85.71428571428571,85.71428571428571,83.92857142857143,88.39285714285714,91.07142857142857,82.14285714285714,84.82142857142857,88.39285714285714
transcription,280.59438133239746,3.856133119636962,281.8433630466461,283.2530789375305,283.3062686920166,276.3364119529724,278.0095286369324,283.14655661582947,284.040500164032,280.3209409713745,271.7482969760895,283.93886733055115,0.44337606837606836,0.7806665937495482,0.04209328989285916,0.7482014388489209,0.8307692307692308,0.7557251908396947,0.8582677165354331,0.8,0.7194244604316546,0.753731343283582,0.7925925925925926,0.8088235294117647,0.7391304347826086,0.5566239316239316,0.8190338096112214,0.04984000834189172,0.8648648648648649,0.859375,0.7735849056603774,0.7636363636363637,0.72,0.8225806451612904,0.8870967741935484,0.8113207547169812,0.8545454545454545,0.8333333333333334,0.34612888504921213,0.018663157377709984,0.3317346123101519,0.3683431952662722,0.3350704638872578,0.38053536577158625,0.3547008547008547,0.3189755887597614,0.3341864395968873,0.3514165875276986,0.35861299648064354,0.32771274619100704,0.4558938192387248,0.02774214139543332,0.48140448140448144,0.4783486912393163,0.4305958716336075,0.4250582750582751,0.40076923076923077,0.4578680727874277,0.49377929418252,0.45160054829866153,0.47566045066045065,0.4638532763532764,0.8215674342607049,0.04028810192452337,0.796876104811726,0.8733716736969979,0.816800097723254,0.8712467574032254,0.8594332667773985,0.7477197886909429,0.8182976751693777,0.8427928557926048,0.8232104231837998,0.765925699357723,0.8058874460806047,0.041876253402716265,0.8564074828066189,0.8414548713285905,0.7492915071100131,0.7856164086685472,0.723970920615604,0.8280481575886981,0.8399423916226285,0.7797258602659001,0.8358722622167255,0.8185445985827207,94.23423423423424,2.5305534964302945,95.49549549549549,94.5945945945946,89.1891891891892,90.990990990991,92.34234234234235,97.74774774774775,95.94594594594595,95.04504504504504,94.14414414414415,96.84684684684684,76.3963963963964,1.651378628812918,77.02702702702703,80.18018018018019,76.57657657657657,74.77477477477477,74.77477477477477,75.67567567567568,74.32432432432432,76.57657657657657,77.92792792792793,76.12612612612612
transporter,252.66435012817382,2.310186213656714,253.07778573036194,251.11217188835144,254.031720161438,256.48290967941284,253.96379899978638,252.939204454422,255.23407793045044,250.66964745521545,250.7479271888733,248.3842577934265,0.30279069767441863,0.4835632384814958,0.047592493379059825,0.5339366515837104,0.44144144144144143,0.43577981651376146,0.5022222222222222,0.37962962962962965,0.5201793721973094,0.47533632286995514,0.5315315315315315,0.5111111111111111,0.5044642857142857,0.6972093023255814,0.8516901550144749,0.016756704847624582,0.84,0.87,0.8557692307692307,0.8793969849246231,0.85,0.8284313725490197,0.8407960199004975,0.8656716417910447,0.8267326732673267,0.8601036269430051,0.14641845034951334,0.014410564274310674,0.16167105124697465,0.13366436203645507,0.13195007467463196,0.15206821705426357,0.11494832041343671,0.15750547502346438,0.14392741683178642,0.16094280326838467,0.15475968992248063,0.15274709302325581,0.5938062987752082,0.011682930496088033,0.5856558139534884,0.6065720930232559,0.5966502683363148,0.6131237583265163,0.5926279069767442,0.5775900592795258,0.5862108064329515,0.6035543214161749,0.5764057103384757,0.5996722496686347,0.48498132030141805,0.04527066492333765,0.5205072964132935,0.44546798797735276,0.4388642692708202,0.4983657749461214,0.37886021160494987,0.511737974040569,0.5141255352746051,0.5124641092605955,0.511960659859264,0.5174593843666093,0.8435949427714435,0.018209489031901213,0.8431398115090468,0.8697022408133126,0.8223057042555932,0.8564983656682271,0.8638058541309934,0.8142972170727965,0.8363264736461036,0.8564700511803108,0.8219732991445866,0.8514304102934651,92.46861924686193,3.555254524895061,92.88702928870293,89.1213389121339,96.65271966527196,94.97907949790795,84.10041841004184,91.63179916317992,93.72384937238493,93.30543933054393,96.65271966527196,91.63179916317992,71.5481171548117,1.9535761556366151,74.05857740585775,71.96652719665272,69.8744769874477,68.61924686192468,74.47698744769875,72.80334728033473,69.8744769874477,73.22175732217573,69.4560669456067,71.1297071129707
cysteine_protease,280.8819764852524,2.7127019085438993,276.43081998825073,277.6606183052063,283.8189754486084,284.2933421134949,279.3575065135956,284.74812388420105,282.19774556159973,279.3073525428772,281.3286578655243,279.67662262916565,0.5117241379310344,0.829625748222185,0.015867711581443695,0.8487394957983193,0.8275862068965517,0.79,0.8252427184466019,0.8260869565217391,0.8482142857142857,0.8333333333333334,0.8235294117647058,0.8416666666666667,0.831858407079646,0.48827586206896556,0.8469162042355445,0.0460508488555293,0.8620689655172413,0.8214285714285714,0.7666666666666667,0.8695652173913043,0.8571428571428571,0.9565217391304348,0.8181818181818182,0.84,0.8275862068965517,0.85,0.42453952081438706,0.008119891029952558,0.4343204868154158,0.4234958382877526,0.40426206896551725,0.42229661868095075,0.4227286356821589,0.43405172413793097,0.4264367816091954,0.42141987829614597,0.4307011494252873,0.42568202624351537,0.4135287397232865,0.022485517923941205,0.4209274673008323,0.4010837438423645,0.3743448275862069,0.42458770614692654,0.41852216748768467,0.4670464767616192,0.3994984326018809,0.410151724137931,0.40409036860879904,0.41503448275862065,0.8181240099917163,0.01868757242499842,0.8254916721378301,0.8304153183206708,0.77907269951084,0.8295774082550763,0.8212132577544936,0.848556760308499,0.824168617801066,0.7938342975124563,0.8190137519928498,0.8098963163233815,0.8159606059077091,0.01948687867579358,0.8224049397191835,0.8093843704047858,0.7740400268580083,0.82377145408718,0.8249582287904008,0.8227116518892864,0.7850948107300388,0.8336870336154115,0.8312746667760897,0.8322788762067065,96.70454545454545,0.795454545454549,97.1590909090909,97.72727272727273,96.02272727272727,97.1590909090909,96.02272727272727,96.5909090909091,98.29545454545455,96.02272727272727,96.02272727272727,96.02272727272727,69.82954545454545,3.56146226004882,66.47727272727273,69.88636363636364,68.75,65.9090909090909,66.47727272727273,67.04545454545455,72.72727272727273,73.86363636363636,77.27272727272727,69.88636363636364
dna_repair,285.8870532989502,3.330940408377127,284.8565468788147,289.3200116157532,277.42940497398376,287.48505330085754,284.88156604766846,288.4448847770691,284.52844524383545,287.64746046066284,285.09064412117004,289.1865155696869,0.36773428232502964,0.3198831514742972,0.08108845370555391,0.45555555555555555,0.4050632911392405,0.25,0.23076923076923078,0.4375,0.27906976744186046,0.35135135135135137,0.24107142857142858,0.2601626016260163,0.2882882882882883,0.6322657176749704,0.31964537434167023,0.07692662428873082,0.2537313432835821,0.2894736842105263,0.3368421052631579,0.22916666666666666,0.32954545454545453,0.4639175257731959,0.29577464788732394,0.23529411764705882,0.31343283582089554,0.4492753623188406,0.11763200113526942,0.029819004328258264,0.1675233952814024,0.14895565866330315,0.09193357058125741,0.08486175745962223,0.16088374851720047,0.10262352064884547,0.12920393703311853,0.08865022877478393,0.0956707075967557,0.10601348679640495,0.20210081200962066,0.048638067314227186,0.1604256298578283,0.18302428669538615,0.2129737154273584,0.14489422696718068,0.20836029332470613,0.2933191473749862,0.18700817001654052,0.14876840415881654,0.19817283688319967,0.284061409390204,0.3652507800823307,0.08739118484357804,0.510567851496742,0.45309193474402154,0.39843276738586075,0.2516322342073447,0.4607451253310497,0.2990879150618166,0.3933089594471938,0.33058567108910164,0.31394566330145746,0.241109678758718,0.3287075103361609,0.05811091727830312,0.29958773395716043,0.30162634042299646,0.32081299924099427,0.2791878705909653,0.3235990930424314,0.39704684175176447,0.2976473093223272,0.28689822871681586,0.3046953549761202,0.47597333134003394,68.59098348460051,7.524872262064151,65.2482269503546,63.12056737588652,49.645390070921984,75.177304964539,71.32867132867133,73.75886524822695,66.66666666666667,72.02797202797203,73.04964539007092,75.88652482269504,75.50331173065949,4.527619973993959,77.30496453900709,78.01418439716312,79.43262411347517,68.08510638297872,82.97872340425532,70.92198581560284,79.16666666666667,70.13888888888889,75.88652482269504,73.10344827586206
GPCR_3,64.26682169437409,0.854793684044925,65.13598394393921,65.07340979576111,63.64719486236572,64.19829082489014,65.46215438842773,64.34552693367004,64.85066795349121,62.81346869468689,62.99851393699646,64.14300560951233,0.5945223780895124,0.9179231307193818,0.013268580169788128,0.9126984126984127,0.9008264462809917,0.9097744360902256,0.9322033898305084,0.916030534351145,0.9133858267716536,0.9,0.937007874015748,0.917910447761194,0.9393939393939394,0.40547762191048764,0.7219670540943742,0.020326850457787607,0.7621951219512195,0.7325581395348837,0.6982248520710059,0.7514450867052023,0.7235294117647059,0.7065868263473054,0.710691823899371,0.7202380952380952,0.6982248520710059,0.7159763313609467,0.5457258425786572,0.007888467836413799,0.5426196307959835,0.5355614810888996,0.5408812612694059,0.5542157761851386,0.5446006516850495,0.5430283138455388,0.5350701402805611,0.5570721495484408,0.5457183022761942,0.5584907188113601,0.29274148419190726,0.00824208298455383,0.3090530654805546,0.2970359323297758,0.2831145525765535,0.3046941667535456,0.29337498526464695,0.2865051460205841,0.28816963066594403,0.29204043006648217,0.2831145525765535,0.29031238018443195,0.9042318618612676,0.00885368829545268,0.90083519682273,0.8887348800977564,0.9019408180392104,0.9129305892257092,0.901990079155732,0.8905987607817972,0.9074361378854184,0.911803254198456,0.9086559393598976,0.9173929630459672,0.7192060551329635,0.023750127636326796,0.7476068905719047,0.7477219295497971,0.6838022943707551,0.7395074335369515,0.7180792391991305,0.7111037103583003,0.713244896425719,0.7325700472921819,0.6739654576909979,0.7244586523338975,90.44776119402984,1.7061122586549498,89.05472636815921,90.54726368159204,90.04975124378109,91.54228855721394,90.04975124378109,90.04975124378109,87.56218905472637,90.04975124378109,94.5273631840796,91.04477611940298,77.41293532338308,2.449459427878839,81.59203980099502,78.1094527363184,76.61691542288557,80.09950248756219,77.11442786069652,73.6318407960199,78.60696517412936,77.61194029850746,73.13432835820896,77.61194029850746
GPCR,267.10628430843354,2.1677248466573875,265.39423966407776,265.9313452243805,264.1461458206177,264.2319269180298,266.65331506729126,268.9654276371002,267.8085603713989,268.3630096912384,271.45405292510986,268.11481976509094,0.5064615384615384,0.6241303229690669,0.06990656687247168,0.588957055214724,0.47333333333333333,0.6545454545454545,0.6382978723404256,0.636986301369863,0.5269461077844312,0.6875,0.6709677419354839,0.6566265060240963,0.7071428571428572,0.4935384615384616,0.42732244326904556,0.05158056654832459,0.39520958083832336,0.398876404494382,0.4491017964071856,0.40853658536585363,0.5,0.43103448275862066,0.39655172413793105,0.38509316770186336,0.5393939393939394,0.36942675159235666,0.3160980035714105,0.03540498740679642,0.29828409627182634,0.23972512820512817,0.3315020979020979,0.3232733224222586,0.32260906217070595,0.26687793643482266,0.34819230769230763,0.3398193548387097,0.33255607043558844,0.3581406593406593,0.21090006123186122,0.02545699345954235,0.19505112851220635,0.19686084701815038,0.22164900967296175,0.20162851782363977,0.24676923076923077,0.21273209549071617,0.1957135278514589,0.1900582895365504,0.266211655011655,0.1823263106320431,0.6108289581523516,0.08506704495365622,0.5803518606411004,0.45926850904506467,0.654093158618263,0.6274964015214548,0.5961031653990596,0.45565334263605345,0.674334174772961,0.6714479376551432,0.6843125168022567,0.70522851443216,0.3923456851402739,0.04080037972411563,0.38406755952842625,0.34973675179919156,0.3857545478823354,0.3737817060534947,0.41677717360435473,0.41493613370182086,0.36801536764076054,0.3643290273277219,0.4985280006971019,0.3675305831675315,75.36804308797127,2.960719888646034,78.45601436265709,75.40394973070018,70.91561938958708,74.32675044883304,74.50628366247756,77.55834829443447,70.55655296229803,73.96768402154399,78.63554757630162,79.3536804308797,83.26750448833033,2.4244297054786057,83.12387791741472,84.73967684021544,83.12387791741472,85.09874326750449,78.63554757630162,86.53500897666068,85.63734290843806,81.86714542190305,79.71274685816876,84.20107719928187
GPCR_2,165.91103427410127,2.2683238298033768,163.39730620384216,167.62151312828064,164.89038729667664,165.1657977104187,161.56544423103333,165.09193992614746,166.42434859275818,167.88307929039001,167.28414583206177,169.7863805294037,0.838468720821662,0.9012144162015432,0.008208068580659457,0.9,0.8939393939393939,0.9104477611940298,0.8923076923076924,0.9206349206349206,0.8939393939393939,0.8984375,0.904,0.9,0.8984375,0.16153127917833798,0.34247084692218177,0.03894363133935559,0.2857142857142857,0.3880597014925373,0.31666666666666665,0.4126984126984127,0.29850746268656714,0.32857142857142857,0.3108108108108108,0.36619718309859156,0.35384615384615387,0.36363636363636365,0.7556400987385488,0.006882208763242001,0.7546218487394958,0.7495402201284554,0.7633819697033042,0.7481720893485599,0.7719235842485141,0.7495402201284554,0.753311741363212,0.7579757236227825,0.7546218487394958,0.753311741363212,0.05531975398462881,0.0062906145860957205,0.046151794050953716,0.06268377997965356,0.051151571739807035,0.06666370251804425,0.04821829229204119,0.05307456315859677,0.050205667852726676,0.059152299417419556,0.05715722186310422,0.0587386469739411,0.8969855674671674,0.007982666695061974,0.8831699119423052,0.8929267384920502,0.8910949094395814,0.8968276441916188,0.9133735208879686,0.8950493134548677,0.9069631922419457,0.8928877183647528,0.8989382566804455,0.8986244689761383,0.3419010343366432,0.02340883875515881,0.2987307526680657,0.3485250371065617,0.3344555475730542,0.38534490857328757,0.34474777998717226,0.321116717754799,0.31939427945349086,0.35930885927904077,0.360820335914054,0.3465661250569061,89.5187165775401,2.533201985524496,86.63101604278074,88.77005347593582,87.70053475935829,91.44385026737967,91.44385026737967,84.49197860962566,91.97860962566845,93.04812834224599,89.3048128342246,90.37433155080214,74.54545454545453,4.003201555553562,81.28342245989305,77.00534759358288,74.8663101604278,69.5187165775401,75.40106951871658,77.54010695187166,74.33155080213903,66.84491978609626,71.65775401069519,77.00534759358288
ion_channel2,96.42621099948883,0.7589320103279371,97.1636152267456,95.35134482383728,96.9179573059082,95.95322394371033,95.71595597267151,97.16678214073181,97.59177541732788,96.30082035064697,96.7156674861908,95.38496732711792,0.20496894409937888,0.31226680675141727,0.04694928238481232,0.33962264150943394,0.34545454545454546,0.34615384615384615,0.22,0.3333333333333333,0.3114754098360656,0.33962264150943394,0.3333333333333333,0.3333333333333333,0.22033898305084745,0.7950310559006211,0.8177985612988818,0.023375214384836755,0.8076923076923077,0.8333333333333334,0.8362068965517241,0.8440366972477065,0.8303571428571429,0.8245614035087719,0.7818181818181819,0.8351648351648352,0.77,0.8148148148148148,0.0640049976571228,0.00962314483663855,0.06961209422243056,0.07080745341614907,0.07095078834209269,0.045093167701863356,0.06832298136645962,0.06384278586701965,0.06961209422243056,0.06832298136645962,0.06832298136645962,0.04516264869986314,0.6501752537034589,0.018584021374280148,0.6421404682274248,0.6625258799171843,0.6648104519168986,0.6710353866317169,0.6601597160603372,0.655551923286477,0.6215697346132129,0.6639819807521671,0.6121739130434782,0.6478030825856912,0.349327569658722,0.04715983497836069,0.39195976557698425,0.3669762659853816,0.38454546885850965,0.26831663297020286,0.3813328671761786,0.32984903442816244,0.3698308309057848,0.3647654785358173,0.3821313481470248,0.253568004003174,0.8288851779726751,0.019755170957994634,0.8132470470157775,0.8368351507121964,0.8640537142908198,0.8443646952661183,0.8061034522211252,0.840521471053372,0.8283654611325126,0.844319605997079,0.8136987118622163,0.7973424701755345,86.98067632850241,1.2384969800284336,88.64734299516908,87.19806763285024,84.78260869565217,85.7487922705314,86.71497584541063,87.68115942028986,86.95652173913044,89.1304347826087,85.99033816425121,86.95652173913044,75.60386473429953,1.1329506666240166,73.18840579710145,76.81159420289855,75.84541062801932,74.15458937198068,75.84541062801932,75.84541062801932,76.57004830917874,77.05314009661836,75.60386473429952,75.1207729468599
