,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(-c2cnc3n2CCCC3)cc1,-0.0,1.0,0.0,0.0,-25.622743606567383,0.0,0.0,-37.878231048583984,0.0,0.0,-300.26849365234375,0.0,0.0,13.370179078035314,0.0,1.0,0.0
1,C(=N/n1cnnc1)\c1ccc(-c2ccccc2)cc1,1.0,0.0,0.0,0.0,-27.681718826293945,0.0,0.0,-40.966590881347656,0.0,0.0,-396.81585693359375,0.0,1.0,33.920826798367735,0.0,1.0,0.0
2,C/C=C/Cn1c(SCc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,1.0,0.0,0.0,0.0,-30.37935447692871,0.0,0.0,-45.013790130615234,0.0,0.0,-476.14569091796875,0.0,0.0,11.927776170007116,0.0,1.0,0.0
3,C1CCC(CNc2c3c(nc4nnnn24)CCCC3)CC1,1.0,0.0,0.0,0.0,-23.358060836791992,0.0,0.0,-34.487083435058594,0.0,0.0,-305.051513671875,0.0,0.0,13.00672656105708,0.0,1.0,0.0
4,C1CCN=C(Nc2nc3c(s2)CCCC3)CC1,-0.0,1.0,0.0,0.0,-16.154726028442383,0.0,0.0,-23.69202423095703,0.0,0.0,-89.03572082519531,0.0,0.0,29.244957768700168,0.0,1.0,0.0
5,C=C(C)C(C)(C#CCN1CCCC1)OC(C)=O,-0.0,1.0,0.0,0.0,-21.479034423828125,0.0,0.0,-31.661327362060547,0.0,0.0,-227.7862548828125,1.0,0.0,6.356584201092834,0.0,1.0,0.0
6,C=C(C)C1CC=C(CN2CCC(C(=O)OCC)CC2)CC1,-0.0,1.0,0.0,0.0,-8.971402168273926,0.0,0.0,-13.004193305969238,0.0,1.0,-28.616958618164062,0.0,0.0,16.69453151420356,0.0,1.0,0.0
7,C=C(C)COc1ccc2c(C)c(CC(=O)OC)c(=O)oc2c1C,1.0,0.0,0.0,0.0,-26.38860321044922,0.0,0.0,-39.02647399902344,0.0,0.0,-353.36114501953125,0.0,0.0,8.502567747053,0.0,1.0,0.0
8,C=C(C)Cn1c(N2CCCC2)nc2c1c(=O)[nH]c(=O)n2C,1.0,0.0,0.0,0.0,-31.194875717163086,0.0,0.0,-46.23432922363281,0.0,0.0,-587.5606689453125,0.0,0.0,10.613495143123457,0.0,1.0,0.0
9,C=C(C)Cn1c(SCC)nc2ccccc2c1=O,1.0,0.0,0.0,0.0,-29.81299591064453,0.0,0.0,-44.16071319580078,0.0,0.0,-435.97308349609375,0.0,0.0,18.17444821225924,0.0,1.0,0.0
10,C=CC(C)Sc1nc2c(c(=O)n(C)c(=O)n2C)n1Cc1ccccc1Cl,1.0,0.0,0.0,0.0,-25.508832931518555,0.0,0.0,-37.7148551940918,0.0,0.0,-326.0137023925781,0.0,0.0,20.28936347723249,0.0,1.0,0.0
11,C=CCC(O)(CCN1CCCCC1)c1ccccc1,-0.0,1.0,0.0,0.0,-9.272562980651855,0.0,0.0,-13.451504707336426,0.0,1.0,-36.876808166503906,0.0,1.0,36.678206291809154,0.0,1.0,0.0
12,C=CCN(C1CCCCC1)S(=O)(=O)c1ccc2c(c1)oc(=O)n2C,1.0,0.0,0.0,0.0,-29.772884368896484,0.0,0.0,-44.096435546875,0.0,0.0,-471.587890625,0.0,0.0,21.966169609721646,0.0,1.0,0.0
13,C=CCN1C(=Nc2cccnc2)SCC1(O)c1ccc(C)cc1,-0.0,1.0,0.0,0.0,-18.563182830810547,0.0,0.0,-27.294353485107422,0.0,0.0,-124.53623962402344,0.0,0.0,9.52540975005197,0.0,1.0,0.0
14,C=CCNC(=O)C(C#N)c1nc2ccccc2nc1N1CCCCCC1,1.0,0.0,0.0,0.0,-23.831634521484375,0.0,0.0,-35.19977951049805,0.0,0.0,-322.593994140625,0.0,0.0,12.152905280740638,0.0,1.0,0.0
15,C=CCNc1nc(N2CCCC2)nc2ccccc12,1.0,0.0,0.0,0.0,-16.31838035583496,0.0,0.0,-23.943174362182617,0.0,0.0,-148.12071228027344,0.0,0.0,15.291636330654242,0.0,1.0,0.0
16,C=CCOC(=O)COc1ccc2c(C)c(C)c(=O)oc2c1,1.0,0.0,0.0,0.0,-27.118337631225586,0.0,0.0,-40.115150451660156,0.0,0.0,-356.7806701660156,0.0,0.0,11.45920157392839,0.0,1.0,0.0
17,C=CCOC(=O)Nc1ccc(Cl)cc1NC(=O)OCC=C,1.0,0.0,0.0,0.0,-26.02312469482422,0.0,0.0,-38.46945571899414,0.0,0.0,-277.22021484375,0.0,0.0,16.94006367513744,0.0,1.0,0.0
