,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1cc2ccccc2[n+](Cc2ccccc2)c1,1.0,0.0,0.0,0.0,-11.10103702545166,1.0,0.0,-36.58012390136719,0.0,0.0,-167.147216796875,0.0,1.0,37.0,0.0,1.0,0.0
1,Brc1cccc(-c2nnc(SCc3nc4ccccc4[nH]3)o2)c1,1.0,0.0,0.0,0.0,-11.296923637390137,0.0,0.0,-28.362735748291016,0.0,0.0,-214.94766235351562,0.0,0.0,29.0,0.0,1.0,0.0
2,C#Cc1ccc2c(c1)COc1c3ccccc3nn1-2,-0.0,1.0,0.0,0.0,-11.541925430297852,0.0,0.0,-35.79753875732422,0.0,0.0,-174.73228454589844,0.0,0.0,31.0,0.0,1.0,0.0
3,C/C(=C\C(=O)c1ccncc1)Nc1ccccc1O,1.0,0.0,0.0,0.0,-11.211824417114258,0.0,0.0,-28.66262435913086,0.0,0.0,-196.85650634765625,0.0,0.0,33.0,0.0,1.0,0.0
4,C/C(=N/NC(=O)CN1CCN(Cc2ccccc2)CC1)c1ccc([N+](=O)[O-])cc1,1.0,0.0,0.0,0.0,-11.645333290100098,0.0,0.0,-33.15745544433594,0.0,1.0,-135.6038818359375,0.0,0.0,28.0,0.0,1.0,0.0
5,C/C(=N/NC(=O)CNC(=O)c1cccnc1)c1ccc([N+](=O)[O-])cc1,1.0,0.0,0.0,0.0,-10.890361785888672,1.0,0.0,-36.60015106201172,0.0,0.0,-148.9903564453125,0.0,0.0,33.0,0.0,1.0,0.0
6,C/C(=N\NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)c1ccco1,-0.0,1.0,0.0,1.0,-7.745011329650879,0.0,0.0,-29.82121467590332,0.0,0.0,-159.3936767578125,0.0,0.0,29.0,0.0,1.0,0.0
7,C/C(=N\NC(=O)c1nnn(-c2nonc2N)c1CN(C)c1ccccc1)c1cccs1,-0.0,1.0,0.0,0.0,-10.835392951965332,0.0,0.0,-24.703697204589844,0.0,0.0,-211.38555908203125,0.0,0.0,19.0,0.0,1.0,0.0
8,C/C(=N\Nc1cccc([N+](=O)[O-])c1)c1ccccc1O,1.0,0.0,0.0,0.0,-11.640295028686523,0.0,0.0,-32.291831970214844,0.0,0.0,-158.8282012939453,0.0,0.0,28.0,1.0,-0.0,1.0
9,C/C(=N\Nc1nnc2c3ccccc3n(C)c2n1)c1ccc(C)o1,-0.0,1.0,0.0,0.0,-11.480348587036133,1.0,0.0,-36.518287658691406,0.0,1.0,-136.6158905029297,0.0,1.0,34.0,0.0,1.0,0.0
10,C/C(N)=C(/C#N)C(=O)COC(=O)c1cc(-c2ccc(C)cc2)nc2ccccc12,1.0,0.0,0.0,0.0,-11.216116905212402,0.0,0.0,-27.79617691040039,0.0,0.0,-210.3802490234375,0.0,0.0,32.0,0.0,1.0,0.0
11,C/C=N/NC(=O)c1cc(Br)ccc1O,1.0,0.0,0.0,0.0,-10.405433654785156,0.0,0.0,-23.177209854125977,0.0,0.0,-268.9702453613281,0.0,0.0,28.0,0.0,1.0,0.0
12,C/[N+]([O-])=C1\Cc2ccccc2C1=O,1.0,0.0,0.0,0.0,-10.517138481140137,0.0,0.0,-24.952499389648438,0.0,0.0,-305.05419921875,0.0,1.0,38.0,1.0,-0.0,1.0
13,C=C(C)C(COc1c2occc2cc2ccc(=O)oc12)OC(C)(C)C(O)COc1c2occc2cc2ccc(=O)oc12,-0.0,1.0,0.0,0.0,-11.258742332458496,0.0,0.0,-27.790937423706055,0.0,0.0,-225.46092224121094,0.0,0.0,31.0,0.0,1.0,0.0
14,C=CCN1C(=O)/C(=C/c2ccc(O)c(OC)c2)S/C1=N/c1nccs1,-0.0,1.0,0.0,0.0,-10.855213165283203,0.0,0.0,-25.044334411621094,0.0,0.0,-217.81344604492188,0.0,0.0,32.0,0.0,1.0,0.0
15,C=CCNC(=O)CCC(=O)NNc1nc2ccccc2c2nc(-c3ccccc3)nn12,-0.0,1.0,0.0,0.0,-11.544462203979492,0.0,0.0,-30.94514274597168,0.0,0.0,-149.5042724609375,0.0,0.0,31.0,0.0,1.0,0.0
16,C=CCNC(=S)N/N=C(\C)c1cccnc1,1.0,0.0,0.0,1.0,-7.751158237457275,0.0,1.0,-8.465141296386719,1.0,0.0,-1031.4459228515625,0.0,1.0,38.0,0.0,1.0,0.0
17,C=CCNc1nnc(Sc2ncccc2[N+](=O)[O-])s1,1.0,0.0,0.0,0.0,-11.083714485168457,1.0,0.0,-36.54266357421875,0.0,0.0,-143.9373321533203,0.0,0.0,33.0,0.0,1.0,0.0
18,C=CCNc1oc(-c2cccc3ccccc23)nc1C#N,-0.0,1.0,0.0,0.0,-11.198479652404785,0.0,0.0,-28.098224639892578,0.0,0.0,-201.8996124267578,0.0,0.0,25.0,0.0,1.0,0.0
