,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H](N)CO)nn3)CC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H](N)CC(C)C)nn3)CC2)n1,1.0,0.0,1.0,0.0,-16.192481994628906,1.0,0.0,-216.51858520507812,1.0,0.0,-1231.1856689453125,0.0,0.0,7.634434149045692,0.0,1.0,0.0
1,C/C(=N\NC(=S)NCCc1ccccc1)c1ccc(O)cc1O,1.0,0.0,0.0,0.0,-4.376964092254639,0.0,0.0,-60.79637908935547,0.0,0.0,-154.55711364746094,0.0,0.0,6.660331036667458,1.0,-0.0,1.0
2,C/C(=N\NC(=S)NCCc1ccccc1)c1cccc(Br)c1,1.0,0.0,0.0,0.0,-6.4921793937683105,0.0,0.0,-88.77041625976562,0.0,0.0,-202.0680389404297,0.0,0.0,6.200997861724876,0.0,1.0,0.0
3,C/C(=N\NC(=S)Nc1cccc(C)c1)c1cc2ccccc2o1,1.0,0.0,0.0,0.0,-5.293485641479492,0.0,0.0,-72.92901611328125,0.0,0.0,-167.49029541015625,0.0,0.0,8.941157836382356,0.0,1.0,0.0
4,C/C(=N\NC(=S)Nc1cccc(C)c1)c1ccccc1,1.0,0.0,0.0,0.0,-6.096120834350586,0.0,0.0,-83.53570556640625,0.0,0.0,-182.79005432128906,0.0,0.0,6.288112774213986,0.0,1.0,0.0
5,C/C(O)=c1/c(=O)nc2cccc3c2=c1c1ccccc1c3=O,1.0,0.0,0.0,0.0,-4.531627178192139,0.0,0.0,-62.82841110229492,0.0,0.0,-173.3418731689453,0.0,0.0,12.013938385998255,0.0,1.0,0.0
6,C1CC2CN(c3nc4nonc4nc3N3CCSCC3)CCN2C1,1.0,0.0,0.0,0.0,-6.484867095947266,0.0,0.0,-88.68472290039062,0.0,0.0,-247.47750854492188,0.0,1.0,15.799477310525065,0.0,1.0,0.0
7,C=CCN(CC=C)C(=S)Nc1ccc2nsnc2c1,1.0,0.0,0.0,0.0,-4.595333099365234,0.0,0.0,-63.68152618408203,0.0,0.0,-172.4271697998047,0.0,1.0,15.767799160529025,0.0,1.0,0.0
8,C=CCN1C(=O)/C(=C2/Sc3ccccc3N2CCCS(=O)(=O)O)SC1=S.c1ccncc1,1.0,0.0,0.0,1.0,-2.682859182357788,0.0,1.0,-38.223480224609375,0.0,1.0,-147.842529296875,0.0,0.0,7.737388136532826,1.0,-0.0,1.0
9,C=CCN1C(=O)/C(=C\c2ccc(Cl)cc2)N=C1SCC(=O)NC1CCCCC1,1.0,0.0,0.0,0.0,-5.1665825843811035,0.0,0.0,-71.25306701660156,0.0,0.0,-213.83734130859375,0.0,0.0,6.85831947414271,0.0,1.0,0.0
10,C=CCNC(=S)N/N=C(\C)c1cccc(OC)c1,1.0,0.0,0.0,0.0,-5.569640159606934,0.0,0.0,-76.57486724853516,0.0,0.0,-196.1949462890625,0.0,0.0,6.422744911697159,0.0,1.0,0.0
11,C=CCNC(=S)NS(=O)(=O)c1cccs1,1.0,0.0,0.0,0.0,-3.125920534133911,0.0,0.0,-44.13566207885742,0.0,0.0,-161.52781677246094,0.0,0.0,9.97861724875267,0.0,1.0,0.0
12,C=CCSC1=C(C#N)C(c2ccccc2OCC)C(C#N)C(=O)N1,1.0,0.0,0.0,0.0,-6.527737617492676,0.0,0.0,-89.23721313476562,0.0,0.0,-247.97406005859375,0.0,0.0,7.365169874079354,1.0,-0.0,1.0
13,C=CCSc1nc2c(c(=O)[nH]c(=O)n2C)n1C(C)C,1.0,0.0,0.0,0.0,-4.247470855712891,0.0,0.0,-59.060760498046875,0.0,0.0,-203.12408447265625,0.0,0.0,7.515641086560542,0.0,1.0,0.0
14,C=CCn1c(N)c(C(=O)OCC)sc1=S,1.0,0.0,0.0,0.0,-4.213849067687988,0.0,0.0,-58.6112174987793,0.0,0.0,-197.02560424804688,0.0,0.0,13.352340223330955,0.0,1.0,0.0
15,C=CCn1c(O)c(N=NC(=S)Nc2ccccc2F)c2cc(S(=O)(=O)N3CCOCC3)ccc21,1.0,0.0,0.0,0.0,-3.3713481426239014,0.0,0.0,-47.410423278808594,0.0,1.0,-148.90283203125,0.0,0.0,7.8086639740239185,1.0,-0.0,1.0
16,C=CCn1c(O)c(N=NC(=S)Nc2ccccc2F)c2ccccc21,1.0,0.0,0.0,0.0,-2.944795846939087,0.0,0.0,-41.71675491333008,0.0,1.0,-149.1116943359375,0.0,0.0,5.741664686782288,1.0,-0.0,1.0
17,C=CCn1c(SCC(=O)c2cc(C)n(C(C)COC)c2C)nc2sc(C)c(C)c2c1=O,1.0,0.0,0.0,0.0,-7.230463981628418,0.0,0.0,-98.52409362792969,0.0,0.0,-247.4032745361328,0.0,0.0,6.430664449196168,0.0,1.0,0.0
18,CC(=O)/C=C1/SC=C(c2ccccc2)N1c1ccccc1,1.0,0.0,0.0,0.0,-4.9150919914245605,0.0,0.0,-67.91323852539062,0.0,0.0,-173.24281311035156,0.0,0.0,8.71149124891106,0.0,1.0,0.0
19,CC(=O)C(Sc1nccc(-c2cccs2)n1)C(C)=O,1.0,0.0,0.0,0.0,-4.865209102630615,0.0,0.0,-67.25035858154297,0.0,0.0,-187.3502655029297,1.0,0.0,3.650906787043639,0.0,1.0,0.0
20,CC(=O)C1=C(O)C(=O)N(C)C1c1ccccc1[N+](=O)[O-],1.0,0.0,0.0,0.0,-6.105342864990234,0.0,0.0,-83.65034484863281,0.0,0.0,-207.6034698486328,0.0,0.0,5.828779599271405,0.0,1.0,0.0
21,CC(=O)N1C(=O)/C(=C2\SC(=S)N(c3c(C)n(C)n(-c4ccccc4)c3=O)C2=O)c2ccccc21,1.0,0.0,0.0,1.0,-2.4030072689056396,0.0,1.0,-34.47366714477539,0.0,1.0,-145.53421020507812,0.0,0.0,12.46535202344183,1.0,-0.0,1.0
22,CC(=O)N1CCN(c2ccc(NC(=S)NC(=O)COc3ccc(C(C)(C)C)cc3)cc2)CC1,1.0,0.0,0.0,0.0,-5.682833671569824,0.0,0.0,-78.07801055908203,0.0,0.0,-179.05831909179688,0.0,0.0,9.62223806129722,1.0,-0.0,1.0
23,CC(=O)NC(SC(=S)N(C)C)C(Cl)(Cl)Cl,1.0,0.0,0.0,1.0,-2.000394105911255,0.0,1.0,-29.063446044921875,0.0,0.0,-149.8210906982422,0.0,0.0,10.137007998732871,0.0,1.0,0.0
24,CC(=O)NCCN=C(C)c1sc2ccccc2c1O,1.0,0.0,0.0,0.0,-5.6183366775512695,0.0,0.0,-77.22061920166016,0.0,0.0,-230.49330139160156,1.0,0.0,2.8035162746495623,1.0,-0.0,1.0
25,CC(=O)NNC(=O)CN1C(=O)/C(=C/c2ccccc2)SC1=S,1.0,0.0,0.0,1.0,-2.8290793895721436,0.0,1.0,-40.17388916015625,0.0,0.0,-153.1789093017578,0.0,1.0,14.643224835669594,1.0,-0.0,1.0
26,CC(=O)Nc1c(Nc2ccccc2)c2ccccc2oc1=O,1.0,0.0,0.0,0.0,-6.211132526397705,0.0,0.0,-85.03963470458984,0.0,0.0,-255.50997924804688,0.0,0.0,12.330719885958656,0.0,1.0,0.0
27,CC(=O)Nc1cc(-c2ccccc2N(C)C)cn2c(-c3ccc(F)c(Cl)c3)cnc12,1.0,0.0,1.0,0.0,-9.487509727478027,1.0,0.0,-128.2843475341797,1.0,0.0,-404.4122009277344,0.0,0.0,13.249386235843827,0.0,1.0,0.0
28,CC(=O)Nc1ccc(C(=O)CSc2ncn(-c3ccccc3)n2)cc1,1.0,0.0,0.0,0.0,-6.2953901290893555,0.0,0.0,-86.1613998413086,0.0,0.0,-241.02040100097656,0.0,0.0,7.769066286528865,0.0,1.0,0.0
29,CC(=O)Nc1ccc(NC(=S)NC(=O)c2ccc([N+](=O)[O-])cc2)cc1,1.0,0.0,0.0,1.0,-2.7630012035369873,0.0,1.0,-39.293556213378906,0.0,1.0,-145.18133544921875,0.0,0.0,6.731606874158545,0.0,1.0,0.0
30,CC(=O)Nc1ccc(S(=O)(=O)NC(C)C(=O)NC(C)c2ccccc2)cc1,1.0,0.0,1.0,0.0,-8.774425506591797,1.0,0.0,-118.87610626220703,1.0,0.0,-373.5642395019531,0.0,1.0,13.58992634830126,0.0,1.0,0.0
31,CC(=O)Nc1ccc(S(=O)(=O)NCC(=O)N2CCN(S(=O)(=O)c3cccs3)CC2)cc1,1.0,0.0,1.0,0.0,-9.02297592163086,1.0,0.0,-122.15861511230469,1.0,0.0,-376.8994140625,0.0,0.0,9.139146273857609,0.0,1.0,0.0
