,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc2c(c1)C(C1=NCCN1)c1ccccc1CS2,-0.0,1.0,0.0,1.0,-38.027503967285156,0.0,1.0,-65.03838348388672,0.0,0.0,-199.8007049560547,0.0,0.0,10.0,0.0,1.0,0.0
1,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,1.0,0.0,0.0,0.0,-39.4851188659668,0.0,0.0,-67.53341674804688,0.0,0.0,-214.93063354492188,1.0,0.0,8.0,0.0,1.0,0.0
2,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,-0.0,1.0,0.0,1.0,-36.386940002441406,0.0,1.0,-62.230628967285156,0.0,1.0,-182.21640014648438,1.0,0.0,8.0,0.0,1.0,0.0
3,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,-0.0,1.0,0.0,1.0,-36.02173614501953,0.0,1.0,-61.605655670166016,0.0,1.0,-185.74916076660156,1.0,0.0,8.0,0.0,1.0,0.0
4,C#Cc1cc(N2CCN(C(=O)c3ccoc3)CC2)n2nc(-c3cccc(Cl)c3)cc2n1,1.0,0.0,0.0,0.0,-39.1934814453125,0.0,0.0,-67.03414916992188,0.0,0.0,-196.91177368164062,1.0,0.0,8.0,0.0,1.0,0.0
5,C#Cc1ccc(C(=O)Nc2ccc(N3CCC(C)CC3)c(C(N)=O)c2)cc1,1.0,0.0,0.0,0.0,-39.04458236694336,0.0,0.0,-66.7792739868164,0.0,0.0,-238.92279052734375,0.0,1.0,16.0,1.0,-0.0,1.0
6,C#Cc1ccc(NC(=O)C2(C)CCN2C(=O)c2cc(C)n(C)n2)cc1,1.0,0.0,0.0,0.0,-41.33332824707031,0.0,0.0,-70.6978988647461,0.0,0.0,-314.54449462890625,1.0,0.0,8.0,0.0,1.0,0.0
7,C/C(=N\NC(=O)c1c(Cl)c(C)nn1C)c1ccc(NC(=O)C2CCC2)cc1,-0.0,1.0,0.0,0.0,-40.921321868896484,0.0,0.0,-69.99235534667969,0.0,0.0,-298.0026550292969,0.0,0.0,10.0,0.0,1.0,0.0
8,C/C(=N\NC(=O)c1cc(-c2cccs2)nc2ccccc12)c1ccccn1,-0.0,1.0,0.0,0.0,-39.22544479370117,0.0,0.0,-67.08885192871094,0.0,0.0,-246.79586791992188,0.0,0.0,11.0,0.0,1.0,0.0
9,C/C=C/c1ccc([C@@H]2[C@H](CO)N(CC3CC3)[C@H]2CNC(=O)c2ccccc2)cc1,1.0,0.0,0.0,0.0,-40.794376373291016,0.0,0.0,-69.77500915527344,0.0,0.0,-276.91131591796875,0.0,0.0,10.0,0.0,1.0,0.0
