,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C#CC(C)(C)NC(=O)c1ccc(-c2ccccc2F)cc1,1.0,0.0,1.0,0.0,-78.24720764160156,1.0,0.0,-105.32807159423828,1.0,0.0,-651.22412109375,0.0,0.0,43.0,0.0,1.0,0.0
1,C#CCNC(=O)C[C@@H]1C[C@@]2(C(=O)OCC)CCC=C2N(Cc2ccc(Cl)cc2Cl)C1=O,1.0,0.0,0.0,0.0,-74.84054565429688,0.0,0.0,-100.75146484375,0.0,0.0,-509.7750244140625,0.0,0.0,76.0,0.0,1.0,0.0
2,C#CCOc1ccc(CNC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)cc1,1.0,0.0,0.0,0.0,-75.40074157714844,0.0,0.0,-101.5040283203125,0.0,0.0,-475.5396728515625,0.0,0.0,38.0,0.0,1.0,0.0
3,C(=C/c1ccc(C2[C@H]3CNC[C@@H]2N3Cc2ccccn2)cc1)\c1ccccc1,-0.0,1.0,0.0,0.0,-77.27312469482422,0.0,0.0,-104.01978302001953,0.0,0.0,-575.455810546875,0.0,0.0,49.0,0.0,1.0,0.0
4,C/C(=N/NC(=O)c1cc(O)c(O)c(O)c1)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,0.0,0.0,-44.33411407470703,0.0,0.0,-59.77012634277344,0.0,1.0,-129.7067413330078,0.0,0.0,74.0,1.0,-0.0,1.0
5,C/C(=N\NC(=O)c1cc(O)ccc1O)c1cccc(NC(=O)c2ccc(Cl)cc2)c1,-0.0,1.0,0.0,0.0,-60.33979034423828,0.0,0.0,-81.27103424072266,0.0,0.0,-163.89035034179688,0.0,0.0,53.0,0.0,1.0,0.0
6,C/C(=N\NC(=O)c1cc(O)ccc1O)c1cccc(NC(=O)c2cccc(Cl)c2)c1,-0.0,1.0,0.0,0.0,-60.314998626708984,0.0,0.0,-81.23773956298828,0.0,0.0,-163.95526123046875,0.0,0.0,39.0,0.0,1.0,0.0
7,C/C(=N\NC(=O)c1ccccc1O)C1CC1,1.0,0.0,0.0,0.0,-70.50621795654297,0.0,0.0,-94.92906951904297,0.0,0.0,-363.20855712890625,0.0,0.0,41.0,0.0,1.0,0.0
8,C/C(=N\NC(=O)c1ccccc1O)c1ccc(NC(=O)Cc2ccccc2)cc1,1.0,0.0,0.0,0.0,-71.8073501586914,0.0,0.0,-96.67597961425781,0.0,0.0,-371.7684631347656,1.0,0.0,36.0,0.0,1.0,0.0
9,C/C(=N\Nc1ccc(C(=O)O)cc1)c1ccc(Br)cc1,-0.0,1.0,0.0,0.0,-53.09699249267578,0.0,0.0,-71.54405975341797,0.0,0.0,-209.76617431640625,0.0,0.0,43.0,0.0,1.0,0.0
