,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(OCc2cn3ccccc3n2)cc1,1.0,0.0,0.0,1.0,-24.0167179107666,0.0,1.0,-42.50859451293945,0.0,1.0,-127.4030532836914,0.0,0.0,83.0,0.0,1.0,0.0
1,Brc1ccc2c(c1)C(c1cccnc1)=NNC(c1cccs1)=N2,-0.0,1.0,0.0,1.0,-23.832935333251953,0.0,1.0,-42.184715270996094,0.0,1.0,-123.74000549316406,0.0,0.0,64.0,0.0,1.0,0.0
2,Brc1cnc2nc(SC/C=C/c3ccccc3)[nH]c2c1,-0.0,1.0,0.0,1.0,-21.455738067626953,0.0,1.0,-37.9973258972168,0.0,0.0,-130.99765014648438,0.0,0.0,62.0,0.0,1.0,0.0
3,C#CC[N+]1(CC#Cc2ccccc2)CCCCC1,1.0,0.0,0.0,0.0,-37.161888122558594,0.0,0.0,-65.62147521972656,0.0,0.0,-224.48622131347656,0.0,0.0,82.0,0.0,1.0,0.0
4,C(=N/N1CCN(Cc2cccc3ccccc23)CC1)\c1cccnc1,1.0,0.0,0.0,0.0,-34.679847717285156,0.0,0.0,-61.26435089111328,0.0,0.0,-225.82415771484375,0.0,0.0,62.0,1.0,-0.0,1.0
5,C/C(=C\C(=O)Nc1cscc1C)C(=O)O,1.0,0.0,1.0,0.0,-41.14301681518555,1.0,0.0,-72.59403991699219,1.0,0.0,-513.1162109375,0.0,0.0,74.0,0.0,1.0,0.0
6,C/C(=N\NC(=O)c1cccc(N/N=C(\C)c2cc(O)ccc2O)c1)c1cc(O)ccc1O,1.0,0.0,0.0,0.0,-27.40292739868164,0.0,0.0,-48.468658447265625,0.0,0.0,-189.52017211914062,0.0,0.0,64.0,1.0,-0.0,1.0
7,C/C(=N\NC(=O)c1ccoc1C)c1cccc2ccccc12,1.0,0.0,0.0,0.0,-27.930837631225586,0.0,0.0,-49.39924621582031,0.0,0.0,-129.66415405273438,0.0,0.0,57.0,0.0,1.0,0.0
8,C/C(=N\OC(=O)c1ccc(F)cc1)c1ccc(F)c(F)c1,1.0,0.0,0.0,0.0,-28.97900390625,0.0,0.0,-51.243560791015625,0.0,0.0,-143.08038330078125,1.0,0.0,54.0,0.0,1.0,0.0
9,C/C(CC(=O)Nc1cccc2c1CCCC2)=N\NC(=O)COc1ccccc1,1.0,0.0,0.0,0.0,-36.307395935058594,0.0,0.0,-64.12240600585938,0.0,0.0,-287.9576721191406,0.0,0.0,61.0,0.0,1.0,0.0
10,C/C(CCc1oc2c(Br)cc(Br)cc2c1-c1ccc(C)o1)=N\O,1.0,0.0,0.0,1.0,-24.982452392578125,0.0,1.0,-44.209041595458984,0.0,1.0,-126.43757629394531,0.0,0.0,80.0,0.0,1.0,0.0
11,C/C(Cl)=C/Cc1c(C)[nH]c2ccc(C)cc2c1=O,1.0,0.0,0.0,0.0,-28.674970626831055,0.0,0.0,-50.70859146118164,0.0,0.0,-131.78887939453125,0.0,0.0,58.0,0.0,1.0,0.0
12,C/C(N)=C(/C#N)C(=O)CSc1nnc(-c2ccc3c(c2)OCO3)o1,1.0,0.0,0.0,0.0,-29.62734603881836,0.0,0.0,-52.38343048095703,0.0,0.0,-203.97750854492188,0.0,0.0,76.0,0.0,1.0,0.0
13,C/C(N)=C(/C#N)C(=O)CSc1nnc(-c2ccccc2Br)o1,1.0,0.0,0.0,0.0,-26.71733856201172,0.0,0.0,-47.26319885253906,0.0,0.0,-143.53443908691406,0.0,1.0,115.0,0.0,1.0,0.0
