,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C(=N\Nc1cc(N2CCOCC2)nc(N2CCOCC2)n1)\c1ccccc1,1.0,0.0,0.0,0.0,-34.25200653076172,0.0,0.0,-71.1858901977539,0.0,0.0,-275.808349609375,1.0,0.0,50.0,0.0,1.0,0.0
1,C/C(=C\C(=O)c1ccccc1)Nc1ccc(O)cc1,1.0,0.0,0.0,1.0,-29.578500747680664,0.0,1.0,-61.58747100830078,0.0,0.0,-204.85101318359375,0.0,0.0,78.0,0.0,1.0,0.0
2,C/C(=C\C(=O)c1cccnc1)Nc1ccc(O)cc1,1.0,0.0,0.0,1.0,-28.97614288330078,0.0,1.0,-60.339149475097656,0.0,0.0,-193.45709228515625,0.0,0.0,77.0,0.0,1.0,0.0
3,C/C(=N/NC(=O)CCc1ccccc1)c1ccco1,1.0,0.0,0.0,0.0,-34.36521530151367,0.0,0.0,-71.39254760742188,0.0,0.0,-390.1627197265625,1.0,0.0,51.0,0.0,1.0,0.0
4,C/C(=N\NC(=O)CSc1nc2ccccc2o1)c1ccc(O)cc1,1.0,0.0,0.0,0.0,-33.5330924987793,0.0,0.0,-69.72305297851562,0.0,0.0,-250.39576721191406,1.0,0.0,51.0,1.0,-0.0,1.0
5,C/C(=N\NC(=O)c1nnn(-c2nonc2N)c1C)c1ccc(-c2ccccc2)cc1,1.0,0.0,0.0,0.0,-34.554664611816406,0.0,0.0,-71.79130554199219,0.0,0.0,-307.89459228515625,0.0,0.0,98.0,0.0,1.0,0.0
6,C/C(=N\O)C(C)Oc1ccc(Cl)cc1,1.0,0.0,0.0,0.0,-32.549163818359375,0.0,0.0,-67.7003173828125,0.0,0.0,-312.05126953125,0.0,0.0,65.0,0.0,1.0,0.0
7,C/C(C=Nn1c(-c2ccc(F)cc2)n[nH]c1=S)=C/c1ccco1,1.0,0.0,0.0,0.0,-32.651939392089844,0.0,0.0,-67.9130859375,0.0,0.0,-272.34649658203125,0.0,0.0,61.0,0.0,1.0,0.0
8,C/C(CC(=O)NCCCN1CCOCC1)=N\NC(=O)COc1ccc(Cl)cc1,1.0,0.0,1.0,0.0,-35.481224060058594,1.0,0.0,-73.66455078125,1.0,0.0,-465.6148681640625,0.0,0.0,65.0,0.0,1.0,0.0
9,C/C(CC(=O)Nc1ccc2ccccc2c1)=N\NC(=O)c1ccc(O)c(O)c1,-0.0,1.0,0.0,0.0,-32.20859909057617,0.0,0.0,-67.02196502685547,0.0,0.0,-196.4029541015625,0.0,1.0,111.0,1.0,-0.0,1.0
10,C/C(CC(=O)Nc1ccccn1)=N\NC(=O)C(=O)Nc1cccc(Cl)c1C,1.0,0.0,0.0,0.0,-35.160823822021484,0.0,0.0,-73.01416778564453,0.0,0.0,-408.13031005859375,0.0,0.0,59.0,0.0,1.0,0.0
11,C/C(NCCc1ccccc1)=C1/CCOC1=O,1.0,0.0,0.0,0.0,-32.73057174682617,0.0,0.0,-68.07276916503906,0.0,0.0,-295.84820556640625,0.0,0.0,64.0,0.0,1.0,0.0
12,C/[N+]([O-])=C1\Cc2ccccc2C1=O,1.0,0.0,0.0,1.0,-29.127626419067383,0.0,1.0,-60.65325927734375,0.0,0.0,-229.6983642578125,0.0,0.0,60.0,1.0,-0.0,1.0
13,C1=Nc2cccc3cccc(c23)N1Cc1ccccc1,-0.0,1.0,0.0,0.0,-31.13721466064453,0.0,0.0,-64.8097152709961,0.0,0.0,-236.04107666015625,0.0,0.0,99.0,1.0,-0.0,1.0
14,C=C(C)c1cccc(C(C)(C)NC(=O)NC2CN3CCC2CC3)c1,-0.0,1.0,0.0,0.0,-35.088375091552734,0.0,0.0,-72.87456512451172,0.0,0.0,-388.827392578125,1.0,0.0,51.0,0.0,1.0,0.0
15,C=CCC1C=C(Cc2ccccc2)CC(CC=C)N1,1.0,0.0,0.0,0.0,-33.139671325683594,0.0,0.0,-68.91114807128906,0.0,0.0,-312.0723876953125,0.0,0.0,54.0,0.0,1.0,0.0
16,C=CCC1CCCCC1=C(C#N)c1ccccc1,1.0,0.0,0.0,0.0,-32.54161071777344,0.0,0.0,-67.69381713867188,0.0,0.0,-277.9969482421875,0.0,0.0,53.0,0.0,1.0,0.0
17,C=CCN(CC=C)C(=S)Nc1ccc2nsnc2c1,-0.0,1.0,0.0,0.0,-30.671117782592773,0.0,0.0,-63.845176696777344,0.0,0.0,-239.68475341796875,0.0,0.0,103.0,0.0,1.0,0.0
18,C=CCN(CC=C)Cc1c(O)ccc2c1oc(=O)c1ccccc12,-0.0,1.0,0.0,0.0,-30.272933959960938,0.0,0.0,-63.02513122558594,0.0,0.0,-187.81649780273438,1.0,0.0,51.0,1.0,-0.0,1.0
19,C=CCN1CCN(C(c2cccc(OC)c2OC)c2nnnn2CCC(C)C)CC1,1.0,0.0,1.0,0.0,-35.46358871459961,1.0,0.0,-73.63050079345703,1.0,0.0,-484.5904541015625,0.0,0.0,97.0,0.0,1.0,0.0
20,C=CCNC1=C(Cl)C(=O)c2ccccc2C1=O,-0.0,1.0,0.0,1.0,-26.12997817993164,0.0,1.0,-54.439231872558594,0.0,1.0,-170.02316284179688,0.0,0.0,91.0,1.0,-0.0,1.0
21,C=CCNCCCCOc1ccccc1,1.0,0.0,0.0,0.0,-31.533605575561523,0.0,0.0,-65.62259674072266,0.0,0.0,-269.99432373046875,0.0,0.0,73.0,0.0,1.0,0.0
22,C=CCOCC(O)Cn1c(N2CCCC2)nc2c1c(=O)n(C)c(=O)n2C,1.0,0.0,0.0,0.0,-34.41681671142578,0.0,0.0,-71.50180053710938,0.0,0.0,-351.1455078125,1.0,0.0,52.0,0.0,1.0,0.0
23,C=CCOc1ccc(/C=C2\SC(=S)N(NS(=O)(=O)c3ccc(C)cc3)C2=O)cc1,-0.0,1.0,1.0,0.0,-35.52909851074219,1.0,0.0,-73.77594757080078,0.0,0.0,-432.4583435058594,0.0,0.0,54.0,1.0,-0.0,1.0
24,C=CCOc1ccc(NC(=O)C2CC(=O)N(C(C)C)C2)cc1,1.0,0.0,0.0,0.0,-35.110660552978516,0.0,0.0,-72.91329193115234,0.0,0.0,-431.40521240234375,0.0,0.0,56.0,0.0,1.0,0.0
25,C=CCSc1nnc(-c2ccc(Cl)cc2Cl)o1,1.0,0.0,0.0,0.0,-32.68528747558594,0.0,0.0,-67.9826889038086,0.0,0.0,-301.3470458984375,0.0,0.0,68.0,0.0,1.0,0.0
26,C=CC[n+]1c(-c2ccc(Cl)cc2Cl)csc1Nc1c(C)n(C)n(-c2ccccc2)c1=O,1.0,0.0,0.0,0.0,-35.23270797729492,0.0,0.0,-73.17015075683594,0.0,0.0,-401.10589599609375,1.0,0.0,50.0,0.0,1.0,0.0
27,C=CCc1cc(/C=C/c2nc(O)c([N+](=O)[O-])c(=O)[nH]2)cc(OC)c1O,1.0,0.0,0.0,0.0,-30.021343231201172,0.0,0.0,-62.501991271972656,0.0,0.0,-182.55770874023438,0.0,0.0,78.0,0.0,1.0,0.0
28,C=CCc1cccc(/C=N/NC(=O)c2cc([N+](=O)[O-])nn2Cc2ccccc2)c1O,1.0,0.0,0.0,0.0,-33.938507080078125,0.0,0.0,-70.5492935180664,0.0,0.0,-248.22186279296875,0.0,0.0,65.0,1.0,-0.0,1.0
29,C=CCc1cccc2cc(C(=O)Nc3ccc(NC(C)=O)cc3)c(=O)oc12,1.0,0.0,0.0,0.0,-34.45491027832031,0.0,0.0,-71.5945053100586,0.0,0.0,-287.742431640625,1.0,0.0,52.0,1.0,-0.0,1.0
30,C=CCn1c(-c2ccc(OC)cc2)nc2nc3ccccc3nc21,1.0,0.0,0.0,0.0,-32.29051971435547,0.0,0.0,-67.18128967285156,0.0,0.0,-244.0867919921875,0.0,0.0,66.0,0.0,1.0,0.0
31,C=CCn1c(=NC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)sc2cc(NC(C)=O)ccc21,1.0,0.0,1.0,0.0,-35.57011032104492,1.0,0.0,-73.86287689208984,0.0,0.0,-394.3907470703125,0.0,0.0,96.0,0.0,1.0,0.0
32,C=CCn1c(N)c(C(=O)NCC2CCCO2)c2nc3ccccc3nc21,1.0,0.0,0.0,0.0,-33.15797805786133,0.0,0.0,-68.94744110107422,0.0,0.0,-207.68011474609375,0.0,0.0,98.0,0.0,1.0,0.0
33,C=CCn1c(NC(=O)c2ccc(Br)o2)c(S(=O)(=O)c2ccccc2)c2nc3ccccc3nc21,-0.0,1.0,0.0,0.0,-34.612693786621094,0.0,0.0,-71.92595672607422,0.0,0.0,-244.2399139404297,0.0,0.0,83.0,0.0,1.0,0.0
34,C=CCn1c(NS(=O)(=O)c2ccccc2)c(S(=O)(=O)c2ccc(C)cc2)c2nc3ccccc3nc21,1.0,0.0,0.0,0.0,-35.36571502685547,0.0,0.0,-73.45353698730469,0.0,0.0,-317.9477233886719,0.0,1.0,114.0,0.0,1.0,0.0
35,C=CCn1c(SCC(=O)N2CCN(c3ccccc3)CC2)nnc1-c1ccco1,1.0,0.0,0.0,0.0,-35.31920623779297,0.0,0.0,-73.34663391113281,0.0,0.0,-410.01312255859375,0.0,0.0,84.0,0.0,1.0,0.0
36,C=CCn1c(SCC(=O)c2ccc(O)c(O)c2)nnc1-c1cccnc1,-0.0,1.0,0.0,1.0,-29.019559860229492,0.0,1.0,-60.431365966796875,0.0,0.0,-183.7924041748047,0.0,0.0,71.0,1.0,-0.0,1.0
37,C=CCn1c(SCc2ccc(C#N)cc2)nnc1-c1ccc(C)cc1,1.0,0.0,0.0,0.0,-34.316524505615234,0.0,0.0,-71.30538177490234,0.0,0.0,-355.01312255859375,0.0,0.0,61.0,0.0,1.0,0.0
