,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1cc(-c2ccccc2)nc(-c2ccccc2)n1,1.0,0.0,0.0,0.0,-2.2163424491882324,0.0,0.0,-41.541282653808594,0.0,0.0,-164.3070831298828,1.0,0.0,51.0,0.0,1.0,0.0
1,Brc1cc2c(cc1C1Nc3ccccc3C3C=CCC31)OCO2,-0.0,1.0,0.0,0.0,-1.0552889108657837,0.0,0.0,-37.61069107055664,0.0,0.0,-128.12405395507812,0.0,0.0,64.0,1.0,-0.0,1.0
2,Brc1ccc(-c2cn3c(n2)CCc2ccc4cccnc4c2-3)cc1,-0.0,1.0,0.0,0.0,-0.21113897860050201,0.0,0.0,-33.28504943847656,0.0,0.0,-115.94416809082031,0.0,0.0,76.0,0.0,1.0,0.0
3,Brc1ccc(C2C3=C(Nc4ncnn42)c2ccccc2OC3c2ccncc2)cc1,1.0,0.0,0.0,0.0,-0.14432135224342346,0.0,0.0,-32.651817321777344,0.0,0.0,-121.09901428222656,0.0,0.0,88.0,0.0,1.0,0.0
4,Brc1ccc(Nc2ncnc3[nH]ncc23)cc1,1.0,0.0,1.0,0.0,-4.106204032897949,1.0,0.0,-45.3231315612793,0.0,0.0,-317.79473876953125,1.0,0.0,52.0,0.0,1.0,0.0
5,Brc1ccc2[nH]c3c(N4CCc5ccccc5C4)ncnc3c2c1,-0.0,1.0,0.0,0.0,-1.638442873954773,0.0,0.0,-39.84134292602539,0.0,0.0,-161.77365112304688,0.0,0.0,86.0,0.0,1.0,0.0
6,Brc1ccccc1C1Nc2cccc3cccc(c23)N1,1.0,0.0,0.0,0.0,-1.212902307510376,0.0,0.0,-38.39472961425781,0.0,0.0,-125.69055938720703,0.0,0.0,57.0,1.0,-0.0,1.0
7,C#CCN1C(=O)S/C(=C\c2ccc(-c3ccc(Cl)c(C(=O)O)c3)o2)C1=O,1.0,0.0,0.0,0.0,-2.534296989440918,0.0,0.0,-42.41720199584961,0.0,0.0,-221.66238403320312,0.0,0.0,68.0,1.0,-0.0,1.0
8,C#CCn1c(=NC(=O)c2cc(Cl)sc2Cl)sc2cc(S(N)(=O)=O)ccc21,1.0,0.0,0.0,0.0,-3.0042033195495605,0.0,0.0,-43.33021926879883,0.0,0.0,-204.33587646484375,1.0,0.0,50.0,0.0,1.0,0.0
9,C/C(=N/NC(=O)c1cc(-c2ccccc2)nc2c(Cl)cccc12)c1cccnc1,1.0,0.0,0.0,0.0,-0.6408864259719849,0.0,0.0,-35.598480224609375,0.0,0.0,-133.50442504882812,0.0,0.0,90.0,0.0,1.0,0.0
10,C/C(=N/NC(=O)c1cc2ccccc2cc1O)C1C(=O)c2ccccc2C1=O,1.0,0.0,0.0,1.0,0.7642011046409607,0.0,1.0,-24.95901870727539,0.0,0.0,-115.15584564208984,0.0,0.0,83.0,1.0,-0.0,1.0
11,C/C(=N/NC(=O)c1cccs1)c1c(C)[nH]n(-c2nc3ccccc3s2)c1=O,1.0,0.0,0.0,0.0,-0.3877025246620178,0.0,0.0,-34.26559066772461,0.0,0.0,-122.11009979248047,0.0,0.0,55.0,0.0,1.0,0.0
12,C/C(=N/NS(=O)(=O)c1ccc(Cl)cc1)c1cccc(NC(=O)c2ccc(Cl)cc2Cl)c1,-0.0,1.0,0.0,0.0,-0.8632913827896118,0.0,0.0,-36.50381088256836,0.0,0.0,-125.06257629394531,0.0,0.0,64.0,0.0,1.0,0.0
13,C/C(=N/Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1)c1ccc(O)cc1,1.0,0.0,0.0,1.0,0.25822240114212036,0.0,1.0,-29.64426040649414,0.0,0.0,-119.85665893554688,0.0,1.0,99.0,1.0,-0.0,1.0
14,C/C(=N\N=C(/N)SC1CC(=O)N(c2ccc(Br)cc2)C1=O)c1cccs1,-0.0,1.0,0.0,0.0,-2.863770008087158,0.0,0.0,-42.98894500732422,0.0,0.0,-194.62167358398438,0.0,1.0,98.0,0.0,1.0,0.0
15,C/C(=N\N=C(/N)SC1CC(=O)N(c2ccc(Cl)c(Cl)c2)C1=O)c1cccs1,1.0,0.0,0.0,0.0,-2.1806890964508057,0.0,0.0,-41.29054641723633,0.0,0.0,-157.65371704101562,0.0,1.0,98.0,0.0,1.0,0.0
16,C/C(=N\NC(=O)COc1ccc(C)cc1C(C)C)c1cc2ccccc2o1,-0.0,1.0,0.0,0.0,-0.8423261642456055,0.0,0.0,-36.6775016784668,0.0,0.0,-139.03463745117188,0.0,0.0,57.0,0.0,1.0,0.0
17,C/C(=N\NC(=O)COc1ccccc1-c1ccccc1)c1ccc(O)cc1O,1.0,0.0,0.0,0.0,0.04477544128894806,0.0,0.0,-31.460779190063477,0.0,0.0,-115.73222351074219,0.0,0.0,86.0,1.0,-0.0,1.0
18,C/C(=N\NC(=O)COc1ccccc1-c1ccccc1)c1ccccn1,1.0,0.0,0.0,0.0,-2.1639788150787354,0.0,0.0,-41.28010559082031,0.0,0.0,-199.0941162109375,0.0,0.0,83.0,0.0,1.0,0.0
19,C/C(=N\NC(=O)CSc1nc(C)[nH]c1[N+](=O)[O-])c1ccc(F)cc1,1.0,0.0,1.0,0.0,-4.074464321136475,1.0,0.0,-45.1364631652832,0.0,0.0,-351.5242919921875,0.0,0.0,56.0,0.0,1.0,0.0
20,C/C(=N\NC(=O)c1cc(Br)ccc1O)c1cccc(NC(=O)c2ccccc2F)c1,1.0,0.0,0.0,1.0,0.4391354024410248,0.0,1.0,-28.139530181884766,0.0,1.0,-112.52334594726562,0.0,0.0,63.0,0.0,1.0,0.0
21,C/C(=N\NC(=O)c1cc(Br)ccc1O)c1ccccn1,1.0,0.0,0.0,0.0,-0.8530537486076355,0.0,0.0,-36.983333587646484,0.0,1.0,-107.33058166503906,0.0,1.0,97.0,0.0,1.0,0.0
22,C/C(=N\NC(=O)c1cc2ccccc2cc1O)c1cc2ccccc2o1,1.0,0.0,0.0,1.0,0.37425875663757324,0.0,1.0,-28.88788604736328,0.0,0.0,-114.23626708984375,0.0,0.0,78.0,1.0,-0.0,1.0
23,C/C(=N\NC(=O)c1cc2ccccc2cc1O)c1ccc2c(c1)OCO2,-0.0,1.0,0.0,0.0,-0.32297250628471375,0.0,0.0,-33.89222717285156,0.0,0.0,-117.98562622070312,0.0,0.0,81.0,1.0,-0.0,1.0
24,C/C(=N\NC(=O)c1cc2ccccc2cc1O)c1cccs1,1.0,0.0,0.0,0.0,-0.19010546803474426,0.0,0.0,-33.26069259643555,0.0,1.0,-111.92586517333984,0.0,0.0,71.0,1.0,-0.0,1.0
25,C/C(=N\NC(=O)c1ccc(C)cc1)c1c(C)[nH]n(-c2ccccc2)c1=O,1.0,0.0,0.0,0.0,-1.4320534467697144,0.0,0.0,-39.11924362182617,0.0,0.0,-167.14846801757812,0.0,0.0,56.0,0.0,1.0,0.0
26,C/C(=N\NC(=O)c1ccc(Cl)c(Cl)c1)c1ccc(Br)s1,1.0,0.0,0.0,0.0,-2.6518564224243164,0.0,0.0,-42.584617614746094,0.0,0.0,-149.96484375,0.0,0.0,88.0,0.0,1.0,0.0
27,C/C(=N\NC(=O)c1ccc(Cl)c(Cl)c1)c1ccccn1,1.0,0.0,0.0,0.0,-3.7004151344299316,0.0,0.0,-44.712440490722656,0.0,0.0,-240.46646118164062,0.0,0.0,92.0,0.0,1.0,0.0
28,C/C(=N\NC(=O)c1ccc(Cl)cc1)c1ccccn1,1.0,0.0,1.0,0.0,-4.9691667556762695,1.0,0.0,-46.4361457824707,1.0,0.0,-440.7421875,0.0,0.0,87.0,0.0,1.0,0.0
29,C/C(=N\NC(=O)c1cccc2ccccc12)c1ccccn1,1.0,0.0,0.0,0.0,-2.5432288646698,0.0,0.0,-42.408809661865234,0.0,0.0,-213.88624572753906,0.0,0.0,79.0,0.0,1.0,0.0
30,C/C(=N\NC(=O)c1ccccc1N)c1ccc(NC(=O)Cc2ccccc2)cc1,1.0,0.0,0.0,0.0,-2.7220606803894043,0.0,0.0,-42.52574920654297,0.0,0.0,-237.15634155273438,0.0,0.0,67.0,0.0,1.0,0.0
31,C/C(=N\NC(=O)c1ccccc1O)C1C(=O)c2ccccc2C1=O,1.0,0.0,0.0,1.0,0.2778952419757843,0.0,1.0,-29.83626365661621,0.0,1.0,-110.95048522949219,1.0,0.0,52.0,1.0,-0.0,1.0
32,C/C(=N\NC(=O)c1nnn(-c2nonc2N)c1CN(C)c1ccccc1)c1ccccc1O,1.0,0.0,0.0,0.0,-0.804560124874115,0.0,0.0,-36.331932067871094,0.0,0.0,-145.36935424804688,1.0,0.0,50.0,1.0,-0.0,1.0
33,C/C(=N\NC(=S)NCC(C)(C)C)c1cc(F)cc(F)c1O,-0.0,1.0,0.0,0.0,-0.4276365339756012,0.0,0.0,-34.71305847167969,0.0,1.0,-107.60489654541016,0.0,0.0,90.0,1.0,-0.0,1.0
34,C/C(=N\NC(=S)NCCc1ccccc1)c1ccc(Cl)cc1Cl,1.0,0.0,0.0,0.0,-1.0347900390625,0.0,0.0,-37.48762130737305,0.0,0.0,-116.35177612304688,0.0,0.0,91.0,0.0,1.0,0.0
35,C/C(=N\NC(=S)NCc1ccccc1)c1cccc(Br)c1,1.0,0.0,0.0,0.0,-1.119931697845459,0.0,0.0,-37.98969650268555,0.0,0.0,-114.1708984375,0.0,0.0,56.0,0.0,1.0,0.0
36,C/C(=N\NC(=S)Nc1cccc(C)c1)c1cc2ccccc2o1,1.0,0.0,0.0,0.0,-0.42303240299224854,0.0,0.0,-34.59360122680664,0.0,0.0,-114.09867858886719,0.0,0.0,67.0,0.0,1.0,0.0
37,C/C(=N\Nc1cc(C)nc(-c2ccccc2O)n1)c1ccccc1O,-0.0,1.0,0.0,0.0,-0.013800936751067638,0.0,0.0,-31.928726196289062,0.0,0.0,-114.29375457763672,0.0,0.0,74.0,1.0,-0.0,1.0
