,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(-c2csc(N3CCCCCC3)n2)cc1,1.0,0.0,0.0,0.0,-22.81067657470703,0.0,0.0,-77.2676010131836,0.0,0.0,-221.98291015625,0.0,0.0,46.0,0.0,1.0,0.0
1,Brc1ccc2ncnc(NCc3ccccc3)c2c1,-0.0,1.0,0.0,0.0,-23.10947036743164,0.0,0.0,-78.27760314941406,0.0,0.0,-227.2337646484375,0.0,0.0,60.0,0.0,1.0,0.0
2,Brc1cccc(-c2cnco2)c1,1.0,0.0,0.0,0.0,-22.689838409423828,0.0,0.0,-76.85932922363281,0.0,0.0,-223.96214294433594,0.0,0.0,56.0,0.0,1.0,0.0
3,Brc1cccc(CSc2nnc(-c3ccncc3)o2)c1,-0.0,1.0,0.0,0.0,-22.85445213317871,0.0,0.0,-77.41580200195312,0.0,0.0,-223.79537963867188,0.0,0.0,71.0,0.0,1.0,0.0
4,C#CCN(C[C@@H]1[C@@H](OC(=O)NCc2ccccc2F)[C@@H](OC(=O)NCc2ccccc2F)Cn2c(=O)ccc(=O)n21)S(=O)(=O)c1ccc(C)cc1,-0.0,1.0,1.0,0.0,-27.449838638305664,1.0,0.0,-92.94066619873047,1.0,0.0,-438.7698669433594,0.0,0.0,61.0,0.0,1.0,0.0
5,C#CCn1c(S(=O)(=O)Cc2ccc(F)cc2)nc(-c2ccccc2)c1-c1ccccc1,-0.0,1.0,0.0,0.0,-26.497432708740234,0.0,0.0,-89.72586822509766,0.0,0.0,-338.18621826171875,1.0,0.0,43.0,0.0,1.0,0.0
6,C#Cc1cc(N2CCN(C(=O)c3ccoc3)CC2)n2nc(-c3cccc(Cl)c3)cc2n1,-0.0,1.0,0.0,0.0,-26.662792205810547,0.0,0.0,-90.28410339355469,0.0,0.0,-347.9033203125,0.0,0.0,54.0,0.0,1.0,0.0
7,C(=Cc1nc2ccccc2o1)c1ccc2c(c1)OCO2,-0.0,1.0,0.0,0.0,-23.725757598876953,0.0,0.0,-80.36042022705078,0.0,0.0,-214.84657287597656,1.0,0.0,45.0,0.0,1.0,0.0
8,C(=N/Nc1ccc2ccccc2n1)\c1ccc2c(c1)OCO2,-0.0,1.0,0.0,0.0,-22.601078033447266,0.0,0.0,-76.55917358398438,0.0,1.0,-203.731201171875,1.0,0.0,44.0,0.0,1.0,0.0
9,C(=N/Nc1nc2ccccc2[nH]1)\c1cccc2cccnc12,-0.0,1.0,0.0,1.0,-21.076494216918945,0.0,1.0,-71.4052734375,0.0,1.0,-201.42617797851562,0.0,0.0,71.0,0.0,1.0,0.0
10,C(=N/Nc1nc2ccccc2[nH]1)\c1cccc2nccnc12,-0.0,1.0,0.0,1.0,-21.58265495300293,0.0,1.0,-73.11650848388672,0.0,1.0,-201.58657836914062,0.0,0.0,47.0,0.0,1.0,0.0
11,C/C(=N/NC(=O)c1cc(C2CC2)[nH]n1)c1cccs1,-0.0,1.0,0.0,0.0,-24.341487884521484,0.0,0.0,-82.44123840332031,0.0,0.0,-258.79840087890625,0.0,0.0,60.0,0.0,1.0,0.0
12,C/C(=N/NC(=O)c1ccc(C(C)(C)C)cc1)c1ccccn1,-0.0,1.0,0.0,0.0,-23.1212215423584,0.0,0.0,-78.31716918945312,0.0,0.0,-225.60018920898438,0.0,0.0,47.0,0.0,1.0,0.0
13,C/C(=N\NC(=O)c1cccc(Br)c1)c1ccccn1,1.0,0.0,0.0,0.0,-22.440505981445312,0.0,0.0,-76.01654052734375,0.0,0.0,-222.1229248046875,0.0,0.0,71.0,0.0,1.0,0.0
14,C/C(=N\NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)c1cccs1,1.0,0.0,0.0,0.0,-25.054576873779297,0.0,0.0,-84.85118103027344,0.0,0.0,-296.5177307128906,0.0,0.0,58.0,0.0,1.0,0.0
15,C/C(=N\Nc1ccc(C(F)(F)F)cc1[N+](=O)[O-])C(C)C,1.0,0.0,0.0,0.0,-25.004690170288086,0.0,0.0,-84.68241119384766,0.0,0.0,-271.1971435546875,0.0,0.0,66.0,0.0,1.0,0.0
16,C=C(C(=O)c1ccccc1)C(CC(=O)c1ccccc1)c1ccccc1,1.0,0.0,0.0,0.0,-22.48110008239746,0.0,0.0,-76.15380096435547,0.0,0.0,-231.24627685546875,0.0,0.0,69.0,0.0,1.0,0.0
17,C=CCN1CCN(C(CC(C)C)c2nnnn2CCOC)CC1,1.0,0.0,0.0,0.0,-26.782602310180664,0.0,0.0,-90.68831634521484,0.0,0.0,-344.64129638671875,0.0,0.0,49.0,0.0,1.0,0.0
18,C=CCN1CCc2cc(O)c(O)cc2C(c2ccccc2)C1,1.0,0.0,0.0,0.0,-22.575847625732422,0.0,0.0,-76.47355651855469,0.0,0.0,-216.0917205810547,0.0,0.0,77.0,1.0,-0.0,1.0
