,FP Precision@90 - mean_mvsa_,FP Precision@90 - mean_catboost_self,FP Precision@90 - mean_catboost_test,TP Precision@90 - mean_mvsa_,TP Precision@90 - mean_catboost_self,TP Precision@90 - mean_catboost_test,FP EF10 - mean_mvsa_,FP EF10 - mean_catboost_self,FP EF10 - mean_catboost_test,TP EF10 - mean_mvsa_,TP EF10 - mean_catboost_self,TP EF10 - mean_catboost_test,FP BEDROC20 - mean_mvsa_,FP BEDROC20 - mean_catboost_self,FP BEDROC20 - mean_catboost_test,TP BEDROC20 - mean_mvsa_,TP BEDROC20 - mean_catboost_self,TP BEDROC20 - mean_catboost_test
transcription_5,0.8658401307782112,0.8630649702710338,0.8218578532073744,0.0,0.006666666666666666,0.0,0.7439500152803077,0.7415655327086065,0.7061594175616761,0.0,0.0009385113268608414,0.0,0.8631358746281677,0.84157515354692,0.8281342653895074,0.012803151552587455,0.023692612374588935,0.0052030260351715206
channel_atp,0.743563852665422,0.6553832471667536,0.4242068025605855,0.6642566839362696,0.6562484484015985,0.6388912548185839,0.3627140744709375,0.319699144959392,0.20693014759052955,0.3402290332356503,0.3361272540593553,0.3272369841753723,0.759904275565061,0.6603450830477714,0.4000923642098416,0.6861377037511166,0.657628682882676,0.6337281287737949
transcription,0.8571220644286743,0.7536905185788411,0.5363079208984309,0.946619363220187,0.9057568068796581,0.9054698228986477,0.3800274110447648,0.3341683388998067,0.23778609740688977,0.526910991706963,0.5041659149404936,0.5040061727886705,0.8704246939800895,0.7847528767589205,0.502550205136185,0.9328133727156175,0.8987349582469344,0.89770148645114
transporter,0.5593849108921336,0.456723254404756,0.2770123437280517,0.9431928312660475,0.9331034588289508,0.9329775567755687,0.16937654743757163,0.13829155284534705,0.08387676082184263,0.6576028158454907,0.6505684115277198,0.6504806314449199,0.5860083828230838,0.4767540137326541,0.24348264457510452,0.936795554024118,0.9308532427791427,0.9267401955269765
cysteine_protease,0.8053986961519414,0.8198883559045818,0.5581538724989485,0.9744400527009223,0.8665278349101879,0.8614574314574315,0.4121419534791313,0.4195566621249653,0.28562080923739297,0.475795556767071,0.42310462559752626,0.4206288699805941,0.8229681461055529,0.8431791487943938,0.49253380054676255,0.8783263286284522,0.8479844604155595,0.8412859724225011
dna_repair,0.7084893908477716,0.5812498145450135,0.4380247887777923,0.8696218965933511,0.7989345439654029,0.7680988812751869,0.2605358376783027,0.21374548340326704,0.16107673134177414,0.5498321125554639,0.5051389228156107,0.48564259041479774,0.6897835158606174,0.5878370270890272,0.4400046490382022,0.8773039568914138,0.8603725922407517,0.8205374094213298
GPCR_3,0.8841126490676346,0.8648128588171875,0.7215987277967043,0.7739151460380963,0.7207700500900314,0.7109099721796248,0.5256247546227086,0.514150597426384,0.4290065916760633,0.31380527297603505,0.292256125854809,0.2882580849118452,0.8982886630765288,0.8730893155018002,0.7053130602779947,0.7767339593374442,0.7442727617251369,0.7283313759383299
GPCR,0.6022741078083641,0.5344608087772273,0.5792345258725825,0.517391020819879,0.5077986635705323,0.4985006520224887,0.30502867121617444,0.2706838434607127,0.29336000910346793,0.2553523684292572,0.2506181711898873,0.24602924487509906,0.6443782243116598,0.5109799924622237,0.5443988077946774,0.5298926365292813,0.5248690972189385,0.5006209640931903
GPCR_2,0.9105895478681308,0.8824961702338442,0.8419845820307084,0.3413627905031932,0.37233159189250753,0.3479463692280829,0.7635008533945673,0.739945434985987,0.7059777354468497,0.0551407682138678,0.060143198316903644,0.05620422210687054,0.9139618341686256,0.8614732504429188,0.8097932097267458,0.33973274919733076,0.36665012894802884,0.343381433986579
ion_channel2,0.3398215893228681,0.313912903853356,0.23358790369718907,0.8377962921078559,0.8196244615013187,0.8261081268870398,0.06965287234568103,0.06434239644199222,0.04787826597520024,0.6660740707441338,0.6516269010693714,0.6567816164070875,0.40199816342782524,0.3313924049044127,0.23236397486810495,0.8420937422183258,0.8255095737295555,0.8305432599241133
hsf1,0.9064263384044512,0.9053721643765591,0.7292973249892662,0.48794491198191786,0.494068536748565,0.44822742570566937,0.6837044381107862,0.6829092897011761,0.5500985537061894,0.11989503551555696,0.12139969760107597,0.11013588174482161,0.9389455705031141,0.9310684729451859,0.6913063198136689,0.45746984499294063,0.4370736165229571,0.39884560329185265
methylation,0.9859321602502062,0.9663220172361244,0.8247994860600312,0.7746699871360829,0.6588639979656479,0.6361134675419763,0.7549340118397735,0.7399184108326866,0.6315537823785604,0.1815006547835464,0.1543679876977904,0.1490376712570632,0.9894931638377369,0.9657557028322838,0.814401367072916,0.761178541954762,0.6461430877472398,0.6233541743045568
serine,0.9471039323973651,0.9709045844700247,0.8894736842105264,0.3444806707033069,0.35502251203229307,0.31627852817885416,0.8667841642788605,0.8885663864937682,0.8140412869629905,0.029213908469538398,0.030107916214752773,0.02682220733672262,0.9321039716622896,0.9647424510233229,0.8412038757426108,0.5544198650440502,0.5691687741843872,0.5038769459164678
splicing,0.3937525304255737,0.23582368848596902,0.20245058776050612,0.9509292713334961,0.9387017869689736,0.9438297729548196,0.049089063486759316,0.029400100624769516,0.02523948162254593,0.8323770748016921,0.8216739889105067,0.8261626697232627,0.4711788245073233,0.2472815221324569,0.2113907709522247,0.9373601076099878,0.9356926143831676,0.9430830474336169
