,Time - mean,Time - STD,Time - Replicate 1,Time - Replicate 2,Time - Replicate 3,Time - Replicate 4,Time - Replicate 5,Time - Replicate 6,Time - Replicate 7,Time - Replicate 8,Time - Replicate 9,Time - Replicate 10,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,FP Precision@90 - Replicate 1,FP Precision@90 - Replicate 2,FP Precision@90 - Replicate 3,FP Precision@90 - Replicate 4,FP Precision@90 - Replicate 5,FP Precision@90 - Replicate 6,FP Precision@90 - Replicate 7,FP Precision@90 - Replicate 8,FP Precision@90 - Replicate 9,FP Precision@90 - Replicate 10,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,TP Precision@90 - Replicate 1,TP Precision@90 - Replicate 2,TP Precision@90 - Replicate 3,TP Precision@90 - Replicate 4,TP Precision@90 - Replicate 5,TP Precision@90 - Replicate 6,TP Precision@90 - Replicate 7,TP Precision@90 - Replicate 8,TP Precision@90 - Replicate 9,TP Precision@90 - Replicate 10,FP EF10 - mean,FP EF10 - STD,FP EF10 - Replicate 1,FP EF10 - Replicate 2,FP EF10 - Replicate 3,FP EF10 - Replicate 4,FP EF10 - Replicate 5,FP EF10 - Replicate 6,FP EF10 - Replicate 7,FP EF10 - Replicate 8,FP EF10 - Replicate 9,FP EF10 - Replicate 10,TP EF10 - mean,TP EF10 - STD,TP EF10 - Replicate 1,TP EF10 - Replicate 2,TP EF10 - Replicate 3,TP EF10 - Replicate 4,TP EF10 - Replicate 5,TP EF10 - Replicate 6,TP EF10 - Replicate 7,TP EF10 - Replicate 8,TP EF10 - Replicate 9,TP EF10 - Replicate 10,FP BEDROC20 - mean,FP BEDROC20 - STD,FP BEDROC20 - Replicate 1,FP BEDROC20 - Replicate 2,FP BEDROC20 - Replicate 3,FP BEDROC20 - Replicate 4,FP BEDROC20 - Replicate 5,FP BEDROC20 - Replicate 6,FP BEDROC20 - Replicate 7,FP BEDROC20 - Replicate 8,FP BEDROC20 - Replicate 9,FP BEDROC20 - Replicate 10,TP BEDROC20 - mean,TP BEDROC20 - STD,TP BEDROC20 - Replicate 1,TP BEDROC20 - Replicate 2,TP BEDROC20 - Replicate 3,TP BEDROC20 - Replicate 4,TP BEDROC20 - Replicate 5,TP BEDROC20 - Replicate 6,TP BEDROC20 - Replicate 7,TP BEDROC20 - Replicate 8,TP BEDROC20 - Replicate 9,TP BEDROC20 - Replicate 10,FP Scaffold- mean,FP Scaffold - STD,FP Scaffold - Replicate 1,FP Scaffold - Replicate 2,FP Scaffold - Replicate 3,FP Scaffold - Replicate 4,FP Scaffold - Replicate 5,FP Scaffold - Replicate 6,FP Scaffold - Replicate 7,FP Scaffold - Replicate 8,FP Scaffold - Replicate 9,FP Scaffold - Replicate 10,TP Scaffold- mean,TP Scaffold - STD,TP Scaffold - Replicate 1,TP Scaffold - Replicate 2,TP Scaffold - Replicate 3,TP Scaffold - Replicate 4,TP Scaffold - Replicate 5,TP Scaffold - Replicate 6,TP Scaffold - Replicate 7,TP Scaffold - Replicate 8,TP Scaffold - Replicate 9,TP Scaffold - Replicate 10
transcription_5,285.9959559440613,1.844958845545515,291.1541244983673,285.9054539203644,286.113587141037,286.65987944602966,284.74242067337036,285.2493050098419,285.89002108573914,284.4415009021759,284.99579215049744,284.8074746131897,0.8592233009708737,0.8630649702710338,0.08427694353512806,1.0,1.0,0.7241379310344828,0.7777777777777778,0.8888888888888888,0.8,0.8571428571428571,0.8333333333333334,0.8983050847457628,0.851063829787234,0.14077669902912626,0.006666666666666666,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.7415655327086065,0.07241271361998868,0.8592233009708737,0.8592233009708737,0.6221961834616672,0.6682847896440129,0.7637540453074433,0.6873786407766991,0.7364771151178917,0.7160194174757282,0.7718446601941747,0.7312538731667011,0.0009385113268608414,0.0028155339805825243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009385113268608414,0.0,0.84157515354692,0.05440965693046615,0.9127543858507063,0.8455365125730951,0.7593648960884923,0.7466243697511084,0.7931495353499952,0.8603807337313302,0.8636723362853747,0.857309655132482,0.9098472673836139,0.867111843323002,0.023692612374588935,0.009437159953249773,0.02124936168287262,0.015610680565152973,0.014992153450716429,0.014952809263690022,0.0358871989482458,0.02541714511520352,0.03346213513243487,0.020389316195088106,0.041275130602341656,0.01369019279014332,53.6,25.968985427982936,9.565217391304348,20.347826086956523,60.17391304347826,75.47826086956522,26.26086956521739,37.04347826086956,78.08695652173913,77.21739130434783,74.78260869565217,77.04347826086956,29.581360673466985,5.476520096878288,36.69565217391305,40.451388888888886,28.869565217391305,27.130434782608695,33.275261324041814,20.869565217391305,26.26086956521739,26.782608695652176,25.565217391304348,29.91304347826087
channel_atp,86.46701159477234,0.36593619963426566,86.39926195144653,86.20006966590881,87.30172228813171,86.22220039367676,86.64919066429138,86.47669291496277,86.42130780220032,86.745534658432,85.8420238494873,86.41211175918579,0.4878048780487805,0.6553832471667536,0.020219072191301448,0.6448598130841121,0.6415094339622641,0.6764705882352942,0.6635514018691588,0.6826923076923077,0.6571428571428571,0.660377358490566,0.6759259259259259,0.6132075471698113,0.638095238095238,0.5121951219512195,0.6562484484015985,0.018311401476038824,0.6630434782608695,0.6451612903225806,0.6344086021505376,0.6881720430107527,0.6630434782608695,0.6382978723404256,0.6631578947368421,0.6304347826086957,0.6808510638297872,0.6559139784946236,0.319699144959392,0.00986296204453729,0.3145657624800547,0.31293143120110445,0.3299856527977045,0.32368361066788237,0.3330206378986867,0.3205574912891986,0.32213529682466635,0.3297199638663053,0.2991256327657616,0.31126596980255516,0.3361272540593553,0.00937901051211745,0.33960763520678683,0.3304484657749803,0.32494099134539733,0.3524783634933124,0.33960763520678683,0.32693305656460825,0.33966623876765084,0.3229056203605514,0.3487285936689154,0.3359559402045633,0.6603450830477714,0.02880703502335437,0.6242326257094241,0.6454947769804451,0.6808227844735655,0.6832054360575363,0.6712721858566564,0.6618181690192787,0.6290666816553244,0.7236988600242616,0.6463511182619702,0.6374881924392511,0.657628682882676,0.014344615379828897,0.6777429391949398,0.6675362714816407,0.6521139166611577,0.669424049701021,0.6714722284070342,0.6458211236317745,0.6686245750916017,0.6360293611600145,0.6373473204952801,0.6501750430022961,92.76785714285714,1.5694996277899071,93.75,92.85714285714286,91.96428571428571,91.96428571428571,96.42857142857143,91.96428571428571,92.85714285714286,90.17857142857143,91.96428571428571,93.75,71.54630214917826,1.8380490999077497,73.21428571428571,72.32142857142857,70.53571428571429,71.42857142857143,74.10714285714286,71.42857142857143,68.14159292035399,72.32142857142857,73.21428571428571,68.75
transcription,91.07913827896118,0.4344534054066864,90.67610502243042,91.15745663642883,90.69419384002686,90.49244117736816,91.49119448661804,90.71582365036011,91.11860227584839,91.89003205299377,91.58332514762878,90.97220849990845,0.44337606837606836,0.7536905185788411,0.024336665384045143,0.7117117117117117,0.7543859649122807,0.7543859649122807,0.7355371900826446,0.7288135593220338,0.7777777777777778,0.7933884297520661,0.7627118644067796,0.7377049180327869,0.7804878048780488,0.5566239316239316,0.9057568068796581,0.028469824630136985,0.9272727272727272,0.9056603773584906,0.8771929824561403,0.8545454545454545,0.8793103448275862,0.9230769230769231,0.9583333333333334,0.9259259259259259,0.9,0.90625,0.3341683388998067,0.010790295015361903,0.3155559405559405,0.3344766831608937,0.3344766831608937,0.32611958748322384,0.32313849051137183,0.3448480531813865,0.3517694426785336,0.3381681877444589,0.3270807061790668,0.34604961434229725,0.5041659149404936,0.015846985718270694,0.5161421911421912,0.5041122399612966,0.4882666066876593,0.47566045066045065,0.4894451812555261,0.5138067061143985,0.5334312678062678,0.5153925292814182,0.5009615384615385,0.504440438034188,0.7847528767589205,0.030035083989715036,0.7435276538500384,0.7742247752333279,0.7593477310891301,0.7517183297744419,0.7621649924883958,0.8201672199366897,0.8229705992795421,0.7989095042153219,0.7844843369763115,0.8300136247460045,0.8987349582469344,0.009626142780414107,0.8982797159888455,0.8867200959628949,0.8825339153588344,0.893480996365833,0.9097517876330514,0.9109479844299532,0.913036335139993,0.900158434222703,0.8951591346233457,0.8972811827438909,91.08108108108108,1.2220414384009481,93.24324324324324,90.09009009009009,92.34234234234235,91.89189189189189,90.54054054054055,90.54054054054055,89.1891891891892,89.63963963963964,91.89189189189189,91.44144144144144,59.144144144144136,1.7567567567567572,56.75675675675676,61.711711711711715,57.207207207207205,57.207207207207205,59.909909909909906,58.55855855855856,59.45945945945946,62.16216216216216,58.55855855855856,59.909909909909906
transporter,74.46119079589843,0.7418167750991572,74.15869927406311,75.18119597434998,73.6358904838562,74.03496289253235,76.12988924980164,73.80126190185547,74.16775846481323,74.0482451915741,75.18099737167358,74.27300715446472,0.30279069767441863,0.456723254404756,0.02100234007654845,0.4577777777777778,0.43946188340807174,0.4298642533936652,0.4330357142857143,0.4622222222222222,0.4751131221719457,0.4611872146118721,0.44,0.4663677130044843,0.5022026431718062,0.6972093023255814,0.9331034588289508,0.011402459147603922,0.9142857142857143,0.9278846153846154,0.9478672985781991,0.9305555555555556,0.9428571428571428,0.943127962085308,0.9212962962962963,0.9354838709677419,0.9205607476635514,0.9471153846153846,0.13829155284534705,0.006359313204573508,0.1386108527131783,0.13306497027844405,0.13015889719036094,0.13111918604651165,0.13995658914728681,0.14385983373671474,0.1396431984708506,0.1332279069767442,0.14121180519345083,0.1520622886999283,0.6505684115277198,0.007949900587096886,0.6374485049833887,0.6469297853309481,0.6608618979389398,0.6487919896640827,0.6573687707641196,0.6575575884492451,0.6423363479758829,0.6522280570142536,0.6418235166268204,0.660337656529517,0.4767540137326541,0.02184375219850428,0.5009998439875744,0.444679544422955,0.44408501338963335,0.4643290412780927,0.4814946896791044,0.5038574417354923,0.47396184428866517,0.4625559317594312,0.4847849181920021,0.5067918685935909,0.9308532427791427,0.009088613047842005,0.9251583283320319,0.9266953119760281,0.9383034599670582,0.9333964518404939,0.930719935056436,0.9433001195385653,0.9109647635050862,0.9431770215902381,0.9284852680375756,0.9283317679479139,90.6694560669456,1.785488560113127,90.3765690376569,92.05020920502092,93.30543933054393,89.1213389121339,87.86610878661088,92.05020920502092,89.5397489539749,88.28451882845188,92.05020920502092,92.05020920502092,61.25523012552302,1.1715481171548119,59.8326359832636,64.01673640167364,60.66945606694561,61.50627615062761,60.66945606694561,60.2510460251046,61.92468619246862,60.66945606694561,60.66945606694561,62.34309623430963
cysteine_protease,86.89473793506622,0.3679156634783307,86.7977204322815,87.22222781181335,86.43274736404419,87.00292921066284,86.63566660881042,87.71509408950806,86.53951096534729,86.99128150939941,87.05019044876099,86.56001091003418,0.5117241379310344,0.8198883559045818,0.02370107320177386,0.788135593220339,0.7796610169491526,0.8376068376068376,0.8434782608695652,0.825,0.8373983739837398,0.8508771929824561,0.8083333333333333,0.7964601769911505,0.8319327731092437,0.48827586206896556,0.8665278349101879,0.07284945483184284,0.875,0.8,0.8823529411764706,0.8181818181818182,0.8666666666666667,1.0,0.75,0.8,0.9230769230769231,0.95,0.4195566621249653,0.01212841125221807,0.4033080070134424,0.39897136177673875,0.42862363689949895,0.43162818590704644,0.4221724137931034,0.42851696103167924,0.4354143980641258,0.4136436781609195,0.4075678974671956,0.4257200811359026,0.42310462559752626,0.03557063035927222,0.42724137931034484,0.39062068965517244,0.43083164300202836,0.3994984326018809,0.42317241379310344,0.4882758620689655,0.3662068965517241,0.39062068965517244,0.4507161803713528,0.4638620689655172,0.8431791487943938,0.021474707170526873,0.8156119878944724,0.8355906055142466,0.873420693023413,0.8524457366581477,0.8340374177123527,0.8467028190057075,0.869797415204905,0.8006109391999784,0.8555892637023645,0.8479846100283491,0.8479844604155595,0.01871051628914876,0.8593596262485169,0.8335049708247385,0.8769362869660338,0.860280640348267,0.8353169989816606,0.87084202411168,0.8363474534187477,0.8169172187930492,0.8588263354673169,0.8315130489955855,96.07954545454547,1.331292558393183,97.1590909090909,94.31818181818181,96.5909090909091,96.02272727272727,97.72727272727273,94.31818181818181,97.72727272727273,95.45454545454545,94.31818181818181,97.1590909090909,58.63636363636364,2.076780327556483,59.09090909090909,57.95454545454545,55.11363636363637,59.09090909090909,63.63636363636363,57.95454545454545,58.52272727272727,56.81818181818182,58.52272727272727,59.65909090909091
dna_repair,90.1242788553238,0.41656931649692047,89.71899724006653,89.96702122688293,90.04170083999634,90.90184879302979,90.75405764579773,89.90821290016174,90.52897071838379,89.86119484901428,89.6753396987915,89.88544464111328,0.36773428232502964,0.5812498145450135,0.11412117902662369,0.5930232558139535,0.6,0.6666666666666666,0.696969696969697,0.6428571428571429,0.6363636363636364,0.5675675675675675,0.5483870967741935,0.2638888888888889,0.5967741935483871,0.6322657176749704,0.7989345439654029,0.03151316342343014,0.8090909090909091,0.8275862068965517,0.7946428571428571,0.8214285714285714,0.7540983606557377,0.8125,0.8571428571428571,0.7768595041322314,0.7522123893805309,0.7837837837837838,0.21374548340326704,0.04196626986744169,0.21807498137879666,0.22064056939501778,0.24515618821668642,0.2562996513174449,0.2364006100660905,0.23401272511592794,0.2087140521304222,0.2016607354685646,0.09704099116910504,0.21945432977461446,0.5051389228156107,0.01992469288812368,0.5115604443006578,0.5232543870413547,0.5024254363667174,0.5193611252330113,0.47679054119751857,0.5137158956109134,0.5419420437214031,0.49118163191278685,0.4755981062156856,0.4955596165560578,0.5878370270890272,0.09500340466470719,0.5427951728923459,0.6250208123508391,0.6294011772536031,0.6869224862137584,0.6401988553051444,0.6376796111779524,0.56599277427637,0.5898781144034224,0.32786246875070657,0.6326187982661297,0.8603725922407517,0.023130333697305126,0.8224560459526667,0.865921139818696,0.8924495482019187,0.8835016809108057,0.8492082840773061,0.8785255449978556,0.887988441450426,0.8404044862377342,0.8414253592557231,0.8418453915043849,75.88652482269502,6.367198776585375,68.08510638297872,81.56028368794327,72.34042553191489,79.43262411347517,80.1418439716312,83.68794326241135,67.37588652482269,76.59574468085107,66.66666666666667,82.97872340425532,50.49351919784788,2.3897166448926823,46.808510638297875,53.90070921985816,48.93617021276596,51.03448275862069,54.60992907801418,50.354609929078016,48.226950354609926,48.93617021276596,49.645390070921984,52.4822695035461
GPCR_3,9.546174716949462,0.6999558068070131,8.848473072052002,8.861679792404175,9.950080871582031,10.495086431503296,8.921165466308594,8.932980060577393,8.878168106079102,9.689395427703857,10.585196495056152,10.299521446228027,0.5945223780895124,0.8648128588171875,0.013098696235791827,0.8758620689655172,0.8835616438356164,0.8513513513513513,0.8531468531468531,0.8657718120805369,0.8775510204081632,0.8733333333333333,0.8402777777777778,0.8701298701298701,0.8571428571428571,0.40547762191048764,0.7207700500900314,0.017865649435277534,0.7032258064516129,0.7044025157232704,0.7531645569620253,0.7169811320754716,0.7151898734177216,0.7055214723926381,0.7134146341463414,0.73125,0.7530120481927711,0.7115384615384616,0.514150597426384,0.0077874680359750975,0.5207196001197798,0.5252971696818294,0.5061474299951254,0.5072148959924511,0.5147207166009872,0.5217237195479394,0.5192162101981741,0.49956394270021526,0.517311679636329,0.5095906097910106,0.292256125854809,0.007244121046902793,0.2851423276660849,0.28561945694323654,0.30539137346422807,0.29071980438865147,0.2899934890878804,0.2860731688325526,0.2892736692897991,0.2965055110220441,0.30532953457115036,0.28851292328246236,0.8730893155018002,0.01033310484328079,0.8857088005227457,0.8911587938292665,0.8535685414638172,0.8710812149002622,0.8634920730664893,0.8694900729614932,0.8819015247966852,0.8701716483435008,0.8735610002488775,0.8707594848848649,0.7442727617251369,0.01580970499658201,0.7404258129286327,0.7232007857029001,0.769950641615911,0.7551539271641671,0.7415923236639956,0.7472713630620917,0.7198573973455749,0.7466401236864814,0.7665526908929733,0.7320825511886419,90.19900497512438,2.075885178609459,88.05970149253731,90.04975124378109,90.04975124378109,91.04477611940298,89.55223880597015,87.56218905472637,95.5223880597015,89.05472636815921,91.04477611940298,90.04975124378109,73.73134328358208,1.349717409577169,76.11940298507463,74.6268656716418,71.64179104477611,74.12935323383084,74.6268656716418,72.13930348258707,74.12935323383084,72.13930348258707,73.13432835820896,74.6268656716418
GPCR,95.957120013237,0.9434278802581478,95.008145570755,95.36804795265198,95.67577719688416,95.50629329681396,96.65536212921143,95.52067875862122,96.00784349441528,95.5294234752655,95.79666113853455,98.50296711921692,0.5064615384615384,0.5344608087772273,0.03896149538548484,0.5780346820809249,0.5741935483870968,0.5660377358490566,0.4918032786885246,0.5380116959064327,0.515527950310559,0.49079754601226994,0.5389221556886228,0.5823529411764706,0.4689265536723164,0.4935384615384616,0.5077986635705323,0.03455856822249605,0.5584415584415584,0.5234899328859061,0.5170068027210885,0.46621621621621623,0.48322147651006714,0.5,0.554140127388535,0.4866666666666667,0.5374149659863946,0.4513888888888889,0.2706838434607127,0.019732498893694776,0.2927523343708315,0.29080694789081885,0.2866763425253991,0.2490794451450189,0.2724822312190733,0.26109507883420924,0.2485700802265219,0.27294334408106863,0.2949393665158371,0.23749326379834854,0.2506181711898873,0.017055982593502668,0.2756123876123876,0.2583624161073826,0.25516274201988487,0.2300956340956341,0.23848838409912237,0.24676923076923077,0.27348946594806467,0.24018871794871796,0.26523495552066984,0.22277777777777777,0.5109799924622237,0.05009901390392687,0.5823710907347958,0.5522133716219717,0.5645298670568678,0.46599133144838334,0.48532140506812205,0.4496421322781009,0.48269150269807204,0.4884380604707354,0.5807136291980811,0.45788753404710625,0.5248690972189385,0.01831302915024033,0.5487700624392181,0.5370682909485842,0.5307294272105321,0.5114161828994811,0.5078344276597357,0.5157263832298066,0.5484291772629847,0.49989493657556255,0.5452112179709238,0.503610865992555,80.57450628366249,6.362571984954677,87.97127468581688,87.97127468581688,87.4326750448833,70.73608617594255,81.14901256732496,75.40394973070018,78.63554757630162,77.37881508078995,86.89407540394973,72.17235188509875,57.39676840215441,1.525609826403366,57.98922800718133,58.16876122082585,57.98922800718133,60.14362657091562,56.37342908438061,54.398563734290846,56.193895870736085,58.348294434470375,56.193895870736085,58.16876122082585
GPCR_2,31.0976539850235,0.6152646891971993,30.772066116333008,31.264906644821167,30.76179337501526,30.87386965751648,30.86019206047058,31.75387716293335,30.90090775489807,32.64685106277466,30.635292291641235,30.506783723831177,0.838468720821662,0.8824961702338442,0.01602291766815232,0.8688524590163934,0.8823529411764706,0.8888888888888888,0.8780487804878049,0.8617886178861789,0.8571428571428571,0.9008264462809917,0.8914728682170543,0.9112903225806451,0.8842975206611571,0.16153127917833798,0.37233159189250753,0.029622400679565185,0.3275862068965517,0.4,0.3939393939393939,0.4032258064516129,0.39285714285714285,0.31666666666666665,0.3968253968253968,0.3508771929824561,0.37037037037037035,0.3709677419354839,0.739945434985987,0.013434715281046491,0.7285056098942309,0.7398253419014664,0.7453055296192551,0.7362164377946301,0.7225828000576925,0.718687474989996,0.7553147980955468,0.7474721154611715,0.7640884310713533,0.7414558109745276,0.060143198316903644,0.004784944274103435,0.05291541904117969,0.06461251167133521,0.06363353422176951,0.06513358031384597,0.06345871682006136,0.051151571739807035,0.06409971395965794,0.0566776418169607,0.059826399695680745,0.059922893888738296,0.8614732504429188,0.018891041332257722,0.8303257772725604,0.8644793917447513,0.8713898499589179,0.8495298238568987,0.8553255794750872,0.8317508161855923,0.8919348310650426,0.8804820584136384,0.8703979649945185,0.8691164114621807,0.36665012894802884,0.02652010339584479,0.3584645362068228,0.39014549348502686,0.3819514967337248,0.39274241909326574,0.36524982159063946,0.29848332809598443,0.39298611571394565,0.3542314671345202,0.3671594650067915,0.3650871464195677,91.55080213903743,1.5087418160070458,91.97860962566845,92.51336898395722,91.97860962566845,88.23529411764706,91.44385026737967,93.58288770053476,91.97860962566845,91.97860962566845,89.3048128342246,92.51336898395722,67.80748663101606,1.954616778876692,68.98395721925134,65.24064171122994,67.37967914438502,65.24064171122994,69.5187165775401,70.05347593582887,70.05347593582887,64.70588235294117,68.44919786096257,68.44919786096257
ion_channel2,18.870601105690003,0.6039405168281627,18.42335820198059,19.666603803634644,18.508199453353882,18.554975032806396,18.616302490234375,18.693686485290527,18.560893297195435,18.56961178779602,20.380900859832764,18.73147964477539,0.20496894409937888,0.313912903853356,0.01409251893144328,0.3181818181818182,0.2972972972972973,0.3225806451612903,0.3181818181818182,0.288135593220339,0.3055555555555556,0.3333333333333333,0.30434782608695654,0.3181818181818182,0.3333333333333333,0.7950310559006211,0.8196244615013187,0.022033186381154916,0.8189655172413793,0.8256880733944955,0.8230088495575221,0.8103448275862069,0.8181818181818182,0.7909090909090909,0.8214285714285714,0.8584905660377359,0.8487394957983193,0.7804878048780488,0.06434239644199222,0.0028885287250784352,0.06521739130434782,0.06093671311062616,0.0661190142256061,0.06521739130434782,0.05905884829982103,0.06262939958592133,0.06832298136645962,0.06238185255198488,0.06521739130434782,0.06832298136645962,0.6516269010693714,0.017517067433464782,0.6511030199186121,0.6564476608353752,0.6543175946792722,0.6442493039194688,0.6504799548277809,0.6287972896668548,0.6530612244897959,0.682526661197703,0.6747742575290986,0.6205120436297531,0.3313924049044127,0.01269658154400383,0.3263365451133288,0.3317625097303961,0.3304469582184878,0.33627767786781987,0.3142902467419609,0.349564543538696,0.31862799241866646,0.3574065171249253,0.3227246637019921,0.32648639458785395,0.8255095737295555,0.022451070864019224,0.827324834932409,0.845287585068606,0.8246795711823556,0.8080194715251006,0.8344695928570595,0.7746491254058444,0.8211063006711041,0.8484610598608129,0.8570506975761791,0.8140474982160834,90.82125603864735,1.1634390897383864,91.78743961352657,92.7536231884058,88.88888888888889,90.82125603864735,88.64734299516908,91.30434782608695,91.06280193236715,90.82125603864735,91.06280193236715,91.06280193236715,65.04830917874396,1.8460491598343471,64.4927536231884,63.04347826086956,68.35748792270532,68.1159420289855,64.2512077294686,66.18357487922705,63.768115942028984,65.45893719806763,63.04347826086956,63.768115942028984
