,SMILES,False positives,True positives,FP - mvsa,TP - mvsa,Score - mvsa,FP - Catboost_self,TP - Catboost_self,Score - Catboost_self,FP - Catboost_test,TP - Catboost_test,Score - Catboost_test,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)C([C@@H](C)O)n3cc([C@@H](N)CCCCN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc([C@@H](N)[C@H](C)CC)nn3)CC2)n1,1.0,0.0,0.0,0.0,70.13720382568958,0.0,0.0,-0.05577414190844019,0.0,0.0,-0.03946875917599289,0.0,0.0,72.0,0.0,1.0,0.0
1,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)[C@H](CCCCN)n3cc(CCO)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)[C@H](CCCCN)n3cc(CCCC(=O)O)nn3)CC2)n1,-0.0,1.0,0.0,0.0,82.71822579521165,0.0,0.0,-0.0674093217631037,0.0,0.0,-0.03961883674756911,1.0,0.0,52.0,0.0,1.0,0.0
2,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)Cn3cc(CCCN=C(N)N)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CCCC)nn3)CC2)n1,-0.0,1.0,0.0,1.0,38.94922850555654,0.0,0.0,-0.10645775017453338,0.0,0.0,-0.07072756747938425,1.0,0.0,51.0,0.0,1.0,0.0
3,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc(CCCCN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CCCC)nn3)CC2)n1,1.0,0.0,0.0,0.0,57.520183714425734,0.0,0.0,-0.15619950372289834,0.0,0.0,-0.1078911836835596,0.0,0.0,54.0,0.0,1.0,0.0
4,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CC(N)=O)n3cc(C(N)[C@H](C)CC)nn3)CC2)n1,1.0,0.0,0.0,0.0,79.51488976322027,0.0,0.0,-0.052620539153729676,0.0,1.0,-0.036369319846645785,0.0,0.0,64.0,0.0,1.0,0.0
5,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCC(=O)O)n3cc([C@@H](N)CCCCN)nn3)CC2)n1,1.0,0.0,0.0,0.0,87.29696787992035,0.0,0.0,-0.17210179210348603,0.0,0.0,-0.11608147071021058,0.0,0.0,61.0,0.0,1.0,0.0
6,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc([C@@H](N)[C@H](C)CC)nn3)CC2)n1,1.0,0.0,0.0,0.0,75.64219567792335,0.0,0.0,-0.052620539153729676,0.0,1.0,-0.036369319846645785,0.0,0.0,72.0,0.0,1.0,0.0
7,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCN=C(N)N)n3cc(C(N)[C@H](C)CC)nn3)CC2)n1,1.0,0.0,0.0,0.0,77.78465042038381,0.0,1.0,-0.04448046247679486,0.0,1.0,-0.030205661277944527,0.0,0.0,77.0,0.0,1.0,0.0
8,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CO)n3cc([C@@H](N)C(C)C)nn3)CC2)n1,1.0,0.0,0.0,0.0,84.63833556667849,0.0,1.0,-0.04602770209928523,0.0,1.0,-0.03096952525449542,0.0,0.0,59.0,0.0,1.0,0.0
9,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H](N)CO)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc([C@@H](N)C(C)CC)nn3)CC2)n1,1.0,0.0,0.0,0.0,73.56256986999072,0.0,0.0,-0.06263205463239323,0.0,0.0,-0.04182723266438584,0.0,0.0,57.0,0.0,1.0,0.0
10,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H](N)CO)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc([C@@H](N)CC(C)C)nn3)CC2)n1,1.0,0.0,0.0,0.0,75.41847277168152,0.0,0.0,-0.14894722175911887,0.0,0.0,-0.10218654883987485,1.0,0.0,51.0,0.0,1.0,0.0
11,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H](CCCCN)n3cc([C@@H](N)[C@H](C)CC)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc([C@@H](N)CC(N)=O)nn3)CC2)n1,1.0,0.0,0.0,0.0,72.85487232861952,0.0,0.0,-0.08481996222130059,0.0,0.0,-0.06057854854719625,0.0,0.0,53.0,0.0,1.0,0.0
12,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H](CCCN=C(N)N)n3cc(C(N)[C@@H](C)CC)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc([C@@H](N)CC(N)=O)nn3)CC2)n1,1.0,0.0,0.0,0.0,82.08843307387264,0.0,0.0,-0.05489583184616904,0.0,1.0,-0.03579537291108808,0.0,0.0,65.0,0.0,1.0,0.0
13,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H](CCCN=C(N)N)n3cc(C(N)[C@@H](C)CC)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc([C@@H](N)[C@H](C)CC)nn3)CC2)n1,1.0,0.0,0.0,0.0,67.00457670519475,0.0,0.0,-0.05512046586322639,0.0,1.0,-0.03595009822712715,0.0,0.0,62.0,0.0,1.0,0.0
