,SMILES,False positives,True positives,FP - mvsa,TP - mvsa,Score - mvsa,FP - Catboost_self,TP - Catboost_self,Score - Catboost_self,FP - Catboost_test,TP - Catboost_test,Score - Catboost_test,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C(=N\Nc1cc(N2CCOCC2)nc(N2CCOCC2)n1)\c1ccccc1,1.0,0.0,0.0,0.0,84.50608701962615,0.0,0.0,-0.22666658700515563,0.0,0.0,-0.10514184258210318,1.0,0.0,50.0,0.0,1.0,0.0
1,C/C(=C\C(=O)c1ccccc1)Nc1ccc(O)cc1,1.0,0.0,0.0,0.0,96.84956208622356,0.0,0.0,-0.29288053297118893,0.0,0.0,-0.1253184198260248,0.0,0.0,78.0,0.0,1.0,0.0
2,C/C(=C\C(=O)c1cccnc1)Nc1ccc(O)cc1,1.0,0.0,0.0,0.0,97.24450230031235,0.0,0.0,-0.2929121868833994,0.0,0.0,-0.12479070828312243,0.0,0.0,77.0,0.0,1.0,0.0
3,C/C(=N/NC(=O)CCc1ccccc1)c1ccco1,1.0,0.0,1.0,0.0,99.74710574063381,0.0,0.0,-0.29068904454789884,0.0,0.0,-0.12565180637896878,1.0,0.0,51.0,0.0,1.0,0.0
4,C/C(=N\NC(=O)CSc1nc2ccccc2o1)c1ccc(O)cc1,1.0,0.0,0.0,0.0,99.22898190542642,0.0,0.0,-0.2928746329549346,0.0,0.0,-0.12929041102169164,1.0,0.0,51.0,1.0,-0.0,1.0
5,C/C(=N\NC(=O)c1nnn(-c2nonc2N)c1C)c1ccc(-c2ccccc2)cc1,1.0,0.0,0.0,0.0,99.30495281269998,0.0,0.0,-0.2864916811655957,1.0,0.0,-0.13665289293982327,0.0,0.0,98.0,0.0,1.0,0.0
6,C/C(=N\O)C(C)Oc1ccc(Cl)cc1,1.0,0.0,0.0,0.0,98.81987916247914,0.0,0.0,-0.2797500450175512,0.0,0.0,-0.11758633455056215,0.0,0.0,65.0,0.0,1.0,0.0
7,C/C(C=Nn1c(-c2ccc(F)cc2)n[nH]c1=S)=C/c1ccco1,1.0,0.0,0.0,0.0,98.12969419685014,0.0,0.0,-0.28948653109077743,0.0,0.0,-0.129590058603315,0.0,0.0,61.0,0.0,1.0,0.0
8,C/C(CC(=O)NCCCN1CCOCC1)=N\NC(=O)COc1ccc(Cl)cc1,1.0,0.0,1.0,0.0,99.60265612464846,0.0,0.0,-0.2903437048984322,0.0,0.0,-0.12044379430212558,0.0,0.0,65.0,0.0,1.0,0.0
9,C/C(CC(=O)Nc1ccc2ccccc2c1)=N\NC(=O)c1ccc(O)c(O)c1,-0.0,1.0,0.0,0.0,87.79241233034354,0.0,0.0,-0.14616053343237276,0.0,0.0,-0.06748110825628736,0.0,1.0,111.0,1.0,-0.0,1.0
10,C/C(CC(=O)Nc1ccccn1)=N\NC(=O)C(=O)Nc1cccc(Cl)c1C,1.0,0.0,0.0,0.0,99.15300617659554,0.0,0.0,-0.29354414243899035,0.0,0.0,-0.12802525897529723,0.0,0.0,59.0,0.0,1.0,0.0
11,C/C(NCCc1ccccc1)=C1/CCOC1=O,1.0,0.0,1.0,0.0,99.5385793499353,0.0,0.0,-0.29191172997542214,0.0,0.0,-0.12669047133134773,0.0,0.0,64.0,0.0,1.0,0.0
12,C/[N+]([O-])=C1\Cc2ccccc2C1=O,1.0,0.0,0.0,0.0,85.17493697045157,0.0,0.0,-0.2793257201910899,1.0,0.0,-0.1380169174024763,0.0,0.0,60.0,1.0,-0.0,1.0
13,C1=Nc2cccc3cccc(c23)N1Cc1ccccc1,-0.0,1.0,0.0,0.0,84.7251375054769,0.0,0.0,-0.24226328812484219,0.0,0.0,-0.1255251569413185,0.0,0.0,99.0,1.0,-0.0,1.0
14,C=C(C)c1cccc(C(C)(C)NC(=O)NC2CN3CCC2CC3)c1,-0.0,1.0,0.0,0.0,98.32959128270842,0.0,0.0,-0.29287842230696254,0.0,0.0,-0.12870644670563977,1.0,0.0,51.0,0.0,1.0,0.0
15,C=CCC1C=C(Cc2ccccc2)CC(CC=C)N1,1.0,0.0,0.0,0.0,99.49136596754215,0.0,0.0,-0.2703256303380767,0.0,0.0,-0.10647599041324,0.0,0.0,54.0,0.0,1.0,0.0
16,C=CCC1CCCCC1=C(C#N)c1ccccc1,1.0,0.0,0.0,0.0,97.69777436888175,0.0,0.0,-0.29507540408000027,0.0,0.0,-0.1226817115526752,0.0,0.0,53.0,0.0,1.0,0.0
17,C=CCN(CC=C)C(=S)Nc1ccc2nsnc2c1,-0.0,1.0,0.0,1.0,67.07540385586572,0.0,0.0,-0.28381346615471853,1.0,0.0,-0.13096677662280068,0.0,0.0,103.0,0.0,1.0,0.0
18,C=CCN(CC=C)Cc1c(O)ccc2c1oc(=O)c1ccccc12,-0.0,1.0,0.0,0.0,82.6619340902857,0.0,0.0,-0.12647514608738228,0.0,0.0,-0.0515919680896427,1.0,0.0,51.0,1.0,-0.0,1.0
19,C=CCN1CCN(C(c2cccc(OC)c2OC)c2nnnn2CCC(C)C)CC1,1.0,0.0,0.0,0.0,97.9568169744761,0.0,0.0,-0.28431733124989145,0.0,0.0,-0.11726422562836712,0.0,0.0,97.0,0.0,1.0,0.0
20,C=CCNC1=C(Cl)C(=O)c2ccccc2C1=O,-0.0,1.0,0.0,1.0,69.60415684343766,0.0,0.0,-0.15048620684413663,0.0,0.0,-0.06723029945557174,0.0,0.0,91.0,1.0,-0.0,1.0
21,C=CCNCCCCOc1ccccc1,1.0,0.0,0.0,0.0,91.60647170389726,0.0,0.0,-0.29369764979152646,0.0,0.0,-0.12748524590644558,0.0,0.0,73.0,0.0,1.0,0.0
22,C=CCOCC(O)Cn1c(N2CCCC2)nc2c1c(=O)n(C)c(=O)n2C,1.0,0.0,0.0,0.0,93.60358006308148,0.0,0.0,-0.29022779915241975,1.0,0.0,-0.14295244784433833,1.0,0.0,52.0,0.0,1.0,0.0
23,C=CCOc1ccc(/C=C2\SC(=S)N(NS(=O)(=O)c3ccc(C)cc3)C2=O)cc1,-0.0,1.0,0.0,0.0,97.29595786556507,0.0,0.0,-0.2551559817424053,0.0,0.0,-0.11119574960203567,0.0,0.0,54.0,1.0,-0.0,1.0
24,C=CCOc1ccc(NC(=O)C2CC(=O)N(C(C)C)C2)cc1,1.0,0.0,0.0,0.0,99.09072569724837,0.0,0.0,-0.29635092373535143,0.0,0.0,-0.1276463197403412,0.0,0.0,56.0,0.0,1.0,0.0
25,C=CCSc1nnc(-c2ccc(Cl)cc2Cl)o1,1.0,0.0,0.0,0.0,97.61713991580038,0.0,0.0,-0.29237226087452406,0.0,0.0,-0.12682495699983976,0.0,0.0,68.0,0.0,1.0,0.0
26,C=CC[n+]1c(-c2ccc(Cl)cc2Cl)csc1Nc1c(C)n(C)n(-c2ccccc2)c1=O,1.0,0.0,0.0,0.0,96.78025666962937,0.0,0.0,-0.2900392942398883,1.0,0.0,-0.14236663971068672,1.0,0.0,50.0,0.0,1.0,0.0
27,C=CCc1cc(/C=C/c2nc(O)c([N+](=O)[O-])c(=O)[nH]2)cc(OC)c1O,1.0,0.0,0.0,0.0,83.41037719098789,0.0,0.0,-0.19913329350506878,0.0,0.0,-0.08130400563380624,0.0,0.0,78.0,0.0,1.0,0.0
28,C=CCc1cccc(/C=N/NC(=O)c2cc([N+](=O)[O-])nn2Cc2ccccc2)c1O,1.0,0.0,0.0,0.0,95.75867338335794,0.0,0.0,-0.2512061027559126,0.0,0.0,-0.11316615692751862,0.0,0.0,65.0,1.0,-0.0,1.0
29,C=CCc1cccc2cc(C(=O)Nc3ccc(NC(C)=O)cc3)c(=O)oc12,1.0,0.0,0.0,0.0,99.30672790553123,0.0,0.0,-0.2948118187156095,0.0,0.0,-0.12456632753061501,1.0,0.0,52.0,1.0,-0.0,1.0
30,C=CCn1c(-c2ccc(OC)cc2)nc2nc3ccccc3nc21,1.0,0.0,0.0,0.0,94.90081561118214,0.0,0.0,-0.29215482468352316,0.0,0.0,-0.12157874985632311,0.0,0.0,66.0,0.0,1.0,0.0
31,C=CCn1c(=NC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)sc2cc(NC(C)=O)ccc21,1.0,0.0,0.0,0.0,99.04057910009426,1.0,0.0,-0.29695333965188064,0.0,0.0,-0.1242551267947758,0.0,0.0,96.0,0.0,1.0,0.0
32,C=CCn1c(N)c(C(=O)NCC2CCCO2)c2nc3ccccc3nc21,1.0,0.0,0.0,0.0,88.87872047027864,0.0,0.0,-0.2441263794173856,0.0,0.0,-0.10554411276507326,0.0,0.0,98.0,0.0,1.0,0.0
33,C=CCn1c(NC(=O)c2ccc(Br)o2)c(S(=O)(=O)c2ccccc2)c2nc3ccccc3nc21,-0.0,1.0,0.0,0.0,79.34548071253634,0.0,1.0,-0.049875286656314424,0.0,1.0,-0.023377109772438332,0.0,0.0,83.0,0.0,1.0,0.0
34,C=CCn1c(NS(=O)(=O)c2ccccc2)c(S(=O)(=O)c2ccc(C)cc2)c2nc3ccccc3nc21,1.0,0.0,0.0,1.0,52.16297054859689,0.0,1.0,-0.05504282111808106,0.0,1.0,-0.025273518245802883,0.0,1.0,114.0,0.0,1.0,0.0
