,SMILES,False positives,True positives,FP - mvsa,TP - mvsa,Score - mvsa,FP - Catboost_self,TP - Catboost_self,Score - Catboost_self,FP - Catboost_test,TP - Catboost_test,Score - Catboost_test,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(CNc2ccc3ncccc3c2)cc1,1.0,0.0,0.0,0.0,98.52402398217993,0.0,0.0,-0.23104227024287421,0.0,0.0,-0.23435962135946556,0.0,0.0,39.0,0.0,1.0,0.0
1,Brc1ccc(Cn2c(-c3ccc(Br)o3)nc3ccccc32)o1,-0.0,1.0,0.0,0.0,95.91600478578903,0.0,0.0,-0.23037133453200684,0.0,0.0,-0.23477614924491855,1.0,0.0,30.0,0.0,1.0,0.0
2,C#CC(=O)N(c1cc(OC)ccc1OC)C(C(=O)NC1CCCC1)c1cccs1,-0.0,1.0,1.0,0.0,99.20754615864358,0.0,0.0,-0.22810261332051035,1.0,0.0,-0.278674663156765,1.0,0.0,31.0,0.0,1.0,0.0
3,C#CCOC(=O)c1ccccc1C(=O)n1nnc2ccccc21,-0.0,1.0,0.0,0.0,96.38812313220772,0.0,0.0,-0.21963370194031315,0.0,0.0,-0.2287846324621285,0.0,0.0,51.0,0.0,1.0,0.0
4,C#CCOc1ccc(/C=C2/C(=O)N(c3cccc(C(=O)O)c3)N=C2C)cc1OC,-0.0,1.0,0.0,0.0,63.97616198195726,0.0,0.0,-0.065430952371219,0.0,0.0,-0.06747075483999092,0.0,0.0,71.0,1.0,-0.0,1.0
5,C(=N/Nc1nncc2ccccc12)\c1ccccn1,-0.0,1.0,1.0,0.0,99.17593450156343,0.0,0.0,-0.23124421691575,0.0,0.0,-0.24607593187720486,0.0,0.0,38.0,0.0,1.0,0.0
6,C/C(=C/CCC(C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3)C(=O)O,-0.0,1.0,0.0,0.0,96.10157653441097,0.0,0.0,-0.18399181413842836,0.0,0.0,-0.20282863499731973,0.0,0.0,42.0,0.0,1.0,0.0
7,C/C(=C\c1ccco1)C1C(C#N)=C(N)Oc2n[nH]c(-c3ccccc3)c21,-0.0,1.0,0.0,1.0,16.668066844056224,0.0,0.0,-0.1402333621733851,0.0,0.0,-0.13073907291929684,0.0,0.0,77.0,0.0,1.0,0.0
8,C/C(=N/NC(=O)Cc1cc(=O)[nH][nH]1)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,0.0,0.0,57.224723880480525,0.0,0.0,-0.12078944561075085,0.0,0.0,-0.1368555814197919,0.0,1.0,84.0,0.0,1.0,0.0
9,C/C(=N\NC(=O)CC#N)c1cc2ccccc2oc1=O,-0.0,1.0,0.0,0.0,91.78807572509372,0.0,0.0,-0.21409222845846135,0.0,0.0,-0.2378223548887008,0.0,1.0,86.0,0.0,1.0,0.0
10,C/C(=N\NC(=O)Cc1cc(=O)[nH][nH]1)c1cccc([N+](=O)[O-])c1,-0.0,1.0,0.0,0.0,57.314822403397756,0.0,0.0,-0.1113034476001932,0.0,0.0,-0.12276453105172036,0.0,1.0,88.0,0.0,1.0,0.0
