,SMILES,False positives,True positives,FP - mvsa,TP - mvsa,Score - mvsa,FP - Catboost_self,TP - Catboost_self,Score - Catboost_self,FP - Catboost_test,TP - Catboost_test,Score - Catboost_test,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C/C(=N\N1C(C)CCCC1C)c1ccc(Cl)c([N+](=O)[O-])c1,1.0,0.0,0.0,0.0,97.5333546824378,0.0,0.0,-0.5432482015644282,0.0,0.0,-0.08917623502643647,0.0,0.0,11.0,0.0,1.0,0.0
1,C/C(=N\NC(=O)CSc1nc2ccccc2c(=O)n1-c1ccccc1C)c1cccs1,1.0,0.0,0.0,0.0,88.8922107845989,0.0,0.0,-0.5133121407069812,0.0,0.0,-0.10065202423715516,0.0,0.0,11.0,0.0,1.0,0.0
2,C/C(=N\NC(N)=S)c1ccc2c(c1)OCCO2,1.0,0.0,0.0,0.0,98.30132902273724,0.0,0.0,-0.59355602459255,0.0,0.0,-0.10998462479642897,0.0,0.0,12.0,0.0,1.0,0.0
3,C/C(=N\Nc1ccc([N+](=O)[O-])cc1)c1cccc(N)c1,1.0,0.0,0.0,0.0,99.32443186926764,0.0,0.0,-0.5906660736929913,0.0,0.0,-0.09971547604039625,0.0,0.0,15.0,0.0,1.0,0.0
4,C/C(=N\OCC(=O)Nc1nc2ccccc2s1)c1ccccc1,1.0,0.0,0.0,0.0,86.35622300635814,0.0,0.0,-0.5990654182441333,1.0,0.0,-0.13516858060606754,1.0,0.0,10.0,0.0,1.0,0.0
5,C/C(CCc1ccccc1)=N\NC(=O)C1C2CCCCC21,1.0,0.0,0.0,0.0,98.06845409669897,0.0,0.0,-0.612916788030774,0.0,0.0,-0.10538814883107084,1.0,0.0,10.0,0.0,1.0,0.0
6,C=C(C)C[C@@]1(C(=O)OCC)C(=O)Oc2ccc3ccccc3c2N1C,1.0,0.0,0.0,0.0,93.42636808718139,0.0,0.0,-0.550668119158343,0.0,0.0,-0.09479390100131437,1.0,0.0,10.0,0.0,1.0,0.0
7,C=C1CCN(Cc2ccccc2)S(=O)(=O)c2ccccc21,1.0,0.0,0.0,0.0,94.70217081787531,0.0,0.0,-0.6079632824738647,0.0,0.0,-0.10741626854433776,0.0,0.0,11.0,0.0,1.0,0.0
8,C=CCN=c1scc(C)n1/N=C/c1ccc(O)c(O)c1,1.0,0.0,0.0,0.0,90.73892392032751,0.0,1.0,-0.1168017937491835,0.0,1.0,-0.019198289298333993,0.0,0.0,15.0,1.0,-0.0,1.0
9,C=CCNc1n[nH]c(=S)s1,1.0,0.0,0.0,0.0,82.51187145537502,0.0,1.0,-0.0411992964876357,0.0,1.0,-0.01895730334829766,0.0,0.0,15.0,0.0,1.0,0.0
10,C=CC[C@@H](CC(=O)N(CCO)Cc1ccccc1)C(=O)NC[C@@H](OC(=O)[C@@H](CC=C)CC(=O)OC(C)(C)C)c1ccccc1,1.0,0.0,0.0,0.0,98.8712337828733,0.0,0.0,-0.59647708685231,0.0,0.0,-0.10471482122667114,1.0,0.0,10.0,0.0,1.0,0.0
11,C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1,1.0,0.0,0.0,0.0,88.94369287942088,0.0,0.0,-0.4264746751250848,0.0,0.0,-0.08862959352487422,0.0,0.0,11.0,0.0,1.0,0.0
12,C=CCn1c(C)cc(C(=O)COC(=O)CCc2cc(OC)c(OC)c(OC)c2)c1C,1.0,0.0,0.0,0.0,95.10147951010748,0.0,0.0,-0.5600581836759067,0.0,0.0,-0.09268088152858071,0.0,0.0,12.0,0.0,1.0,0.0
13,C=CCn1c(SCC(=O)N2CC(=O)Nc3ccccc32)nc2scc(-c3ccccc3)c2c1=O,1.0,0.0,0.0,0.0,97.41382965032723,0.0,0.0,-0.5180666416954235,0.0,0.0,-0.07634201271147381,0.0,0.0,16.0,0.0,1.0,0.0
14,CC(/C=N/n1c(-c2ccncc2)n[nH]c1=S)=C\c1ccco1,1.0,0.0,0.0,0.0,92.66753634555862,0.0,0.0,-0.5076752186286742,0.0,0.0,-0.10892976531829324,0.0,1.0,19.0,0.0,1.0,0.0
15,CC(=O)C(Sc1nccc(-c2cccs2)n1)C(C)=O,1.0,0.0,0.0,0.0,95.48129000006773,1.0,0.0,-0.6189360422805948,0.0,0.0,-0.10226299049461911,0.0,0.0,14.0,0.0,1.0,0.0
16,CC(=O)C1=CCC(c2ccc(C)cc2)N(S(=O)(=O)c2ccc(C)cc2)C1,1.0,0.0,0.0,0.0,82.49945088693438,0.0,0.0,-0.5943881999945543,0.0,0.0,-0.09770433804035622,0.0,0.0,12.0,0.0,1.0,0.0
17,CC(=O)C1=CCC(c2ccccc2)N(S(=O)(=O)c2ccc(C)cc2)C1,1.0,0.0,0.0,0.0,88.19125187728699,0.0,0.0,-0.593757814131369,0.0,0.0,-0.09237835497843896,0.0,0.0,13.0,0.0,1.0,0.0
18,CC(=O)C[C@H]1c2ccccc2S(=O)(=O)N1C1CCCCC1,1.0,0.0,0.0,0.0,97.7219559171155,0.0,0.0,-0.6118326844409167,0.0,0.0,-0.0979492822292056,0.0,0.0,14.0,0.0,1.0,0.0
19,CC(=O)N(C)C[C@@H]1Oc2cc(/C=C/c3ccccc3)ccc2S(=O)(=O)N([C@H](C)CO)C[C@@H]1C,1.0,0.0,1.0,0.0,99.59400806016936,0.0,0.0,-0.600628661123534,0.0,0.0,-0.08816959149629437,0.0,0.0,12.0,0.0,1.0,0.0
20,CC(=O)N(c1ccccc1C)S(=O)(=O)c1ccc(Cl)cc1,1.0,0.0,0.0,0.0,90.60853065713604,0.0,0.0,-0.5984152795219924,0.0,0.0,-0.09706280518901889,1.0,0.0,10.0,0.0,1.0,0.0
21,CC(=O)N/C(=C\c1ccccc1)C(=O)Nc1ccc(O)cc1,1.0,0.0,0.0,1.0,62.7683531255865,0.0,0.0,-0.31225470017319523,0.0,0.0,-0.05481433720370386,0.0,0.0,13.0,0.0,1.0,0.0
22,CC(=O)N1CCN(c2ccc(S(C)(=O)=O)cc2[N+](=O)[O-])CC1,1.0,0.0,0.0,0.0,99.25896519996887,0.0,0.0,-0.6150745065404774,0.0,0.0,-0.1078495192866278,1.0,0.0,10.0,0.0,1.0,0.0
23,CC(=O)N1CC[C@@H]2[C@@H](CO)N(C)c3ccc(-c4ccccc4)cc3[C@@H]21,1.0,0.0,0.0,0.0,81.16966452211904,0.0,0.0,-0.3362835278093236,0.0,0.0,-0.05126124260119829,0.0,0.0,17.0,0.0,1.0,0.0
24,CC(=O)N1CC[C@@H]2[C@@H](CO)Nc3ccc(-c4ccccc4)cc3[C@@H]21,1.0,0.0,0.0,0.0,97.75210383635238,0.0,0.0,-0.5022851084197931,0.0,0.0,-0.09637068913366521,1.0,0.0,10.0,0.0,1.0,0.0
