,SMILES,False positives,True positives,FP - mvsa,TP - mvsa,Score - mvsa,FP - Catboost_self,TP - Catboost_self,Score - Catboost_self,FP - Catboost_test,TP - Catboost_test,Score - Catboost_test,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(C2=CC(c3ccco3)n3ncnc3N2)cc1,-0.0,1.0,0.0,0.0,74.39412767556061,0.0,0.0,-0.12988971611078529,0.0,0.0,-0.07879360943091339,0.0,0.0,46.0,0.0,1.0,0.0
1,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H](N)CO)nn3)CC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H](N)CC(C)C)nn3)CC2)n1,-0.0,1.0,0.0,0.0,98.20162375530197,0.0,0.0,-0.425576021261068,1.0,0.0,-0.23891671773124962,0.0,0.0,38.0,0.0,1.0,0.0
2,C(=N/NC(=Nc1ccccc1)c1ccccn1)\c1ccccn1,1.0,0.0,0.0,0.0,94.6888676347115,0.0,0.0,-0.3672571043153429,0.0,0.0,-0.17850386234416332,0.0,0.0,54.0,0.0,1.0,0.0
3,C(=N/Nc1nc2ccccc2[nH]1)\c1ccccn1,-0.0,1.0,0.0,0.0,88.82597247913841,1.0,0.0,-0.4372220993283306,0.0,0.0,-0.22444126704748069,0.0,0.0,42.0,0.0,1.0,0.0
4,C/C(=N\Nc1ccc(Cl)c(C(=O)O)c1)c1ccc[nH]1,1.0,0.0,0.0,0.0,96.5767197468912,1.0,0.0,-0.43639276104436214,0.0,0.0,-0.2192870015679811,0.0,0.0,38.0,0.0,1.0,0.0
5,C/C(N)=C(/C#N)C(=O)CSc1ncnc2ccccc12,-0.0,1.0,0.0,0.0,96.90728162306762,0.0,0.0,-0.434920270294857,1.0,0.0,-0.23507531504688733,0.0,0.0,39.0,0.0,1.0,0.0
6,C/C(O)=c1/ccc2cccc3nc(C)nc1c23,-0.0,1.0,0.0,0.0,97.39055400130222,0.0,0.0,-0.43073949263637534,0.0,0.0,-0.21720164962615268,0.0,0.0,41.0,1.0,-0.0,1.0
7,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,-0.0,1.0,0.0,0.0,71.84972734160975,0.0,0.0,-0.20207746162057602,0.0,0.0,-0.10360437052512461,1.0,0.0,26.0,0.0,1.0,0.0
8,C=CCN1C(=O)/C(=C2/Sc3ccc(OC)cc3N2CC)SC1=S,1.0,0.0,0.0,1.0,67.08578887996785,0.0,1.0,-0.09508811619194532,0.0,1.0,-0.04856121775047094,0.0,0.0,40.0,1.0,-0.0,1.0
9,C=CCN1C(=O)/C(=C2/Sc3ccccc3N2CC)SC1=S,-0.0,1.0,0.0,0.0,77.5754919535729,0.0,0.0,-0.11267547073703911,0.0,1.0,-0.05166109818403993,0.0,0.0,30.0,1.0,-0.0,1.0
10,C=CCN1C(=O)S/C(=C\c2ccc(N3CCOCC3)cc2C)C1=O,1.0,0.0,0.0,0.0,76.21996785803982,0.0,0.0,-0.3716521458906613,0.0,0.0,-0.16424789399988177,0.0,0.0,29.0,1.0,-0.0,1.0
