,Time - mean,Time - STD,Time - Replicate 1,Time - Replicate 2,Time - Replicate 3,Time - Replicate 4,Time - Replicate 5,Time - Replicate 6,Time - Replicate 7,Time - Replicate 8,Time - Replicate 9,Time - Replicate 10,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,FP Precision@90 - Replicate 1,FP Precision@90 - Replicate 2,FP Precision@90 - Replicate 3,FP Precision@90 - Replicate 4,FP Precision@90 - Replicate 5,FP Precision@90 - Replicate 6,FP Precision@90 - Replicate 7,FP Precision@90 - Replicate 8,FP Precision@90 - Replicate 9,FP Precision@90 - Replicate 10,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,TP Precision@90 - Replicate 1,TP Precision@90 - Replicate 2,TP Precision@90 - Replicate 3,TP Precision@90 - Replicate 4,TP Precision@90 - Replicate 5,TP Precision@90 - Replicate 6,TP Precision@90 - Replicate 7,TP Precision@90 - Replicate 8,TP Precision@90 - Replicate 9,TP Precision@90 - Replicate 10,FP EF10 - mean,FP EF10 - STD,FP EF10 - Replicate 1,FP EF10 - Replicate 2,FP EF10 - Replicate 3,FP EF10 - Replicate 4,FP EF10 - Replicate 5,FP EF10 - Replicate 6,FP EF10 - Replicate 7,FP EF10 - Replicate 8,FP EF10 - Replicate 9,FP EF10 - Replicate 10,TP EF10 - mean,TP EF10 - STD,TP EF10 - Replicate 1,TP EF10 - Replicate 2,TP EF10 - Replicate 3,TP EF10 - Replicate 4,TP EF10 - Replicate 5,TP EF10 - Replicate 6,TP EF10 - Replicate 7,TP EF10 - Replicate 8,TP EF10 - Replicate 9,TP EF10 - Replicate 10,FP BEDROC20 - mean,FP BEDROC20 - STD,FP BEDROC20 - Replicate 1,FP BEDROC20 - Replicate 2,FP BEDROC20 - Replicate 3,FP BEDROC20 - Replicate 4,FP BEDROC20 - Replicate 5,FP BEDROC20 - Replicate 6,FP BEDROC20 - Replicate 7,FP BEDROC20 - Replicate 8,FP BEDROC20 - Replicate 9,FP BEDROC20 - Replicate 10,TP BEDROC20 - mean,TP BEDROC20 - STD,TP BEDROC20 - Replicate 1,TP BEDROC20 - Replicate 2,TP BEDROC20 - Replicate 3,TP BEDROC20 - Replicate 4,TP BEDROC20 - Replicate 5,TP BEDROC20 - Replicate 6,TP BEDROC20 - Replicate 7,TP BEDROC20 - Replicate 8,TP BEDROC20 - Replicate 9,TP BEDROC20 - Replicate 10,FP Scaffold- mean,FP Scaffold - STD,FP Scaffold - Replicate 1,FP Scaffold - Replicate 2,FP Scaffold - Replicate 3,FP Scaffold - Replicate 4,FP Scaffold - Replicate 5,FP Scaffold - Replicate 6,FP Scaffold - Replicate 7,FP Scaffold - Replicate 8,FP Scaffold - Replicate 9,FP Scaffold - Replicate 10,TP Scaffold- mean,TP Scaffold - STD,TP Scaffold - Replicate 1,TP Scaffold - Replicate 2,TP Scaffold - Replicate 3,TP Scaffold - Replicate 4,TP Scaffold - Replicate 5,TP Scaffold - Replicate 6,TP Scaffold - Replicate 7,TP Scaffold - Replicate 8,TP Scaffold - Replicate 9,TP Scaffold - Replicate 10
transcription_5,343.45703544616697,11.920242645726908,333.73812556266785,336.40434527397156,324.7941982746124,342.509318113327,353.29274010658264,328.3454911708832,359.4128317832947,350.5277826786041,344.8899850845337,360.65553641319275,0.8592233009708737,0.8577556812734043,0.05470202030575761,0.7989690721649485,0.7887323943661971,0.9534883720930233,0.8592233009708737,0.8181818181818182,0.9534883720930233,0.8729281767955801,0.8181818181818182,0.8551401869158879,0.8592233009708737,0.14077669902912626,0.11954263595196171,0.04958063198246484,0.056338028169014086,0.12286689419795221,0.18181818181818182,0.1411192214111922,0.046511627906976744,0.18181818181818182,0.15217391304347827,0.046511627906976744,0.1443850267379679,0.12188365650969529,0.7370036678902552,0.047001250456888806,0.6864928435592033,0.6776972514699848,0.8192594265071121,0.7382646809312847,0.7030008826125331,0.8192594265071121,0.7500402295767848,0.7030008826125331,0.7347563741947192,0.7382646809312847,0.016828817682557718,0.006979797706269321,0.00793108163544373,0.017296795785148613,0.025595763459841128,0.019866298159828027,0.006547753443215172,0.025595763459841128,0.021422541156606162,0.006547753443215172,0.02032604745340325,0.017158378829034773,0.83947912265713,0.0881413680346282,0.795301706981019,0.7858903293301105,0.9729052905227744,0.9172033875431828,0.8039591533237602,0.9729052905227744,0.8343723535476169,0.8039591533237602,0.8381323890764626,0.6701621723998386,0.07911202530003802,0.06146905024593354,0.04700694342299527,0.08169866712993679,0.19604084667624275,0.0869150197858193,0.02709470947722912,0.19604084667624275,0.047313893707079446,0.02709470947722912,0.04284685914149661,0.039067757506109094,64.63416034781804,10.227605519339038,66.33380884450784,81.56521739130434,65.91304347826087,49.973881246735154,72.04861111111111,65.91304347826087,71.05882352941177,72.04861111111111,51.50397275822929,49.98259052924791,56.652721773249695,10.717928620286326,44.54939000393546,46.63686675180928,72.04861111111111,49.96508379888268,65.91304347826087,72.04861111111111,44.546583850931675,65.91304347826087,56.31301008161306,48.59297406658084
channel_atp,278.10160579681394,29.168683705975887,294.7907531261444,283.70077896118164,289.0259847640991,220.45190048217773,223.81587386131287,310.3093900680542,277.8517122268677,298.1346535682678,288.97250270843506,293.9625082015991,0.4878048780487805,0.50637954084731,0.061945951239127925,0.6190476190476191,0.4878048780487805,0.4878048780487805,0.43125,0.4453551912568306,0.6270718232044199,0.4878048780487805,0.4878048780487805,0.5020463847203275,0.4878048780487805,0.5121951219512195,0.5034985229491948,0.05829832077823199,0.5,0.5133267522211253,0.5121951219512195,0.41842105263157897,0.38768115942028986,0.5923076923076923,0.5121951219512195,0.5121951219512195,0.574468085106383,0.5121951219512195,0.24701441016941947,0.030217537189818504,0.30197444831591175,0.23795359904818558,0.23795359904818558,0.21036585365853658,0.21724643475942956,0.30588869424605847,0.23795359904818558,0.23795359904818558,0.24490067547333047,0.23795359904818558,0.25788948736422174,0.029860115520557853,0.25609756097560976,0.26292345845472276,0.26234384295062463,0.21431322207958922,0.19856839872746554,0.3033771106941839,0.26234384295062463,0.26234384295062463,0.2942397509081474,0.26234384295062463,0.5788974562542537,0.02995776678548469,0.5882387626730585,0.5646682416383267,0.5612558455352518,0.5722585175016932,0.5666207484401217,0.6634482171345839,0.5612558455352518,0.5612558455352518,0.5887166930137464,0.5612558455352518,0.46158205047330664,0.035213422341320424,0.5279837719623611,0.4392238323282332,0.43874415446475257,0.4450352046703617,0.43300086048315545,0.5123604966162214,0.43874415446475257,0.43874415446475257,0.5032397208137231,0.43874415446475257,85.39724046526699,3.267658900412954,94.64285714285714,84.18688230008985,84.18688230008985,86.2914862914863,85.56962025316456,81.84143222506394,84.18688230008985,84.18688230008985,84.69259723964868,84.18688230008985,86.09801583961146,3.9576211030068094,95.53571428571429,84.10535876475932,84.18688230008985,83.05084745762711,83.33333333333333,86.45980253878703,84.18688230008985,84.18688230008985,91.74757281553399,84.18688230008985
transcription,300.65075006484983,29.987820454665023,277.1918909549713,321.83847856521606,230.96352577209473,293.59910440444946,314.2849590778351,307.89633870124817,297.6264955997467,345.9643874168396,326.75209879875183,290.3902213573456,0.44337606837606836,0.5321342384888117,0.12002045622289773,0.6935483870967742,0.44337606837606836,0.42707117852975496,0.44337606837606836,0.44337606837606836,0.6666666666666666,0.5069582504970179,0.36363636363636365,0.6666666666666666,0.6666666666666666,0.5566239316239316,0.5514393123674912,0.09559497479036651,0.42168674698795183,0.5566239316239316,0.5566239316239316,0.5566239316239316,0.5566239316239316,0.6363636363636364,0.6237864077669902,0.3333333333333333,0.6363636363636364,0.6363636363636364,0.23593558650946242,0.05321419800481042,0.3075027570995313,0.19658233800862004,0.18935314005325674,0.19658233800862004,0.19658233800862004,0.29558404558404555,0.2247731559361778,0.16122766122766122,0.29558404558404555,0.29558404558404555,0.3069443181019903,0.053210450711304445,0.23472093502213986,0.3098302012564833,0.3098302012564833,0.3098302012564833,0.3098302012564833,0.35421522921522924,0.3472144427848311,0.18554131054131054,0.35421522921522924,0.35421522921522924,0.48330290849353846,0.14076573221043429,0.6294824186285367,0.35752821239666294,0.34951359090904366,0.35752821239666294,0.35752821239666294,0.6626029932668838,0.3999676357511342,0.39367182265801676,0.6626029932648979,0.6626029932668838,0.5570355471677814,0.10196177106527234,0.4378426278306002,0.6424717876033329,0.452975215990165,0.6424717876033329,0.6424717876033329,0.6063281773419792,0.5957407262880007,0.33739700673311174,0.6063281773419792,0.6063281773419792,82.44574316016455,4.427620223708053,91.07142857142857,77.85811116131947,78.42465753424658,77.85811116131947,77.85811116131947,82.43243243243244,87.15277777777777,86.93693693693693,82.43243243243244,82.43243243243244,81.13794504746366,5.031294341762524,85.13513513513513,77.85811116131947,77.85811116131947,77.85811116131947,77.85811116131947,86.93693693693693,71.56862745098039,82.43243243243244,86.93693693693693,86.93693693693693
transporter,325.8373297214508,12.97705859544717,323.51474118232727,302.7788715362549,320.70638823509216,357.7074737548828,317.74793791770935,326.7741734981537,322.91503167152405,327.14726281166077,330.2186584472656,328.86275815963745,0.30279069767441863,0.3273677650134807,0.04499777411905052,0.28772144166157604,0.3870967741935484,0.3014354066985646,0.3022922636103152,0.3870967741935484,0.30279069767441863,0.25925925925925924,0.3870967741935484,0.30279069767441863,0.35609756097560974,0.6972093023255814,0.6985901407953305,0.0467130291184055,0.6129032258064516,0.7407407407407407,0.6990369181380417,0.7036764705882353,0.7407407407407407,0.6972093023255814,0.6129032258064516,0.7407407407407407,0.6972093023255814,0.7407407407407407,0.09912391396454696,0.013624907419303202,0.08711937605659814,0.1172093023255814,0.0912718370980305,0.09153128540014661,0.1172093023255814,0.09168220659816119,0.07850129198966409,0.1172093023255814,0.09168220659816119,0.10782302892796371,0.4870635446754422,0.03256875844115806,0.4273218304576144,0.5164513350559862,0.4873750419948486,0.4906097811217511,0.5164513350559862,0.486100811249324,0.4273218304576144,0.5164513350559862,0.486100811249324,0.5164513350559862,0.32303989834890817,0.07059221122278965,0.2810323232430456,0.4133319228835947,0.2496384299564694,0.32758071472887407,0.41333192231647475,0.27165992113886783,0.21930550617864478,0.4133319223156451,0.27165992113886783,0.3695263995885979,0.7195437119843813,0.07175030344800984,0.5868861823486081,0.7805734276183228,0.6974414882227877,0.7452789859096967,0.7806005543864012,0.7283400788611356,0.5866680776449312,0.7805752033440352,0.7283400788611356,0.780733042646759,84.87918648812143,4.042120093055943,80.25442477876106,88.28451882845188,82.88770053475936,85.03740648379052,88.28451882845188,78.96725440806046,88.28451882845188,88.28451882845188,78.96725440806046,89.5397489539749,84.53636893191819,4.60370991611393,88.28451882845188,88.28451882845188,78.08619430241052,79.6358732299393,88.28451882845188,78.96725440806046,88.28451882845188,88.28451882845188,78.96725440806046,88.28451882845188
cysteine_protease,308.4292718887329,15.23109030915566,306.6806654930115,285.414888381958,325.5629346370697,314.44984579086304,285.0702269077301,307.4261543750763,330.8148488998413,294.89752173423767,310.6648018360138,323.3108308315277,0.5117241379310344,0.5659240646180181,0.1551299266400944,0.5117241379310344,0.5233644859813084,0.5072463768115942,0.5117241379310344,0.5117241379310344,0.7948717948717948,0.30120481927710846,0.7948717948717948,0.4444444444444444,0.7580645161290323,0.48827586206896556,0.46715919898288627,0.14478108601064282,0.4882758620689655,0.5323741007194245,0.47956403269754766,0.4882758620689655,0.4882758620689655,0.5695876288659794,0.20512820512820512,0.6987951807228916,0.20512820512820512,0.5161870503597122,0.28959700410108236,0.07938372797720693,0.26186159334126036,0.26781824041250396,0.2595702148925537,0.26186159334126036,0.26186159334126036,0.40675508399646326,0.15413377648525134,0.40675508399646326,0.22743295019157084,0.3879199110122358,0.22810256060681616,0.07069310958312766,0.23841331747919142,0.25994542297196727,0.23415954148266466,0.23841331747919142,0.23841331747919142,0.27811589050835406,0.10015915119363394,0.34120481927710844,0.10015915119363394,0.252041677003225,0.5990983762637836,0.15162289051797462,0.5751440147242087,0.5296559391210339,0.6352868510655529,0.5751440147242087,0.5751440147242087,0.8119710688317385,0.28571232177481604,0.8119653923247683,0.46668262697419766,0.7242775183731021,0.42256821930629707,0.14268806430387546,0.42485598527579194,0.4367901732799957,0.4657404373973614,0.42485598527579194,0.42485598527579194,0.482820514882068,0.18803460767523236,0.7142876782251846,0.18806494613168986,0.47537587964406375,82.95587864873121,5.4742840668628725,76.5375854214123,86.36363636363636,84.03693931398416,76.5375854214123,76.5375854214123,88.63636363636364,77.8409090909091,88.63636363636364,91.47727272727273,82.95454545454545,79.06944048509065,4.890115647383026,76.5375854214123,76.89320388349515,74.07407407407408,76.5375854214123,76.5375854214123,78.10304449648712,88.63636363636364,77.8409090909091,88.63636363636364,76.8976897689769
dna_repair,293.4866292476654,22.70189718284552,281.4085428714752,254.13491344451904,293.6050879955292,321.8851113319397,306.50373244285583,254.4621992111206,295.4739520549774,299.67390394210815,307.22047448158264,320.49837470054626,0.36773428232502964,0.36126770943333786,0.11823027348198484,0.21875,0.5483870967741935,0.22448979591836735,0.22448979591836735,0.36773428232502964,0.40293040293040294,0.29098360655737704,0.36773428232502964,0.5555555555555556,0.4116222760290557,0.6322657176749704,0.6097146972245149,0.11664018110052383,0.6096256684491979,0.7755102040816326,0.45161290322580644,0.45161290322580644,0.6322657176749703,0.6464285714285715,0.45161290322580644,0.6322657176749703,0.7755102040816326,0.6707021791767555,0.13285052185567586,0.04347732476798968,0.08044187425860023,0.2016607354685646,0.08255259399133319,0.08255259399133319,0.1352285023971046,0.14817132254854676,0.10700464772572583,0.1352285023971046,0.20429682351390535,0.15136762226454006,0.3855017006176352,0.07374758781326121,0.38544541077511557,0.4903285157479361,0.2855393563693414,0.2855393563693414,0.39975993774704527,0.40871462463989156,0.2855393563693414,0.39975993774704527,0.4903285157479361,0.4240619946633578,0.40463340911081236,0.15076007450646164,0.19557506774398736,0.5919464046346072,0.20461985694988213,0.20467899507616955,0.5108511249307361,0.45070836401284914,0.3069778688164145,0.5108511249307361,0.5236656772798325,0.5464596067329084,0.5802620507869094,0.15657370277497681,0.7374656031208123,0.7953060679758832,0.4080535865810428,0.4080535953653925,0.4891488750692632,0.5462298174111866,0.40806223299731537,0.4891488750692632,0.7955364105750613,0.7256154437038728,60.686111281968884,5.665248065565544,64.33566433566433,54.60992907801418,68.08510638297872,68.08510638297872,57.05128205128205,69.1542288557214,57.19557195571956,57.05128205128205,55.4140127388535,55.87892898719441,60.846238325290756,6.566835433053929,71.83673469387755,68.08510638297872,54.60992907801418,54.60992907801418,57.05128205128205,55.792682926829265,54.60992907801418,57.05128205128205,68.08510638297872,66.73040152963671
GPCR_3,365.815216255188,15.362965061768056,351.34423780441284,338.5136649608612,378.2926723957062,378.2701599597931,342.9691767692566,381.28185391426086,360.4527325630188,377.98134875297546,372.9381341934204,376.10818123817444,0.5945223780895124,0.6667095619435248,0.07657074923656666,0.7384615384615385,0.6553846153846153,0.7384615384615385,0.5945223780895124,0.7384615384615385,0.5945223780895124,0.7384615384615385,0.7384615384615385,0.5358361774744027,0.5945223780895124,0.40547762191048764,0.483943164574669,0.11725799795228435,0.6227544910179641,0.2905405405405405,0.5208333333333334,0.40547762191048764,0.5769230769230769,0.40547762191048764,0.6227544910179641,0.6227544910179641,0.3664383561643836,0.40547762191048764,0.3963737542616813,0.045523023928219324,0.43903190997379377,0.38964082010174195,0.43903190997379377,0.35345685804920907,0.43903190997379377,0.35345685804920907,0.43903190997379377,0.43903190997379377,0.3185665984984759,0.35345685804920907,0.1962281235115725,0.04754549415967709,0.25251301005204024,0.11780768744696599,0.21118626141171232,0.16441210187018437,0.23392939725605055,0.16441210187018437,0.25251301005204024,0.25251301005204024,0.14858255323432254,0.16441210187018437,0.6787667447641976,0.057745488004293986,0.7298506317366554,0.668199038289218,0.729840330401404,0.6383735285800897,0.7298503485891609,0.6383735285800897,0.729850631737593,0.7298506317366554,0.5551052494110205,0.6383735285800897,0.48296106271179023,0.14857458170664523,0.6677673320803716,0.26477594295850143,0.5315941402011886,0.36162647141990284,0.5819396134691374,0.36162647141990284,0.6677493938973086,0.6677673320803716,0.3631374581713148,0.36162647141990284,88.80923361568331,3.0710723995604723,91.54228855721394,83.55263157894737,91.54228855721394,85.72139303482587,91.54228855721394,85.72139303482587,91.54228855721394,91.54228855721394,89.6640826873385,85.72139303482587,88.20582318229154,2.9496905304889487,90.04975124378109,95.02487562189054,86.81204569055036,85.72139303482587,87.81575037147103,85.72139303482587,90.04975124378109,90.04975124378109,85.09212730318258,85.72139303482587
GPCR,365.887485909462,12.032782155697422,357.1609396934509,378.1398460865021,372.6291718482971,350.5399148464203,374.5672981739044,342.18363976478577,371.4122838973999,379.06615686416626,359.5801601409912,373.5954477787018,0.5064615384615384,0.5484505301474667,0.053705271103676455,0.627906976744186,0.49696969696969695,0.627906976744186,0.5422077922077922,0.5064615384615384,0.627906976744186,0.5064615384615384,0.5064615384615384,0.5357607282184655,0.5064615384615384,0.4935384615384616,0.49050669531226926,0.04135609945571306,0.503030303030303,0.37209302325581395,0.503030303030303,0.5351906158357771,0.49353846153846154,0.503030303030303,0.49353846153846154,0.49353846153846154,0.5145385587863464,0.49353846153846154,0.2777690992685323,0.027199654226661995,0.3180107334525939,0.25169603729603723,0.3180107334525939,0.2746073926073926,0.2565032899408283,0.3180107334525939,0.2565032899408283,0.2565032899408283,0.2713422026607982,0.2565032899408283,0.24208391977873228,0.020410825700604228,0.24826480186480188,0.1836422182468694,0.24826480186480188,0.2641371531694112,0.24358021301775148,0.24826480186480188,0.24358021301775148,0.24358021301775148,0.25394456870563065,0.24358021301775148,0.5751505975670425,0.050201765523708475,0.6318260376214854,0.48416057629149734,0.6319257302324561,0.5310995261078569,0.5521826343951302,0.6318260376214854,0.5521826343951302,0.5521826343951302,0.631937530215122,0.5521826343951302,0.46853284105516924,0.046960481400237224,0.5158394237085105,0.3680742697675517,0.5158394237085105,0.45267043848793875,0.44781736560487784,0.5158394237085105,0.44781736560487784,0.44781736560487784,0.5257959687511596,0.44781736560487784,71.80641392765908,5.051919026309132,78.27648114901257,75.94254937163375,78.27648114901257,71.78604942133249,67.40381157856886,78.27648114901257,67.40381157856886,67.40381157856886,65.8908507223114,67.40381157856886,72.07601289022396,4.206627129392271,75.94254937163375,78.27648114901257,75.94254937163375,70.77189939288812,67.40381157856886,75.94254937163375,67.40381157856886,67.41593238626146,74.25673312346974,67.40381157856886
GPCR_2,324.46284399032595,13.814002403735657,327.03610944747925,285.9087030887604,318.12722182273865,328.35691475868225,333.51744174957275,335.2993423938751,321.9718475341797,329.3127808570862,332.5923993587494,332.5056788921356,0.838468720821662,0.8842981812548247,0.03346805361840193,0.9069767441860465,0.848159509202454,0.9069767441860465,0.9069767441860465,0.840887174541948,0.8968253968253969,0.8152492668621701,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.16153127917833798,0.23127468739513585,0.05406878279767594,0.2781065088757396,0.17548076923076922,0.27472527472527475,0.27472527472527475,0.161531279178338,0.1656441717791411,0.15835777126099707,0.27472527472527475,0.27472527472527475,0.27472527472527475,0.7414563648616552,0.028061916105812296,0.7604716305126702,0.7111552187337102,0.7604716305126702,0.7604716305126702,0.7050575935935287,0.75196004327657,0.6835610099367215,0.7604716305126702,0.7604716305126702,0.7604716305126702,0.037358096096506546,0.008733799648924312,0.04492290012652003,0.02834563312504489,0.04437672504899396,0.04437672504899396,0.026092354152990174,0.026756714955921017,0.025579733359619508,0.04437672504899396,0.04437672504899396,0.04437672504899396,0.8706973053969096,0.04993679323814075,0.9066656027287432,0.7776761875569581,0.9066656005593642,0.9066656004569275,0.8016354416560552,0.8778101521797752,0.8098576674604908,0.9066656004569275,0.9066656004569275,0.9066656004569275,0.23537613669391494,0.04275143597552686,0.2396564907227256,0.14420693407366716,0.2753645390112666,0.27133905427664995,0.20790534900727065,0.20235348412692986,0.19891835289068938,0.27133905427664995,0.27133905427664995,0.27133905427664995,84.95392455532824,2.1460591598558696,85.56149732620321,80.88235294117646,85.56149732620321,85.56149732620321,80.83798882681565,87.16577540106952,87.28414442700156,85.56149732620321,85.56149732620321,85.56149732620321,83.3848493062367,1.9477154348395223,83.70607028753993,83.35500650195058,85.02673796791444,85.02673796791444,80.17195056421279,80.897583429229,80.58419243986255,85.02673796791444,85.02673796791444,85.02673796791444
ion_channel2,370.07761006355287,13.391387926775776,378.568119764328,373.23879075050354,379.1877498626709,378.69610953330994,375.59018111228943,349.3151080608368,371.7529225349426,381.97198939323425,339.42671155929565,373.02841806411743,0.20496894409937888,0.1806144063928456,0.018329286080030822,0.16279069767441862,0.19047619047619047,0.16279069767441862,0.16279069767441862,0.20366598778004075,0.1919463087248322,0.16279069767441862,0.20496894409937888,0.20113314447592068,0.16279069767441862,0.7950310559006211,0.7598330878162096,0.04428303649820534,0.7788461538461539,0.7760252365930599,0.7788461538461539,0.7788461538461539,0.7714285714285715,0.6379310344827587,0.7788461538461539,0.7950310559006211,0.7236842105263158,0.7788461538461539,0.03702034416747767,0.0037569344139193623,0.033367037411526794,0.039041703637976925,0.033367037411526794,0.033367037411526794,0.041745202464231954,0.03934303222310225,0.033367037411526794,0.0420122680452143,0.04122604824661728,0.033367037411526794,0.6040909021147505,0.035206389265653955,0.6192068800764453,0.6169641632541096,0.6192068800764453,0.6192068800764453,0.6133096716947648,0.5071749839366031,0.6192068800764453,0.6320743798464564,0.5753514220333442,0.6192068800764453,0.1894063273585129,0.016199690042645393,0.1742812594935455,0.19965758477409992,0.1742812594935455,0.1742812594935455,0.2157699246436947,0.19195635339782421,0.1742812594935455,0.20549780796812395,0.20977530533365854,0.1742812594935455,0.7657183054085109,0.04456410705418923,0.7869450413565837,0.7804636195723171,0.7869450413565837,0.7869450413565837,0.7768798608622117,0.6434494365909131,0.7869450413565837,0.7945021920318721,0.7271627382448765,0.7869450413565837,83.18724792148326,6.301652111922534,89.3719806763285,79.40263770364623,89.3719806763285,89.3719806763285,78.25219473264166,75.87516960651288,89.3719806763285,74.55292411793137,76.92964967245798,89.3719806763285,77.12953328146081,2.9261962846485803,79.95169082125604,72.809863724854,79.95169082125604,79.95169082125604,75.95712098009189,74.77064220183486,79.95169082125604,74.55292411793137,73.44632768361582,79.95169082125604
