,SMILES,False positives,True positives,FP - DVRL,TP - DVRL,Score - DVRL,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(OCc2cn3ccccc3n2)cc1,1.0,0.0,0.0,1.0,0.5586674809455872,0.0,0.0,83.0,0.0,1.0,0.0
1,Brc1ccc2c(c1)C(c1cccnc1)=NNC(c1cccs1)=N2,-0.0,1.0,0.0,1.0,0.5588107705116272,0.0,0.0,64.0,0.0,1.0,0.0
2,Brc1cnc2nc(SC/C=C/c3ccccc3)[nH]c2c1,-0.0,1.0,0.0,0.0,0.5404499769210815,0.0,0.0,62.0,0.0,1.0,0.0
3,C#CC[N+]1(CC#Cc2ccccc2)CCCCC1,1.0,0.0,0.0,0.0,0.5175233483314514,0.0,0.0,82.0,0.0,1.0,0.0
4,C(=N/N1CCN(Cc2cccc3ccccc23)CC1)\c1cccnc1,1.0,0.0,1.0,0.0,0.5142658352851868,0.0,0.0,62.0,1.0,-0.0,1.0
5,C/C(=C\C(=O)Nc1cscc1C)C(=O)O,1.0,0.0,0.0,0.0,0.5541791915893555,0.0,0.0,74.0,0.0,1.0,0.0
6,C/C(=N\NC(=O)c1cccc(N/N=C(\C)c2cc(O)ccc2O)c1)c1cc(O)ccc1O,1.0,0.0,0.0,0.0,0.5533514022827148,0.0,0.0,64.0,1.0,-0.0,1.0
7,C/C(=N\NC(=O)c1ccoc1C)c1cccc2ccccc12,1.0,0.0,0.0,0.0,0.5412684082984924,0.0,0.0,57.0,0.0,1.0,0.0
8,C/C(=N\OC(=O)c1ccc(F)cc1)c1ccc(F)c(F)c1,1.0,0.0,0.0,0.0,0.5481695532798767,1.0,0.0,54.0,0.0,1.0,0.0
9,C/C(CC(=O)Nc1cccc2c1CCCC2)=N\NC(=O)COc1ccccc1,1.0,0.0,1.0,0.0,0.5153956413269043,0.0,0.0,61.0,0.0,1.0,0.0
10,C/C(CCc1oc2c(Br)cc(Br)cc2c1-c1ccc(C)o1)=N\O,1.0,0.0,0.0,0.0,0.5426141023635864,0.0,0.0,80.0,0.0,1.0,0.0
11,C/C(Cl)=C/Cc1c(C)[nH]c2ccc(C)cc2c1=O,1.0,0.0,0.0,0.0,0.5572988390922546,0.0,0.0,58.0,0.0,1.0,0.0
12,C/C(N)=C(/C#N)C(=O)CSc1nnc(-c2ccc3c(c2)OCO3)o1,1.0,0.0,0.0,0.0,0.5289050340652466,0.0,0.0,76.0,0.0,1.0,0.0
13,C/C(N)=C(/C#N)C(=O)CSc1nnc(-c2ccccc2Br)o1,1.0,0.0,0.0,0.0,0.549421489238739,0.0,1.0,115.0,0.0,1.0,0.0
14,C/C1=C\[C@@H](C)C/C=C/[C@H]2[C@@H]3O[C@]3(C)[C@@H](C)[C@H]3[C@H](Cc4c[nH]c5ccccc45)NC(=O)[C@]32C(=O)/C=C/C(=O)[C@@H]1O,1.0,0.0,1.0,0.0,0.5156090259552002,0.0,1.0,111.0,0.0,1.0,0.0
15,C/C=C/c1c(F)c(F)c(Oc2ccc(C(=O)O)cc2)c(F)c1F,1.0,0.0,0.0,0.0,0.5370896458625793,0.0,1.0,125.0,0.0,1.0,0.0
16,C=C(C)CN(CC)c1nc(N)c2c(N)nc3c(c2c1C#N)CC(=O)N3C12CC3CC(CC(C3)C1)C2,1.0,0.0,1.0,0.0,0.5116587281227112,0.0,0.0,55.0,0.0,1.0,0.0
17,C=C(C)Cn1c(SCC(=O)O)nnc1-c1ccc(OC)cc1,1.0,0.0,0.0,1.0,0.5587045550346375,0.0,0.0,59.0,0.0,1.0,0.0
18,C=C(CCC(=O)c1ccccc1)C(=O)c1ccccc1,-0.0,1.0,0.0,0.0,0.5546423196792603,0.0,0.0,103.0,0.0,1.0,0.0
19,C=C1SC(=Nc2ccccc2Cl)N(C(=O)c2sc3ccccc3c2Cl)C1(C)C,1.0,0.0,0.0,0.0,0.5412110686302185,0.0,0.0,57.0,0.0,1.0,0.0
20,C=CCN(C(=O)CCC(=O)Nc1cc(C)on1)C(C(=O)NC(C)(C)C)c1cccc(OC)c1OC,1.0,0.0,1.0,0.0,0.5153375267982483,0.0,0.0,83.0,0.0,1.0,0.0
21,C=CCN(C(=O)CCc1ccccc1OC)c1nc(-c2ccc(S(C)(=O)=O)cc2)cs1,1.0,0.0,0.0,0.0,0.5545693635940552,0.0,0.0,58.0,0.0,1.0,0.0
22,C=CCN1C(=O)C(Cc2ccc(OCC)cc2)SC1=Nc1ccc(C(=O)O)cc1,1.0,0.0,0.0,0.0,0.5514057278633118,0.0,0.0,59.0,0.0,1.0,0.0
23,C=CCN1C(=O)NC(c2ccccc2)(C(F)(F)F)S/C1=C(\C#N)c1nnc(N2CCOCC2)n1-c1ccccc1,-0.0,1.0,0.0,0.0,0.526552140712738,0.0,0.0,83.0,0.0,1.0,0.0
24,C=CCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,1.0,0.0,0.0,0.0,0.5556117296218872,0.0,0.0,95.0,1.0,-0.0,1.0
25,C=CCNC(=O)CSc1nnc(C(CC)N(C)C)n1C1CCCCC1,1.0,0.0,0.0,0.0,0.542299747467041,0.0,0.0,67.0,0.0,1.0,0.0
26,C=CCNC(=O)c1c(N)n(Cc2ccco2)c2nc3ccccc3nc12,-0.0,1.0,0.0,0.0,0.5504782199859619,0.0,1.0,134.0,0.0,1.0,0.0
27,C=CCNC(=S)N/N=C/c1ccc(-c2ccc(Br)cc2)o1,-0.0,1.0,0.0,0.0,0.5252636075019836,0.0,0.0,78.0,0.0,1.0,0.0
28,C=CCNC(=S)NNC(=O)c1cccn(Cc2ccc(Cl)c(Cl)c2)c1=O,1.0,0.0,0.0,0.0,0.5554583668708801,0.0,0.0,81.0,0.0,1.0,0.0
29,C=CCNCCOCCSc1ccc(Cl)cc1,1.0,0.0,0.0,1.0,0.558649480342865,1.0,0.0,52.0,0.0,1.0,0.0
30,C=CCOc1ccc(-c2nc3c(c(=O)[nH]c(=O)n3Cc3ccccc3)n2CCCOC)cc1,1.0,0.0,0.0,0.0,0.556405782699585,0.0,0.0,63.0,0.0,1.0,0.0
31,C=CCSC1=C(C#N)C(c2cccc(OC)c2)CC(=O)N1,1.0,0.0,0.0,0.0,0.5548288226127625,1.0,0.0,51.0,0.0,1.0,0.0
32,C=CCSc1nc(-c2ccc(OC)cc2)c(C#N)c(=O)n1CC=C,-0.0,1.0,0.0,0.0,0.5574052333831787,0.0,0.0,65.0,1.0,-0.0,1.0
33,C=CC[C@@H]1Cc2c(Br)ccc(Br)c2[C@@H](CC=C)N1,1.0,0.0,0.0,1.0,0.5589883327484131,0.0,0.0,61.0,0.0,1.0,0.0
34,C=CC[n+]1c(-c2ccc(OC)cc2)csc1NNC(=O)Nc1ccccc1,1.0,0.0,1.0,0.0,0.5121058225631714,1.0,0.0,54.0,0.0,1.0,0.0
35,C=CCc1ccc(OCC(O)CO)c(OC)c1,1.0,0.0,0.0,0.0,0.5360397100448608,0.0,0.0,71.0,0.0,1.0,0.0
36,C=CCn1c(=O)c2c3c(sc2n2c(Nc4ccccc4)nnc12)CCCC3,1.0,0.0,0.0,0.0,0.5436087250709534,0.0,0.0,68.0,0.0,1.0,0.0
37,C=CCn1c(=O)c2ccccc2n2c(SCC(=O)Nc3sc(C)c(CC)c3C(=O)OCC)nnc12,1.0,0.0,0.0,0.0,0.555001974105835,1.0,0.0,54.0,0.0,1.0,0.0
38,C=CCn1c(C)cc(C(=O)CSc2nc(N)cc(N)n2)c1C,1.0,0.0,0.0,0.0,0.5549303293228149,0.0,0.0,66.0,0.0,1.0,0.0
39,C=CCn1c(CCNC(=O)c2ccc(Cl)c(Cl)c2)nnc1SCCOc1ccc(OC)cc1,-0.0,1.0,0.0,0.0,0.5540981888771057,0.0,1.0,129.0,0.0,1.0,0.0
40,C=CCn1c(COc2ccc(CC)cc2)nnc1SC/C(O)=C(\C#N)c1nc2ccccc2[nH]1,1.0,0.0,0.0,0.0,0.5531123876571655,0.0,0.0,80.0,0.0,1.0,0.0
41,C=CCn1c(O)c(C(CC)=Nc2ccc3c(c2)CCC3)c(=O)[nH]c1=O,1.0,0.0,0.0,0.0,0.5444441437721252,0.0,0.0,74.0,0.0,1.0,0.0
42,C=CCn1c(SCC(=O)NC2CCCC2)nc2scc(-c3ccco3)c2c1=O,1.0,0.0,0.0,1.0,0.558875560760498,0.0,0.0,61.0,0.0,1.0,0.0
43,C=CS(=O)c1sc(Cl)c(N2CCOCC2)c1[N+](=O)[O-],1.0,0.0,0.0,0.0,0.5544024705886841,0.0,0.0,103.0,0.0,1.0,0.0
44,CC#CC[N+](C)(C)CCCCCCCCCCCC,1.0,0.0,0.0,0.0,0.5313460230827332,0.0,0.0,89.0,0.0,1.0,0.0
