,SMILES,False positives,True positives,FP - DVRL,TP - DVRL,Score - DVRL,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1.[O-][Cl+3]([O-])([O-])[O-],-0.0,1.0,1.0,0.0,0.0,0.0,1.0,40.0,0.0,1.0,0.0
1,Brc1nnc2n1-c1ccccc1Sc1ccccc1-2,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,0.0
2,C#CCNC(=O)C1=C[C@@H](C2CC2)C[C@@H](OCc2ccc(CO)cc2)O1,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,0.0
3,C#CCNC(=O)C1=C[C@@H](c2ccc(C#C)cc2)C[C@@H](OCc2ccc(CO)cc2)O1,-0.0,1.0,0.0,1.0,1.0,0.0,0.0,30.0,0.0,1.0,0.0
4,C#Cc1cccc(C(=O)N2CCCC(Nc3cccc(F)c3)C2)c1,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0,0.0
5,C(=C/c1ccccc1)\CSc1nnc(-c2ccccn2)n1Cc1ccco1,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0,0.0
6,C(=C/c1ccccc1)\CSc1nnc(-c2cccnc2)n1Cc1ccco1,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,0.0
7,C/C=C(/C)C(=O)OC1Cc2c(ccc3ccc(=O)oc23)OC1(C)C,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,0.0
8,C/C=C/c1ccc(OCC(O)CNCCc2ccc(OC)cc2)c(OC)c1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,0.0,1.0,0.0
9,C/C=C/c1ccc(OCCCCN(C)Cc2ccccc2)c(OC)c1,-0.0,1.0,1.0,0.0,0.0,0.0,1.0,45.0,0.0,1.0,0.0
10,C/C=C/c1ccc(OCCOCCNCc2ccccc2)c(OC)c1,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,0.0
11,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0,0.0
