,SMILES,False positives,True positives,FP - knn,TP - knn,Score - knn,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(-c2csc(/N=C/N3CCCC3)n2)cc1,-0.0,1.0,0.0,0.0,0.00011323304541659455,0.0,0.0,31.0,0.0,1.0,0.0
1,Brc1ccc(-c2noc(COc3ccc4ccccc4c3)n2)o1,1.0,0.0,0.0,0.0,0.0003121477851234259,0.0,0.0,29.0,0.0,1.0,0.0
2,Brc1ccc(C2=Nn3c(nnc3-c3n[nH]c4c3CCC4)SC2)cc1,1.0,0.0,0.0,0.0,0.0003822596409620263,0.0,0.0,21.0,0.0,1.0,0.0
3,C#CCn1c(=NC(=O)c2ccc(S(=O)(=O)N3CCCc4ccccc43)cc2)sc2cc(S(N)(=O)=O)ccc21,1.0,0.0,0.0,0.0,2.363664631246581e-05,0.0,0.0,24.0,0.0,1.0,0.0
4,C#CCn1c(S(=O)(=O)Cc2ccc(OC)cc2)nc(-c2ccccc2)c1-c1ccccc1,1.0,0.0,0.0,0.0,2.3807592001771007e-05,1.0,0.0,20.0,0.0,1.0,0.0
5,C(=C/c1ccccc1)\CN1CCN(c2ncnc3c2oc2ccccc23)CC1,1.0,0.0,0.0,0.0,0.000872035465837151,0.0,0.0,25.0,0.0,1.0,0.0
6,C/C(=N\NC(=S)NCc1ccccc1)c1ccc(Cl)cc1,1.0,0.0,0.0,0.0,9.742079578054396e-05,0.0,0.0,21.0,0.0,1.0,0.0
7,C/C(=N\Nc1nc(C)c(C)s1)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,0.0,0.0,3.0032883605141068e-05,0.0,0.0,37.0,0.0,1.0,0.0
8,C/C(=N\Nc1nc2ccccc2[nH]1)c1cc2ccccc2o1,1.0,0.0,0.0,0.0,0.00011159070959938847,0.0,0.0,33.0,0.0,1.0,0.0
9,C/C(=N\Nc1nc2ccccc2s1)c1ccc(Br)s1,1.0,0.0,0.0,0.0,7.022805783424151e-05,0.0,0.0,30.0,0.0,1.0,0.0
10,C/C1=C\[C@@H](C)C/C=C/[C@H]2[C@@H]3O[C@]3(C)[C@@H](C)[C@H]3[C@H](Cc4c[nH]c5ccccc45)NC(=O)[C@]32C(=O)/C=C/C(=O)[C@@H]1O,-0.0,1.0,0.0,0.0,2.3355912903867693e-05,0.0,0.0,39.0,0.0,1.0,0.0
11,C/C=C(/C)C(=O)OC1c2c(ccc3ccc(=O)oc23)OC(C)(C)C1OC(=O)/C(C)=C\C,1.0,0.0,0.0,0.0,6.362650805874924e-05,0.0,0.0,21.0,0.0,1.0,0.0
12,C/C=C(/C)C(=O)O[C@@H]1c2c(ccc3ccc(=O)oc23)OC(C)(C)[C@@H]1OC(=O)/C(C)=C\C,1.0,0.0,0.0,0.0,6.362650805874924e-05,0.0,0.0,30.0,0.0,1.0,0.0
13,C/C=C/c1ccccc1OCc1ccc(C(=O)O)o1,1.0,0.0,1.0,0.0,-0.00014937875786025326,0.0,0.0,22.0,0.0,1.0,0.0
14,C1=C(c2ccccc2)Nc2ccccc2N=C1c1ccccc1,1.0,0.0,0.0,0.0,9.935876830752954e-05,0.0,0.0,24.0,0.0,1.0,0.0
15,C=C(C)CNC(=S)NN=C1c2ccccc2-c2ccccc21,-0.0,1.0,0.0,0.0,0.00021020211936062703,0.0,0.0,32.0,0.0,1.0,0.0
16,C=C(C)CSc1nnc(-c2cccc(S(=O)(=O)N(C)C)c2)n1-c1cc(OC)ccc1OC,1.0,0.0,1.0,0.0,-0.00026657106183633646,0.0,0.0,26.0,0.0,1.0,0.0
17,C=C(Cl)COc1ccc2c(CCCC)cc(=O)oc2c1,1.0,0.0,0.0,0.0,-1.5156218970875341e-06,0.0,0.0,21.0,0.0,1.0,0.0
18,C=CCN(C(=O)CSc1nc2c(sc3ccccc32)c(=O)n1CCN(CC)CC)c1ccccc1,-0.0,1.0,0.0,0.0,0.0001449331613927649,0.0,0.0,23.0,0.0,1.0,0.0
19,C=CCNC(=O)c1onc(CSc2ccc(Cl)cc2)c1C(=O)O,1.0,0.0,1.0,0.0,-0.00020552428117405404,0.0,0.0,22.0,0.0,1.0,0.0
20,C=CCNC(=S)N/N=C/c1ccc(C(C)(C)C)cc1,1.0,0.0,0.0,0.0,0.0001005450271690233,0.0,0.0,22.0,0.0,1.0,0.0
21,C=CCNCC(=O)N1N=C(c2ccc3ccccc3c2)CC1c1ccc(OC)cc1,-0.0,1.0,0.0,0.0,0.00044093255363033006,0.0,0.0,31.0,0.0,1.0,0.0
22,C=CCNCCCCOc1c(Cl)cc(C)cc1Br,1.0,0.0,0.0,0.0,0.00012566299333497335,1.0,0.0,20.0,0.0,1.0,0.0
23,C=CCOc1ccc(Br)cc1/C=N/O,1.0,0.0,1.0,0.0,-0.0004168366230099791,0.0,0.0,24.0,0.0,1.0,0.0
24,C=CCOc1ccccc1CN1CCC(CO)(CCOc2ccccc2)CC1,1.0,0.0,0.0,0.0,3.6945609334746703e-06,0.0,0.0,26.0,0.0,1.0,0.0
25,C=CCSc1nnc(-c2cc3c(s2)-c2ccccc2CC3)o1,1.0,0.0,0.0,0.0,0.00040877198766449375,1.0,0.0,20.0,0.0,1.0,0.0
26,C=CCc1ccccc1OCCSc1nc2ccc([N+](=O)[O-])cc2s1,1.0,0.0,0.0,0.0,8.541958244173092e-05,1.0,0.0,20.0,0.0,1.0,0.0
27,C=CCn1c(C)cc(C(=O)CSc2nnc(Cc3ccccc3)o2)c1C,1.0,0.0,0.0,0.0,0.0003376085091795099,0.0,0.0,21.0,0.0,1.0,0.0
