,SMILES,False positives,True positives,FP - knn,TP - knn,Score - knn,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H](N)CO)nn3)CC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H](N)CC(C)C)nn3)CC2)n1,1.0,0.0,0.0,1.0,-1.3872919181032124e-07,0.0,0.0,7.634434149045692,0.0,1.0,0.0
1,C/C(=N\NC(=S)NCCc1ccccc1)c1ccc(O)cc1O,1.0,0.0,0.0,0.0,-0.001263543017157028,0.0,0.0,6.660331036667458,1.0,-0.0,1.0
2,C/C(=N\NC(=S)NCCc1ccccc1)c1cccc(Br)c1,1.0,0.0,0.0,0.0,-0.0001923914595539889,0.0,0.0,6.200997861724876,0.0,1.0,0.0
3,C/C(=N\NC(=S)Nc1cccc(C)c1)c1cc2ccccc2o1,1.0,0.0,0.0,0.0,-0.00028401187214281676,0.0,0.0,8.941157836382356,0.0,1.0,0.0
4,C/C(=N\NC(=S)Nc1cccc(C)c1)c1ccccc1,1.0,0.0,0.0,1.0,7.424321311345458e-05,0.0,0.0,6.288112774213986,0.0,1.0,0.0
5,C/C(O)=c1/c(=O)nc2cccc3c2=c1c1ccccc1c3=O,1.0,0.0,0.0,0.0,-0.0011518201173218539,0.0,0.0,12.013938385998255,0.0,1.0,0.0
6,C1CC2CN(c3nc4nonc4nc3N3CCSCC3)CCN2C1,1.0,0.0,0.0,0.0,-7.33449339650641e-05,0.0,1.0,15.799477310525065,0.0,1.0,0.0
7,C=CCN(CC=C)C(=S)Nc1ccc2nsnc2c1,1.0,0.0,0.0,0.0,-0.0007601706573935235,0.0,1.0,15.767799160529025,0.0,1.0,0.0
8,C=CCN1C(=O)/C(=C2/Sc3ccccc3N2CCCS(=O)(=O)O)SC1=S.c1ccncc1,1.0,0.0,0.0,1.0,-4.400111306032637e-05,0.0,0.0,7.737388136532826,1.0,-0.0,1.0
9,C=CCN1C(=O)/C(=C\c2ccc(Cl)cc2)N=C1SCC(=O)NC1CCCCC1,1.0,0.0,0.0,0.0,-0.00018413289283563568,0.0,0.0,6.85831947414271,0.0,1.0,0.0
10,C=CCNC(=S)N/N=C(\C)c1cccc(OC)c1,1.0,0.0,0.0,0.0,-0.0006279906594222589,0.0,0.0,6.422744911697159,0.0,1.0,0.0
11,C=CCNC(=S)NS(=O)(=O)c1cccs1,1.0,0.0,0.0,1.0,0.00021899128080156638,0.0,0.0,9.97861724875267,0.0,1.0,0.0
12,C=CCSC1=C(C#N)C(c2ccccc2OCC)C(C#N)C(=O)N1,1.0,0.0,0.0,0.0,-0.00010114319090107682,0.0,0.0,7.365169874079354,1.0,-0.0,1.0
13,C=CCSc1nc2c(c(=O)[nH]c(=O)n2C)n1C(C)C,1.0,0.0,0.0,0.0,-0.0012326886788564557,0.0,0.0,7.515641086560542,0.0,1.0,0.0
14,C=CCn1c(N)c(C(=O)OCC)sc1=S,1.0,0.0,0.0,0.0,-0.0001856687791756886,0.0,0.0,13.352340223330955,0.0,1.0,0.0
15,C=CCn1c(O)c(N=NC(=S)Nc2ccccc2F)c2cc(S(=O)(=O)N3CCOCC3)ccc21,1.0,0.0,0.0,1.0,-4.677824489844771e-05,0.0,0.0,7.8086639740239185,1.0,-0.0,1.0
16,C=CCn1c(O)c(N=NC(=S)Nc2ccccc2F)c2ccccc21,1.0,0.0,0.0,0.0,-0.0004230237171163858,0.0,0.0,5.741664686782288,1.0,-0.0,1.0
17,C=CCn1c(SCC(=O)c2cc(C)n(C(C)COC)c2C)nc2sc(C)c(C)c2c1=O,1.0,0.0,0.0,0.0,-0.00011953339019983414,0.0,0.0,6.430664449196168,0.0,1.0,0.0
