,SMILES,False positives,True positives,FP - knn,TP - knn,Score - knn,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C#CC(C)(C)NC(=O)c1ccc(-c2ccccc2F)cc1,1.0,0.0,0.0,0.0,4.8948881581160347e-05,0.0,0.0,43.0,0.0,1.0,0.0
1,C#CCNC(=O)C[C@@H]1C[C@@]2(C(=O)OCC)CCC=C2N(Cc2ccc(Cl)cc2Cl)C1=O,1.0,0.0,0.0,0.0,4.720985782833575e-05,0.0,0.0,76.0,0.0,1.0,0.0
2,C#CCOc1ccc(CNC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)cc1,1.0,0.0,0.0,0.0,4.7703421651656455e-05,0.0,0.0,38.0,0.0,1.0,0.0
3,C(=C/c1ccc(C2[C@H]3CNC[C@@H]2N3Cc2ccccn2)cc1)\c1ccccc1,-0.0,1.0,1.0,0.0,-0.00012796376743841222,0.0,0.0,49.0,0.0,1.0,0.0
4,C/C(=N/NC(=O)c1cc(O)c(O)c(O)c1)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,0.0,0.0,0.0006439373401219708,0.0,0.0,74.0,1.0,-0.0,1.0
5,C/C(=N\NC(=O)c1cc(O)ccc1O)c1cccc(NC(=O)c2ccc(Cl)cc2)c1,-0.0,1.0,0.0,0.0,0.0006141946011434071,0.0,0.0,53.0,0.0,1.0,0.0
6,C/C(=N\NC(=O)c1cc(O)ccc1O)c1cccc(NC(=O)c2cccc(Cl)c2)c1,-0.0,1.0,0.0,0.0,0.0006136850099929414,0.0,0.0,39.0,0.0,1.0,0.0
7,C/C(=N\NC(=O)c1ccccc1O)C1CC1,1.0,0.0,0.0,1.0,0.0022225597577046354,0.0,0.0,41.0,0.0,1.0,0.0
8,C/C(=N\NC(=O)c1ccccc1O)c1ccc(NC(=O)Cc2ccccc2)cc1,1.0,0.0,0.0,1.0,0.001038755112287702,1.0,0.0,36.0,0.0,1.0,0.0
9,C/C(=N\Nc1ccc(C(=O)O)cc1)c1ccc(Br)cc1,-0.0,1.0,0.0,1.0,0.0010881433736358304,0.0,0.0,43.0,0.0,1.0,0.0
10,C/C(CC(=O)N1CCCC1)=N\NC(=O)c1cc2ccccc2cc1O,-0.0,1.0,0.0,1.0,0.00127376093232035,0.0,0.0,38.0,1.0,-0.0,1.0
11,C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1cccc(C)c1O,1.0,0.0,0.0,0.0,0.0009902835971483592,0.0,0.0,53.0,0.0,1.0,0.0
12,C/C=C/c1ccc([C@@H]2[C@H](CO)N(C(=O)C3CCCC3)C23CN(S(C)(=O)=O)C3)cc1,1.0,0.0,0.0,0.0,8.585193342675434e-05,0.0,0.0,57.0,0.0,1.0,0.0
13,C=C1[C@H](C)CN[C@H]1CCO,1.0,0.0,0.0,0.0,0.0002687011021703785,0.0,0.0,42.0,0.0,1.0,0.0
14,C=CCC(NCc1ccccc1)c1ccc(Cl)cc1,1.0,0.0,0.0,0.0,0.0003858423945128506,0.0,0.0,53.0,0.0,1.0,0.0
15,C=CCNC(=O)COc1ccccc1C#N,1.0,0.0,0.0,0.0,0.0006739218907294048,0.0,0.0,52.0,0.0,1.0,0.0
16,C=CCNc1nc(Nc2cc(Cl)ccc2OC)nc(OC)n1,1.0,0.0,0.0,0.0,0.00030534497611454773,0.0,0.0,39.0,0.0,1.0,0.0
17,C=CCOc1c(OC)cc(/C=N/Nc2cccc(C(=O)O)c2)c(Br)c1Br,-0.0,1.0,0.0,0.0,0.0001315306616624882,0.0,0.0,42.0,0.0,1.0,0.0
18,C=CCOc1ccc(C(c2c(C(=O)O)[nH]c3ccccc23)c2c(C(=O)O)[nH]c3ccccc23)cc1,-0.0,1.0,1.0,0.0,1.4164265489536012e-05,0.0,0.0,47.0,1.0,-0.0,1.0
19,C=CCOc1cccn2c(N(C=O)Cc3ccccc3)c(CC)nc12,1.0,0.0,0.0,0.0,0.0005238972674326993,1.0,0.0,36.0,0.0,1.0,0.0
20,C=CCc1cc(/C=C/c2nc(O)c([N+](=O)[O-])c(=O)[nH]2)cc(OC)c1O,-0.0,1.0,0.0,0.0,0.000699919751347151,0.0,0.0,39.0,0.0,1.0,0.0
21,CC#CC#Cc1cccc(=O)o1,-0.0,1.0,0.0,0.0,0.00014941795741960537,0.0,0.0,53.0,0.0,1.0,0.0
22,CC(=O)N(C)c1ccc(NC(=O)Cc2cccs2)cc1,-0.0,1.0,0.0,0.0,0.0008732722378417113,1.0,0.0,37.0,0.0,1.0,0.0
23,CC(=O)N1CCN(c2ccc(N)cc2)CC1,-0.0,1.0,0.0,0.0,0.00098675329422275,1.0,0.0,35.0,1.0,-0.0,1.0
24,CC(=O)N1CCOc2ccc(S(=O)(=O)NCc3ccc(F)cc3)cc21,-0.0,1.0,1.0,0.0,-0.0001432964673704403,0.0,0.0,40.0,0.0,1.0,0.0
25,CC(=O)N1CCc2c(sc(NC(=O)C3CCCCC3)c2C(N)=O)C1,1.0,0.0,0.0,0.0,2.5661904865680913e-05,0.0,0.0,74.0,0.0,1.0,0.0
26,CC(=O)N1CCc2c(sc(NC(=O)Cc3ccccc3)c2C(N)=O)C1,1.0,0.0,1.0,0.0,-0.0004591470246533538,0.0,0.0,66.0,0.0,1.0,0.0
27,CC(=O)N1CCc2c(sc(NC(=O)c3ccc([N+](=O)[O-])o3)c2C#N)C1,-0.0,1.0,0.0,0.0,0.0002280098911839115,1.0,0.0,37.0,0.0,1.0,0.0
28,CC(=O)N1CCc2cc(Br)cc(S(=O)(=O)N3CCC(C(=O)O)CC3)c21,-0.0,1.0,0.0,0.0,4.419468931764429e-05,0.0,0.0,39.0,0.0,1.0,0.0
29,CC(=O)N1c2ccc(S(=O)(=O)N(C)CC(=O)NCc3ccc(C)cc3)cc2CC1C,1.0,0.0,0.0,0.0,9.608528489479795e-05,0.0,0.0,71.0,0.0,1.0,0.0
30,CC(=O)NC1C(=O)N(CCN2CCOCC2)c2ccc(F)cc21,-0.0,1.0,1.0,0.0,-0.001318187570452506,0.0,0.0,51.0,0.0,1.0,0.0
31,CC(=O)Nc1ccc(NC(=O)COC(=O)c2ccc([N+](=O)[O-])o2)cc1,1.0,0.0,0.0,1.0,0.00474647184548599,0.0,0.0,53.0,0.0,1.0,0.0
32,CC(=O)Nc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2ccc(C(=O)O)c(O)c2)cc1,-0.0,1.0,0.0,0.0,8.964781278167678e-05,0.0,0.0,72.0,0.0,1.0,0.0
33,CC(=O)Nc1cccc(NC(=O)c2cc([N+](=O)[O-])ccc2N2CCCCC2)c1,1.0,0.0,0.0,0.0,5.5715431889714026e-05,1.0,0.0,35.0,1.0,-0.0,1.0
34,CC(=O)Nc1cccc2cc(S(=O)(=O)O)ccc12,-0.0,1.0,0.0,1.0,0.0024406420737694474,0.0,0.0,43.0,0.0,1.0,0.0
35,CC(=O)c1ccc(S(=O)(=O)N2CCN(C(=O)c3ccc(-n4cncn4)c([N+](=O)[O-])c3)CC2)cc1,1.0,0.0,0.0,0.0,7.07593345121199e-05,0.0,0.0,53.0,0.0,1.0,0.0
36,CC(C)(C)N(Cc1ccccc1)C(=O)COC(=O)c1ccc([N+](=O)[O-])o1,1.0,0.0,0.0,1.0,0.002007565341638076,0.0,0.0,45.0,0.0,1.0,0.0
37,CC(C)(C)NC(=O)C(=O)NN=C1CCCCCCCCCCC1,1.0,0.0,0.0,0.0,0.00014971575534260874,0.0,0.0,60.0,0.0,1.0,0.0
38,CC(C)(C)NC(=O)C1CCN(S(=O)(=O)c2cccc3nsnc23)CC1,1.0,0.0,1.0,0.0,-0.0012991029906579358,0.0,0.0,55.0,0.0,1.0,0.0
39,CC(C)(C)c1ccc(C(=O)Nc2ccc(S(=O)(=O)Nc3cnc4ccccc4n3)cc2)cc1,1.0,0.0,0.0,0.0,8.789232810539583e-05,0.0,0.0,60.0,0.0,1.0,0.0
40,CC(C)(C)c1ccc(C(=O)Nn2c(CCC(=O)O)ccc2-c2cccs2)cc1,-0.0,1.0,0.0,0.0,8.600065298513834e-05,0.0,0.0,39.0,0.0,1.0,0.0
41,CC(C)(O)c1cn([C@@H]2C[C@@H]3O[C@@H](CO)CC[C@@H]3O[C@@H]2CCc2ccc(-c3ccncc3)cc2)nn1,1.0,0.0,0.0,0.0,5.8291497796660204e-05,0.0,0.0,52.0,0.0,1.0,0.0
42,CC(C)=NNc1cc([N+](=O)[O-])cc2c1C(=O)N(C)S2=O,1.0,0.0,0.0,0.0,0.00033975044256252194,0.0,0.0,40.0,0.0,1.0,0.0
43,CC(C)C(=O)C1=Cc2cccc([N+](=O)[O-])c2OC1N1CCOCC1,-0.0,1.0,0.0,0.0,0.0001728793509374914,1.0,0.0,37.0,0.0,1.0,0.0
44,CC(C)C(=O)N1CCN(c2ccccc2NC(=O)c2cccc3ccccc23)CC1,1.0,0.0,0.0,0.0,0.0002517867887522592,0.0,0.0,60.0,0.0,1.0,0.0
45,CC(C)CCn1c(=O)c2ccccc2n2c(CCC(=O)NCC3CCCO3)nnc12,1.0,0.0,0.0,0.0,0.00024065461590463773,0.0,0.0,38.0,0.0,1.0,0.0
46,CC(C)CN1C(=O)NC2(CCCc3ccccc32)C1=O,-0.0,1.0,0.0,0.0,0.0004438869472387312,0.0,0.0,40.0,0.0,1.0,0.0
47,CC(C)CN1CCC(CN2CCNC(=O)C2=O)CC1,1.0,0.0,1.0,0.0,-2.31612584050095e-05,1.0,0.0,35.0,0.0,1.0,0.0
48,CC(C)CNC(=O)C1(C)CCCCCN1C(=O)c1cccnc1,1.0,0.0,0.0,0.0,0.00019646555690912444,0.0,0.0,55.0,0.0,1.0,0.0
49,CC(C)CNC(=O)C1(C)CCCN1C(=O)Cc1cccc2ccccc12,1.0,0.0,0.0,0.0,5.882553844902188e-05,0.0,0.0,54.0,0.0,1.0,0.0
50,CC(C)CNC(=O)c1cccc2c(-c3ccc(F)c(F)c3)coc12,1.0,0.0,0.0,0.0,0.0005890916444788968,0.0,0.0,54.0,0.0,1.0,0.0
51,CC(C)N=C(Nc1cccnc1)c1ccccc1,1.0,0.0,0.0,0.0,0.00012920071813548632,0.0,0.0,38.0,0.0,1.0,0.0
52,CC(C)NC(=O)C1(C)CCN1C(=O)c1ccc2c(c1)OCO2,1.0,0.0,0.0,0.0,0.0001983653642656823,0.0,0.0,70.0,0.0,1.0,0.0
53,CC(C)NC(=O)N1[C@H](CO)[C@@H](c2ccccc2)C12CN(C(=O)Cc1cccnc1)C2,1.0,0.0,0.0,0.0,7.163500870161061e-05,0.0,0.0,42.0,0.0,1.0,0.0
54,CC(C)OCCCNC(=O)CN1C(=O)COc2ccc(S(=O)(=O)N3CCCCCC3)cc21,1.0,0.0,0.0,0.0,9.219740300173979e-05,1.0,0.0,36.0,0.0,1.0,0.0
55,CC(C)OCCCNC(=O)c1c(N)n(CC2CCCO2)c2nc3ccccc3nc12,1.0,0.0,0.0,0.0,0.00044008943197780374,0.0,0.0,55.0,0.0,1.0,0.0
56,CC(C)c1ccc(C(=O)N2CCCC(c3cc(C(=O)Nc4ccccc4Cl)no3)C2)cc1,1.0,0.0,0.0,0.0,9.237516124537864e-05,0.0,0.0,57.0,0.0,1.0,0.0
57,CC(C)c1ccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)cc1,-0.0,1.0,0.0,0.0,0.00015695619553890685,0.0,0.0,66.0,0.0,1.0,0.0
58,CC(CN1CCCCC1)C(=O)NNC(=O)C12CC3CC(CC(C3)C1)C2,1.0,0.0,0.0,0.0,4.812761158804236e-05,0.0,0.0,42.0,0.0,1.0,0.0
59,CC(CNC(=O)c1ccc(OC2CCN(Cc3ccccn3)CC2)cc1)c1ccccc1,1.0,0.0,1.0,0.0,-0.001225382934979618,0.0,0.0,45.0,0.0,1.0,0.0
60,CC(CNc1ccccc1O)C(=O)O,-0.0,1.0,0.0,1.0,0.0015826909773242607,0.0,0.0,56.0,0.0,1.0,0.0
61,CC(Cc1ccc(O)cc1)NCC(O)c1ccc(O)c(O)c1,-0.0,1.0,0.0,1.0,0.0011617662917266243,0.0,0.0,72.0,1.0,-0.0,1.0
62,CC(N)C(=O)NC(C(=O)NC(C)C(=O)Nc1cccc2ccccc12)C(C)C,-0.0,1.0,0.0,0.0,0.00017247733075935177,0.0,0.0,44.0,0.0,1.0,0.0
63,CC(N)c1ccccc1.O=C(O)C1C=Cc2ccccc2N1C(=O)c1ccccc1,1.0,0.0,0.0,0.0,5.7490160966259534e-05,0.0,0.0,39.0,0.0,1.0,0.0
64,CC(NC(=O)CN1c2cccc3cccc(c23)S1(=O)=O)c1ccc(S(N)(=O)=O)cc1,-0.0,1.0,0.0,0.0,0.0002476547507644999,0.0,0.0,55.0,0.0,1.0,0.0
65,CC(Nc1ccc2ccccc2c1)C(=O)N/N=C/c1ccncc1,1.0,0.0,0.0,1.0,0.00510642373935065,0.0,0.0,60.0,0.0,1.0,0.0
66,CC(OC(=O)c1n[nH]c2ccccc12)C(=O)Nc1ccccc1[N+](=O)[O-],1.0,0.0,0.0,1.0,0.0010526843245823455,1.0,0.0,35.0,0.0,1.0,0.0
67,CC1(C)C(=O)Nc2ccccc2N1C(=O)COC(=O)c1ccc([N+](=O)[O-])o1,1.0,0.0,0.0,1.0,0.0014905406937624468,0.0,0.0,47.0,0.0,1.0,0.0
68,CC1(C)COC(/C=C/c2cccc([N+](=O)[O-])c2)=N1,1.0,0.0,0.0,0.0,0.00020141301798122545,0.0,0.0,46.0,0.0,1.0,0.0
69,CC1(CC(=O)N/N=C/c2cc([N+](=O)[O-])c(O)cc2O)OCCO1,-0.0,1.0,0.0,0.0,0.0007634912315467752,0.0,0.0,68.0,1.0,-0.0,1.0
70,CC1(Oc2cnc(Cl)c3ccccc23)CCN(Cc2ccc(OC(F)(F)F)cc2)C1,1.0,0.0,0.0,0.0,9.92469957604636e-05,0.0,0.0,45.0,0.0,1.0,0.0
71,CC1=CCC(C(=O)O)C(C(=O)NC2CCCCC2)C1,-0.0,1.0,0.0,0.0,0.0001707988942439971,0.0,0.0,40.0,0.0,1.0,0.0
72,CC1=CN2C(=N)/C(=C/c3ccc([N+](=O)[O-])o3)C(=O)N=C2S1,-0.0,1.0,0.0,0.0,7.23547312846613e-05,1.0,0.0,37.0,1.0,-0.0,1.0
