,SMILES,False positives,True positives,FP - knn,TP - knn,Score - knn,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1.[O-][Cl+3]([O-])([O-])[O-],-0.0,1.0,0.0,0.0,0.0014714660882201372,0.0,1.0,40.0,0.0,1.0,0.0
1,Brc1nnc2n1-c1ccccc1Sc1ccccc1-2,-0.0,1.0,0.0,0.0,0.0002665511126149924,0.0,0.0,30.0,0.0,1.0,0.0
2,C#CCNC(=O)C1=C[C@@H](C2CC2)C[C@@H](OCc2ccc(CO)cc2)O1,-0.0,1.0,0.0,0.0,0.0006335822133135166,0.0,0.0,30.0,0.0,1.0,0.0
3,C#CCNC(=O)C1=C[C@@H](c2ccc(C#C)cc2)C[C@@H](OCc2ccc(CO)cc2)O1,-0.0,1.0,0.0,0.0,0.0006328353242236767,0.0,0.0,30.0,0.0,1.0,0.0
4,C#Cc1cccc(C(=O)N2CCCC(Nc3cccc(F)c3)C2)c1,-0.0,1.0,0.0,0.0,0.00030725763831751225,0.0,0.0,35.0,0.0,1.0,0.0
5,C(=C/c1ccccc1)\CSc1nnc(-c2ccccn2)n1Cc1ccco1,-0.0,1.0,0.0,0.0,0.0005625115709255174,0.0,0.0,35.0,0.0,1.0,0.0
6,C(=C/c1ccccc1)\CSc1nnc(-c2cccnc2)n1Cc1ccco1,-0.0,1.0,0.0,0.0,0.000504652791342593,0.0,0.0,30.0,0.0,1.0,0.0
7,C/C=C(/C)C(=O)OC1Cc2c(ccc3ccc(=O)oc23)OC1(C)C,-0.0,1.0,0.0,0.0,0.00021878716555054185,0.0,0.0,30.0,0.0,1.0,0.0
8,C/C=C/c1ccc(OCC(O)CNCCc2ccc(OC)cc2)c(OC)c1,1.0,0.0,0.0,0.0,0.0003373463128101538,0.0,0.0,25.0,0.0,1.0,0.0
9,C/C=C/c1ccc(OCCCCN(C)Cc2ccccc2)c(OC)c1,-0.0,1.0,0.0,0.0,0.0013426158026548975,0.0,1.0,45.0,0.0,1.0,0.0
10,C/C=C/c1ccc(OCCOCCNCc2ccccc2)c(OC)c1,-0.0,1.0,1.0,0.0,-0.00013534114362550404,0.0,0.0,30.0,0.0,1.0,0.0
11,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,-0.0,1.0,0.0,0.0,0.00019855020337648468,0.0,0.0,35.0,0.0,1.0,0.0
12,C=CCN(c1nc(C)cc(OC)n1)S(=O)(=O)c1ccccc1,-0.0,1.0,0.0,0.0,0.0005516674964785559,0.0,0.0,35.0,0.0,1.0,0.0
13,C=CCNC(=S)/N=c1/ccccn1Cc1ccccc1,-0.0,1.0,0.0,0.0,0.0006147578955021176,0.0,0.0,30.0,0.0,1.0,0.0
14,C=CCNCCCCOc1c(Cl)cc(C)cc1Br,-0.0,1.0,0.0,0.0,0.00045754462231359594,0.0,1.0,45.0,0.0,1.0,0.0
15,C=CCNc1nc(NCc2ccccc2)c(C#N)c2c1CN(C)CC2,-0.0,1.0,0.0,0.0,0.0002472509595061203,0.0,0.0,30.0,0.0,1.0,0.0
16,C=CCc1cc(Cl)ccc1OCCOCCNC(C)CC,1.0,0.0,0.0,0.0,0.0005825562331134215,0.0,0.0,35.0,0.0,1.0,0.0
17,C=CCc1cc(S(=O)(=O)c2ccc(O)c(CC=C)c2)ccc1O,-0.0,1.0,0.0,0.0,0.00022403888778598253,0.0,0.0,30.0,0.0,1.0,0.0
18,C=CCc1ccc(OCC(O)CN2CCc3ccccc3C2)c(OC)c1,-0.0,1.0,0.0,0.0,0.001274002284828658,0.0,0.0,25.0,0.0,1.0,0.0
19,C=CCc1ccc(OCCCNCc2ccccc2)c(OC)c1,-0.0,1.0,0.0,0.0,0.0012016890452560697,0.0,1.0,40.0,0.0,1.0,0.0
20,C=CCc1ccccc1OCCNCc1ccccc1,-0.0,1.0,0.0,1.0,0.0017748748520064678,0.0,1.0,40.0,0.0,1.0,0.0
21,C=CCn1c(SC/C=C/c2ccccc2)nnc1-c1sc(N)nc1C,-0.0,1.0,0.0,0.0,0.00024298198084064668,0.0,0.0,25.0,0.0,1.0,0.0
