,SMILES,False positives,True positives,FP - knn,TP - knn,Score - knn,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(CNc2ccc3ncccc3c2)cc1,1.0,0.0,0.0,0.0,0.00015279996989433267,0.0,0.0,39.0,0.0,1.0,0.0
1,Brc1ccc(Cn2c(-c3ccc(Br)o3)nc3ccccc32)o1,-0.0,1.0,1.0,0.0,0.00010101502067420438,1.0,0.0,30.0,0.0,1.0,0.0
2,C#CC(=O)N(c1cc(OC)ccc1OC)C(C(=O)NC1CCCC1)c1cccs1,-0.0,1.0,0.0,1.0,0.00234939737551168,1.0,0.0,31.0,0.0,1.0,0.0
3,C#CCOC(=O)c1ccccc1C(=O)n1nnc2ccccc21,-0.0,1.0,0.0,0.0,0.0015639736448065378,0.0,0.0,51.0,0.0,1.0,0.0
4,C#CCOc1ccc(/C=C2/C(=O)N(c3cccc(C(=O)O)c3)N=C2C)cc1OC,-0.0,1.0,0.0,0.0,0.000672215491369639,0.0,0.0,71.0,1.0,-0.0,1.0
5,C(=N/Nc1nncc2ccccc12)\c1ccccn1,-0.0,1.0,0.0,0.0,0.00026469825646035014,0.0,0.0,38.0,0.0,1.0,0.0
6,C/C(=C/CCC(C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3)C(=O)O,-0.0,1.0,1.0,0.0,7.973949172048619e-05,0.0,0.0,42.0,0.0,1.0,0.0
7,C/C(=C\c1ccco1)C1C(C#N)=C(N)Oc2n[nH]c(-c3ccccc3)c21,-0.0,1.0,0.0,0.0,0.0004289959186898382,0.0,0.0,77.0,0.0,1.0,0.0
8,C/C(=N/NC(=O)Cc1cc(=O)[nH][nH]1)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,0.0,1.0,0.005725869489188486,0.0,1.0,84.0,0.0,1.0,0.0
9,C/C(=N\NC(=O)CC#N)c1cc2ccccc2oc1=O,-0.0,1.0,0.0,0.0,0.0007459814615291214,0.0,1.0,86.0,0.0,1.0,0.0
10,C/C(=N\NC(=O)Cc1cc(=O)[nH][nH]1)c1cccc([N+](=O)[O-])c1,-0.0,1.0,0.0,1.0,0.005279887889593978,0.0,1.0,88.0,0.0,1.0,0.0
