,SMILES,False positives,True positives,FP - knn,TP - knn,Score - knn,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1cc(-c2ccccc2)nc(-c2ccccc2)n1,1.0,0.0,0.0,0.0,-0.00011381199107551592,1.0,0.0,51.0,0.0,1.0,0.0
1,Brc1cc2c(cc1C1Nc3ccccc3C3C=CCC31)OCO2,-0.0,1.0,0.0,1.0,-3.424499910172151e-05,0.0,0.0,64.0,1.0,-0.0,1.0
2,Brc1ccc(-c2cn3c(n2)CCc2ccc4cccnc4c2-3)cc1,-0.0,1.0,0.0,0.0,-0.00011256744943745387,0.0,0.0,76.0,0.0,1.0,0.0
3,Brc1ccc(C2C3=C(Nc4ncnn42)c2ccccc2OC3c2ccncc2)cc1,1.0,0.0,0.0,0.0,-0.00013572806760804587,0.0,0.0,88.0,0.0,1.0,0.0
4,Brc1ccc(Nc2ncnc3[nH]ncc23)cc1,1.0,0.0,0.0,0.0,-0.0001658399011825045,1.0,0.0,52.0,0.0,1.0,0.0
5,Brc1ccc2[nH]c3c(N4CCc5ccccc5C4)ncnc3c2c1,-0.0,1.0,0.0,0.0,-0.00015565742015870494,0.0,0.0,86.0,0.0,1.0,0.0
6,Brc1ccccc1C1Nc2cccc3cccc(c23)N1,1.0,0.0,0.0,1.0,-1.9012371494249727e-05,0.0,0.0,57.0,1.0,-0.0,1.0
7,C#CCN1C(=O)S/C(=C\c2ccc(-c3ccc(Cl)c(C(=O)O)c3)o2)C1=O,1.0,0.0,0.0,1.0,-2.9607959902652254e-05,0.0,0.0,68.0,1.0,-0.0,1.0
8,C#CCn1c(=NC(=O)c2cc(Cl)sc2Cl)sc2cc(S(N)(=O)=O)ccc21,1.0,0.0,0.0,1.0,-2.2616624009049455e-05,1.0,0.0,50.0,0.0,1.0,0.0
9,C/C(=N/NC(=O)c1cc(-c2ccccc2)nc2c(Cl)cccc12)c1cccnc1,1.0,0.0,0.0,0.0,-0.00017880412537001604,0.0,0.0,90.0,0.0,1.0,0.0
10,C/C(=N/NC(=O)c1cc2ccccc2cc1O)C1C(=O)c2ccccc2C1=O,1.0,0.0,1.0,0.0,-0.0009986222489129276,0.0,0.0,83.0,1.0,-0.0,1.0
11,C/C(=N/NC(=O)c1cccs1)c1c(C)[nH]n(-c2nc3ccccc3s2)c1=O,1.0,0.0,0.0,0.0,-0.00016903194246471818,0.0,0.0,55.0,0.0,1.0,0.0
12,C/C(=N/NS(=O)(=O)c1ccc(Cl)cc1)c1cccc(NC(=O)c2ccc(Cl)cc2Cl)c1,-0.0,1.0,0.0,0.0,-0.00018512401269955413,0.0,0.0,64.0,0.0,1.0,0.0
13,C/C(=N/Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1)c1ccc(O)cc1,1.0,0.0,0.0,0.0,-0.0002641690447098686,0.0,1.0,99.0,1.0,-0.0,1.0
14,C/C(=N\N=C(/N)SC1CC(=O)N(c2ccc(Br)cc2)C1=O)c1cccs1,-0.0,1.0,0.0,0.0,-9.758904058207639e-05,0.0,1.0,98.0,0.0,1.0,0.0
15,C/C(=N\N=C(/N)SC1CC(=O)N(c2ccc(Cl)c(Cl)c2)C1=O)c1cccs1,1.0,0.0,0.0,0.0,-7.923240479998015e-05,0.0,1.0,98.0,0.0,1.0,0.0
16,C/C(=N\NC(=O)COc1ccc(C)cc1C(C)C)c1cc2ccccc2o1,-0.0,1.0,0.0,0.0,-0.00027630945797498083,0.0,0.0,57.0,0.0,1.0,0.0
17,C/C(=N\NC(=O)COc1ccccc1-c1ccccc1)c1ccc(O)cc1O,1.0,0.0,0.0,0.0,-0.0007444832987956848,0.0,0.0,86.0,1.0,-0.0,1.0
18,C/C(=N\NC(=O)COc1ccccc1-c1ccccc1)c1ccccn1,1.0,0.0,0.0,0.0,-0.0004923036903097801,0.0,0.0,83.0,0.0,1.0,0.0
