,SMILES,False positives,True positives,FP - knn,TP - knn,Score - knn,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C/C(=N\N1C(C)CCCC1C)c1ccc(Cl)c([N+](=O)[O-])c1,1.0,0.0,0.0,0.0,-0.00028376976894963136,0.0,0.0,11.0,0.0,1.0,0.0
1,C/C(=N\NC(=O)CSc1nc2ccccc2c(=O)n1-c1ccccc1C)c1cccs1,1.0,0.0,0.0,0.0,-0.0004075306186188335,0.0,0.0,11.0,0.0,1.0,0.0
2,C/C(=N\NC(N)=S)c1ccc2c(c1)OCCO2,1.0,0.0,0.0,0.0,-0.0028344410971980183,0.0,0.0,12.0,0.0,1.0,0.0
3,C/C(=N\Nc1ccc([N+](=O)[O-])cc1)c1cccc(N)c1,1.0,0.0,0.0,0.0,-0.00029045301955073346,0.0,0.0,15.0,0.0,1.0,0.0
4,C/C(=N\OCC(=O)Nc1nc2ccccc2s1)c1ccccc1,1.0,0.0,0.0,0.0,-8.02682572591968e-05,1.0,0.0,10.0,0.0,1.0,0.0
5,C/C(CCc1ccccc1)=N\NC(=O)C1C2CCCCC21,1.0,0.0,0.0,0.0,-0.00027947614448698967,1.0,0.0,10.0,0.0,1.0,0.0
6,C=C(C)C[C@@]1(C(=O)OCC)C(=O)Oc2ccc3ccccc3c2N1C,1.0,0.0,0.0,0.0,-0.0003474633373156354,1.0,0.0,10.0,0.0,1.0,0.0
7,C=C1CCN(Cc2ccccc2)S(=O)(=O)c2ccccc21,1.0,0.0,1.0,0.0,-0.01139478034635361,0.0,0.0,11.0,0.0,1.0,0.0
8,C=CCN=c1scc(C)n1/N=C/c1ccc(O)c(O)c1,1.0,0.0,0.0,0.0,-7.696061037587332e-05,0.0,0.0,15.0,1.0,-0.0,1.0
9,C=CCNc1n[nH]c(=S)s1,1.0,0.0,1.0,0.0,-0.005872234286968436,0.0,0.0,15.0,0.0,1.0,0.0
10,C=CC[C@@H](CC(=O)N(CCO)Cc1ccccc1)C(=O)NC[C@@H](OC(=O)[C@@H](CC=C)CC(=O)OC(C)(C)C)c1ccccc1,1.0,0.0,0.0,0.0,-1.1761307987498994e-05,1.0,0.0,10.0,0.0,1.0,0.0
11,C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1,1.0,0.0,0.0,1.0,1.2805940059479326e-06,0.0,0.0,11.0,0.0,1.0,0.0
12,C=CCn1c(C)cc(C(=O)COC(=O)CCc2cc(OC)c(OC)c(OC)c2)c1C,1.0,0.0,0.0,0.0,-0.00011988857727124264,0.0,0.0,12.0,0.0,1.0,0.0
13,C=CCn1c(SCC(=O)N2CC(=O)Nc3ccccc32)nc2scc(-c3ccccc3)c2c1=O,1.0,0.0,0.0,0.0,-0.0001891177326887283,0.0,0.0,16.0,0.0,1.0,0.0
14,CC(/C=N/n1c(-c2ccncc2)n[nH]c1=S)=C\c1ccco1,1.0,0.0,0.0,0.0,-0.0006315781994179725,0.0,1.0,19.0,0.0,1.0,0.0
15,CC(=O)C(Sc1nccc(-c2cccs2)n1)C(C)=O,1.0,0.0,0.0,0.0,-7.897174328808343e-05,0.0,0.0,14.0,0.0,1.0,0.0
16,CC(=O)C1=CCC(c2ccc(C)cc2)N(S(=O)(=O)c2ccc(C)cc2)C1,1.0,0.0,0.0,0.0,-0.0009369973267894238,0.0,0.0,12.0,0.0,1.0,0.0
17,CC(=O)C1=CCC(c2ccccc2)N(S(=O)(=O)c2ccc(C)cc2)C1,1.0,0.0,0.0,0.0,-0.002361436192666508,0.0,0.0,13.0,0.0,1.0,0.0
18,CC(=O)C[C@H]1c2ccccc2S(=O)(=O)N1C1CCCCC1,1.0,0.0,0.0,0.0,-0.0002553301263225756,0.0,0.0,14.0,0.0,1.0,0.0
19,CC(=O)N(C)C[C@@H]1Oc2cc(/C=C/c3ccccc3)ccc2S(=O)(=O)N([C@H](C)CO)C[C@@H]1C,1.0,0.0,0.0,0.0,-0.0014195614489586,0.0,0.0,12.0,0.0,1.0,0.0
20,CC(=O)N(c1ccccc1C)S(=O)(=O)c1ccc(Cl)cc1,1.0,0.0,1.0,0.0,-0.004405256986501627,1.0,0.0,10.0,0.0,1.0,0.0
21,CC(=O)N/C(=C\c1ccccc1)C(=O)Nc1ccc(O)cc1,1.0,0.0,1.0,0.0,-0.003358289704240403,0.0,0.0,13.0,0.0,1.0,0.0
22,CC(=O)N1CCN(c2ccc(S(C)(=O)=O)cc2[N+](=O)[O-])CC1,1.0,0.0,0.0,0.0,-0.00013834634532091454,1.0,0.0,10.0,0.0,1.0,0.0
23,CC(=O)N1CC[C@@H]2[C@@H](CO)N(C)c3ccc(-c4ccccc4)cc3[C@@H]21,1.0,0.0,0.0,0.0,-0.00017367561771866998,0.0,0.0,17.0,0.0,1.0,0.0
24,CC(=O)N1CC[C@@H]2[C@@H](CO)Nc3ccc(-c4ccccc4)cc3[C@@H]21,1.0,0.0,0.0,0.0,-0.0006970258901064581,1.0,0.0,10.0,0.0,1.0,0.0
25,CC(=O)NC(Cc1ccccc1)C(=O)Oc1ccc2ccccc2c1,1.0,0.0,0.0,0.0,-0.002151389590785634,1.0,0.0,10.0,0.0,1.0,0.0
26,CC(=O)Nc1cc(-c2ccc(F)cc2)[nH]n1,1.0,0.0,0.0,0.0,-0.002613600767870014,1.0,0.0,10.0,0.0,1.0,0.0
27,CC(=O)Nc1ccc(N(C(=O)c2ccco2)C(C(=O)NC2CCCC2)c2cccs2)cc1,1.0,0.0,0.0,0.0,-0.00027018532505230776,0.0,0.0,13.0,0.0,1.0,0.0
28,CC(=O)Nc1ccc(NC(=O)Cc2ccc(S(=O)(=O)N3CCCCC3)cc2)cc1,1.0,0.0,0.0,0.0,-0.0012476542495398343,0.0,0.0,12.0,0.0,1.0,0.0
29,CC(=O)Nc1ccc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc3c(c2)OCCO3)cc1,1.0,0.0,0.0,0.0,-0.002197814865772111,0.0,0.0,16.0,0.0,1.0,0.0
30,CC(=O)Nc1ccc(OC(=O)Oc2ccc(NC(C)=O)cc2)cc1,1.0,0.0,0.0,0.0,-0.0004067384015997759,0.0,0.0,11.0,0.0,1.0,0.0
31,CC(=O)Nc1ccc(S(=O)(=O)N2CCCC(C(=O)O)C2)cc1,1.0,0.0,0.0,0.0,-0.000922896553794879,0.0,1.0,18.0,0.0,1.0,0.0
32,CC(=O)Nc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2-n2ccc(=NC(=O)c3ccc(F)cc3)cc2)cc1,1.0,0.0,0.0,0.0,-0.00013838783846809887,0.0,0.0,15.0,0.0,1.0,0.0
33,CC(=O)Nc1cccc(NC(=O)c2ccc(Br)cc2)c1,1.0,0.0,1.0,0.0,-0.003304117508098268,1.0,0.0,10.0,0.0,1.0,0.0
34,CC(=O)Nc1cccc2cc(O)ccc12,1.0,0.0,0.0,1.0,0.00329665814368147,0.0,1.0,21.0,0.0,1.0,0.0
35,CC(=O)Nc1ccccc1O,1.0,0.0,0.0,1.0,0.0024271647011578803,0.0,1.0,19.0,0.0,1.0,0.0
36,CC(=O)Nc1cnc(-c2ccccc2O)cn1,-0.0,1.0,0.0,1.0,0.0010065460390471124,0.0,0.0,11.0,0.0,1.0,0.0
37,CC(=O)Nc1n[nH]c(=S)s1,1.0,0.0,1.0,0.0,-0.00312798667854932,0.0,0.0,17.0,0.0,1.0,0.0
38,CC(=O)Oc1ccc(/C=N/NC(=O)CCSc2ccccc2)cc1,1.0,0.0,0.0,0.0,-0.0014928060743361609,1.0,0.0,10.0,0.0,1.0,0.0
39,CC(=O)Oc1ccc2nc(/C=C/c3ccccc3)oc(=O)c2c1,1.0,0.0,1.0,0.0,-0.006613263867540888,0.0,0.0,12.0,0.0,1.0,0.0
40,CC(=O)c1ccc(NC(=O)CNCC(c2ccccc2)N(C)C)cc1,1.0,0.0,0.0,0.0,-0.0010324373502593877,0.0,0.0,15.0,0.0,1.0,0.0
41,CC(=O)c1ccc(Nc2ccc(-c3ccccc3F)nn2)cc1,1.0,0.0,0.0,0.0,-0.00040356444283183866,1.0,0.0,10.0,0.0,1.0,0.0
42,CC(=O)c1cccc(-c2ccnc3c2CC(C(=O)NCc2ccccc2)O3)c1,1.0,0.0,0.0,1.0,0.00015517758352011647,1.0,0.0,10.0,0.0,1.0,0.0
43,CC(=O)c1cccc(OCC(=O)c2cc(C)n(-c3cc(C)on3)c2C)c1,1.0,0.0,0.0,1.0,0.002053212689713621,0.0,0.0,16.0,0.0,1.0,0.0
44,CC(C(=O)OCC(=O)c1c(N)n(C)c(=O)n(C)c1=O)N1C(=O)c2ccccc2C1=O,1.0,0.0,0.0,0.0,-0.00027596449627298583,0.0,0.0,14.0,0.0,1.0,0.0
45,CC(C)(C)C(=O)C1=C(O)C(=O)N(c2ccccc2)C1c1ccccc1,1.0,0.0,0.0,0.0,-4.797963957061766e-05,0.0,1.0,21.0,0.0,1.0,0.0
46,CC(C)(C)N1[C@@H](CC(=O)O)c2cc(C(F)(F)F)ccc2S1(=O)=O,1.0,0.0,0.0,0.0,-8.438057705131872e-05,0.0,0.0,11.0,0.0,1.0,0.0
47,CC(C)(C)OCC(O)CN1CCN(C(=O)c2ccccc2)CC1,1.0,0.0,0.0,0.0,-0.0003694155919339999,0.0,0.0,11.0,0.0,1.0,0.0
48,CC(C)(C)c1cc(Cl)c(O)c(NC(=S)NC(=O)c2cccnc2)c1,1.0,0.0,0.0,0.0,-0.00044378351027102487,1.0,0.0,10.0,0.0,1.0,0.0
49,CC(C)(CC(=O)O)CC(=O)Nc1cc(-c2ccccc2)[nH]n1,1.0,0.0,0.0,0.0,-0.0013866134489305027,0.0,0.0,11.0,0.0,1.0,0.0
50,CC(C)(CCOC(=O)c1ccccc1)NS(=O)(=O)OCC(Cl)(Cl)Cl,1.0,0.0,0.0,0.0,-0.000103902014706074,0.0,0.0,12.0,0.0,1.0,0.0
51,CC(C)(Oc1ccc(Cl)cc1)C(=O)NC1CC1,1.0,0.0,0.0,0.0,-0.001582079087841391,1.0,0.0,10.0,0.0,1.0,0.0
52,CC(C)=CCOc1c2occc2cc2ccc(=O)oc12,1.0,0.0,0.0,0.0,-0.0010937222016234576,0.0,0.0,13.0,0.0,1.0,0.0
53,CC(C)C12NC(=O)NC(=O)N1CCS2,1.0,0.0,0.0,0.0,-8.474306472995162e-05,1.0,0.0,10.0,0.0,1.0,0.0
54,CC(C)CC(=O)N1CCN(Cc2ccc(Br)cc2)CC1,1.0,0.0,0.0,0.0,-0.00040836436336586293,0.0,0.0,11.0,0.0,1.0,0.0
55,CC(C)CN1CCN(CC#Cc2ccccc2)CC1CCO,1.0,0.0,0.0,0.0,-0.00018551841216381886,1.0,0.0,10.0,0.0,1.0,0.0
56,CC(C)CNC(=O)C(=O)NCC1CCCN1S(=O)(=O)c1cccs1,1.0,0.0,0.0,0.0,-0.0006206703375817717,0.0,0.0,13.0,0.0,1.0,0.0
57,CC(C)CNC(=O)c1c(F)c(F)c(F)c(F)c1F,1.0,0.0,0.0,0.0,-4.356185921166728e-05,1.0,0.0,10.0,0.0,1.0,0.0
58,CC(C)Cc1cc(C(=O)N2CCCC(CO)(Cc3ccc(F)cc3)C2)no1,1.0,0.0,0.0,0.0,-0.0009860680515335484,1.0,0.0,10.0,0.0,1.0,0.0
59,CC(C)Cc1nnc(NC(=O)CCC(=O)NCc2ccccc2Cl)s1,1.0,0.0,0.0,0.0,-0.0012180876529872787,0.0,0.0,12.0,0.0,1.0,0.0
60,CC(C)NC(=O)N1CC[C@@H]2[C@@H](CO)N(C)c3ccc(-c4ccc(F)cc4)cc3[C@@H]21,1.0,0.0,0.0,0.0,-0.00041638401699646446,0.0,0.0,11.0,0.0,1.0,0.0
61,CC(C)NC(=O)N1CC[C@@H]2[C@H]1c1cc(-c3ccc(F)cc3)ccc1N(C)[C@H]2CO,1.0,0.0,0.0,0.0,-0.00041638401699646446,0.0,0.0,11.0,0.0,1.0,0.0
62,CC(C)NC(=O)N1CC[C@@H]2[C@H]1c1cc(-c3ccccc3)ccc1N(C)[C@H]2CO,1.0,0.0,0.0,0.0,-0.0002862358786252706,0.0,0.0,14.0,0.0,1.0,0.0
63,CC(C)OC(=O)C(=O)NNc1ccccc1,1.0,0.0,1.0,0.0,-0.016719601010413747,0.0,0.0,14.0,0.0,1.0,0.0
64,CC(C)OC(=O)c1cccc(C(=O)O)n1,1.0,0.0,0.0,0.0,-0.0005687053739825637,0.0,0.0,11.0,0.0,1.0,0.0
65,CC(C)c1cc(CN2CCN(Cc3ccc(F)c(F)c3)C(CCO)C2)[nH]n1,1.0,0.0,0.0,0.0,-0.0002470703749657752,1.0,0.0,10.0,0.0,1.0,0.0
66,CC(N)C(=O)NC(C(=O)N1CCCC1C(=O)NC(c1ccccc1)c1ccccc1)C(C)C,1.0,0.0,0.0,0.0,-0.0001972194508458155,1.0,0.0,10.0,0.0,1.0,0.0
67,CC(OC(=O)C1=COCCO1)C(=O)c1ccc(Br)cc1,1.0,0.0,0.0,0.0,-0.0002870700581307564,0.0,0.0,13.0,0.0,1.0,0.0
68,CC(OC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C(=O)Nc1ccc(N2CCOCC2)cc1,1.0,0.0,0.0,0.0,-0.001157280994853004,1.0,0.0,10.0,1.0,-0.0,1.0
69,CC(OC(=O)c1cccnc1Cl)C(=O)NC1CCCCC1,1.0,0.0,0.0,0.0,-0.001466019546669386,0.0,0.0,15.0,0.0,1.0,0.0
70,CC(Oc1ccc(Cl)cc1Cl)C(=O)Nc1ccc(O)cc1,1.0,0.0,0.0,0.0,-0.0006344108288221133,0.0,0.0,14.0,0.0,1.0,0.0
71,CC(Sc1nc(N)cc(=O)[nH]1)C(=O)NCC(=O)Nc1ccc(F)c(F)c1F,1.0,0.0,0.0,0.0,-0.00014964036367578397,1.0,0.0,10.0,0.0,1.0,0.0
72,CC(Sc1nc2ccccc2n1C)C(=O)Nc1ccc(N2CCOCC2)cc1,1.0,0.0,0.0,0.0,-0.0008321531295423283,0.0,0.0,12.0,1.0,-0.0,1.0
73,CC1(C)CC(=O)C(C=Nc2ccc(N)cc2)=C(O)C1,1.0,0.0,1.0,0.0,-0.004803997971356404,0.0,0.0,12.0,1.0,-0.0,1.0
74,CC1(C)Cc2c(sc3ncn4c(=S)[nH]nc4c23)CO1,1.0,0.0,0.0,0.0,-0.0002347415863498879,0.0,1.0,21.0,0.0,1.0,0.0
75,CC1(C)Cc2nc(Cl)c(C#N)cc2CO1,1.0,0.0,0.0,0.0,-0.0028215440986889087,1.0,0.0,10.0,0.0,1.0,0.0
76,CC1(C)OC2C(O1)[C@@H](CO)O[C@H]2n1cnc2c(N)ncnc21,1.0,0.0,0.0,0.0,-0.00019321870002806044,0.0,0.0,13.0,0.0,1.0,0.0
77,CC1(C)O[C@@H]2[C@H](O1)[C@@H](COS(=O)(=O)O)O[C@H]2n1c(=S)[nH]c2c(=O)[nH]c(N)nc21,-0.0,1.0,0.0,0.0,-2.2967651662778795e-05,0.0,0.0,11.0,0.0,1.0,0.0
78,CC12CCC(=O)N1C(C(=O)OCc1c(Cl)cccc1Cl)CS2,1.0,0.0,0.0,0.0,-0.00023674608142995327,0.0,0.0,12.0,0.0,1.0,0.0
79,CC12CCC3C(=CCc4cc(O)ccc43)C1CC(=NO)C2O,1.0,0.0,0.0,0.0,-1.0929218275962809e-05,0.0,0.0,12.0,0.0,1.0,0.0
80,CC1=C(C(=O)OCC2CCCO2)C(c2coc3ccccc3c2=O)C2=C(CCCC2=O)N1,1.0,0.0,0.0,1.0,-2.912417028130801e-07,0.0,0.0,13.0,0.0,1.0,0.0
81,CC1C(=O)C(C)C(c2ccc([N+](=O)[O-])cc2)NC1c1ccc([N+](=O)[O-])cc1,1.0,0.0,0.0,1.0,-7.094111809307763e-06,0.0,1.0,18.0,0.0,1.0,0.0
82,CC1C(=O)NN=C1c1ccc([N+](=O)[O-])cc1,1.0,0.0,0.0,0.0,-0.0002668271339104279,1.0,0.0,10.0,0.0,1.0,0.0
83,CC1C(c2ccc3c(c2)OCO3)c2cc3c(cc2OC1N1CCOCC1)OCO3,1.0,0.0,0.0,0.0,-2.9984204107617248e-05,1.0,0.0,10.0,0.0,1.0,0.0
84,CC1CC(=O)N(c2ccc(NCCc3ccc(O)cc3)c([N+](=O)[O-])c2)C1=O,1.0,0.0,0.0,0.0,-0.001129999624406612,0.0,0.0,12.0,0.0,1.0,0.0
85,CC1CCCN(C(=S)Nc2ccc(F)cc2)C1,1.0,0.0,0.0,0.0,-0.001131450063649726,0.0,0.0,12.0,0.0,1.0,0.0
86,CC1CCN(CCCn2c(=S)[nH]c3c(sc4ccccc43)c2=O)CC1,1.0,0.0,0.0,0.0,-0.0004467107597860037,0.0,0.0,11.0,0.0,1.0,0.0
87,CC1CN=C(Nc2cccc(S(=O)(=O)N(C)C)c2)S1,1.0,0.0,0.0,0.0,-0.0017558656542590412,0.0,0.0,13.0,0.0,1.0,0.0
88,CCC(=O)N1CC[C@@H]2[C@@H](CO)N(C)c3ccc(-c4ccccc4)cc3[C@@H]21,1.0,0.0,0.0,0.0,-8.619064193316172e-05,0.0,1.0,21.0,0.0,1.0,0.0
89,CCC(=O)N1CC[C@@H]2[C@H]1c1cc(-c3ccc(OC)cc3)ccc1N(C)[C@H]2CO,1.0,0.0,0.0,0.0,-0.0005059509771904181,0.0,0.0,11.0,0.0,1.0,0.0
90,CCC(=O)N1CC[C@@H]2[C@H]1c1cc(-c3ccccc3)ccc1N(C)[C@H]2CO,1.0,0.0,0.0,0.0,-8.619064193316172e-05,0.0,0.0,11.0,0.0,1.0,0.0
91,CCC(=O)Nc1ccc2c(c1)OC[C@@H](C)N(C(=O)NC(C)C)C[C@@H](C)[C@@H](OC)CN(C)C2=O,1.0,0.0,0.0,0.0,-0.0006791709410218562,0.0,0.0,17.0,0.0,1.0,0.0
92,CCC(=O)Nc1ccc2c(c1)OC[C@@H](C)N(C(=O)NC(C)C)C[C@H](C)[C@H](OC)CN(C)C2=O,1.0,0.0,0.0,0.0,-0.0006791709410218562,0.0,0.0,14.0,0.0,1.0,0.0
